Juridiskt kön och medicinsk könskorrigering;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 åldersgränsen//NN|UTR|SIN|DEF|NOM//nmod//2 för//PP//case//6 fastställelse//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//9 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//9 könstillhörighet//NN|UTR|SIN|IND|NOM//nmod//6
1.1 Förslag till lag om ändring av juridiskt kön;2//RG|NOM//nummod//22 §//NN|AN//appos//9  //_SP////22 Den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//22 som//HP|-|-|-//nsubj//27 har//VB|PRS|AKT//aux//27 fyllt//VB|SUP|AKT//acl:relcl//24 15//RG|NOM//nummod//29 år//NN|NEU|PLU|IND|NOM//obj//27 kan//VB|PRS|AKT//aux//32 själv//JJ|POS|UTR|SIN|IND|NOM//amod//30 ansöka//VB|INF|AKT//parataxis//1 hos//PP//case//34 Skatteverket//PM|NOM//obl//32 om//PP//mark//37 att//IE//mark//37 få//VB|INF|AKT//acl//34 sitt//PS|NEU|SIN|DEF//nmod:poss//40 juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 kön//NN|NEU|SIN|IND|NOM//obj//37 ändrat//PC|PRF|NEU|SIN|IND|NOM//xcomp//37 i//PP//case//43 folkbokföringen//NN|UTR|SIN|DEF|NOM//obl//41 .//MAD//punct//1
1.1 Förslag till lag om ändring av juridiskt kön;Om//SN//mark//4 den//DT|UTR|SIN|DEF//det//2 unge//JJ|POS|MAS|SIN|DEF|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 fyllt//VB|SUP|AKT//advcl//16 15//RG|NOM//nummod//6 år//NN|NEU|PLU|IND|NOM//obj//4 men//KN//cc//10 inte//AB//advmod//9 18//RG|NOM//nummod//10 år//NN|NEU|PLU|IND|NOM//conj//6 och//KN//cc//13 vårdnadshavarens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 inställning//NN|UTR|SIN|IND|NOM//conj//6 till//PP//case//15 ändringen//NN|UTR|SIN|DEF|NOM//nmod//13 skiljer//VB|PRS|AKT//ROOT//16 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//16 från//PP//case//20 den//DT|UTR|SIN|DEF//det//20 unges//JJ|POS|MAS|SIN|DEF|GEN//obl//16 ,//MID//punct//16 eller//KN//cc//24 inte//AB//advmod//24 framgår//VB|PRS|AKT//conj//16 av//PP//case//28 den//DT|UTR|SIN|DEF//det//28 unges//JJ|POS|MAS|SIN|DEF|GEN//amod//28 ansökan//NN|UTR|SIN|IND|NOM//obl//24 ,//MID//punct//32 ska//VB|PRS|AKT//aux//32 Skatteverket//PM|NOM//nsubj//32 informera//VB|INF|AKT//conj//16 socialnämnden//NN|UTR|SIN|DEF|NOM//obj//32 .//MAD//punct//32
1.1 Förslag till lag om ändring av juridiskt kön;3//RG|NOM//nummod//36 §//NN|AN//appos//16  //_SP////36 Avser//VB|PRS|AKT//xcomp//16 en//DT|UTR|SIN|IND//det//40 ansökan//NN|UTR|SIN|IND|NOM//obj//38 någon//PN|UTR|SIN|IND|SUB/OBJ//obj//38 som//HP|-|-|-//nsubj//44 har//VB|PRS|AKT//aux//44 fyllt//VB|SUP|AKT//acl:relcl//41 12//RG|NOM//nummod//46 år//NN|NEU|PLU|IND|NOM//obj//44 men//KN//cc//50 inte//AB//advmod//50 15//RG|NOM//nummod//50 år//NN|NEU|PLU|IND|NOM//conj//41 görs//VB|PRS|SFO//conj//16 ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//51 av//PP//case//54 vårdnadshavaren//NN|UTR|SIN|DEF|NOM//nmod//52 med//PP//case//58 den//DT|UTR|SIN|DEF//det//58 unges//JJ|POS|MAS|SIN|DEF|GEN//amod//58 samtycke//NN|NEU|SIN|IND|NOM//obl//51 .//MAD//punct//16
1.1 Förslag till lag om ändring av juridiskt kön;4//RG|NOM//nummod//61 §//NN|AN//nsubj//63  //_SP////61 Avser//VB|PRS|AKT//parataxis//16 en//DT|UTR|SIN|IND//det//65 ansökan//NN|UTR|SIN|IND|NOM//obj//63 någon//PN|UTR|SIN|IND|SUB/OBJ//obj//63 som//HP|-|-|-//nsubj//71 är//VB|PRS|AKT//cop//71 under//PP//advmod//70 12//RG|NOM//nummod//71 år//NN|NEU|PLU|IND|NOM//acl:relcl//66 med//PP//case//74 medfödd//JJ|POS|UTR|SIN|IND|NOM//amod//74 avvikelse//NN|UTR|SIN|IND|NOM//nmod//71 i//PP//case//76 könsutvecklingen//NN|UTR|SIN|DEF|NOM//nmod//74 görs//VB|PRS|SFO//conj//16 ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//77 av//PP//case//80 vårdnadshavaren//NN|UTR|SIN|DEF|NOM//nmod//78 .//MAD//punct//16
1.1 Förslag till lag om ändring av juridiskt kön;Till//PP//case//83 ansökan//NN|UTR|SIN|IND|NOM//obl//85 ska//VB|PRS|AKT//aux//85 bifogas//VB|INF|SFO//parataxis//16 ett//DT|NEU|SIN|IND//det//87 läkarintyg//NN|NEU|SIN|IND|NOM//obj//85 som//HP|-|-|-//nsubj//89 styrker//VB|PRS|AKT//acl:relcl//87 att//SN//mark//100 en//DT|UTR|SIN|IND//det//92 ändring//NN|UTR|SIN|IND|NOM//nsubj//98 av//PP//case//96 det//DT|NEU|SIN|DEF//det//96 juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//96 könet//NN|NEU|SIN|DEF|NOM//nmod//92 är//VB|PRS|AKT//cop//98 1//RG|NOM//discourse//100 .//MAD//punct//98
1.1 Förslag till lag om ändring av juridiskt kön;förenlig//JJ|POS|UTR|SIN|IND|NOM//ccomp//89 med//PP//case//102 utvecklingen//NN|UTR|SIN|DEF|NOM//obl//100 av//PP//case//105 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//105 könsidentitet//NN|UTR|SIN|IND|NOM//nmod//102 ,//MID//punct//100 och//KN//cc//100 2//RG|NOM//nummod//100 .//MAD//punct//100
1.1 Förslag till lag om ändring av juridiskt kön;i//PP//case//114 enlighet//NN|UTR|SIN|IND|NOM//fixed//110 med//PP//fixed//110 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//114 vilja//NN|UTR|SIN|IND|NOM//obl//100 med//PP//mark//116 beaktade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//114 av//PP//case//119 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//119 ålder//NN|UTR|SIN|IND|NOM//obl//116 och//KN//cc//121 mognad//NN|UTR|SIN|IND|NOM//conj//119 .//MAD//punct//100
1.1 Förslag till lag om ändring av juridiskt kön;5//RG|NOM//nummod//124 §//NN|AN//nsubj:pass//139  //_SP////124 En//DT|UTR|SIN|IND//det//127 ansökan//NN|UTR|SIN|IND|NOM//nmod//124 om//PP//case//129 ändring//NN|UTR|SIN|IND|NOM//nmod//127 av//PP//case//133 det//DT|NEU|SIN|DEF//det//133 juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//133 kön//NN|NEU|SIN|IND|NOM//nmod//129 som//HP|-|-|-//nsubj//135 framgår//VB|PRS|AKT//acl:relcl//133 av//PP//case//137 folkbokföringen//NN|UTR|SIN|DEF|NOM//obl//135 får//VB|PRS|AKT//aux//139 bifallas//VB|INF|SFO//acl:relcl//87 endast//AB//advmod//139 om//SN//mark//144 sökanden//NN|UTR|SIN|DEF|NOM//nsubj//144 är//VB|PRS|AKT//aux:pass//144 folkbokförd//PC|PRF|UTR|SIN|IND|NOM//advcl//139 i//PP//case//146 Sverige//PM|NOM//obl//144 .//MAD//punct//16
1.1 Förslag till lag om ändring av juridiskt kön;Ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//3 får//VB|PRS|AKT//aux//3 inte//AB//advmod//3 bifallas//VB|INF|SFO//ROOT//3 om//SN//mark//8 sökanden//NN|UTR|SIN|DEF|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 registrerad//PC|PRF|UTR|SIN|IND|NOM//amod//8 partner//NN|UTR|SIN|IND|NOM//obl//3 .//MAD//punct//3
1.1 Förslag till lag om ändring av juridiskt kön;Ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//12 ska//VB|PRS|AKT//aux//12 göras//VB|INF|SFO//parataxis//3 skriftligen//AB//advmod//12 .//MAD//punct//12
