Författningsförslag;Barnombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 driva//VB|INF|AKT//ROOT//2 på//PP//case//4 genomförandet//NN|NEU|SIN|DEF|NOM//obl//2 av//PP//case//8 Förenta//PM|NOM//nmod:poss//8 nationernas//NN|UTR|PLU|DEF|GEN//flat//6 konvention//NN|UTR|SIN|IND|NOM//nmod//4 om//PP//case//11 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//11 rättigheter//NN|UTR|PLU|IND|NOM//nmod//8 (//PAD//punct//13 barnkonventionen//NN|UTR|SIN|DEF|NOM//appos//2 )//PAD//punct//13 och//KN//cc//16 bevaka//VB|INF|AKT//conj//2 efterlevnaden//NN|UTR|SIN|DEF|NOM//obj//16 av//PP//case//19 konventionen//NN|UTR|SIN|DEF|NOM//nmod//17 .//MAD//punct//2
Författningsförslag;I//PP//case//23 detta//DT|NEU|SIN|DEF//det//23 arbete//NN|NEU|SIN|IND|NOM//obl//26 skall//VB|PRS|AKT//aux//26 ombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//26 företräda//VB|INF|AKT//parataxis//2 barn//NN|NEU|PLU|IND|NOM//obj//26 och//KN//cc//29 ungdomar//NN|UTR|PLU|IND|NOM//conj//27 samt//KN//cc//31 ägna//VB|INF|AKT//conj//26 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//33 uppmärksamhet//NN|UTR|SIN|IND|NOM//obj//31 åt//PP//case//35 frågor//NN|UTR|PLU|IND|NOM//obl//31 som//HP|-|-|-//nsubj//37 rör//VB|PRS|AKT//acl:relcl//35 utsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 barn//NN|NEU|PLU|IND|NOM//obj//37 och//KN//cc//41 ungdomar//NN|UTR|PLU|IND|NOM//conj//39 .//MAD//punct//2
Författningsförslag;geringen//NN|UTR|SIN|DEF|NOM//nsubj//44 utser//VB|PRS|AKT//parataxis//2 ombudsmannen//NN|UTR|SIN|DEF|NOM//obj//44 och//KN//cc//49 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//49 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 ledamöter//NN|UTR|PLU|IND|NOM//conj//45 för//PP//case//53 en//DT|UTR|SIN|IND//det//53 bestämd//PC|PRF|UTR|SIN|IND|NOM//amod//53 tid//NN|UTR|SIN|IND|NOM//obl//44 .//MAD//punct//44
Författningsförslag;Barnombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//5 skall//VB|PRS|AKT//aux//5 genast//AB//advmod//5 till//PP//case//4 socialnämnden//NN|UTR|SIN|DEF|NOM//obl//5 anmäla//VB|INF|AKT//ROOT//5 om//PP//case//7 ombudsmannen//NN|UTR|SIN|DEF|NOM//obl//5 i//PP//case//10 sin//PS|UTR|SIN|DEF//nmod:poss//10 verksamhet//NN|UTR|SIN|IND|NOM//nmod//7 får//VB|PRS|AKT//conj//5 kännedom//NN|UTR|SIN|IND|NOM//obj//11 om//PP//mark//21 att//SN//mark//21 någon//PN|UTR|SIN|IND|SUB/OBJ//nsubj:pass//21 som//HP|-|-|-//nsubj//20 är//VB|PRS|AKT//cop//20 under//PP//advmod//19 18//RG|NOM//nummod//20 år//NN|NEU|PLU|IND|NOM//acl:relcl//15 misshandlas//VB|PRS|SFO//advcl//11 i//PP//case//23 hemmet//NN|NEU|SIN|DEF|NOM//obl//21 eller//KN//cc//31 om//SN//mark//31 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 i//PP//case//29 annat//JJ|POS|NEU|SIN|IND|NOM//amod//29 fall//NN|NEU|SIN|IND|NOM//obl//31 måste//VB|PRS|AKT//aux//31 antas//VB|INF|SFO//conj//5 att//SN//mark//35 socialnämnden//NN|UTR|SIN|DEF|NOM//nsubj//35 behöver//VB|PRS|AKT//aux//35 ingripa//VB|INF|AKT//ccomp//31 till//PP//case//39 en//DT|UTR|SIN|IND//det//39 underårigs//JJ|POS|UTR|SIN|IND|GEN//amod//39 skydd//NN|NEU|SIN|IND|NOM//obl//35 .//MID//punct//5
Författningsförslag;Om//SN//mark//43 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//43 finns//VB|PRS|SFO//advcl//46 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//45 skäl//NN|NEU|PLU|IND|NOM//nsubj//43 får//VB|PRS|AKT//conj//5 anmälan//NN|UTR|SIN|IND|NOM//nsubj//46 till//PP//case//49 socialnämnden//NN|UTR|SIN|DEF|NOM//obl//46 göras//VB|INF|SFO//xcomp//46 även//AB//advmod//50 i//PP//case//54 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 fall//NN|NEU|PLU|IND|NOM//obl//50 .//MAD//punct//5
Författningsförslag;Barnombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//2 får//VB|PRS|AKT//aux//2 lämna//VB|INF|AKT//ROOT//2 socialnämnden//NN|UTR|SIN|DEF|NOM//obj//2 alla//DT|UTR/NEU|PLU|IND/DEF//det//5 uppgifter//NN|UTR|PLU|IND|NOM//obj//2 som//HP|-|-|-//nsubj//8 kan//VB|PRS|AKT//aux//8 vara//VB|INF|AKT//acl:relcl//5 av//PP//case//10 betydelse//NN|UTR|SIN|IND|NOM//obl//8 för//PP//case//12 utredning//NN|UTR|SIN|IND|NOM//nmod//10 av//PP//case//16 en//DT|UTR|SIN|IND//det//16 underårigs//NN|UTR|SIN|IND|GEN//amod//16 behov//NN|NEU|SIN|IND|NOM//nmod//12 av//PP//case//18 skydd//NN|NEU|SIN|IND|NOM//nmod//16 .//MAD//punct//2
Författningsförslag;gärder//NN|UTR|PLU|IND|NOM//obj//2 ,//MID//punct//20 2//RG|NOM//nummod//20 .//MAD//punct//2
Författningsförslag;göra//VB|INF|AKT//conj//2 uttalanden//NN|NEU|PLU|IND|NOM//obj//24 ,//MID//punct//24 3//RG|NOM//nummod//24 .//MAD//punct//2
Författningsförslag;upprätthålla//VB|INF|AKT//conj//2 kontakter//NN|UTR|PLU|IND|NOM//obj//29 med//PP//case//32 barn//NN|NEU|PLU|IND|NOM//nmod//30 och//KN//cc//34 ungdomar//NN|UTR|PLU|IND|NOM//conj//32 ,//MID//punct//30 4//RG|NOM//obl//29 .//MAD//punct//2
Författningsförslag;upprätthålla//VB|INF|AKT//conj//2 kontakter//NN|UTR|PLU|IND|NOM//obj//38 med//PP//case//41 organisationer//NN|UTR|PLU|IND|NOM//nmod//39 ,//MID//punct//43 myn//IN//conj//41 -//MID//punct//43 digheter//NN|UTR|PLU|IND|NOM//conj//41 ,//MID//punct//47 kom//VB|PRT|AKT//conj//2 muner//NN|UTR|PLU|IND|NOM//nsubj//47 ,//MID//punct//50 landsting//NN|NEU|PLU|IND|NOM//conj//48 m.fl.//AB|AN//conj//48 ,//MID//punct//53 5//RG|NOM//conj//47 .//MAD//punct//2
