Civilsamhället som demokratins arena;Håkan//PM|NOM//ROOT//0 A.//PM|NOM//flat:name//0 Bengtsson//PM|NOM//flat:name//0
1 Rörelsesocialism och statssocialism;Spänningsfältet//NN|NEU|SIN|DEF|NOM//nsubj//50 rör//VB|PRS|AKT//parataxis//42 ideologi//NN|UTR|SIN|IND|NOM//obj//50 ,//MID//punct//53 organisation//NN|UTR|SIN|IND|NOM//conj//51 ,//MID//punct//55 vägval//NN|NEU|SIN|IND|NOM//conj//51 och//KN//cc//57 strategi//NN|UTR|SIN|IND|NOM//conj//51 för//PP//case//59 förändring//NN|UTR|SIN|IND|NOM//nmod//57 av//PP//case//63 de//DT|UTR/NEU|PLU|DEF//det//63 existerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 samhällsförhållandena//NN|NEU|PLU|DEF|NOM//nmod//59 i//PP//case//68 riktning//NN|UTR|SIN|IND|NOM//fixed//64 mot//PP//case//68 individens//NN|UTR|SIN|DEF|GEN//nmod:poss//68 frigörelse//NN|UTR|SIN|IND|NOM//nmod//63 och//KN//cc//70 bemyndigande//NN|NEU|SIN|IND|NOM//conj//51 .//MAD//punct//42
1 Rörelsesocialism och statssocialism;Spänningsfältet//NN|NEU|SIN|DEF|NOM//nsubj//73 rör//VB|PRS|AKT//parataxis//42 i//PP//case//76 hög//JJ|POS|UTR|SIN|IND|NOM//amod//76 grad//NN|UTR|SIN|IND|NOM//obl//73 synen//NN|UTR|SIN|DEF|NOM//obj//73 på//PP//case//80 politisk//JJ|POS|UTR|SIN|IND|NOM//amod//80 organisation//NN|UTR|SIN|IND|NOM//nmod//77 ,//MID//punct//82 handlande//NN|NEU|SIN|IND|NOM//conj//80 och//KN//cc//84 styrelse//NN|UTR|SIN|IND|NOM//conj//80 .//MAD//punct//42
1 Rörelsesocialism och statssocialism;Spänningsfältet//NN|NEU|SIN|DEF|NOM//nsubj//87 medför//VB|PRS|AKT//conj//7 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 syn//NN|UTR|SIN|IND|NOM//obj//87 på//PP//case//92 individens//NN|UTR|SIN|DEF|GEN//nmod:poss//92 myndighet//NN|UTR|SIN|IND|NOM//obl//87 ,//MID//punct//94 egenmakt//NN|UTR|SIN|IND|NOM//conj//92 och//KN//cc//96 inflytande//NN|NEU|SIN|IND|NOM//conj//92 ,//MID//punct//101 och//KN//cc//101 därmed//AB//advmod//101 på//PP//case//101 frågan//NN|UTR|SIN|DEF|NOM//conj//87 om//PP//case//104 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//104 förutsättningar//NN|UTR|PLU|IND|NOM//nmod//101 och//KN//cc//106 former//NN|UTR|PLU|IND|NOM//conj//104 .//MAD//punct//87
1 Rörelsesocialism och statssocialism;Det//DT|NEU|SIN|DEF//det//4 ideologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 och//KN//cc//3 praxeologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//1 spänningsfältet//NN|NEU|SIN|DEF|NOM//ROOT//4 mellan//PP//case//6 rörel-//NN|UTR|-|-|SMS//nmod//4
1 Rörelsesocialism och statssocialism;Dogm//NN|UTR|SIN|IND|NOM//nsubj//21 eller//KN//cc//2 arbetshypotes//NN|UTR|SIN|IND|NOM//conj//0 ?//MID//punct//0
1 Rörelsesocialism och statssocialism;Den//DT|UTR|SIN|DEF//det//6 unge//JJ|POS|MAS|SIN|DEF|NOM//amod//6 Wigforss//PM|GEN//nsubj//21 och//KN//cc//10 det//DT|NEU|SIN|DEF//det//10 socialistiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 samhällsprojektet//NN|NEU|SIN|DEF|NOM//conj//6 (//PAD//punct//10 1997//RG|NOM//nummod//10 )//PAD//punct//10 ,//MID//punct//6 t.ex.//AB|AN//advmod//17 s.//NN|AN//nmod//17 sesocialism//NN|UTR|SIN|IND|NOM//conj//6 och//KN//cc//19 statssocialism//NN|UTR|SIN|IND|NOM//conj//17 är//VB|PRS|AKT//cop//21 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//21 än//KN//case//28 de//DT|UTR/NEU|PLU|DEF//det//27 socialdemokratiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 och//KN//cc//26 kommunistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//24 partiernas//NN|NEU|PLU|DEF|GEN//nmod:poss//28 föreställningsvärldar//NN|UTR|PLU|IND|NOM//obl//21 .//MAD//punct//21
1 Rörelsesocialism och statssocialism;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 omfattar//VB|PRS|AKT//parataxis//21 och//KN//cc//33 präglar//VB|PRS|AKT//conj//31 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36  //_SP////34 arbetarrörelsen//NN|UTR|SIN|DEF|NOM//obj//33 ,//MID//punct//31 dvs.//AB|AN//advmod//42 även//AB//advmod//42 den//DT|UTR|SIN|DEF//det//42 fackliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//42 rörelsen//NN|UTR|SIN|DEF|NOM//appos//31 ,//MID//punct//46 den//DT|UTR|SIN|DEF//det//46 kooperativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 rörelsen//NN|UTR|SIN|DEF|NOM//conj//42 ,//MID//punct//48 syndikalisterna//NN|UTR|PLU|DEF|NOM//conj//42 m.m.//AB|AN//conj//42 Spänningsfältet//NN|NEU|SIN|DEF|NOM//nsubj//51 präglar//VB|PRS|AKT//conj//31 ställningstaganden//NN|NEU|PLU|IND|NOM//obj//51 och//KN//cc//54 åsiktsskillnader//NN|UTR|PLU|IND|NOM//conj//52 inom//PP//case//57  //_SP////55 partier//NN|NEU|PLU|IND|NOM//obl//51 och//KN//cc//59 organisationer//NN|UTR|PLU|IND|NOM//conj//57 ,//MID//punct//63 men//KN//cc//63 också//AB//advmod//63 åsiktsbrytningar//NN|UTR|PLU|IND|NOM//conj//31 mellan//PP//case//66  //_SP////64 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//63 .//MAD//punct//21
1 Rörelsesocialism och statssocialism;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//69 påverkar//VB|PRS|AKT//parataxis//21 också//AB//advmod//69 individerna//NN|UTR|PLU|DEF|NOM//obj//69 .//MAD//punct//69
1 Rörelsesocialism och statssocialism;De//DT|UTR/NEU|PLU|DEF//det//76 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//76 socialistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 aktivister//NN|UTR|PLU|IND|NOM//nsubj//77 grundlägger//VB|PRS|AKT//parataxis//69 sitt//PS|NEU|SIN|DEF//nmod:poss//80 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//80 tänkande//NN|NEU|SIN|IND|NOM//obj//77 på//PP//case//82 basplanet//NN|NEU|SIN|DEF|NOM//nmod//80 ,//MID//punct//88 i//PP//case//88 direktdemokratiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 och//KN//cc//87 närdemokratiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//85 sammanhang//NN|NEU|PLU|IND|NOM//obl//21 .//MAD//punct//21
1 Rörelsesocialism och statssocialism;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//94 kommer//VB|PRS|AKT//aux//94 därmed//AB//advmod//94 att//IE//mark//94 leva//VB|INF|AKT//parataxis//21 sitt//PS|NEU|SIN|DEF//nmod:poss//97 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//97 liv//NN|NEU|SIN|IND|NOM//obj//94 med//PP//case//101 en//DT|UTR|SIN|IND//det//101 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//101 identitet//NN|UTR|SIN|IND|NOM//obl//94 och//KN//cc//103 mentalitet//NN|UTR|SIN|IND|NOM//conj//101 som//HP|-|-|-//nsubj//106 är//VB|PRS|AKT//cop//106 rörelsesocialistisk//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//103 ,//MID//punct//113 trots//PP//mark//113 att//SN//mark//113 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//113 kanske//AB//advmod//113 huvudsakligen//AB//advmod//113 verkar//VB|PRS|AKT//conj//94 praktiskt//AB|POS//advmod//113 i//PP//case//119 ett//DT|NEU|SIN|IND//det//119 statssocialistiskt//JJ|POS|NEU|SIN|IND|NOM//advmod//118 yttre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//119 sammanhang//NN|NEU|SIN|IND|NOM//obl//113 .//MAD//punct//94
1 Rörelsesocialism och statssocialism;(//PAD//punct//132 De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//132 som//HP|-|-|-//nsubj:pass//128 under//PP//case//126 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//126 tid//NN|UTR|SIN|IND|NOM//obl//128 har//VB|PRS|AKT//aux//128 rekryterats//VB|SUP|SFO//acl:relcl//122 direkt//AB|POS//advmod//131 till//PP//case//131 toppen//NN|UTR|SIN|DEF|NOM//obl//128 slipper//VB|PRS|AKT//parataxis//94 förmodligen//AB//advmod//132 denna//DT|UTR|SIN|DEF//det//135 motsättning//NN|UTR|SIN|IND|NOM//obj//132 mellan//PP//case//138 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//138 identitet//NN|UTR|SIN|IND|NOM//nmod//135 och//KN//cc//141 yttre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//141 sammanhang//NN|NEU|PLU|IND|NOM//conj//138 .//MAD//punct//132 )//PAD//punct//132 ”//PAD//punct//145
1 Rörelsesocialism och statssocialism;Rörelsesocialism//NN|UTR|SIN|IND|NOM//appos//94 ”//RG|NOM//punct//145 kallar//VB|PRS|AKT//conj//94 jag//PN|UTR|SIN|DEF|SUB//nsubj//147 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//150 praxis//NN|UTR|SIN|IND|NOM//obj//147 och//KN//cc//153 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//153 idéer//NN|UTR|PLU|IND|NOM//conj//150 i//PP//case//156 arbetarrörelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//156 historia//NN|UTR|SIN|IND|NOM//nmod//153 där//HA//advmod//165 industriarbetarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//165 och//KN//cc//164 det//DT|NEU|SIN|DEF//det//164 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//164 ”//PM|NOM//punct//163 arbetande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//164 folkets//NN|NEU|SIN|DEF|GEN//conj//158 ”//PAD//punct//166 organisering//NN|UTR|SIN|IND|NOM//obl//94  //_SP////166 ses//VB|PRS|SFO//conj//94 som//KN//mark//170 utgångspunkt//NN|UTR|SIN|IND|NOM//xcomp//168 och//KN//cc//172 tyngdpunkt//NN|UTR|SIN|IND|NOM//conj//170 .//MAD//punct//94
1 Rörelsesocialism och statssocialism;Arbetarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//176 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//176 organisering//NN|UTR|SIN|IND|NOM//nsubj:pass//180 och//KN//cc//179 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//179 erfarenheter//NN|UTR|PLU|IND|NOM//conj//176 ses//VB|PRS|SFO//conj//94 som//KN//mark//183 bärande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//183 strukturer//NN|UTR|PLU|IND|NOM//xcomp//180 för//PP//case//187 det//DT|NEU|SIN|DEF//det//187 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//187 samhället//NN|NEU|SIN|DEF|NOM//nmod//183 .//MID//punct//94
1 Rörelsesocialism och statssocialism;De//DT|UTR/NEU|PLU|DEF//det//191 institutionellt–organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//191 lösningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//192 söks//VB|PRS|SFO//conj//94 i//PP//case//196 linje//NN|UTR|SIN|IND|NOM//fixed//193 med//PP//fixed//193 självförvaltning//NN|UTR|SIN|IND|NOM//obl//192 och//KN//cc//198 självorganisering//NN|UTR|SIN|IND|NOM//conj//196 .//MAD//punct//94
1 Rörelsesocialism och statssocialism;Idéer//NN|UTR|PLU|IND|NOM//conj//94 om//PP//case//202 demokrati//NN|UTR|SIN|IND|NOM//nmod//200 och//KN//cc//204 socialism//NN|UTR|SIN|IND|NOM//conj//202 (//PAD//punct//210 som//HP|-|-|-//nsubj//210 ju//AB//advmod//210 inom//PP//case//210 socialistisk//JJ|POS|UTR|SIN|IND|NOM//amod//210 idétradition//NN|UTR|SIN|IND|NOM//conj//202 och//KN//cc//212 språkvärld//NN|UTR|SIN|IND|NOM//conj//210 ofta//AB|POS//advmod//216 är//VB|PRS|AKT//cop//216 samma//DT|UTR/NEU|SIN/PLU|IND//amod//216 sak//NN|UTR|SIN|IND|NOM//conj//94 ,//MID//punct//219 en//DT|UTR|SIN|IND//det//219 aspekt//NN|UTR|SIN|IND|NOM//conj//216 av//PP//case//221 frigörelse//NN|UTR|SIN|IND|NOM//nmod//219 och//KN//cc//223 bemyndigande//NN|NEU|SIN|IND|NOM//conj//221 )//PAD//punct//94 ses//VB|PRS|SFO//conj//94 som//KN//mark//228 rörelsebaserad//PC|PRF|UTR|SIN|IND|NOM//amod//228 direktdemokrati//NN|UTR|SIN|IND|NOM//obl//225 eller//KN//cc//230 närdemokratisk//JJ|POS|UTR|SIN|IND|NOM//conj//228 representativ//JJ|POS|UTR|SIN|IND|NOM//amod//232 demokrati//NN|UTR|SIN|IND|NOM//obj//94 .//MAD//punct//94
