SVEN  -  ERIC LIEDMAN  ,  professor idéhistoria, Göteborg, samtalsledare ;THOMAS//PM|NOM//ROOT//0 ÖSTROS//PM|NOM//nsubj//0  //_SP////1 ,//MID//punct//5  //_SP////3 utbildningsminister//NN|UTR|PLU|IND|NOM//conj//1
Vad är kunskap?;Jag//PN|UTR|SIN|DEF|SUB//nsubj//194 talar//VB|PRS|AKT//conj//169 inte//AB//advmod//194 då//AB//advmod//194 enbart//AB//advmod//194 om//PP//case//201 den//DT|UTR|SIN|DEF//det//201 rena//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//201 nyttan//NN|UTR|SIN|DEF|NOM//obl//194 –//RG|NOM//punct//194 ofta//AB|POS//advmod//204 får//VB|PRS|AKT//conj//2 man//PN|UTR|SIN|IND|SUB//nsubj//204 i//PP//advmod//204 dag//NN|UTR|SIN|IND|NOM//fixed//206 ett//DT|NEU|SIN|IND//det//209 intryck//NN|NEU|SIN|IND|NOM//obj//204 av//PP//mark//214 att//SN//mark//214 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//214 bara//AB//advmod//214 består//VB|PRS|AKT//acl//209 av//PP//case//216 kronor//NN|UTR|PLU|IND|NOM//obl//214 och//KN//cc//218 ören//NN|NEU|PLU|IND|NOM//conj//216 –//RG|NOM//punct//226 utan//PP//mark//226 att//SN//mark//226 man//PN|UTR|SIN|IND|SUB//nsubj//226 över//PP//advmod//226 huvud//NN|NEU|SIN|IND|NOM//fixed//223 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//223 gör//VB|PRS|AKT//conj//204 någonting//PN|NEU|SIN|IND|SUB/OBJ//obj//226 vettigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//226 ,//MID//punct//230 någonting//PN|NEU|SIN|IND|SUB/OBJ//nsubj//231 fruktbart//JJ|POS|NEU|SIN|IND|NOM//xcomp//226 av//PP//case//233 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//231 ,//MID//punct//226 också//AB//advmod//238 för//PP//case//238 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//238 människor//NN|UTR|PLU|IND|NOM//obl//226 .//MAD//punct//2
Vad är kunskap?;Vetandet//NN|NEU|SIN|DEF|NOM//nsubj//1 växer//VB|PRS|AKT//ROOT//1 med//PP//case//4 svindlande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 hastighet//NN|UTR|SIN|IND|NOM//obl//1 .//MAD//punct//1
Vad är kunskap?;Men//KN//cc//10 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//10 inte//AB//advmod//10 bara//AB//advmod//10 växer//VB|PRS|AKT//conj//1 –//RG|NOM//punct//13 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//13 förändras//VB|PRS|SFO//parataxis//10 också//AB//advmod//13 ,//MID//punct//13 fortsätter//VB|PRS|AKT//parataxis//10 han//PN|UTR|SIN|DEF|SUB//nsubj//16 .//MAD//punct//16
Vad är kunskap?;Gårdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 sanning//NN|UTR|SIN|IND|NOM//nsubj//23 är//VB|PRS|AKT//cop//23 inte//AB//advmod//23 dagens//NN|UTR|SIN|DEF|GEN//conj//10 .//MAD//punct//23
Vad är kunskap?;I//PP//case//27 synnerhet//NN|UTR|SIN|IND|NOM//fixed//25 naturvetenskaperna//NN|UTR|PLU|DEF|NOM//obl//28 avkastar//VB|PRS|AKT//conj//1 en//DT|UTR|SIN|IND//det//32 ständigt//AB|POS//advmod//31 växande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 ström//NN|UTR|SIN|IND|NOM//nsubj//28 av//PP//case//34 artiklar//NN|UTR|PLU|IND|NOM//nmod//32 och//KN//cc//36 rapporter//NN|UTR|PLU|IND|NOM//conj//34 .//MAD//punct//1
Vad är kunskap?;"Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//42 är//VB|PRS|AKT//cop//42 inte//AB//advmod//42 längre//AB|KOM//advmod//42 meningsfullt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 att//IE//mark//44 söka//VB|INF|AKT//csubj//42 valla//VB|INF|AKT//obj//44 in//PL//compound:prt//44 denna//PN|UTR|SIN|DEF|SUB/OBJ//det//48 störtﬂod//NN|NEU|SIN|IND|NOM//obj//44 i//PP//case//51 tryckta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//51 bibliograﬁer//NN|UTR|PLU|IND|NOM//obl//44 ;//MID//punct//42"
Vad är kunskap?;bara//AB//advmod//56 med//PP//case//56 elektroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 hjälpmedel//NN|NEU|PLU|IND|NOM//obl//57 går//VB|PRS|AKT//parataxis//42 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//57 fortfarande//AB//advmod//57 att//IE//mark//62 nödtorftigt//AB|POS//advmod//62 överblicka//VB|INF|AKT//advcl//57 vad//HP|NEU|SIN|IND//dislocated//65 som//HP|-|-|-//nsubj:pass//65 offentliggörs//VB|PRS|SFO//ccomp//62 .//MAD//punct//42
Vad är kunskap?;Och//KN//cc//77 den//DT|UTR|SIN|DEF//det//69 diskussion//NN|UTR|SIN|IND|NOM//nsubj//77 som//HP|-|-|-//obj//74 denna//DT|UTR|SIN|DEF//det//73 väldiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 litteratur//NN|UTR|SIN|IND|NOM//nsubj//74 griper//VB|PRS|AKT//acl:relcl//69 in//PL//compound:prt//74 i//PP//case//74 är//VB|PRS|AKT//conj//42 av//PP//case//80 färskt//JJ|POS|NEU|SIN|IND|NOM//amod//80 datum//NN|NEU|SIN|IND|NOM//obl//77 .//MAD//punct//77
Vad är kunskap?;Artiklar//NN|UTR|PLU|IND|NOM//nsubj:pass//85 vars//HS|DEF//nmod:poss//84 teser//NN|UTR|PLU|IND|NOM//nsubj:pass//85 åberopas//VB|PRS|SFO//parataxis//77 eller//KN//cc//87 bestrids//NN|UTR|SIN|IND|GEN//conj//85 är//VB|PRS|AKT//cop//94 på//PP//case//91 sin//PS|UTR|SIN|DEF//nmod:poss//91 höjd//NN|UTR|SIN|IND|NOM//obl//94 några//DT|UTR/NEU|PLU|IND//det//93 år//NN|NEU|PLU|IND|NOM//nmod//94 gammal//JJ|POS|UTR|SIN|IND|NOM//xcomp//85 .//MAD//punct//85
Vad är kunskap?;Lars//PM|NOM//nmod//2 Å//PM|NOM//flat:name//0 Hanson//PM|NOM//nsubj//3 säger//VB|PRS|AKT//ROOT//3 att//SN//mark//8 bara//AB//advmod//8 i//PP//case//8 hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//8 ämne//NN|NEU|SIN|IND|NOM//ccomp//3 (//PAD//punct//8 klinisk//JJ|POS|UTR|SIN|IND|NOM//amod//11 immunologi//NN|UTR|SIN|IND|NOM//appos//8 )//PAD//punct//8 kommer//VB|PRS|AKT//ccomp//3 det//PN|NEU|SIN|DEF|SUB/OBJ//det//16 ny//JJ|POS|UTR|SIN|IND|NOM//amod//16 kunskap//NN|UTR|SIN|IND|NOM//nsubj//13 med//PP//case//21 mer//AB|KOM//advmod//20 än//KN//fixed//18 tusen//RG|NOM//nummod//21 sidor//NN|UTR|PLU|IND|NOM//nmod//16 om//PP//case//23 dagen//NN|UTR|SIN|DEF|NOM//nmod//21 .//MAD//punct//3 –//PAD//punct//30
Vad är kunskap?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//30 här//AB//fixed//26 är//VB|PRS|AKT//cop//30 helt//AB|POS//advmod//30 omöjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//3 att//IE//mark//32 härbärgera//VB|INF|AKT//csubj//30 .//MAD//punct//30
