– en utvärdering och utveckling av modellen med presumtionshyra;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 hyressättning//NN|UTR|SIN|IND|NOM//nmod//2 vid//PP//case//6 nyproduktion//NN|UTR|SIN|IND|NOM//nmod//4
Förteckning över dem som deltagit i utredningens arbete;4.2.4//RG|NOM//parataxis//4 Tillgången//NN|UTR|SIN|DEF|NOM//obj//13 till//PP//case//16 mark//NN|UTR|SIN|IND|NOM//nmod//14 och//KN//cc//21 den//DT|UTR|SIN|DEF//det//20 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 4.2.6//RG|NOM//nmod//21 Arbetskraftskapacitet//NN|NEU|SIN|DEF|NOM//conj//16 och//KN//cc//23 kompetens//NN|UTR|SIN|IND|NOM//conj//21 inom//PP//case//25 5.1.5//RG|NOM//nmod//26 Nyproduktionen//NN|UTR|SIN|DEF|NOM//nmod//14 av//PP//case//28 bostäder//NN|UTR|PLU|IND|NOM//nmod//26 verkar//VB|PRS|AKT//conj//4 inte//AB//advmod//29 räcka//VB|INF|AKT//xcomp//29 6.2//RG|NOM//obj//31 Hur//HA//advmod//37 modellen//NN|UTR|SIN|DEF|NOM//nsubj//37 med//PP//case//36 presumtionshyra//NN|UTR|SIN|IND|NOM//nmod//34 fungerar//VB|PRS|AKT//acl:relcl//32 6.2.2//RG|NOM//nsubj//40 Varför//HA//advmod//40 bygga//VB|INF|AKT//xcomp//37 hyresbostäder//NN|UTR|PLU|IND|NOM//obj//40 framför//PP//case//44 andra//RO|NOM//amod//44 6.2.3//RG|NOM//obl//40 De//DT|UTR/NEU|PLU|DEF//det//47 kollektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 förhandlingarna//NN|UTR|PLU|DEF|NOM//obj//40 om//PP//case//50 6.2.4//RG|NOM//nummod//50 Avkastningskrav//NN|NEU|PLU|IND|NOM//nmod//47 vid//PP//case//52 överenskommelser//NN|UTR|PLU|IND|NOM//nmod//50 om//PP//case//57 6.2.5//RG|NOM//det//57 Hur//HA//advmod//56 vanligt//AB|POS//amod//57 förekommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//52 är//VB|PRS|AKT//cop//60 6.2.7//RG|NOM//amod//60 Prövning//NN|UTR|SIN|IND|NOM//nsubj//101 av//PP//case//62 hyror//NN|UTR|PLU|IND|NOM//nmod//60 för//PP//case//66 nyproducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//65 6.2.8//RG|NOM//nmod//66 För-//NN|UTR|-|-|SMS//nmod//62 och//KN//cc//68 nackdelar//NN|UTR|PLU|IND|NOM//conj//66 med//PP//case//72 den//DT|UTR|SIN|DEF//det//72 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 6.2.9//RG|NOM//nmod//60 Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//74 slutsatser//NN|UTR|PLU|IND|NOM//nmod//72 –//RG|NOM//punct//78 den//DT|UTR|SIN|DEF//det//78 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 modellen//NN|UTR|SIN|DEF|NOM//appos//60 med//PP//case//82 7.2//RG|NOM//nmod//82 Olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 alternativ//NN|NEU|PLU|IND|NOM//nmod//78 för//PP//mark//85 att//IE//mark//85 utveckla//VB|INF|AKT//acl//78 modellen//NN|UTR|SIN|DEF|NOM//obj//85 om//PP//case//90 7.3.1//RG|NOM//nmod//90 Fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//90 möjligheter//NN|UTR|PLU|IND|NOM//nmod//86 att//IE//mark//92 ändra//VB|INF|AKT//acl//90 hyran//NN|UTR|SIN|DEF|NOM//obj//92 under//PP//case//95 7.3.2//RG|NOM//obl//92 Fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//98 nybildade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//98 lägenheter//NN|UTR|PLU|IND|NOM//nsubj//101 ska//VB|PRS|AKT//aux//101 kunna//VB|INF|AKT//aux//101 få//VB|INF|AKT//ROOT//101 8.2//RG|NOM//obj//101 Medling//NN|UTR|SIN|IND|NOM//obj//101 och//KN//cc//105 prövning//NN|UTR|SIN|IND|NOM//conj//103 av//PP//case//107 hyrestvister//NN|UTR|PLU|IND|NOM//nmod//105 inom//PP//case//110 det//DT|NEU|SIN|DEF//det//110 8.3//RG|NOM//obl//101 En//DT|UTR|SIN|IND//det//113 ny//JJ|POS|UTR|SIN|IND|NOM//amod//113 möjlighet//NN|UTR|SIN|IND|NOM//obj//101 till//PP//case//115 medling//NN|UTR|SIN|IND|NOM//nmod//113 av//PP//case//118 kollektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 tvister//NN|UTR|PLU|IND|NOM//nmod//115 enligt//PP//case//121 9.1//RG|NOM//nmod//121 Kraven//NN|NEU|PLU|DEF|NOM//nmod//118 på//PP//case//124 en//DT|UTR|SIN|IND//det//124 konsekvensanalys//NN|UTR|SIN|IND|NOM//nmod//121 och//KN//cc//126 9.3.2//RG|NOM//nmod:poss//128 Allmän//JJ|POS|UTR|SIN|IND|NOM//amod//128 utgångspunkt//NN|UTR|SIN|IND|NOM//conj//113 för//PP//case//131 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//131 förslag//NN|NEU|PLU|IND|NOM//nmod//128 och//KN//cc//135 för//PP//case//134 9.3.3//RG|NOM//amod//135 Förslagen//NN|NEU|PLU|DEF|NOM//conj//128 innebär//VB|PRS|AKT//advcl//101 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//138 konsekvenser//NN|UTR|PLU|IND|NOM//obj//136 för//PP//case//140 9.3.4//RG|NOM//nmod//138 Alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//142 förslag//NN|NEU|PLU|IND|NOM//obj//136 och//KN//cc//144 effekter//NN|UTR|PLU|IND|NOM//conj//142 om//PP//case//147 en//DT|UTR|SIN|IND//det//147 ändrad//PC|PRF|UTR|SIN|IND|NOM//obl//136


1.1 Förslag till lag om ändring i jordabalken;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//14 12//RG|NOM//nummod//4 kap.//NN|AN//nmod//5 55//RG|NOM//nummod//6 a//NN|NEU|SIN|IND|NOM//nsubj//14 och//KN//cc//6 55//RG|NOM//conj//6 c//NN|NEU|SIN|IND|NOM//case//12 §//NN|AN//nmod//11 §//NN|AN//nmod//12 jordabalken//NN|UTR|SIN|DEF|NOM//nmod//6 ska//VB|PRS|AKT//aux//14 ha//VB|INF|AKT//dep//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 lydelse//NN|UTR|SIN|IND|NOM//obj//14 .//MAD//punct//1
1.1 Förslag till lag om ändring i jordabalken;Nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 lydelse//NN|UTR|SIN|IND|NOM//nmod//3 Föreslagen//PC|PRF|UTR|SIN|IND|NOM//amod//3 lydelse//NN|UTR|SIN|IND|NOM//ROOT//3

1.1 Förslag till lag om ändring i jordabalken / 12 kap.;55//RG|NOM//discourse//8 a//NN|NEU|SIN|IND|NOM//case//3 §//NN|AN//nmod//3 1//RG|NOM//nmod//0 .//MAD//punct//0
1.1 Förslag till lag om ändring i jordabalken / 12 kap.;godkännande//NN|NEU|SIN|IND|NOM//nsubj:pass//8 eller//KN//cc//7 tillstånd//NN|NEU|SIN|IND|NOM//conj//5 krävdes//VB|PRT|SFO//ROOT//8 för//PP//mark//14 att//SN//mark//14 åtgärden//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 skulle//VB|PRT|AKT//aux//14 få//VB|INF|AKT//aux//14 vidtas//VB|INF|SFO//advcl//8 och//KN//cc//22 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//22 godkännande//NN|NEU|SIN|IND|NOM//nsubj:pass//22 eller//KN//cc//19 tillstånd//NN|NEU|SIN|IND|NOM//conj//17 inte//AB//advmod//22 har//VB|PRS|AKT//aux//22 lämnats//VB|SUP|SFO//conj//14 ,//MID//punct//22 2//RG|NOM//nummod//8 .//MAD//punct//8
1.1 Förslag till lag om ändring i jordabalken / 12 kap.;lägenheten//NN|UTR|SIN|DEF|NOM//nsubj//28 är//VB|PRS|AKT//cop//28 upplåten//PC|PRF|UTR|SIN|IND|NOM//parataxis//8 till//PP//case//31 den//DT|UTR|SIN|DEF//det//31 hyresgäst//NN|UTR|SIN|IND|NOM//obl//28 som//HP|-|-|-//nsubj//34 skulle//VB|PRT|AKT//aux//34 ha//VB|INF|AKT//acl:relcl//31 godkänt//VB|SUP|AKT//amod//36 åtgärden//NN|UTR|SIN|DEF|NOM//obj//34 eller//KN//cc//40 till//PP//case//40 en//DT|UTR|SIN|IND//det//40 hyresgäst//NN|UTR|SIN|IND|NOM//conj//36 som//HP|-|-|-//nsubj//43 har//VB|PRS|AKT//aux//43 övertagit//VB|SUP|AKT//acl:relcl//40 hyresrätten//NN|UTR|SIN|DEF|NOM//obj//43 från//PP//case//46 denne//PN|MAS|SIN|DEF|SUB/OBJ//nmod//44 enligt//PP//case//49 33//RG|NOM//nummod//49 §//NN|AN//nmod//51 andra//RO|NOM//amod//51 stycket//NN|NEU|SIN|DEF|NOM//obl//43 ,//MID//punct//51 34//RG|NOM//nummod//54 §//NN|AN//appos//51 eller//KN//cc//57 47//RG|NOM//nummod//57 §//NN|AN//nmod//59 andra//RO|NOM//amod//59 stycket//NN|NEU|SIN|DEF|NOM//obl//43 ,//MID//punct//28 och//KN//cc//72 3//RG|NOM//discourse//72 .//MID//punct//62
1.1 Förslag till lag om ändring i jordabalken / 12 kap.;det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//72 vid//PP//case//66 tidpunkten//NN|UTR|SIN|DEF|NOM//nmod//64 för//PP//case//68 ändringen//NN|UTR|SIN|DEF|NOM//nmod//66 av//PP//case//70 hyran//NN|UTR|SIN|DEF|NOM//nmod//68 har//VB|PRS|AKT//aux//72 förflutit//VB|SUP|AKT//conj//28 högst//AB|SUV//advmod//74 fem//RG|NOM//nummod//75 år//NN|NEU|PLU|IND|NOM//obl//72 sedan//SN//mark//78 åtgärden//NN|UTR|SIN|DEF|NOM//nsubj:pass//78 slutfördes//VB|PRT|SFO//advcl//72 .//MAD//punct//8
