Sammanfattning av uppdraget (1);En//DT|UTR|SIN|IND//det//2 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 kommitté//NN|UTR|SIN|IND|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 följa//VB|INF|AKT//ROOT//4 den//DT|UTR|SIN|DEF//det//7 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//4 i//PP//case//9 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//7 .//MAD//punct//4
1991 och 1992 års beslut om reformeringen av gymnasieskolan;Redan//AB//advmod//68 föregående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 år//NN|NEU|SIN|IND|NOM//obl//69 började//VB|PRT|AKT//conj//39 ett//DT|NEU|SIN|IND//det//71 anta//VB|INF|AKT//xcomp//69 l//NN|NEU|SIN|IND|NOM//nmod//73 kommuner//NN|UTR|PLU|IND|NOM//obj//71 planera//VB|INF|AKT//xcomp//71 och//KN//cc//80 i//PP//case//78 några//DT|UTR/NEU|PLU|IND//det//78 fall//NN|NEU|PLU|IND|NOM//obl//80 även//AB//advmod//80 införa//VB|INF|AKT//conj//74 en//DT|UTR|SIN|IND//det//83 s.k.//AB|AN//amod//83 kursutforma//NN|UTR|SIN|IND|NOM//obj//80 d//NN|NEU|SIN|IND|NOM//case//85 gymnasieskola//NN|UTR|SIN|IND|NOM//obl//80 .//MAD//punct//12

1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;Genom//PP//case//2 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 beslut//NN|NEU|SIN|IND|NOM//obl//39 med//PP//case//4 anledning//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 förslagen//NN|NEU|PLU|DEF|NOM//nmod//4 i//PP//case//8 propositionen//NN|UTR|SIN|DEF|NOM//nmod//6 En//DT|UTR|SIN|IND//det//11 ny//JJ|POS|UTR|SIN|IND|NOM//amod//11 läroplan//NN|UTR|SIN|IND|NOM//nmod//2 och//KN//cc//15 ett//DT|NEU|SIN|IND//det//15 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//15 betygssystem//NN|NEU|SIN|IND|NOM//conj//11 för//PP//case//17 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//15 ,//MID//punct//19 komvux//PM|NOM//conj//17 ,//MID//punct//21 gymnasiesärskolan//NN|UTR|SIN|DEF|NOM//conj//17 och//KN//cc//23 särvux//NN|UTR|SIN|IND|NOM//conj//17 (//PAD//punct//11 prop//NN|UTR|SIN|IND|NOM//appos//11 .//MAD//punct//2
1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;1992/93:250//RG|NOM//nmod//2 ,//MID//punct//29 bet//VB|PRT|AKT//conj//27 .//MAD//punct//27
1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;1993/94//RG|NOM//conj//2 ://MID//punct//31
1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;UbU2//PM|NOM//appos//31 ,//MID//punct//35 rskr//PM|NOM//conj//33 .//MID//punct//33
1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;1993/94:93//RG|NOM//conj//33 )//PAD//punct//33 ökar//VB|PRS|AKT//advcl//97 föruts//NN|UTR|SIN|IND|NOM//amod//41 ättningarna//NN|UTR|PLU|DEF|NOM//nsubj//39 för//PP//case//43 kommunerna//NN|UTR|PLU|DEF|NOM//nmod//41 att//IE//mark//45 göra//VB|INF|AKT//acl//43 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//47 gymnasieskolor//NN|UTR|PLU|IND|NOM//obj//45 mer//AB|KOM//advmod//49 kursutformade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//45 inom//PP//case//52 programmens//NN|NEU|PLU|DEF|GEN//nmod:poss//52 ram//NN|UTR|SIN|IND|NOM//obl//49 .//MAD//punct//39
1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;Specialutformade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//55 program//NN|NEU|PLU|IND|NOM//nsubj:pass//57 kan//VB|PRS|AKT//aux//57 sättas//VB|INF|SFO//parataxis//39 samman//PL//compound:prt//57 av//PP//case//60 kommunen//NN|UTR|SIN|DEF|NOM//obl:agent//57 eller//KN//cc//64 den//DT|UTR|SIN|DEF//det//64 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 eleven//NN|UTR|SIN|DEF|NOM//conj//60 genom//PP//case//66 val//NN|NEU|SIN|IND|NOM//obl//57 av//PP//case//68 kurser//NN|UTR|PLU|IND|NOM//nmod//66 i//PP//case//71 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 kombinationer//NN|UTR|PLU|IND|NOM//nmod//68 än//KN//mark//74 i//PP//case//74 vart//PN|NEU|SIN|IND|SUB/OBJ//nmod//71 och//KN//fixed//74 ett//PN|NEU|SIN|IND|SUB/OBJ//fixed//74 av//PP//case//80 de//DT|UTR/NEU|PLU|DEF//det//80 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 programmen//NN|NEU|PLU|DEF|NOM//nmod//74 .//MAD//punct//57
1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;De//DT|UTR/NEU|PLU|DEF//det//84 åtta//RG|NOM//nummod//84 kärnämnena//NN|NEU|PLU|DEF|NOM//nsubj//85 ingår//VB|PRS|AKT//parataxis//57 dock//AB//advmod//85 alltid//AB//advmod//85 .//MAD//punct//57
1993 års beslut om möjligheterna att införa en mer kursutformad gymnasieskola;I//PP//case//93 den//DT|UTR|SIN|DEF//det//93 kursutformad//PC|PRF|UTR|SIN|IND|NOM//amod//93 e//PP//nummod//93 gymnasieskolan//NN|UTR|SIN|DEF|NOM//obl//39 är//VB|PRS|AKT//cop//97 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//97 vidare//AB|KOM//advmod//97 möjligt//JJ|POS|NEU|SIN|IND|NOM//ROOT//97 att//IE//mark//100 slut//AB|POS//nsubj//100 föra//VB|INF|AKT//csubj//97 ett//DT|NEU|SIN|IND//det//104 normalt//AB|POS//advmod//103 treårigt//JJ|POS|NEU|SIN|IND|NOM//amod//104 program//NN|NEU|SIN|IND|NOM//obj//100 på//PP//case//109 kortare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//109 eller//KN//cc//108 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//106 tid//NN|UTR|SIN|IND|NOM//obl//100 än//KN//case//112 tre//RG|NOM//nummod//112 år//NN|NEU|PLU|IND|NOM//acl//109 .//MAD//punct//97
