
Pågående förstudier Avslutade förstudier;-//MID//punct//4 Nej//IN//cc//4 till//PP//case//4 fortsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 undersökningar//NN|UTR|PLU|IND|NOM//ROOT//4

Förord;I//PP//case//1 maj//NN|UTR|SIN|IND|NOM//obl//3 1996//RG|NOM//nummod//1 fick//VB|PRT|AKT//ROOT//3 jag//PN|UTR|SIN|DEF|SUB//nsubj//3 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 uppdrag//NN|NEU|SIN|IND|NOM//obj//3 att//IE//mark//16 fram//AB//advmod//16 till//PP//case//12 den//DT|UTR|SIN|DEF//det//12 30//RG|NOM//nummod//12 juni//NN|UTR|SIN|IND|NOM//obl//8 1999//RG|NOM//nummod//12 vara//VB|INF|AKT//cop//16 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//16 samordnare//NN|UTR|SIN|IND|NOM//acl//6 på//PP//case//18 kärnavfallsområdet//NN|NEU|SIN|DEF|NOM//nmod//16 .//MAD//punct//3
Förord;"Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//21 innebär//VB|PRS|AKT//parataxis//3 ""//PAD//punct//24 att//IE//mark//24 främja//VB|INF|AKT//csubj//46 samordningen//NN|UTR|SIN|DEF|NOM//obj//24 av//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 informations-//NN|UTR|-|-|SMS//nmod//25 och//KN//cc//30 utredningsinsatser//NN|UTR|PLU|IND|NOM//conj//28 som//KN//mark//33 kommuner//NN|UTR|PLU|IND|NOM//nsubj//33 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//25 av//PP//case//35 SKB//PM|NOM//nmod//33 ://MID//punct//24 s//NN|AN//nummod//38 studier//NN|UTR|PLU|IND|NOM//nmod//40 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 lokalisering//NN|UTR|SIN|IND|NOM//obj//24 av//PP//case//43 använt//PC|PRF|NEU|SIN|IND|NOM//amod//43 kärnbränsle//NN|NEU|SIN|IND|NOM//nmod//40 och//KN//cc//45 kärnavfall//NN|NEU|SIN|IND|NOM//conj//43 finner//VB|PRS|AKT//ccomp//21 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//46 ""//PAD//punct//46 .//MAD//punct//46"
Förord;Vad//HP|NEU|SIN|IND//nsubj//55 som//HP|-|-|-//nsubj:pass//52 åsyftas//VB|PRS|SFO//acl:relcl//50 är//VB|PRS|AKT//cop//55 de//DT|UTR/NEU|PLU|DEF//det//55 förstudier//NN|NEU|PLU|IND|NOM//xcomp//46 som//HP|-|-|-//nsubj:pass//57 bedrivs//VB|PRS|SFO//acl:relcl//55 av//PP//case//60 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//60 Kärnbränslehantering//NN|UTR|SIN|IND|NOM//obl:agent//57 AB//PM|NOM//nmod//60 (//PAD//punct//60 SKB//PM|NOM//appos//60 )//PAD//punct//60 ,//MID//punct//66 ett//PN|NEU|SIN|IND|SUB/OBJ//conj//55 av//PP//case//68 kärnkraftsföretagen//NN|NEU|PLU|DEF|NOM//nmod//66 samägt//NN|NEU|SIN|IND|NOM//amod//70 bolag//NN|NEU|PLU|IND|NOM//nmod//66 .//MID//punct//55
Förord;Dessa//DT|UTR/NEU|PLU|DEF//det//73 förstudier//NN|NEU|PLU|IND|NOM//nsubj//74 utgör//VB|PRS|AKT//conj//46 ett//DT|NEU|SIN|IND//det//76 led//NN|NEU|SIN|IND|NOM//xcomp//74 i//PP//case//79 en//DT|UTR|SIN|IND//det//79 process//NN|UTR|SIN|IND|NOM//obl//76 som//HP|-|-|-//nsubj//82 skall//VB|PRS|AKT//aux//82 leda//VB|INF|AKT//acl:relcl//79 fram//AB//advmod//82 till//PP//case//85 valet//NN|NEU|SIN|DEF|NOM//obl//82 av//PP//case//88 en//DT|UTR|SIN|IND//det//88 plats//NN|UTR|SIN|IND|NOM//nmod//85 för//PP//case//90 slutförvaring//NN|UTR|SIN|IND|NOM//nmod//88 av//PP//case//92 det//DT|NEU|SIN|DEF//nmod//90 använda//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//74 bränslet//NN|NEU|SIN|DEF|NOM//obj//93 från//PP//case//97 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 kärnkraftsreaktorer//NN|UTR|PLU|IND|NOM//nmod//94 och//KN//cc//101 annat//JJ|POS|NEU|SIN|IND|NOM//amod//101 högaktivt//JJ|POS|NEU|SIN|IND|NOM//amod//101 avfall//NN|NEU|SIN|IND|NOM//conj//97 .//MAD//punct//46
Förord;Sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//1 förstudier//NN|UTR|PLU|IND|NOM//nsubj//2 pågår//VB|PRS|AKT//ROOT//2 i//PP//case//5 fyra//RG|NOM//nummod//5 kommuner//NN|UTR|PLU|IND|NOM//obl//2 (//PAD//punct//5 Nyköping//PM|NOM//appos//5 ,//MID//punct//9 Oskarshamn//PM|NOM//conj//7 ,//MID//punct//11 Tierp//PM|NOM//conj//7 och//KN//cc//13 Ö//PM|NOM//conj//7 sthammar//NN|UTR|PLU|IND|NOM//conj//7 )//PAD//punct//5 .//MAD//punct//18
Förord;Två//RG|NOM//nummod//18 kommuner//NN|UTR|PLU|IND|NOM//conj//2 (//PAD//punct//18 Malå//PM|NOM//appos//18 och//KN//cc//22 Storuman//PM|NOM//conj//20 )//PAD//punct//18 har//VB|PRS|AKT//aux//26 tidigare//AB|KOM//advmod//26 låtit//VB|SUP|AKT//conj//2 SKB//PM|NOM//obj//26 göra//VB|INF|AKT//xcomp//26 förstudier//NN|NEU|PLU|IND|NOM//obj//28 ,//MID//punct//38 men//KN//cc//38 efter//PP//case//34 rådgivande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 folkomröstningar//NN|UTR|PLU|IND|NOM//obl//38 har//VB|PRS|AKT//aux//38 dessa//DT|UTR/NEU|PLU|DEF//det//37 kommuner//NN|UTR|PLU|IND|NOM//nsubj//38 beslutat//VB|SUP|AKT//conj//26 att//SN//mark//44 SKB//PM|NOM//nsubj//44 inte//AB//advmod//44 skall//VB|PRS|AKT//aux//44 få//VB|INF|AKT//aux//44 fortsätta//VB|INF|AKT//ccomp//38 verksamheten//NN|UTR|SIN|DEF|NOM//obj//44 inom//PP//case//48 respektive//AB//amod//48 kommun//NN|UTR|SIN|IND|NOM//obl//44 .//MID//punct//2
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//51 finns//VB|PRS|SFO//parataxis//2 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 kommuner//NN|UTR|PLU|IND|NOM//nsubj//51 där//HA//advmod//63 frågan//NN|UTR|SIN|DEF|NOM//nsubj//63 om//PP//mark//58 att//IE//mark//58 låta//VB|INF|AKT//acl//55 SKB//PM|NOM//obj//58 göra//VB|INF|AKT//xcomp//58 förstudier//NN|NEU|PLU|IND|NOM//obj//60 kan//VB|PRS|AKT//aux//63 få//VB|INF|AKT//acl:relcl//53 aktualitet//NN|UTR|SIN|IND|NOM//obj//63 .//MAD//punct//51
Förord;Vid//PP//case//1 kontakter//NN|UTR|PLU|IND|NOM//obl//12 med//PP//case//3 företrädare//NN|UTR|PLU|IND|NOM//nmod//1 för//PP//case//5 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//3 av//PP//case//9 de//DT|UTR/NEU|PLU|DEF//det//9 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//9 kommunerna//NN|UTR|PLU|DEF|NOM//nmod//5 har//VB|PRS|AKT//aux//12 jag//PN|UTR|SIN|DEF|SUB//nsubj//12 funnit//VB|SUP|AKT//ROOT//12 att//SN//mark//15 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 finns//VB|PRS|SFO//ccomp//12 ett//DT|NEU|SIN|IND//det//17 behov//NN|NEU|SIN|IND|NOM//nsubj//15 av//PP//case//20 översiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//20 information//NN|UTR|SIN|IND|NOM//nmod//17 på//PP//case//22 området//NN|NEU|SIN|DEF|NOM//nmod//20 .//MID//punct//12
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 är//VB|PRS|AKT//cop//29 framför//PP//case//29 allt//PN|NEU|SIN|IND|SUB/OBJ//advmod//28 två//RG|NOM//nummod//29 slag//NN|NEU|PLU|IND|NOM//parataxis//12 av//PP//case//31 frågor//NN|UTR|PLU|IND|NOM//nmod//29 som//HP|-|-|-//nsubj:pass//34 behöver//VB|PRS|AKT//aux//34 belysas//VB|INF|SFO//acl:relcl//31 .//MAD//punct//29
