Rapport från en hearing den 3 oktober 2000;Av//PP//case//1 Björn//PM|NOM//ROOT//1 Jerkert//PM|NOM//flat//1 och//KN//cc//4 Jörgen//PM|NOM//conj//1 Mark-Nielsen//PM|NOM//flat:name//4

2.5 Ungdomars valdeltagande;Ungdomars//NN|UTR|PLU|IND|GEN//nmod:poss//1 valdeltagande//NN|NEU|SIN|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 generellt//AB|POS//advmod//4 sett//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//4 än//KN//case//8 för//PP//case//8 befolkningen//NN|UTR|SIN|DEF|NOM//obl//4 i//PP//case//10 genomsnitt//NN|NEU|SIN|IND|NOM//nmod//8 .//MAD//punct//4
2.5 Ungdomars valdeltagande;Skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//15 är//VB|PRS|AKT//cop//15 ännu//AB//advmod//15 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//4 i//PP//case//17 kommunal-//NN|UTR|-|-|SMS//nmod//15 och//KN//cc//19 landstingsvalen//NN|NEU|PLU|DEF|NOM//conj//17 än//KN//advmod//22 i//PP//case//22 riksdagsvalet//NN|NEU|SIN|DEF|NOM//nmod//19 .//MAD//punct//4
2.5 Ungdomars valdeltagande;Vilka//HD|UTR/NEU|PLU|IND//det//25 orsaker//NN|UTR|PLU|IND|NOM//obj//28 kan//VB|PRS|AKT//aux//28 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 finnas//VB|INF|SFO//parataxis//4 till//PP//case//32 det//DT|NEU|SIN|DEF//det//32 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 valdeltagandet//NN|NEU|SIN|DEF|NOM//obl//28 ?//MID//punct//4
2.5 Ungdomars valdeltagande;Vad//HP|NEU|SIN|IND//nsubj:pass//36 kan//VB|PRS|AKT//aux//36 göras//VB|INF|SFO//parataxis//4 för//PP//mark//39 att//IE//mark//39 öka//VB|INF|AKT//advcl//36 ungdomarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//41 deltagande//NN|NEU|SIN|IND|NOM//obj//39 i//PP//case//43 kommunal-//NN|UTR|-|-|SMS//obl//39 och//KN//cc//45 landstingsvalen//NN|NEU|PLU|DEF|NOM//conj//43 ?//MAD//punct//4


3.1 Centerpartiets ungdomsförbund;Centerpartiets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 ungdomsförbund//NN|NEU|SIN|IND|NOM//nsubj:pass//5 (//PAD//punct//1 CUF//PM|NOM//appos//1 )//PAD//punct//1 representerades//VB|PRT|SFO//ROOT//5 av//PP//case//7 Ingrid//PM|NOM//obl:agent//5 Larsson//PM|NOM//flat//7 ,//MID//punct//11 som//HP|-|-|-//nsubj//11 sitter//VB|PRS|AKT//acl:relcl//7 i//PP//case//13 förbundsstyrelsen//NN|UTR|SIN|DEF|NOM//obl//11 ,//MID//punct//21 och//KN//cc//21 Kristin//PM|NOM//nsubj//21 Oretorp//PM|NOM//flat//16 .//MAD//punct//16
3.1 Centerpartiets ungdomsförbund;Båda//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//21 är//VB|PRS|AKT//cop//21 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//5 i//PP//case//23 kommunpolitiken//NN|UTR|SIN|DEF|NOM//nmod//21 i//PP//case//25 Kungälv//PM|NOM//nmod//23 respektive//AB//cc//27 Strängnäs//PM|NOM//conj//25 .//MAD//punct//5
3.1 Centerpartiets ungdomsförbund;CUF//PM|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 ungefär//AB//advmod//3 5//RG|NOM//nummod//5 300//RG|NOM//nummod//5 medlemmar//NN|UTR|PLU|IND|NOM//obj//1 ,//MID//punct//5 en//DT|UTR|SIN|IND//det//8 siffra//NN|UTR|SIN|IND|NOM//appos//5 som//HP|-|-|-//nsubj//12 stadigt//AB|POS//advmod//12 har//VB|PRS|AKT//aux//12 minskat//VB|SUP|AKT//acl:relcl//8 på//PP//case//15 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 år//NN|NEU|PLU|IND|NOM//obl//12 .//MAD//punct//1
3.1 Centerpartiets ungdomsförbund;De//DT|UTR/NEU|PLU|DEF//det//2 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 representanterna//NN|UTR|PLU|DEF|NOM//nsubj//3 såg//VB|PRT|AKT//ROOT//3 en//DT|UTR|SIN|IND//det//6 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//6 skoldemokrati//NN|UTR|SIN|IND|NOM//obj//3 som//KN//case//9 ett//DT|NEU|SIN|IND//det//9 sätt//NN|NEU|SIN|IND|NOM//obl//3 att//IE//mark//11 öka//VB|INF|AKT//acl//9 ungdomars//NN|UTR|PLU|IND|GEN//nmod:poss//13 intresse//NN|NEU|SIN|IND|NOM//obj//11 för//PP//mark//16 att//IE//mark//16 delta//VB|INF|AKT//advcl//11 i//PP//case//18 kommunalpolitiken//NN|UTR|SIN|DEF|NOM//obl//16 .//MAD//punct//3
3.1 Centerpartiets ungdomsförbund;Genom//PP//mark//22 att//IE//mark//22 få//VB|INF|AKT//advcl//28 ett//DT|NEU|SIN|IND//det//25 reellt//JJ|POS|NEU|SIN|IND|NOM//amod//25 ansvar//NN|NEU|SIN|IND|NOM//obj//22 och//KN//cc//27 medbestämmande//NN|NEU|SIN|IND|NOM//conj//25 ökar//VB|PRS|AKT//parataxis//3 förståelsen//NN|UTR|SIN|DEF|NOM//nsubj//28 för//PP//case//31 demokratin//NN|UTR|SIN|DEF|NOM//nmod//29 och//KN//cc//33 insikten//NN|UTR|SIN|DEF|NOM//conj//31 om//PP//mark//37 att//SN//mark//37 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//37 går//VB|PRS|AKT//advcl//28 att//IE//mark//39 påverka//VB|INF|AKT//xcomp//37 .//MAD//punct//28
3.1 Centerpartiets ungdomsförbund;De//DT|UTR/NEU|PLU|DEF//det//42 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//43 får//VB|PRS|AKT//parataxis//28 i//PP//advmod//43 dag//NN|UTR|SIN|IND|NOM//fixed//44 alltför//AB//advmod//47 lite//AB|POS//advmod//48 öva//VB|INF|AKT//xcomp//43 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//48 i//PP//mark//53 att//IE//mark//53 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//53 ordna//VB|INF|AKT//advcl//48 saker//NN|UTR|PLU|IND|NOM//obj//53 och//KN//cc//56 ting//NN|NEU|PLU|IND|NOM//conj//54 och//KN//cc//58 vet//VB|PRS|AKT//conj//43 därför//AB//advmod//58 inte//AB//advmod//58 riktigt//AB//advmod//58 hur//HA//advmod//64 man//PN|UTR|SIN|IND|SUB//nsubj//64 gör//VB|PRS|AKT//ccomp//58 .//MAD//punct//28
3.1 Centerpartiets ungdomsförbund;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//67 förses//VB|PRS|SFO//parataxis//28 med//PP//case//70 färdiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 lösningar//NN|UTR|PLU|IND|NOM//obl//67 av//PP//case//73 de//DT|UTR/NEU|PLU|DEF//det//73 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//70 som//HP|-|-|-//nsubj//78 uppenbarligen//AB//advmod//78 inte//AB//advmod//78 riktigt//AB//advmod//78 litar//VB|PRS|AKT//acl:relcl//73 på//PP//case//80 ungdomarna//NN|UTR|PLU|DEF|NOM//obl//78 .//MAD//punct//3
3.1 Centerpartiets ungdomsförbund;Ungdomarna//NN|UTR|PLU|DEF|NOM//nsubj//6 skulle//VB|PRT|AKT//aux//6 i//PP//advmod//6 stället//NN|NEU|SIN|DEF|NOM//fixed//2 behöva//VB|INF|AKT//fixed//2 vara//VB|INF|AKT//cop//6 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//6 med//PP//compound:prt//6 i//PP//case//9 driften//NN|UTR|SIN|DEF|NOM//obl//6 av//PP//case//12 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 verksamheter//NN|UTR|PLU|IND|NOM//nmod//9 och//KN//cc//14 börja//VB|INF|AKT//conj//6 se//VB|INF|AKT//xcomp//14 det//DT|NEU|SIN|DEF//det//17 deltagandet//NN|NEU|SIN|DEF|NOM//obj//15 som//KN//case//21 en//DT|UTR|SIN|IND//det//21 naturlig//JJ|POS|UTR|SIN|IND|NOM//amod//21 del//NN|UTR|SIN|IND|NOM//nmod//17 av//PP//case//23 vardagen//NN|UTR|SIN|DEF|NOM//nmod//21 ,//MID//punct//6 ansåg//VB|PRT|AKT//parataxis//6 CUF//PM|NOM//nsubj//25 .//MAD//punct//6
