Välfärdsverksamhet för sjömän;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Sjömansserviceutredningen//NN|UTR|SIN|DEF|NOM//nmod//0

1.1 Bakgrund;Genom//PP//case//2 sin//PS|UTR|SIN|DEF//nmod:poss//2 anslutning//NN|UTR|SIN|IND|NOM//obl//8 till//PP//case//5 Nationernas//NN|UTR|PLU|DEF|GEN//nmod:poss//5 förbund//NN|NEU|SIN|IND|NOM//nmod//2 år//NN|NEU|SIN|IND|NOM//nmod//7 1920//RG|NOM//nmod//2 inträdde//VB|PRT|AKT//ROOT//8 Sverige//PM|NOM//obj//8 som//KN//mark//11 medlem//NN|UTR|SIN|IND|NOM//acl//9 av//PP//case//14 Internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 arbetsorganisationen//NN|UTR|SIN|DEF|NOM//nmod//11 (//PAD//punct//16 ILO//PM|NOM//appos//9 )//PAD//punct//16 .//MAD//punct//8
1.1 Bakgrund;ILO//PM|NOM//nsubj//25 ://MID//punct//0 s//PP//nummod//4 beslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 församling//NN|UTR|SIN|IND|NOM//appos//0 –//PAD//punct//4 Internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 arbetskonferensensammanträder//NN|UTR|PLU|IND|NOM//appos//4 i//PP//nmod//7 regel//NN|UTR|SIN|IND|NOM//fixed//8 en//RG|UTR|SIN|IND|NOM//det//11 gång//NN|UTR|SIN|IND|NOM//nmod//7 per//PP//case//13 år//NN|NEU|SIN|IND|NOM//nmod//11 .//MAD//punct//4
1.1 Bakgrund;Beträffande//PP//amod//16 förslag//NN|NEU|SIN|IND|NOM//appos//4 som//HP|-|-|-//nsubj:pass//18 förts//VB|SUP|SFO//acl:relcl//16 upp//PL//compound:prt//18 på//PP//case//22 mötets//NN|NEU|SIN|DEF|GEN//nmod:poss//22 dagordning//NN|UTR|SIN|IND|NOM//obl//18 kan//VB|PRS|AKT//aux//25 arbetskonferensen//NN|UTR|SIN|DEF|NOM//nsubj//25 besluta//VB|INF|AKT//ROOT//25 antingen//KN//cc//30 om//PP//case//30 en//DT|UTR|SIN|IND//det//30 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//30 konvention//NN|UTR|SIN|IND|NOM//obj//25 ,//MID//punct//30 avsedd//PC|PRF|UTR|SIN|IND|NOM//acl//30 att//IE//mark//34 ratificeras//VB|INF|SFO//acl//30 av//PP//case//37 organisationens//NN|UTR|SIN|DEF|GEN//nmod:poss//37 medlemmar//NN|UTR|PLU|IND|NOM//obl:agent//34 ,//MID//punct//42 eller//KN//cc//42 om//PP//case//42 en//DT|UTR|SIN|IND//det//42 rekommendation//NN|UTR|SIN|IND|NOM//conj//25 ,//MID//punct//42 avsedd//PC|PRF|UTR|SIN|IND|NOM//acl//42 att//IE//mark//46 övervägas//VB|INF|SFO//acl//42 vid//PP//case//48 lagstiftning//NN|UTR|SIN|IND|NOM//obl//46 eller//KN//cc//52 på//PP//case//52 annat//JJ|POS|NEU|SIN|IND|NOM//amod//52 sätt//NN|NEU|SIN|IND|NOM//conj//48 men//KN//cc//57 utan//PP//case//57 den//DT|UTR|SIN|DEF//det//57 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//57 karaktär//NN|UTR|SIN|IND|NOM//conj//46 som//KN//obj//62 en//DT|UTR|SIN|IND//det//61 ratificerad//PC|PRF|UTR|SIN|IND|NOM//amod//61 konvention//NN|UTR|SIN|IND|NOM//nsubj//62 har//VB|PRS|AKT//acl:relcl//57 .//MAD//punct//25
1.1 Bakgrund;Om//SN//mark//66 beslutet//NN|NEU|SIN|DEF|NOM//nsubj//66 är//VB|PRS|AKT//advcl//85 av//PP//case//69 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 räckvidd//NN|UTR|SIN|IND|NOM//obl//66 eller//KN//cc//74 huvudsakligen//AB//advmod//74 av//PP//case//74 formell//JJ|POS|UTR|SIN|IND|NOM//amod//74 innebörd//NN|UTR|SIN|IND|NOM//conj//69 ,//MID//punct//66 t.ex.//AB|AN//advmod//79 då//HA//advmod//79 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//79 gäller//VB|PRS|AKT//appos//66 en//DT|UTR|SIN|IND//det//81 begäran//NN|UTR|SIN|IND|NOM//obj//79 om//PP//case//83 utredning//NN|UTR|SIN|IND|NOM//nmod//81 ,//MID//punct//85 brukar//VB|PRS|AKT//ccomp//25 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//85 ges//VB|INF|SFO//xcomp//85 formen//NN|UTR|SIN|DEF|NOM//nsubj:pass//87 av//PP//case//91 en//DT|UTR|SIN|IND//det//91 resolution//NN|UTR|SIN|IND|NOM//nmod//88 .//MAD//punct//85
1.1 Bakgrund;I//PP//case//98 några//DT|UTR/NEU|PLU|IND//det//98 få//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//98 principiellt//AB|POS//advmod//97 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 frågor//NN|UTR|PLU|IND|NOM//obl//101 har//VB|PRS|AKT//aux//101 beslut//NN|NEU|PLU|IND|NOM//nsubj:pass//101 fattats//VB|SUP|SFO//conj//25 om//PP//case//104 en//DT|UTR|SIN|IND//det//104 deklaration//NN|UTR|SIN|IND|NOM//obl//101 .//MAD//punct//25
1.1 Bakgrund;Vid//PP//case//4 Internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 arbetskonferensens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 sjuttiofjärde//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//4 möte//NN|NEU|SIN|IND|NOM//obl//13 (//PAD//punct//4 tionde//RO|NOM//amod//7 sjöfartssessionen//NN|UTR|SIN|DEF|NOM//appos//4 )//PAD//punct//4 i//PP//case//10 Genève//PM|NOM//obl//13 hösten//NN|UTR|SIN|DEF|NOM//nmod//10 1987//RG|NOM//nummod//11 antogs//VB|PRT|SFO//ROOT//13 bl.a.//AB|AN//advmod//13 en//DT|UTR|SIN|IND//det//16 konvention//NN|UTR|SIN|IND|NOM//nsubj:pass//13 (//PAD//punct//16 nr//NN|AN//nmod//19 163//RG|NOM//appos//16 )//PAD//punct//16 om//PP//case//23 sjömäns//NN|UTR|PLU|IND|GEN//nmod:poss//23 välfärd//NN|UTR|SIN|IND|NOM//obl//13 till//PP//case//25 sjöss//NN|-|-|-|-//nmod//23 och//KN//cc//28 i//PP//case//28 hamn//NN|UTR|SIN|IND|NOM//conj//25 ,//MID//punct//23 och//KN//cc//32 en//DT|UTR|SIN|IND//det//32 rekommendation//NN|UTR|SIN|IND|NOM//conj//23 (//PAD//punct//32 nr//NN|AN//nmod//35 173//RG|NOM//nmod//32 )//PAD//punct//32 i//PP//case//39 samma//DT|UTR/NEU|SIN/PLU|IND//amod//39 ämne//NN|NEU|SIN|IND|NOM//nmod//23 .//MAD//punct//23
1.1 Bakgrund;Sverige//PM|NOM//nsubj//42 ratificerade//VB|PRT|AKT//conj//13 konventionen//NN|UTR|SIN|DEF|NOM//obj//42 år//NN|NEU|SIN|IND|NOM//nmod//45 1990//RG|NOM//nmod//43 ,//MID//punct//48 efter//PP//case//48 förslag//NN|NEU|SIN|IND|NOM//obl//42 i//PP//case//50 prop//NN|UTR|SIN|IND|NOM//nmod//48 .//MAD//punct//42
1.1 Bakgrund;1988/89:122//RG|NOM//obl//42 .//MAD//punct//42
1.1 Bakgrund;Konventionen//NN|UTR|SIN|DEF|NOM//nsubj//1 anger//VB|PRS|AKT//ROOT//1 bl.a.//AB|AN//advmod//1 att//SN//mark//9 varje//DT|UTR/NEU|SIN|IND//det//5 medlemsstat//NN|UTR|SIN|IND|NOM//nsubj//9 till//PP//case//7 konventionen//NN|UTR|SIN|DEF|NOM//nmod//5 skall//VB|PRS|AKT//aux//9 säkerställa//VB|INF|AKT//ccomp//1 att//SN//mark//15 fullgoda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 välfärdsanordningar//NN|UTR|PLU|IND|NOM//nsubj:pass//15 och//KN//cc//14 välfärdsåtgärder//NN|UTR|PLU|IND|NOM//conj//12 tillhandahålls//VB|PRS|SFO//ccomp//9 sjömän//NN|UTR|PLU|IND|NOM//obj//15 både//KN//cc//20 i//PP//case//20 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 hamnar//NN|UTR|PLU|IND|NOM//conj//15 och//KN//cc//24 ombord//AB//advmod//24 på//PP//case//24 fartyg//NN|NEU|PLU|IND|NOM//conj//20 registrerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//9 i//PP//case//29 den//DT|UTR|SIN|DEF//det//29 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 staten//NN|UTR|SIN|DEF|NOM//obl//25 .//MAD//punct//1
1.1 Bakgrund;Medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//32 åläggs//VB|PRS|SFO//parataxis//1 även//AB//mark//35 att//IE//mark//35 se//VB|INF|AKT//advcl//32 till//PL//compound:prt//35 att//SN//mark//40 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//40 vidtas//VB|PRS|SFO//ccomp//35 för//PP//case//42 finansieringen//NN|UTR|SIN|DEF|NOM//obl//40 av//PP//case//44 välfärdsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//42 .//MAD//punct//32
1.1 Bakgrund;Fastställandet//NN|NEU|SIN|DEF|NOM//obj//32 av//PP//mark//49 vilka//HP|UTR/NEU|PLU|IND//nsubj//49 hamnar//VB|PRS|AKT//acl//46 respektive//AB//cc//60 vilka//HD|UTR/NEU|PLU|IND//det//52 fartyg//NN|NEU|PLU|IND|NOM//nsubj//60 som//HP|-|-|-//nsubj:pass//55 skall//VB|PRS|AKT//aux//55 omfattas//VB|INF|SFO//acl:relcl//52 av//PP//case//58 konventionens//NN|UTR|SIN|DEF|GEN//nmod:poss//58 bestämmelser//NN|UTR|PLU|IND|NOM//obl//55 skall//VB|PRS|AKT//aux//60 ske//VB|INF|AKT//conj//32 efter//PP//case//62 samråd//NN|NEU|SIN|IND|NOM//obl//60 med//PP//case//67 redarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//67 och//KN//cc//66 sjömännens//NN|NEU|PLU|DEF|GEN//conj//64 organisationer//NN|UTR|PLU|IND|NOM//nmod//62 .//MAD//punct//32
1.1 Bakgrund;De//DT|UTR/NEU|PLU|DEF//det//70 tjänster//NN|UTR|PLU|IND|NOM//nsubj:pass//77 som//HP|-|-|-//nsubj:pass//72 erbjuds//VB|PRS|SFO//acl:relcl//70 i//PP//case//74 hamnarna//NN|UTR|PLU|DEF|NOM//obl//72 skall//VB|PRS|AKT//aux//77 kunna//VB|INF|AKT//aux//77 nyttjas//VB|INF|SFO//parataxis//32 av//PP//case//80 alla//DT|UTR/NEU|PLU|IND/DEF//det//80 sjömän//NN|UTR|PLU|IND|NOM//obl:agent//77 ,//MID//punct//84 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//84 av//PP//case//84 nationalitet//NN|UTR|SIN|IND|NOM//obl//77 ,//MID//punct//86 ras//NN|UTR|SIN|IND|NOM//conj//84 ,//MID//punct//88 hudfärg//NN|UTR|SIN|IND|NOM//conj//84 ,//MID//punct//90 kön//NN|NEU|SIN|IND|NOM//conj//84 ,//MID//punct//92 religion//NN|UTR|SIN|IND|NOM//conj//84 ,//MID//punct//95 politisk//JJ|POS|UTR|SIN|IND|NOM//amod//95 uppfattning//NN|UTR|SIN|IND|NOM//conj//84 eller//KN//cc//98 social//JJ|POS|UTR|SIN|IND|NOM//amod//98 bakgrund//NN|UTR|SIN|IND|NOM//conj//84 och//KN//cc//104 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//104 av//PP//fixed//100 i//PP//case//104 vilken//HD|UTR|SIN|IND//det//104 stat//NN|UTR|SIN|IND|NOM//conj//84 det//DT|NEU|SIN|DEF//det//106 fartyg//NN|NEU|SIN|IND|NOM//obj//104 där//HA//advmod//110 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//110 är//VB|PRS|AKT//cop//110 anställda//NN|UTR|PLU|IND|NOM//nsubj//112 är//VB|PRS|AKT//cop//112 registrerat//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MID//punct//112
1.1 Bakgrund;Välfärdstjänsterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//121 ombord//AB//advmod//114 på//PP//case//117 fartygen//NN|NEU|PLU|DEF|NOM//nmod//114 skall//VB|PRS|AKT//aux//121 också//AB//advmod//121 kunna//VB|INF|AKT//aux//121 nyttjas//VB|INF|SFO//conj//112 av//PP//case//124 alla//DT|UTR/NEU|PLU|IND/DEF//det//124 sjömän//NN|UTR|PLU|IND|NOM//obl:agent//121 ombord//AB//advmod//121 .//MAD//punct//112
