Till statsrådet Tobias Billström;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//76 redovisar//VB|PRS|AKT//parataxis//16 ett//DT|NEU|SIN|IND//det//78 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//76 i//PP//case//80 mars//NN|UTR|SIN|IND|NOM//nmod//78 år//NN|NEU|SIN|IND|NOM//nmod//82 2011//RG|NOM//nmod//78 .//MAD//punct//76
Till statsrådet Tobias Billström;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 maj//NN|UTR|SIN|IND|NOM//obl//0 2010//RG|NOM//nummod//2 /Peter//MID//nmod//5 Springfeldt//PM|NOM//obl//0
Till statsrådet Tobias Billström;Helena//PM|NOM//nmod//1 Reitberger//PM|NOM//ROOT//1
Till statsrådet Tobias Billström;Anna//PM|NOM//nmod//4 Tillander//PM|NOM//flat:name//0 2.2//RG|NOM//flat:name//0 Sveriges//PM|GEN//nmod:poss//4 migrationshistoria//NN|UTR|SIN|IND|NOM//ROOT//4 –//RG|NOM//punct//4 från//PP//case//11  //_SP////6 utvandrings-till//AB//amod//9 4.1//RG|NOM//nmod//11 Olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 anledningar//NN|UTR|PLU|IND|NOM//nmod//4 och//KN//cc//13 möjligheter//NN|UTR|PLU|IND|NOM//conj//11 till//PP//mark//17 att//IE//mark//17 vara//VB|INF|AKT//cop//17 bosatt//JJ|POS|UTR|SIN|IND|NOM//acl//13 i//PP//case//22 5.5//RG|NOM//nmod//20 Arbetsmarknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 organisationer//NN|UTR|PLU|IND|NOM//obl//17 och//KN//cc//24 cirkulär//JJ|POS|UTR|SIN|IND|NOM//conj//22 7.2//RG|NOM//nmod//26 Cirkulär//JJ|POS|UTR|SIN|IND|NOM//dep//27 migration//NN|UTR|SIN|IND|NOM//conj//22 och//KN//cc//29 utveckling//NN|UTR|SIN|IND|NOM//conj//27 –//MID//punct//4 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//35 är//VB|PRS|AKT//cop//35 potentiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 7.5//RG|NOM//nmod//35 Kunskapsflykt//NN|UTR|SIN|IND|NOM//appos//4 ,//MID//punct//37 kunskapsåterföring//NN|UTR|SIN|IND|NOM//conj//35 och//KN//cc//39 7.8//RG|NOM//conj//35 Internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 projekt//NN|NEU|PLU|IND|NOM//conj//35 för//PP//case//44 cirkulär//JJ|POS|UTR|SIN|IND|NOM//amod//44 migration//NN|UTR|SIN|IND|NOM//obl//35 och//KN//cc//47 8.1//RG|NOM//nmod//47 Migrationsströmmar//NN|UTR|PLU|IND|NOM//conj//44 uppmärksammas//VB|PRS|SFO//conj//35 som//KN//case//50 en//PN|UTR|SIN|IND|SUB/OBJ//obl//48 av//PP//case//55 vår//PS|UTR|SIN|DEF//nmod:poss//55 9.5//RG|NOM//amod//55 Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 direktiv//NN|NEU|PLU|IND|NOM//nmod//50 av//PP//case//57 betydelse//NN|UTR|SIN|IND|NOM//nmod//55 för//PP//case//60 cirkulär//JJ|POS|UTR|SIN|IND|NOM//amod//60 migration//NN|UTR|SIN|IND|NOM//nmod//57 och//KN//cc//64 9.6//RG|NOM//nmod//63 Kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//64 grönbok//NN|UTR|SIN|IND|NOM//conj//60 –//RG|NOM//punct//35 ”//PAD//punct//68 Den//DT|UTR|SIN|DEF//det//68 europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//appos//35

Begreppsförklaringar;inom//PP//case//2 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 företag//NN|NEU|PLU|IND|NOM//ROOT//2 som//KN//mark//6 ett//DT|NEU|SIN|IND//det//6 allmänt//JJ|POS|NEU|SIN|IND|NOM//amod//6 begrepp//NN|NEU|SIN|IND|NOM//acl:relcl//2 för//PP//case//10 en//DT|UTR|SIN|IND//det//10 utlandsarbetande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 medarbetare//NN|UTR|SIN|IND|NOM//nmod//6 .//MAD//punct//2


1.1 Utgångspunkter;Vi//PN|UTR|PLU|DEF|SUB//nsubj//2 har//VB|PRS|AKT//aux//2 konstaterat//VB|SUP|AKT//ROOT//2 att//SN//mark//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 finns//VB|PRS|SFO//ccomp//2 ett//DT|NEU|SIN|IND//det//7 antal//NN|NEU|SIN|IND|NOM//nmod//8 förhållanden//NN|NEU|PLU|IND|NOM//nsubj//5 som//HP|-|-|-//nsubj//10 genomsyrar//VB|PRS|AKT//acl:relcl//8 mycket//PN|NEU|SIN|IND|SUB/OBJ//advmod//10 av//PP//case//13 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//10 som//HP|-|-|-//nsubj:pass//15 diskuterats//VB|SUP|SFO//acl:relcl//13 och//KN//cc//17 behandlats//VB|SUP|SFO//conj//15 vid//PP//case//22 den//DT|UTR|SIN|DEF//det//22 inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 kartläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 fasen//NN|UTR|SIN|DEF|NOM//obl//17 av//PP//case//25 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//25 arbete//NN|NEU|SIN|IND|NOM//nmod//22 .//MID//punct//2
1.1 Utgångspunkter;Dessa//DT|UTR/NEU|PLU|DEF//det//28 förhållanden//NN|NEU|PLU|IND|NOM//nsubj:pass//30 kan//VB|PRS|AKT//aux//30 ses//VB|INF|SFO//parataxis//2 som//KN//case//32 utgångspunkter//NN|UTR|PLU|IND|NOM//xcomp//30 för//PP//case//35 vårt//PS|NEU|SIN|DEF//nmod:poss//35 arbete//NN|NEU|SIN|IND|NOM//nmod//32 och//KN//cc//37 sammanfattas//VB|PRS|SFO//conj//30 i//PP//case//40 några//DT|UTR/NEU|PLU|IND//det//40 stycken//NN|UTR|PLU|IND|NOM//obl//37 .//MAD//punct//2
