
FoU;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 från//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 ”//PAD//punct//0 Översyn//NN|UTR|SIN|IND|NOM//appos//0 av//PP//case//6 forskning//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//8 utveckling//NN|UTR|SIN|IND|NOM//conj//6 inom//PP//case//10 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//8 ”//RG|NOM//punct//0
Missiv;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 31//RG|NOM//nummod//3 augusti//NN|UTR|SIN|IND|NOM//obj//0 2000//RG|NOM//nummod//3
Missiv;Per//PM|NOM//ROOT//0 Borg//PM|NOM//flat//0 /Lennart//RG|NOM//nmod//3 Lundh//PM|NOM//nmod//0

1 Sammanfattning;1.1//RG|NOM//nummod//1 Uppdraget//NN|NEU|SIN|DEF|NOM//ROOT//1
1 Sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 skall//VB|PRS|AKT//aux//5 enligt//PP//case//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 direktiv//NN|NEU|PLU|IND|NOM//obl//5 analysera//VB|INF|AKT//ROOT//5 och//KN//cc//7 lämna//VB|INF|AKT//conj//5 förslag//NN|NEU|SIN|IND|NOM//obj//7 till//PP//case//14 hur//HA//advmod//11 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//14 och//KN//cc//13 internationell//JJ|POS|UTR|SIN|IND|NOM//conj//11 forskning//NN|UTR|SIN|IND|NOM//nmod//8 och//KN//cc//16 utveckling//NN|UTR|SIN|IND|NOM//conj//14 (//PAD//punct//18 FoU//NN|AN//conj//14 )//PAD//punct//18 skall//VB|PRS|AKT//aux//22 kunna//VB|INF|AKT//aux//22 nyttiggöras//VB|INF|SFO//conj//14 som//KN//case//25 användbar//JJ|POS|UTR|SIN|IND|NOM//amod//25 kunskap//NN|UTR|SIN|IND|NOM//obl//22 och//KN//cc//29 i//PP//case//29 praktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 tillämpningar//NN|UTR|PLU|IND|NOM//conj//25 för//PP//case//31 behov//NN|NEU|SIN|IND|NOM//nmod//29 inom//PP//case//33 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//31 .//MAD//punct//5
1 Sammanfattning;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//38 skall//VB|PRS|AKT//aux//38 därvid//AB//advmod//38 kartlägga//VB|INF|AKT//conj//5 nuläge//NN|NEU|SIN|IND|NOM//obj//38 och//KN//cc//41 förändringsfaktorer//NN|UTR|PLU|IND|NOM//conj//39 samt//KN//cc//43 göra//VB|INF|AKT//conj//38 analyser//NN|UTR|PLU|IND|NOM//obj//43 och//KN//cc//46 lämna//VB|INF|AKT//conj//43 förslag//NN|NEU|SIN|IND|NOM//obj//46 rörande//PP//case//49 inriktning//NN|UTR|SIN|IND|NOM//obl//46 ,//MID//punct//51 genomförande//NN|NEU|SIN|IND|NOM//conj//49 och//KN//cc//53 omfattning//NN|UTR|SIN|IND|NOM//conj//49 av//PP//case//55 FoU//NN|AN//nmod//53 för//PP//case//58 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//58 behov//NN|NEU|PLU|IND|NOM//nmod//55 inom//PP//case//60 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//58 .//MAD//punct//5
1 Sammanfattning;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 skall//VB|PRS|AKT//aux//2 bedrivas//VB|INF|SFO//ROOT//2 med//PP//case//9 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//3 från//PP//fixed//3 de//DT|UTR/NEU|PLU|DEF//det//8 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//8 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//9 utveckling//NN|UTR|SIN|IND|NOM//obl//2 i//PP//case//11 omvärlden//NN|UTR|SIN|DEF|NOM//nmod//9 ,//MID//punct//13 ominriktningen//NN|UTR|SIN|DEF|NOM//conj//9 av//PP//case//15 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//13 samt//KN//cc//17 principen//NN|UTR|SIN|DEF|NOM//conj//15 om//PP//case//19 anpassning//NN|UTR|SIN|IND|NOM//nmod//17 .//MAD//punct//2
1 Sammanfattning;I//PP//case//2 sin//PS|UTR|SIN|DEF//nmod:poss//2 analys//NN|UTR|SIN|IND|NOM//obl//8 och//KN//cc//5 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//5 förslag//NN|NEU|PLU|IND|NOM//conj//2 skall//VB|PRS|AKT//aux//8 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//8 beakta//VB|INF|AKT//ROOT//8 såväl//KN//advmod//10 relationen//NN|UTR|SIN|DEF|NOM//obj//8 mellan//PP//case//12 forskning//NN|UTR|SIN|IND|NOM//nmod//10 och//KN//cc//14 utveckling//NN|UTR|SIN|IND|NOM//conj//12 för//PP//case//16 behov//NN|NEU|SIN|IND|NOM//nmod//14 inom//PP//case//18 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//16 och//KN//cc//21 annan//JJ|POS|UTR|SIN|IND|NOM//amod//21 forskning//NN|UTR|SIN|IND|NOM//conj//18 och//KN//cc//23 utveckling//NN|UTR|SIN|IND|NOM//conj//18 som//KN//mark//25 relationen//NN|UTR|SIN|DEF|NOM//conj//10 mellan//PP//case//30 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//30 och//KN//cc//29 internationell//JJ|POS|UTR|SIN|IND|NOM//conj//27 forskning//NN|UTR|SIN|IND|NOM//nmod//25 och//KN//cc//32 utveckling//NN|UTR|SIN|IND|NOM//conj//30 .//MAD//punct//8
1 Sammanfattning;Genom//PP//case//2 föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 delrapport//NN|UTR|SIN|IND|NOM//obl//3 redovisas//VB|PRS|SFO//ROOT//3 ett//DT|NEU|SIN|IND//det//5 kartläggningsarbete//NN|NEU|SIN|IND|NOM//nsubj:pass//3 som//HP|-|-|-//nsubj//7 avser//VB|PRS|AKT//acl:relcl//5 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 processer//NN|UTR|PLU|IND|NOM//obj//7 för//PP//case//11 inriktning//NN|UTR|SIN|IND|NOM//obl//7 ,//MID//punct//13 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//11 ,//MID//punct//15 kvalitetssäkring//NN|UTR|SIN|IND|NOM//conj//11 och//KN//cc//17 uppföljning//NN|UTR|SIN|IND|NOM//conj//11 av//PP//case//3 totalförsvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 FoU.//NN|UTR|PLU|IND|NOM//nmod:poss//21 Konsekvenserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//3 av//PP//case//26 under//PP//case//26 1990-talet//NN|NEU|SIN|DEF|NOM//nmod:poss//26 genomförd//PC|PRF|UTR|SIN|IND|NOM//amod//26 avgiftsfinansiering//NN|UTR|SIN|IND|NOM//nmod//21 av//PP//case//28 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//26 har//VB|PRS|AKT//aux//30 följts//VB|SUP|SFO//conj//3 upp//PL//compound:prt//30 liksom//PP//mark//33 fördelningen//NN|UTR|SIN|DEF|NOM//nsubj//35 av//PP//nmod//33 satsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//48 resurser//NN|UTR|PLU|IND|NOM//obj//35 över//PP//case//39 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 kategorier//NN|UTR|PLU|IND|NOM//obl//35 av//PP//case//41 forskning//NN|UTR|SIN|IND|NOM//nmod//39 ,//MID//punct//43 teknikutveckling//NN|UTR|SIN|IND|NOM//conj//41 och//KN//cc//45 objektbunden//NN|UTR|SIN|DEF|NOM//conj//41 utvecklingsverksamhet//NN|UTR|SIN|IND|NOM//conj//41 .//MAD//punct//35
1 Sammanfattning;Frågan//NN|UTR|SIN|DEF|NOM//nsubj//57 om//PP//mark//52 hur//HA//advmod//52 FoU-verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//52 nyttiggörs//VB|PRS|SFO//acl//48 för//PP//case//55 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 ändamål//NN|NEU|PLU|IND|NOM//obl//52 har//VB|PRS|AKT//aux//57 ägnats//VB|SUP|SFO//conj//3 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//59 uppmärksamhet//NN|UTR|SIN|IND|NOM//obj//57 .//MAD//punct//57
