Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 utvärdera//VB|INF|AKT//ROOT//4 den//DT|UTR|SIN|DEF//det//7 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 förvaltningsformen//NN|UTR|SIN|DEF|NOM//obj//4 för//PP//case//10 Svenskhemmet//NN|NEU|SIN|DEF|NOM//nmod//10 Voksenåsen//PM|NOM//nmod//7 .//MAD//punct//4
Svenskhemmet Voksenåsen;Resultatet//NN|NEU|SIN|DEF|NOM//nsubj//83 i//PP//case//76 Voksenåsen//PM|NOM//nmod//74 Hotell//NN|NEU|SIN|IND|NOM//flat//76 A//PM|NOM//flat:name//77 ///MID//cc//80 S//NN|NEU|SIN|IND|NOM//conj//77 har//VB|PRS|AKT//aux//83 hittills//AB//advmod//83 medgivit//VB|SUP|AKT//parataxis//44 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//86 årliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 överföringar//NN|UTR|PLU|IND|NOM//obj//83 .//MAD//punct//5
Svenskhemmet Voksenåsen;Bidrag//NN|NEU|PLU|IND|NOM//nsubj:pass//3 till//PP//case//2 Voksenåsen//PM|NOM//nmod//0 lämnas//VB|PRS|SFO//ROOT//3 även//AB//advmod//3 över//PP//case//6 statsbudgeten//NN|UTR|SIN|DEF|NOM//obl//3 dels//KN//advmod//13 i//PP//case//13 form//NN|UTR|SIN|IND|NOM//fixed//8 av//PP//fixed//8 ett//DT|NEU|SIN|IND//det//13 årligt//JJ|POS|NEU|SIN|IND|NOM//amod//13 driftstöd//NN|NEU|SIN|IND|NOM//obl//3 ,//MID//punct//19 dels//KN//advmod//19 i//PP//case//19 form//NN|UTR|SIN|IND|NOM//fixed//16 av//PP//fixed//16 vistelsestipendier//NN|UTR|PLU|IND|NOM//conj//13 ,//MID//punct//19 som//HP|-|-|-//nsubj:pass//22 fördelas//VB|PRS|SFO//acl:relcl//19 av//PP//case//25 Svensk-norska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 samarbetsfonden//NN|UTR|SIN|DEF|NOM//obl:agent//22 .//MAD//punct//3
Svenskhemmet Voksenåsen;I//PP//case//2 en//DT|UTR|SIN|IND//det//2 skrivelse//NN|UTR|SIN|IND|NOM//obl//9 till//PP//case//4 Kulturdepartementet//NN|NEU|SIN|DEF|NOM//nmod//2 den//DT|UTR|SIN|DEF//det//7 11//RG|NOM//nummod//7 november//NN|UTR|SIN|IND|NOM//nmod//2 1995//RG|NOM//nummod//7 har//VB|PRS|AKT//ROOT//9 styrelsen//NN|UTR|SIN|DEF|NOM//nsubj//9 för//PP//case//13 Svenskhemmet//NN|NEU|SIN|DEF|NOM//nmod//13 Voksenåsen//PM|NOM//nmod//14 A//PM|NOM//nmod//10 ///MID//cc//16 S//NN|NEU|SIN|IND|NOM//conj//14 hemställt//VB|SUP|AKT//xcomp//9 om//PP//case//21 en//DT|UTR|SIN|IND//det//21 ny//JJ|POS|UTR|SIN|IND|NOM//amod//21 översyn//NN|UTR|SIN|IND|NOM//obl//17 av//PP//case//24 svenskhemmets//NN|NEU|SIN|DEF|GEN//nmod:poss//24 förvaltningsformer//NN|UTR|PLU|IND|NOM//nmod//21 .//MAD//punct//9
Svenskhemmet Voksenåsen;Av//PP//case//28 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//28 skäl//NN|NEU|PLU|IND|NOM//obl//29 anser//VB|PRS|AKT//parataxis//9 styrelsen//NN|UTR|SIN|DEF|NOM//nsubj//29 att//SN//mark//39 den//DT|UTR|SIN|DEF//det//34 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 konstruktionen//NN|UTR|SIN|DEF|NOM//nsubj//39 med//PP//case//37 ett//DT|NEU|SIN|IND//det//37 aktiebolag//NN|NEU|SIN|IND|NOM//nmod//34 inte//AB//advmod//39 passar//VB|PRS|AKT//ccomp//29 för//PP//case//43 den//DT|UTR|SIN|DEF//det//43 ideella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 verksamhet//NN|UTR|SIN|IND|NOM//obl//39 som//HP|-|-|-//nsubj//46 är//VB|PRS|AKT//cop//46 huvudsyftet//NN|NEU|SIN|DEF|NOM//acl:relcl//43 med//PP//case//48 nationalgåvan//NN|UTR|SIN|DEF|NOM//nmod//46 .//MAD//punct//29
Svenskhemmet Voksenåsen;Aktiebolagsformen//NN|UTR|SIN|DEF|NOM//nsubj//53 är//VB|PRS|AKT//cop//53 däremot//AB//advmod//53 lämplig//JJ|POS|UTR|SIN|IND|NOM//parataxis//29 för//PP//case//58 den//DT|UTR|SIN|DEF//det//58 kommersiellt//AB|POS//advmod//57 bedrivna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//58 hotell-//NN|NEU|-|-|SMS//obl//53 och//KN//cc//60 konferensdelen//NN|UTR|SIN|DEF|NOM//conj//58 av//PP//case//63 svenskhemmets//NN|NEU|SIN|DEF|GEN//nmod:poss//63 verksamhet//NN|UTR|SIN|IND|NOM//nmod//60 .//MAD//punct//53
Svenskhemmet Voksenåsen;Denna//DT|UTR|SIN|DEF//det//66 del//NN|UTR|SIN|IND|NOM//nsubj:pass//67 drivs//VB|PRS|SFO//conj//53 på//PP//case//69 entreprenad//NN|UTR|SIN|IND|NOM//obl//67 av//PP//case//73 ett//DT|NEU|SIN|IND//det//73 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//73 bolag//NN|NEU|SIN|IND|NOM//nmod//69 .//MAD//punct//29

Utgångspunkter för uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 är//VB|PRS|AKT//cop//2 angeläget//JJ|POS|NEU|SIN|IND|NOM//ROOT//2 att//SN//mark//8 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//8 vid//PP//case//7 Svenskhemmet//NN|NEU|SIN|DEF|NOM//nmod//7 Voksenåsen//PM|NOM//nmod//4 bedrivs//VB|PRS|SFO//csubj//2 i//PP//case//11 den//DT|UTR|SIN|DEF//det//11 form//NN|UTR|SIN|IND|NOM//obl//8 som//HP|-|-|-//nsubj//14 bäst//AB|SUV//advmod//14 tillgodoser//VB|PRS|AKT//acl:relcl//11 verksamhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 ideella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 grundinriktning//NN|UTR|SIN|IND|NOM//obj//14 ,//MID//punct//21 nämligen//AB//advmod//21 att//IE//mark//21 utveckla//VB|INF|AKT//advcl//8 de//DT|UTR/NEU|PLU|DEF//det//24 kulturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 kontakterna//NN|UTR|PLU|DEF|NOM//obj//21 i//PP//case//27 vid//JJ|POS|UTR|SIN|IND|NOM//case//27 mening//NN|UTR|SIN|IND|NOM//obl//21 mellan//PP//case//29 Norge//PM|NOM//nmod//27 och//KN//cc//31 Sverige//PM|NOM//conj//29 .//MAD//punct//2
Utgångspunkter för uppdraget;Under//PP//case//37 de//DT|UTR/NEU|PLU|DEF//det//37 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//37 20//RG|NOM//nummod//37 åren//NN|NEU|PLU|DEF|NOM//obl//40 har//VB|PRS|AKT//aux//40 Voksenåsen//PM|NOM//nsubj:pass//40 drivits//VB|SUP|SFO//parataxis//2 som//KN//case//43 ett//DT|NEU|SIN|IND//det//43 aktiebolag//NN|NEU|SIN|IND|NOM//obl//40 .//MAD//punct//2
Utgångspunkter för uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//46 är//VB|PRS|AKT//parataxis//2 nu//AB//advmod//46 dags//NN|UTR|-|-|-//advmod//46 att//IE//mark//50 utvärdera//VB|INF|AKT//acl//48 bolagsformen//NN|UTR|SIN|DEF|NOM//obj//50 och//KN//cc//53 dra//VB|INF|AKT//conj//51 slutsatser//NN|UTR|PLU|IND|NOM//obj//53 av//PP//case//57 vunna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//57 erfarenheter//NN|UTR|PLU|IND|NOM//nmod//54 .//MAD//punct//46
