IT-samhällets estetiska praktik;skapens//NN|UTR|SIN|DEF|GEN//obj//5 –//PAD//punct//121 oförmåga//NN|UTR|SIN|IND|NOM//conj//119 att//IE//mark//123 kommunicera//VB|INF|AKT//acl//121 och//KN//cc//125 ﬁnna//NN|UTR|SIN|IND|NOM//conj//123 överlappande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//127 språkspel//NN|NEU|PLU|IND|NOM//obj//123 .//MAD//punct//5
IT-samhällets estetiska praktik;Han//PN|UTR|SIN|DEF|SUB//nsubj//130 menar//VB|PRS|AKT//parataxis//5 att//SN//mark//137 detta//DT|NEU|SIN|DEF//det//133 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//nsubj:pass//137 inte//AB//advmod//137 kommer//VB|PRS|AKT//aux//137 att//IE//mark//137 skapas//VB|INF|SFO//ccomp//130 ur//PP//case//143 vare//KN//cc//143 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//fixed//139 det//DT|NEU|SIN|DEF//det//143 etablerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//143 konstsamhället//NN|NEU|SIN|DEF|NOM//obl//137 eller//KN//cc//147 det//DT|NEU|SIN|DEF//det//147 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//147 vetenskapssamhället//NN|NEU|SIN|DEF|NOM//conj//143 .//MAD//punct//130
IT-samhällets estetiska praktik;Istället//AB//advmod//150 tror//VB|PRS|AKT//conj//5 han//PN|UTR|SIN|DEF|SUB//nsubj//150 att//SN//mark//156 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//156 är//VB|PRS|AKT//cop//156 ”//PAD//punct//156 nördkulturen//NN|UTR|SIN|DEF|NOM//ccomp//150 ”//PM|NOM//punct//156 som//HP|-|-|-//nsubj//162 kommer//VB|PRS|AKT//aux//162 att//IE//mark//162 vara//VB|INF|AKT//cop//162 spjutspetsen//NN|UTR|SIN|DEF|NOM//acl:cleft//156 .//MAD//punct//162 ”//PM|NOM//punct//165
IT-samhällets estetiska praktik;Nördkulturen//NN|UTR|SIN|DEF|NOM//nsubj//168 ”//PM|NOM//punct//165 är//VB|PRS|AKT//cop//168 gränsöverskridande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//150 och//KN//cc//170 global//JJ|POS|UTR|SIN|IND|NOM//conj//168 både//KN//cc//172 geograﬁskt//JJ|POS|NEU|SIN|IND|NOM//xcomp//170 och//KN//cc//174 kunskapsmässigt//JJ|POS|NEU|SIN|IND|NOM//conj//172 .//MAD//punct//150
IT-samhällets estetiska praktik;Problemet//NN|NEU|SIN|DEF|NOM//nsubj//177 är//VB|PRS|AKT//parataxis//5 att//SN//mark//184 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//184 samtidigt//AB//advmod//184 kan//VB|PRS|AKT//aux//184 vara//VB|INF|AKT//cop//184 skrämmande//AB//amod//184 isolerad//PC|PRF|UTR|SIN|IND|NOM//ccomp//177 från//PP//case//187 såväl//KN//advmod//187 historien//NN|UTR|SIN|DEF|NOM//obl//184 som//KN//mark//189 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//191 ”//RG|NOM//punct//191 kulturer//NN|UTR|PLU|IND|NOM//appos//184 ”//PAD//punct//191 i//PP//case//194 samtiden//NN|UTR|SIN|DEF|NOM//advmod//191 .//MAD//punct//177 ”//PM|NOM//discourse//201
IT-samhällets estetiska praktik;Nördkulturen//NN|UTR|SIN|DEF|NOM//nsubj:pass//201 ”//PM|NOM//nmod//197 måste//VB|PRS|AKT//aux//201 därför//AB//advmod//201 utmanas//VB|INF|SFO//parataxis//177 från//PP//case//207 i//PP//advmod//207 första//RO|NOM//fixed//203 hand//NN|UTR|SIN|IND|NOM//fixed//203 de//DT|UTR/NEU|PLU|DEF//det//207 perspektiv//NN|NEU|PLU|IND|NOM//obl//201 och//KN//cc//210 de//DT|UTR/NEU|PLU|DEF//det//210 institutioner//NN|UTR|PLU|IND|NOM//conj//207 som//HP|-|-|-//nsubj//212 uttrycker//VB|PRS|AKT//acl:relcl//210 vad//HP|NEU|SIN|IND//obl//216 Sven-Eric//PM|NOM//nsubj//216 Liedman//PM|NOM//flat//214 kallar//VB|PRS|AKT//ccomp//212 det//PN|NEU|SIN|DEF|SUB/OBJ//det//221 ”//PAD//punct//219 mjuka//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//221 ”//PAD//punct//219 upplysningsprojektet//NN|NEU|SIN|DEF|NOM//obj//216 ,//MID//punct//221 dvs//AB|AN//advmod//225 idéhistoriskt//AB|POS//advmod//225 förankrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//226 föreställningar//NN|UTR|PLU|IND|NOM//appos//221 och//KN//cc//228 åsiktsutbyten//NN|UTR|SIN|DEF|NOM//conj//226 inom//PP//case//230 etiken//NN|UTR|SIN|DEF|NOM//nmod//228 ,//MID//punct//232 konsten//NN|UTR|SIN|DEF|NOM//conj//230 och//KN//cc//234 religionen//NN|UTR|SIN|DEF|NOM//conj//230 .//MAD//punct//201
IT-samhällets estetiska praktik;I//PP//case//237 slutändan//NN|UTR|SIN|DEF|NOM//obl//241 är//VB|PRS|AKT//cop//241 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//241 en//DT|UTR|SIN|IND//det//241 fråga//NN|UTR|SIN|IND|NOM//conj//201 om//PP//mark//244 att//IE//mark//244 bevara//VB|INF|AKT//acl//241 frihet//NN|UTR|SIN|IND|NOM//obj//244 ,//MID//punct//247 demokrati//NN|UTR|SIN|IND|NOM//conj//245 och//KN//cc//250 människors//NN|UTR|PLU|IND|GEN//nmod:poss//250 självständighet//NN|UTR|SIN|IND|NOM//conj//245 i//PP//case//253 ett//DT|NEU|SIN|IND//det//253 samhälle//NN|NEU|SIN|IND|NOM//obl//244 där//HA//advmod//256 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//256 går//VB|PRS|AKT//acl:relcl//253 rasande//AB//advmod//258 fort//AB|POS//advmod//256 .//MAD//punct//5
IT-samhällets estetiska praktik;Hur//HA//advmod//1 kommer//VB|PRS|AKT//aux//6 roller//NN|UTR|PLU|IND|NOM//nsubj:pass//6 och//KN//cc//4 identiteter//NN|UTR|PLU|IND|NOM//conj//2 att//IE//mark//6 förändras//VB|INF|SFO//ROOT//6 i//PP//case//10 den//DT|UTR|SIN|DEF//det//10 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 kulturen//NN|UTR|SIN|DEF|NOM//obl//6 ?//MID//punct//6
IT-samhällets estetiska praktik;Hur//HA//advmod//19 kommer//VB|PRS|AKT//aux//19 relationen//NN|UTR|SIN|DEF|NOM//nsubj//19 till//PP//case//17 det//DT|NEU|SIN|DEF//det//17 moderna//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//14 att//IE//mark//19 se//VB|INF|AKT//parataxis//6 ut//PL//compound:prt//19 ?//MID//punct//6
IT-samhällets estetiska praktik;Får//VB|PRS|AKT//parataxis//6 rationalitet//NN|UTR|SIN|IND|NOM//nsubj//22 och//KN//cc//25 makt//NN|UTR|SIN|IND|NOM//conj//23 en//DT|UTR|SIN|IND//det//28 annan//JJ|POS|UTR|SIN|IND|NOM//amod//28 betydelse//NN|UTR|SIN|IND|NOM//obj//22 (//PAD//punct//28 t//NN|AN//appos//28 ex//NN|AN//fixed//30 demokratiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 processer//NN|UTR|PLU|IND|NOM//appos//28 och//KN//cc//35 folkhemstanken//NN|UTR|SIN|DEF|NOM//conj//33 i//PP//case//37 relation//NN|UTR|SIN|IND|NOM//nmod//35 till//PP//case//41 den//DT|UTR|SIN|DEF//det//41 globala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 byn//NN|UTR|SIN|DEF|NOM//nmod//35 )//PAD//punct//6 ?//MAD//punct//6
