Genomförande av EU:s barnrättsdirektiv och två andra straffprocessuella frågor;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 straffprocessuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 frågor//NN|UTR|PLU|IND|NOM//nmod//2
1.1 Förslag till lag om ändring i rättegångsbalken;Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//case//5 rättegångsbalken//NN|UTR|SIN|DEF|NOM//obl//1 dels//KN//advmod//1  //_SP////6 att//SN//mark//21 21//RG|NOM//nummod//10 kap.//NN|AN//nmod//11 3//RG|NOM//nummod//12 a//NN|NEU|SIN|IND|NOM//nummod//13 §//NN|AN//obl//21 och//KN//cc//13 33//RG|NOM//nummod//16 kap.//NN|AN//conj//13 6//RG|NOM//nummod//18 §//NN|AN//nmod//19 rättegångsbalken//NN|UTR|SIN|DEF|NOM//nmod//16 ska//VB|PRS|AKT//aux//21 ha//VB|INF|AKT//ccomp//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 lydelse//NN|UTR|SIN|IND|NOM//obj//21 ,//MID//punct//21 dels//KN//advmod//30  //_SP////25 att//SN//mark//30 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//30 ska//VB|PRS|AKT//aux//30 införas//VB|INF|SFO//conj//21 en//DT|UTR|SIN|IND//det//33 ny//JJ|POS|UTR|SIN|IND|NOM//amod//33 paragraf//NN|UTR|SIN|IND|NOM//nsubj:pass//30 ,//MID//punct//21 21//RG|NOM//nummod//36 kap.//NN|AN//nmod//37 9//RG|NOM//nummod//39 a//NN|NEU|SIN|IND|NOM//case//39 §//NN|AN//obl//21 ,//MID//punct//39 med//PP//case//43 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//43 lydelse//NN|UTR|SIN|IND|NOM//obl//21 .//MAD//punct//1

1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;3//RG|NOM//nummod//2 a//NN|NEU|SIN|IND|NOM//case//2 §//NN|AN//ROOT//2
1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;Är//VB|PRS|AKT//cop//2 den//DT|UTR|SIN|DEF//nsubj//2 misstänkte//PC|PRF|MAS|SIN|DEF|NOM//advcl//10 anhållen//PC|PRF|UTR|SIN|IND|NOM//obj//2 eller//KN//cc//5 häktad//PC|PRF|UTR|SIN|IND|NOM//conj//3 skall//VB|PRS|AKT//aux//10  //_SP////6 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//9 försvarare//NN|UTR|SIN|IND|NOM//nsubj:pass//10 förordnas//VB|INF|SFO//ROOT//10 för//PP//case//12 honom//PN|UTR|SIN|DEF|OBJ//obl//10 ,//MID//punct//10 om//SN//mark//16 han//PN|UTR|SIN|DEF|SUB//nsubj//16 begär//VB|PRS|AKT//advcl//10 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//16 .//MAD//punct//10
1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;Offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//20 försvarare//NN|UTR|SIN|IND|NOM//nsubj:pass//26 skall//VB|PRS|AKT//aux//26  //_SP////21 också//AB//advmod//25 på//PP//case//25 begäran//NN|UTR|SIN|IND|NOM//obl//26 förordnas//VB|INF|SFO//parataxis//10 för//PP//case//28 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//26 som//HP|-|-|-//nsubj//31 är//VB|PRS|AKT//cop//31 misstänkt//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//28 för//PP//case//34 ett//DT|NEU|SIN|IND//det//34 brott//NN|NEU|SIN|IND|NOM//obl//31 ,//MID//punct//42 för//PP//case//42 vilket//HP|NEU|SIN|IND//nsubj//42 inte//AB//advmod//42 är//VB|PRS|AKT//cop//42 stadgat//PC|PRF|NEU|SIN|IND|NOM//amod//42 lindrigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 straff//NN|NEU|SIN|IND|NOM//obl//31 än//KN//case//44 fängelse//NN|NEU|SIN|IND|NOM//nmod//42 i//PP//case//47 sex//RG|NOM//nummod//47 månader//NN|UTR|PLU|IND|NOM//nmod//44 .//MAD//punct//10
1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;Offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//1 försvarare//NN|UTR|SIN|IND|NOM//nsubj:pass//4 skall//VB|PRS|AKT//aux//4 därutöver//AB//advmod//4 förordnas//VB|INF|SFO//ROOT//4 1//RG|NOM//nummod//4 .//MID//punct//4
1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;om//SN//mark//9 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//9 misstänkte//PC|PRF|MAS|SIN|DEF|NOM//advcl//10 är//VB|PRS|AKT//conj//4 i//PP//case//12 behov//NN|NEU|SIN|IND|NOM//obl//10 av//PP//case//14 försvarare//NN|UTR|PLU|IND|NOM//nmod//12 med//PP//case//18 hänsyn//NN|UTR|SIN|IND|NOM//fixed//15 till//PP//fixed//15 utredningen//NN|UTR|SIN|DEF|NOM//nmod//14 om//PP//case//20 brottet//NN|NEU|SIN|DEF|NOM//nmod//18 ,//MID//punct//10 2//RG|NOM//nummod//4 .//MID//punct//4
1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;om//SN//mark//26 försvarare//NN|UTR|PLU|IND|NOM//nsubj:pass//26 behövs//VB|PRS|SFO//advcl//4 med//PP//mark//33 hänsyn//NN|UTR|SIN|IND|NOM//fixed//27 till//PP//fixed//27 att//SN//mark//33 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 är//VB|PRS|AKT//cop//33 tveksamt//JJ|POS|NEU|SIN|IND|NOM//obl//26 vilken//HD|UTR|SIN|IND//det//35 påföljd//NN|UTR|SIN|IND|NOM//nsubj:pass//26 som//HP|-|-|-//nsubj:pass//40  //_SP////36 skall//VB|PRS|AKT//aux//40  //_SP////38 väljas//VB|INF|SFO//acl:relcl//35 och//KN//cc//43 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//43 finns//VB|PRS|SFO//conj//35 anledning//NN|UTR|SIN|IND|NOM//nsubj//43 att//IE//mark//46 döma//VB|INF|AKT//advcl//43 till//PP//case//49 annan//JJ|POS|UTR|SIN|IND|NOM//amod//49 påföljd//NN|UTR|SIN|IND|NOM//obl//46 än//KN//mark//51 böter//NN|UTR|PLU|IND|NOM//obl//46 eller//KN//cc//53 villkorlig//JJ|POS|UTR|SIN|IND|NOM//conj//46 dom//NN|UTR|SIN|IND|NOM//nsubj//53 eller//KN//cc//57 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//57 påföljder//NN|UTR|PLU|IND|NOM//conj//54 i//PP//case//59 förening//NN|UTR|SIN|IND|NOM//obl//53 ,//MID//punct//26 eller//KN//cc//62 3//RG|NOM//conj//26 .//MID//punct//4
1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;om//SN//mark//68 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//68 i//PP//advmod//68 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//66 föreligger//VB|PRS|AKT//advcl//4 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//70 skäl//NN|NEU|PLU|IND|NOM//obj//68 med//PP//case//77 hänsyn//NN|UTR|SIN|IND|NOM//fixed//71 till//PP//fixed//71 den//DT|UTR|SIN|DEF//det//75 misstänktes//PC|PRF|UTR/NEU|SIN|DEF|GEN//nmod:poss//77 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 förhållanden//NN|NEU|PLU|IND|NOM//obl//68 eller//KN//cc//82 till//PP//case//80 vad//HP|NEU|SIN|IND//obj//82 målet//NN|NEU|SIN|DEF|NOM//nsubj//82 rör//VB|PRS|AKT//conj//68 .//MAD//punct//4
1.1 Förslag till lag om ändring i rättegångsbalken / 21 kap.;Om//SN//mark//3 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//2 misstänkte//PC|PRF|MAS|SIN|DEF|NOM//aux//3 biträds//VB|PRS|SFO//advcl//22 av//PP//case//5 försvarare//NN|UTR|PLU|IND|NOM//obl:agent//3 som//HP|-|-|-//obj//10 han//PN|UTR|SIN|DEF|SUB//nsubj//10 själv//JJ|POS|UTR|SIN|IND|NOM//amod//7 har//VB|PRS|AKT//aux//10 utsett//VB|SUP|AKT//acl:relcl//5 ,//MID//punct//22 skall//VB|PRS|AKT//aux//22  //_SP////12 inte//AB//advmod//22 vid//PP//mark//22 sidan//NN|UTR|SIN|DEF|NOM//fixed//15 av//PP//fixed//15 denne//PN|MAS|SIN|DEF|SUB/OBJ//nsubj:pass//22 någon//DT|UTR|SIN|IND//det//21 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//21 försvarare//NN|UTR|SIN|IND|NOM//nsubj:pass//22 förordnas//VB|INF|SFO//ROOT//22 .//MAD//punct//22
