Händelseanalyser vid självmord inom hälso- och sjukvården och socialtjänsten;Förslag//NN|NEU|PLU|IND|NOM//ROOT//0 till//PP//case//3 ny//JJ|POS|UTR|SIN|IND|NOM//amod//3 lag//NN|UTR|SIN|IND|NOM//nmod//0
1 Förslag till lag om händelseanalyser vid självmord;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1

1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;het//JJ|POS|UTR|SIN|IND|NOM//amod//42 inom//PP//case//2 detaljhandel//NN|UTR|SIN|IND|NOM//obl//0 med//PP//case//4 läkemedel//NN|NEU|PLU|IND|NOM//nmod//2 enligt//PP//case//6 lagen//NN|UTR|SIN|DEF|NOM//nmod//4 (//PAD//punct//8 2009:366//RG|NOM//appos//0 )//PAD//punct//8 om//PP//case//11 handel//NN|UTR|SIN|IND|NOM//obl//0 med//PP//case//13 läkemedel//NN|NEU|PLU|IND|NOM//nmod//11 .//MAD//punct//0
1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;4//RG|NOM//nummod//16 §//NN|AN//nsubj:pass//22  //_SP////16 Med//PP//case//19 hälso-//NN|UTR|-|-|SMS//nmod//16 och//KN//cc//21 sjukvårdspersonal//NN|UTR|SIN|IND|NOM//conj//19 avses//VB|PRS|SFO//parataxis//0 i//PP//case//25 denna//DT|UTR|SIN|DEF//det//25 lag//NN|UTR|SIN|IND|NOM//nmod//26 1//RG|NOM//obl//22 .//MAD//punct//0
1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;den//PN|UTR|SIN|DEF|SUB/OBJ//parataxis//0 som//HP|-|-|-//nsubj//30 har//VB|PRS|AKT//acl:relcl//28 legitimation//NN|UTR|SIN|IND|NOM//obj//30 för//PP//case//34 ett//DT|NEU|SIN|IND//det//34 yrke//NN|NEU|SIN|IND|NOM//obl//30 inom//PP//case//36 hälso-//NN|UTR|-|-|SMS//obl//30 och//KN//cc//38 sjukvården//NN|UTR|SIN|DEF|NOM//conj//36 ,//MID//punct//28 2//RG|NOM//nummod//28 .//MAD//punct//0
1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;personal//NN|UTR|SIN|IND|NOM//nsubj//140 som//HP|-|-|-//nsubj//45 är//VB|PRS|AKT//cop//45 verksam//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//42 vid//PP//case//47 sjukhus//NN|NEU|PLU|IND|NOM//obl//45 och//KN//cc//50 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 vårdinrättningar//NN|UTR|PLU|IND|NOM//conj//47 och//KN//cc//53 som//HP|-|-|-//nsubj//53 medverkar//VB|PRS|AKT//conj//45 i//PP//case//55 hälso-//NN|UTR|-|-|SMS//obl//53 och//KN//cc//57 sjukvård//NN|UTR|SIN|IND|NOM//conj//55 av//PP//case//59 patienter//NN|UTR|PLU|IND|NOM//nmod//57 ,//MID//punct//53 3//RG|NOM//nummod//53 .//MAD//punct//42
1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;den//PN|UTR|SIN|DEF|SUB/OBJ//parataxis//42 som//HP|-|-|-//nsubj//74 i//PP//case//67 annat//JJ|POS|NEU|SIN|IND|NOM//amod//67 fall//NN|NEU|SIN|IND|NOM//fixed//64 vid//PP//case//69 hälso-//NN|UTR|-|-|SMS//nmod//64 och//KN//cc//71 sjukvård//NN|UTR|SIN|IND|NOM//conj//69 av//PP//case//73 patienter//NN|UTR|PLU|IND|NOM//nmod//71 biträder//VB|PRS|AKT//acl:relcl//63 en//DT|UTR|SIN|IND//det//77 legitimerad//PC|PRF|UTR|SIN|IND|NOM//amod//77 yrkesutövare//NN|UTR|SIN|IND|NOM//obj//74 ,//MID//punct//77 4//RG|NOM//nummod//77 .//MAD//punct//63
1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;apotekspersonal//NN|UTR|SIN|IND|NOM//conj//42 som//HP|-|-|-//nsubj//83 tillverkar//VB|PRS|AKT//acl:relcl//81 eller//KN//cc//85 expedierar//VB|PRS|AKT//conj//81 läkemedel//NN|NEU|PLU|IND|NOM//obj//85 eller//KN//cc//88 lämnar//VB|PRS|AKT//conj//81 råd//NN|NEU|PLU|IND|NOM//obj//88 och//KN//cc//91 upplysningar//NN|UTR|PLU|IND|NOM//conj//89 ,//MID//punct//81 5//RG|NOM//nummod//81 .//MAD//punct//42
1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;personal//NN|UTR|SIN|IND|NOM//appos//42 vid//PP//case//97 Giftinformationscentralen//PM|NOM//nmod//95 som//HP|-|-|-//nsubj//99 lämnar//VB|PRS|AKT//acl:relcl//97 råd//NN|NEU|PLU|IND|NOM//obj//99 och//KN//cc//102 upplysningar//NN|UTR|PLU|IND|NOM//conj//100 ,//MID//punct//102 6//RG|NOM//nummod//102 .//MAD//punct//95
1 Förslag till lag om händelseanalyser vid självmord / Inledande bestämmelser;personal//NN|UTR|SIN|IND|NOM//nmod//95 vid//PP//case//108 larmcentral//NN|UTR|SIN|IND|NOM//nmod//106 och//KN//cc//110 sjukvårdsrådgivning//NN|UTR|SIN|IND|NOM//conj//108 som//HP|-|-|-//nsubj//112 förmedlar//VB|PRS|AKT//acl:relcl//110 hjälp//NN|UTR|SIN|IND|NOM//obj//112 eller//KN//cc//115 lämnar//VB|PRS|AKT//conj//112 råd//NN|NEU|PLU|IND|NOM//obj//115 och//KN//cc//118 upplysningar//NN|UTR|PLU|IND|NOM//conj//116 till//PP//case//120 vårdsökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//118 ,//MID//punct//106 och//KN//cc//123 7//RG|NOM//conj//106 .//MAD//punct//95
