Till Statsrådet Maj–Inger Klingvall ;3TOCKHOLM//RG|NOM//nummod//22 DEN//DT|UTR|SIN|DEF//amod//22 NOVEMBER//NN|UTR|SIN|IND|NOM//appos//18 4ORGNY//AB|AN//nummod//24 $//UO//nmod//27 ANIELSSON//PM|NOM//amod//27 /Gunilla//MID//case//27 Bodin//PM|NOM//nmod//22
Till Statsrådet Maj–Inger Klingvall ;Titti//PM|NOM//ROOT//0 Fränkel//PM|NOM//compound//2 5.4//RG|NOM//dep//0 Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 anordnare//NN|UTR|PLU|IND|NOM//conj//0 och//KN//cc//6 resurspersoner//NN|UTR|PLU|IND|NOM//conj//4 i//PP//case//8 kommuner//NN|UTR|PLU|IND|NOM//nmod//6 ,//MID//punct//0 &//KN|AN//cc//11 ¶R¤LDRAST¶D//PM|GEN//nsubj//28 F¶R//PM|NOM//nmod//14 PAPPOR//PM|NOM//nmod//14 6.2//RG|NOM//nmod//11 Pappors//NN|UTR|PLU|IND|GEN//nmod:poss//16 deltagande//NN|NEU|SIN|IND|NOM//nmod//11 i//PP//case//18 mödra-//NN|UTR|-|-|SMS//nmod//16 och//KN//cc//20 barnhälsovårdens//NN|UTR|SIN|DEF|GEN//conj//18 &//KN|AN//cc//24 ¶R¤LDRAR//NN|NEU|SIN|IND|NOM//fixed//21 TILL//PP//fixed//21 TON¥RINGAR//PM|NOM//conj//16 &//KN|AN//fixed//24 ¶R¤LDRAR//NN|NEU|PLU|DEF|NOM//fixed//24 MED//PP//conj//24 INVANDRARBAKGRUND//PM|NOM//parataxis//0 8.8//RG|NOM//nmod//30 Föräldrar//NN|UTR|PLU|IND|NOM//obj//28 med//PP//case//32 invandrarbakgrund//NN|UTR|SIN|IND|NOM//obl//28 och//KN//cc//34 barn//NN|NEU|PLU|IND|NOM//conj//32 ///MID//cc//36 tonåringar//NN|UTR|PLU|IND|NOM//conj//32 ..//MID//punct//0 193//RG|NOM//nummod//39 8.9//RG|NOM//appos//0 De//DT|UTR/NEU|PLU|DEF//det//42 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 institutionerna//NN|UTR|PLU|DEF|NOM//nmod//39 och//KN//cc//46 det//DT|NEU|SIN|DEF//det//46 mångetniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 9.3//RG|NOM//conj//42 Tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 habiliteringsansvar//NN|UTR|PLU|IND|NOM//obj//0 för//PP//case//50 föräldrastöd//NN|NEU|SIN|IND|NOM//nmod//48 och//KN//cc//56 !//MID//punct//54
Till Statsrådet Maj–Inger Klingvall ;DOPTIVF¶R¤LDRAR//NN|UTR|SIN|DEF|NOM//nmod//54 12.7//RG|NOM//nummod//56 En//DT|UTR|SIN|IND//det//56 modell//NN|UTR|SIN|IND|NOM//conj//50 för//PP//case//58 samverkan//NN|UTR|SIN|IND|NOM//nmod//56 mellan//PP//case//60 kommuner//NN|UTR|PLU|IND|NOM//nmod//58 och//KN//cc//62 12.8//RG|NOM//conj//60 Information//NN|UTR|SIN|IND|NOM//conj//60 om//PP//case//65 tobak//NN|UTR|SIN|IND|NOM//nmod//63 ,//MID//punct//67 alkohol//NN|UTR|SIN|IND|NOM//conj//65 och//KN//cc//69 droger//NN|UTR|PLU|IND|NOM//conj//65 till//PP//case//72 12.9//RG|NOM//nummod//72 Alkohol-//NN|UTR|-|-|SMS//nmod//58 och//KN//cc//74 drogföreb//NN|UTR|PLU|IND|NOM//conj//72 yggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//76 modeller//NN|UTR|PLU|IND|NOM//conj//58 för//PP//case//79 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 12.10//RG|NOM//nmod//76 Information//NN|UTR|SIN|IND|NOM//nmod//56 om//PP//case//82 risker//NN|UTR|PLU|IND|NOM//nmod//80 med//PP//case//84 tobak//NN|UTR|SIN|IND|NOM//nmod//82 –//RG|NOM//punct//86 modeller//NN|UTR|PLU|IND|NOM//appos//0 för//PP//case//88 5TBILDNING//NN|AN//nmod//86 &//KN|AN//cc//88 ORTBILDNING//NN|UTR|SIN|IND|NOM//conj//88

Förord;Behöver//VB|PRS|AKT//aux//2 föräldrar//NN|UTR|PLU|IND|NOM//nsubj:pass//2 utbildas//VB|INF|SFO//advcl//19 ?//MID//punct//2
Förord;Ett//DT|NEU|SIN|IND//det//5 svar//NN|NEU|SIN|IND|NOM//obj//2 är//VB|PRS|AKT//cop//5 att//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 inte//AB//advmod//10 behövs//VB|PRS|SFO//csubj//5 någon//DT|UTR|SIN|IND//det//12 utbildning//NN|UTR|SIN|IND|NOM//nsubj:pass//10 för//PP//mark//15 att//IE//mark//15 bli//VB|INF|AKT//acl//12 förälder//NN|UTR|SIN|IND|NOM//xcomp//15 .//MAD//punct//5
Förord;Förälder//NN|UTR|SIN|IND|NOM//nsubj//19 blir//VB|PRS|AKT//ROOT//19 varje//DT|UTR/NEU|SIN|IND//det//21 man//NN|UTR|SIN|IND|NOM//nsubj//19 och//KN//cc//23 kvinna//NN|UTR|SIN|IND|NOM//conj//21 i//PP//case//26 det//DT|NEU|SIN|DEF//det//26 ögonblick//NN|NEU|SIN|IND|NOM//obl//19 man//PN|UTR|SIN|IND|SUB//nsubj//28 får//VB|PRS|AKT//acl:relcl//26 ett//DT|NEU|SIN|IND//det//30 barn//NN|NEU|SIN|IND|NOM//obj//28 tillsammans//AB//advmod//28 .//MID//punct//19
Förord;Alla//DT|UTR/NEU|PLU|IND/DEF//det//34 föräldrar//NN|UTR|PLU|IND|NOM//nsubj//35 behöver//VB|PRS|AKT//parataxis//19 däremot//AB//advmod//35 av//PP//compound:prt//35 och//KN//cc//40 till//PP//case//40 information//NN|UTR|SIN|IND|NOM//obl//35 ,//MID//punct//42 kunskap//NN|UTR|SIN|IND|NOM//conj//40 ,//MID//punct//40 råd//NN|NEU|SIN|IND|NOM//xcomp//19 stöd//NN|NEU|SIN|IND|NOM//xcomp//19 och//KN//cc//50 ibland//AB//advmod//50 en//DT|UTR|SIN|IND//det//50 hjälpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 hand//NN|UTR|SIN|IND|NOM//conj//45 för//PP//mark//54 att//IE//mark//54 kunna//VB|INF|AKT//aux//54 känna//VB|INF|AKT//advcl//19 tr//NN|AN//nmod//56 ygghet//NN|UTR|SIN|IND|NOM//obj//54 ,//MID//punct//59 själv//JJ|POS|UTR|SIN|IND|NOM//amod//59 tillit//NN|UTR|SIN|IND|NOM//appos//56 och//KN//cc//64 för//PP//mark//64 att//IE//mark//64 kunna//VB|INF|AKT//aux//64 uppleva//VB|INF|AKT//conj//54 harmoni//NN|UTR|SIN|IND|NOM//obj//64 i//PP//case//69 den//DT|UTR|SIN|DEF//det//69 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//69 rollen//NN|UTR|SIN|DEF|NOM//obl//64 .//MAD//punct//19
Förord;Ibland//AB//advmod//1 handlar//VB|PRS|AKT//ROOT//1 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 om//PP//mark//5 att//IE//mark//5 få//VB|INF|AKT//advcl//1 chans//NN|UTR|SIN|IND|NOM//obj//5 att//IE//mark//8 förbereda//VB|INF|AKT//acl//6 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//8 för//PP//case//11 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//8 som//HP|-|-|-//nsubj//13 komma//VB|INF|AKT//acl:relcl//11 skall//VB|PRS|AKT//xcomp//13 –//RG|NOM//punct//29 inför//PP//case//18 t.ex.//AB|AN//advmod//18 förlossningen//NN|UTR|SIN|DEF|NOM//obl//29 ,//MID//punct//20 skolstarten//NN|UTR|SIN|DEF|NOM//conj//18 eller//KN//cc//25 tonåringens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 första//RO|NOM//amod//24 föräldrafria//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 party//UO//conj//18 .//MAD//punct//18
Förord;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 gånger//NN|UTR|PLU|IND|NOM//conj//18 behöver//VB|PRS|AKT//advcl//1 man//PN|UTR|SIN|IND|SUB//nsubj//29 snabba//VB|INF|AKT//amod//35 och//KN//cc//34 ytterst//AB|SUV//advmod//34 konkreta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 svar//NN|NEU|PLU|IND|NOM//obj//29 på//PP//case//38 raka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 frågor//NN|UTR|PLU|IND|NOM//nmod//35 om//PP//mark//58 t.ex.//AB|AN//advmod//41 föräldraförsäkringen//NN|UTR|SIN|DEF|NOM//nsubj//58 ,//MID//punct//43 medicinen//NN|UTR|SIN|DEF|NOM//conj//41 eller//KN//cc//47 om//PP//case//47 vilken//HD|UTR|SIN|IND//det//47 storlek//NN|UTR|SIN|IND|NOM//conj//41 på//PP//case//49 fotboll//NN|UTR|SIN|IND|NOM//nmod//47 som//HP|-|-|-//nsubj:pass//52 ska//VB|PRS|AKT//aux//52 användas//VB|INF|SFO//acl:relcl//47 i//PP//case//54 klasslags–turneringen//PM|NOM//obl//52 .//MAD//punct//41
