Frågor och svar;2014-06-26//RG|NOM//ROOT//0
Svar:; //_SP////2 Vilka//HD|UTR/NEU|PLU|IND//det//6 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 typer//NN|UTR|PLU|IND|NOM//appos//0 av//PP//case//8 ärenden//NN|NEU|PLU|IND|NOM//nmod//6 kommer//VB|PRS|AKT//aux//12 konsumenter//NN|UTR|PLU|IND|NOM//nsubj//12 kunna//VB|INF|AKT//aux//12 anmäla//VB|INF|AKT//ROOT//12 till//PP//case//14 ARN//PM|NOM//obl//12 ?//MAD//punct//12
Svar:;De//DT|UTR/NEU|PLU|DEF//det//2 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//2 undantag//NN|NEU|PLU|IND|NOM//nsubj:pass//9 som//HP|-|-|-//nsubj//4 gäller//VB|PRS|AKT//acl:relcl//2 för//PP//case//6 ARN//PM|NOM//obl//4 i//PP//advmod//9 dag//NN|UTR|SIN|IND|NOM//fixed//7 tas//VB|PRS|SFO//ROOT//9 bort//PL//compound:prt//9 .//MAD//punct//9
Svar:;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//13 innebär//VB|PRS|AKT//parataxis//9 att//SN//mark//19 ARN//PM|NOM//nsubj:pass//19 ://MID//punct//15 s//NN|NEU|SIN|IND|GEN//advmod//19 kompetens//NN|UTR|SIN|IND|NOM//nsubj:pass//19 utvidgas//VB|INF|SFO//ccomp//13 till//PP//mark//22 att//IE//mark//22 omfatta//VB|INF|AKT//advcl//19 bl.a.//AB|AN//advmod//22 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 telefoni-//NN|NEU|-|-|SMS//obj//22 och//KN//cc//27 eltvister//NN|UTR|PLU|IND|NOM//conj//25 ,//MID//punct//29 tvister//NN|UTR|PLU|IND|NOM//conj//25 rörande//PP//case//31 värmepumpar//NN|UTR|PLU|IND|NOM//nmod//29 samt//KN//cc//33 tvister//NN|UTR|PLU|IND|NOM//conj//31 om//PP//case//35 spel//NN|NEU|PLU|IND|NOM//nmod//33 och//KN//cc//37 lotterier//NN|NEU|PLU|IND|NOM//conj//35 .//MAD//punct//13
Svar:;ARN//PM|NOM//nsubj//44 kommer//VB|PRS|AKT//aux//43 i//PP//case//42 princip//NN|UTR|SIN|IND|NOM//obl//43 vara//VB|INF|AKT//cop//44 öppet//JJ|POS|NEU|SIN|IND|NOM//parataxis//13 för//PP//case//47 alla//DT|UTR/NEU|PLU|IND/DEF//det//47 typer//NN|UTR|PLU|IND|NOM//obl//44 av//PP//case//50 avtalsrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 tvister//NN|UTR|PLU|IND|NOM//nmod//47 mellan//PP//case//52 konsumenter//NN|UTR|PLU|IND|NOM//nmod//50 och//KN//cc//54 näringsidkare//NN|UTR|PLU|IND|NOM//conj//52 ,//MID//punct//60 men//KN//cc//60 kommer//VB|PRS|AKT//aux//60 också//AB//advmod//60 att//IE//mark//60 kompletteras//VB|INF|SFO//conj//44 av//PP//case//64 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 branschnämnder//NN|UTR|PLU|IND|NOM//obl:agent//60 som//HP|-|-|-//nsubj:pass//68 kommer//VB|PRS|AKT//aux//68 att//IE//mark//68 godkännas//VB|INF|SFO//acl:relcl//64 enligt//PP//case//72 en//DT|UTR|SIN|IND//det//72 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//72 ordning//NN|UTR|SIN|IND|NOM//obl//68 som//HP|-|-|-//obj//75 vi//PN|UTR|PLU|DEF|SUB//nsubj//75 föreslår//VB|PRS|AKT//acl:relcl//72 .//MAD//punct//9
Svar:;Tvister//NN|UTR|PLU|IND|NOM//nsubj:pass//86 som//HP|-|-|-//nsubj:pass//79 prövas//VB|PRS|SFO//acl:relcl//77 av//PP//case//83 godkända//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 nämnder//NN|UTR|PLU|IND|NOM//obl:agent//79 kommer//VB|PRS|AKT//aux//86 att//IE//mark//86 undantas//VB|INF|SFO//parataxis//9 från//PP//case//88 ARN//PM|NOM//obl//86 .//MAD//punct//9
Svar:;Vi//PN|UTR|PLU|DEF|SUB//nsubj//91 bedömer//VB|PRS|AKT//parataxis//9 att//SN//mark//110 en//DT|UTR|SIN|IND//det//95 nyinrättad//PC|PRF|UTR|SIN|IND|NOM//amod//95 tvistlösningsnämnd//NN|UTR|SIN|IND|NOM//nsubj:pass//110 inom//PP//case//98 Sveriges//PM|GEN//nmod:poss//98 Advokatsamfund//NN|NEU|SIN|IND|NOM//nmod//95 ,//MID//punct//95 för//PP//case//101 prövning//NN|UTR|SIN|IND|NOM//nmod//95 av//PP//case//103 konsumenttvister//NN|UTR|PLU|IND|NOM//nmod//101 rörande//PP//case//105 advokatverksamhet//NN|UTR|SIN|IND|NOM//nmod//101 ,//MID//punct//110 kommer//VB|PRS|AKT//aux//110 att//IE//mark//110 kunna//VB|INF|AKT//aux//110 godkännas//VB|INF|SFO//ccomp//91 .//MAD//punct//9
Svar:;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//113 innebär//VB|PRS|AKT//parataxis//9 en//DT|UTR|SIN|IND//det//115 förbättring//NN|UTR|SIN|IND|NOM//obj//113 för//PP//case//117 konsumenter//NN|UTR|PLU|IND|NOM//nmod//115 ,//MID//punct//126 eftersom//SN//mark//126 konsumenttvister//NN|UTR|PLU|IND|NOM//nsubj:pass//126 rörande//PP//case//122 advokatverksamhet//NN|UTR|SIN|IND|NOM//nmod//120 för//PP//case//124 närvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//120 inte//AB//advmod//126 prövas//VB|INF|SFO//advcl//113 av//PP//case//128 ARN//PM|NOM//obl:agent//126 eller//KN//cc//132 någon//DT|UTR|SIN|IND//det//132 annan//JJ|POS|UTR|SIN|IND|NOM//amod//132 tvistlösningsnämnd//NN|UTR|SIN|IND|NOM//conj//128 .//MAD//punct//113
Svar:;Redan//AB//advmod//137 i//PP//advmod//137 dag//NN|UTR|SIN|IND|NOM//fixed//135 prövas//VB|PRS|SFO//advcl//113 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//139 försäkringsfrågor//NN|UTR|PLU|IND|NOM//nsubj:pass//137 som//HP|-|-|-//nsubj//142 är//VB|PRS|AKT//cop//142 undantagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//139 från//PP//case//144 ARN//PM|NOM//obl//142 av//PP//case//148 ett//DT|NEU|SIN|IND//det//147 par//NN|NEU|SIN|IND|NOM//nmod//148 nämnder//NN|UTR|PLU|IND|NOM//nmod//144 inom//PP//case//151 Svensk//JJ|POS|UTR|SIN|IND|NOM//nmod:poss//151 Försäkring//NN|UTR|SIN|IND|NOM//nmod//148 .//MAD//punct//113
Svar:;Vi//PN|UTR|PLU|DEF|SUB//nsubj//154 bedömer//VB|PRS|AKT//parataxis//113 att//SN//mark//161 även//AB//advmod//158 dessa//DT|UTR/NEU|PLU|DEF//det//158 försäkringsnämnder//NN|UTR|PLU|IND|NOM//nsubj:pass//161 kommer//VB|PRS|AKT//aux//161 att//IE//mark//161 godkännas//VB|INF|SFO//ccomp//154 enligt//PP//case//165 det//DT|NEU|SIN|DEF//det//165 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//165 förfarandet//NN|NEU|SIN|DEF|NOM//obl//161 ,//MID//punct//171 och//KN//cc//171 alltså//AB//advmod//171 kommer//VB|PRS|AKT//aux//171 att//IE//mark//171 fortsätta//VB|INF|AKT//conj//161 att//IE//mark//173 pröva//VB|INF|AKT//xcomp//171 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//175 försäkringsfrågor//NN|UTR|PLU|IND|NOM//obj//173 istället//AB//advmod//178 för//PP//case//178 ARN//PM|NOM//obl//173 .//MAD//punct//9
Svar:;Ett//DT|NEU|SIN|IND//det//1 godkännande//NN|NEU|SIN|IND|NOM//nsubj//15 enligt//PP//case//4 den//DT|UTR|SIN|DEF//det//4 ordning//NN|UTR|SIN|IND|NOM//nmod//1 som//HP|-|-|-//obj//7 vi//PN|UTR|PLU|DEF|SUB//nsubj//7 föreslår//VB|PRS|AKT//acl:relcl//4 ,//MID//punct//1 är//VB|PRS|AKT//cop//15 i//PP//advmod//9 och//KN//fixed//10 för//PP//fixed//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//fixed//10 inget//DT|NEU|SIN|IND//det//15 krav//NN|NEU|SIN|IND|NOM//ROOT//15 för//PP//mark//22 att//SN//mark//22 en//DT|UTR|SIN|IND//det//19 nämnd//NN|UTR|SIN|IND|NOM//nsubj//21 ska//VB|PRS|AKT//aux//21 få//VB|INF|AKT//aux//22 bedriva//VB|INF|AKT//acl//15 tvistlösning//NN|UTR|SIN|IND|NOM//obj//22 ,//MID//punct//26 men//KN//cc//26 krävs//VB|PRS|SFO//conj//15 för//PP//mark//35 att//SN//mark//35 tvister//NN|UTR|PLU|IND|NOM//nsubj:pass//35 som//HP|-|-|-//nsubj:pass//31 prövas//VB|PRS|SFO//acl:relcl//29 av//PP//case//33 nämnden//NN|UTR|SIN|DEF|NOM//obl//31 ska//VB|PRS|AKT//aux//35 undantas//VB|INF|SFO//advcl//26 från//PP//case//37 ARN//PM|NOM//obl//35 och//KN//cc//43 för//PP//mark//43 att//SN//fixed//39 nämnden//NN|UTR|SIN|DEF|NOM//nsubj:pass//43 ska//VB|PRS|AKT//aux//43 inkluderas//VB|INF|SFO//conj//35 i//PP//case//47 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 officiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 informationskanaler//NN|UTR|PLU|IND|NOM//obl//43 .//MAD//punct//15
Svar:;3//RG|NOM//discourse//2 .//MAD//punct//0
Svar:;Fråga//NN|UTR|SIN|IND|NOM//ROOT//2 ://MID//punct//2
Svar:; //_SP////3 Kommer//VB|PRS|AKT//aux//11 antalet//NN|NEU|SIN|DEF|NOM//nmod//7 ärenden//NN|NEU|PLU|IND|NOM//nsubj//11 vid//PP//case//9 ARN//PM|NOM//nmod//7 att//IE//mark//11 öka//VB|INF|AKT//parataxis//2 ?//MAD//punct//2
Svar:;Antalet//NN|NEU|SIN|DEF|NOM//nmod//1 ärenden//NN|NEU|PLU|IND|NOM//nsubj//5 vid//PP//case//3 ARN//PM|NOM//nmod//1 har//VB|PRS|AKT//aux//5 ökat//VB|SUP|AKT//ROOT//5 väsentligt//AB|POS//advmod//5 sedan//PP//case//8 2011//RG|NOM//obl//5 .//MAD//punct//5
Svar:;2011//RG|NOM//punct//5 tog//VB|PRT|AKT//conj//5 ARN//PM|NOM//nsubj//11 emot//PL//case//16 9//RG|NOM//nummod//15 300//RG|NOM//nummod//16 ärenden//NN|NEU|PLU|IND|NOM//obl//11 ,//MID//punct//25 medan//SN//mark//25 drygt//AB|POS//advmod//20 11//RG|NOM//nummod//21 000//RG|NOM//nummod//22 anmälningar//NN|UTR|PLU|IND|NOM//nsubj//25 per//PP//case//24 år//NN|NEU|SIN|IND|NOM//nmod//22 kom//VB|PRT|AKT//advcl//11 in//PL//compound:prt//25 till//PP//case//28 nämnden//NN|UTR|SIN|DEF|NOM//obl//25 2012//RG|NOM//nummod//25 och//KN//cc//29 2013//RG|NOM//conj//29 .//MAD//punct//5
Svar:;Av//PP//case//35 alla//DT|UTR/NEU|PLU|IND/DEF//det//35 tvister//NN|UTR|PLU|IND|NOM//obl//39 som//HP|-|-|-//nsubj//37 anmäls//VB|PRS|SFO//acl:relcl//35 ,//MID//punct//35 avgör//VB|PRS|AKT//conj//5 ARN//PM|NOM//nsubj//39 ungefär//AB//advmod//42 hälften//NN|UTR|SIN|DEF|NOM//advmod//39 ,//MID//punct//39 dvs.//AB|AN//advmod//48 omkring//AB//advmod//46 5//RG|NOM//nummod//48 500//RG|NOM//nummod//48 ärenden//NN|NEU|PLU|IND|NOM//appos//39 ,//MID//punct//48 resten//NN|UTR|SIN|DEF|NOM//nsubj:pass//51 avvisas//VB|PRS|SFO//acl:relcl//48 eller//KN//cc//53 avskrivs//VB|PRS|SFO//conj//51 ,//MID//punct//39 ofta//AB|POS//advmod//39 på//PP//mark//63 grund//NN|UTR|SIN|IND|NOM//fixed//56 av//PP//fixed//56 att//SN//mark//63 konsumenten//NN|UTR|SIN|DEF|NOM//nsubj//63 och//KN//cc//62 näringsidkaren//NN|UTR|SIN|DEF|NOM//conj//60 kommer//VB|PRS|AKT//advcl//39 överens//PL//advmod//63 .//MAD//punct//5
Svar:;Omkring//PP//advmod//67 35//RG|NOM//nummod//68 procent//NN|UTR|PLU|IND|NOM//obl//5 av//PP//case//71 de//DT|UTR/NEU|PLU|DEF//det//71 ärenden//NN|NEU|PLU|IND|NOM//nmod//68 som//HP|-|-|-//nsubj:pass//73 prövas//VB|PRS|SFO//acl:relcl//71 av//PP//case//75 ARN//PM|NOM//obl:agent//73 ,//MID//punct//77 avgörs//VB|PRS|SFO//conj//5 helt//AB|POS//advmod//77 eller//KN//cc//80 delvis//AB//conj//78 till//PP//case//83 konsumentens//NN|UTR|SIN|DEF|GEN//nmod:poss//83 fördel//NN|UTR|SIN|IND|NOM//obl//77 ,//MID//punct//77 dvs.//AB|AN//advmod//88 omkring//AB//advmod//87 1//RG|NOM//nummod//88 900//RG|NOM//nummod//89 fall//NN|NEU|PLU|IND|NOM//obl//77 per//PP//case//91 år//NN|NEU|SIN|IND|NOM//nmod//89 .//MAD//punct//5
Svar:;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 förutser//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//4 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 ökning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//7 antalet//NN|NEU|SIN|DEF|NOM//nmod//7 anmälningar//NN|UTR|PLU|IND|NOM//nmod//4 till//PP//case//9 ARN//PM|NOM//nmod//7 på//PP//case//14 grund//NN|UTR|SIN|IND|NOM//fixed//10 av//PP//fixed//10 de//DT|UTR/NEU|PLU|DEF//det//14 förslag//NN|NEU|PLU|IND|NOM//obl//1 som//HP|-|-|-//nsubj:pass//16 lämnas//VB|PRS|SFO//acl:relcl//14 av//PP//case//18 utredningen//NN|UTR|SIN|DEF|NOM//obl:agent//16 och//KN//cc//22 den//DT|UTR|SIN|DEF//det//22 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 utvecklingen//NN|UTR|SIN|DEF|NOM//conj//18 ,//MID//punct//22 särskilt//AB//advmod//25 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//26 e-handel//NN|UTR|SIN|IND|NOM//appos//22 ,//MID//punct//1 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//29 utbud//NN|NEU|SIN|IND|NOM//obj//1 av//PP//case//31 lågprisprodukter//NN|UTR|PLU|IND|NOM//nmod//29 och//KN//cc//36 ett//DT|NEU|SIN|IND//det//36 generellt//AB|POS//advmod//35 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//36 utbud//NN|NEU|SIN|IND|NOM//conj//29 av//PP//case//39 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 produkter//NN|UTR|PLU|IND|NOM//nmod//36 och//KN//cc//41 tjänster//NN|UTR|PLU|IND|NOM//conj//39 .//MAD//punct//1
Svar:;Enligt//PP//case//45 vår//PS|UTR|SIN|DEF//nmod:poss//45 bedömning//NN|UTR|SIN|IND|NOM//obl//52 kommer//VB|PRS|AKT//aux//52 antalet//NN|NEU|SIN|DEF|NOM//nmod//48 ärenden//NN|NEU|PLU|IND|NOM//nsubj//52 vid//PP//case//50 ARN//PM|NOM//nmod//48 att//IE//mark//52 öka//VB|INF|AKT//parataxis//1 succesivt//AB|POS//advmod//52 under//PP//case//57 de//DT|UTR/NEU|PLU|DEF//det//57 närmaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//57 åren//NN|NEU|PLU|DEF|NOM//obl//52 med//PP//case//61 omkring//AB//advmod//60 20-25//RG|NOM//nummod//61 procent//NN|UTR|PLU|IND|NOM//obl//52 ,//MID//punct//61 dvs.//AB|AN//advmod//68 med//PP//case//68 cirka//AB//advmod//66 2//RG|NOM//nummod//67 000//RG|NOM//nummod//68 anmälningar//NN|UTR|PLU|IND|NOM//appos//61 per//PP//case//70 år//NN|NEU|SIN|IND|NOM//nmod//68 .//MAD//punct//1
Svar:;4//RG|NOM//discourse//2 .//MAD//punct//0
Svar:;Fråga//NN|UTR|SIN|IND|NOM//ROOT//2 ://MID//punct//2
Svar:; //_SP////3 Hur//HA//advmod//8 ska//VB|PRS|AKT//aux//8 ARN//PM|NOM//nsubj//8 klara//VB|INF|AKT//appos//2 det//DT|NEU|SIN|DEF//det//11 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//11 antalet//NN|NEU|SIN|DEF|NOM//nmod//12 ärenden//NN|NEU|PLU|IND|NOM//obj//8 ?//MAD//punct//2
