– reformvård till stöd för en bättre skola;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 en//DT|UTR|SIN|IND//det//6 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 skola//NN|UTR|SIN|IND|NOM//nmod//2 genom//PP//case//10 mer//AB|KOM//advmod//9 attraktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 skolprofessioner//NN|UTR|PLU|IND|NOM//obl//0
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;21//RG|NOM//nummod//1 §//NN|AN//ROOT//1
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;I//PP//case//3 fråga//NN|UTR|SIN|IND|NOM//fixed//0 om//PP//case//3 tidsbegränsning//NN|UTR|SIN|IND|NOM//obl//13 av//PP//case//6 en//DT|UTR|SIN|IND//det//6 anställning//NN|UTR|SIN|IND|NOM//nmod//3 som//KN//mark//8 lärare//NN|UTR|SIN|IND|NOM//nmod//6 eller//KN//cc//10 förskollärare//NN|UTR|PLU|IND|NOM//conj//8 i//PP//case//12 skolväsendet//NN|NEU|SIN|DEF|NOM//nmod//10 gäller//VB|PRS|AKT//ROOT//13 ,//MID//punct//13 utöver//PP//case//16 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//13 i//PP//case//18 lagen//NN|UTR|SIN|DEF|NOM//nmod//16 (//PAD//punct//13 1982:80//RG|NOM//appos//13 )//PAD//punct//20 om//PP//case//23 anställningsskydd//NN|NEU|SIN|IND|NOM//obl//13 ,//MID//punct//37 att//SN//mark//37 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//37 som//HP|-|-|-//nsubj//29 ska//VB|PRS|AKT//aux//29 bedriva//VB|INF|AKT//acl:relcl//26 undervisning//NN|UTR|SIN|IND|NOM//obj//29 1//RG|NOM//nummod//30 .//MAD//punct//26
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;enligt//PP//case//35 18//RG|NOM//nummod//35 §//NN|AN//obl//37 får//VB|PRS|AKT//aux//37 anställas//VB|INF|SFO//advcl//13 för//PP//case//41 högst//AB|SUV//advmod//40 ett//RG|NEU|SIN|IND|NOM//nummod//41 år//NN|NEU|SIN|IND|NOM//obl//37 i//PP//case//43 sänder//NN|-|-|-|-//obl//37 ,//MID//punct//37 3//RG|NOM//nummod//37 .//MAD//punct//13
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;enligt//PP//case//48 föreskrifter//NN|UTR|PLU|IND|NOM//obl//58 som//HP|-|-|-//nsubj:pass//50 meddelats//VB|SUP|SFO//acl:relcl//48 med//PP//case//52 stöd//NN|NEU|SIN|IND|NOM//obl//50 av//PP//case//56 22//RG|NOM//nummod//56 c//NN|AN//case//56 §//NN|AN//nmod//52 får//VB|PRS|AKT//aux//58 anställas//VB|INF|SFO//conj//13 för//PP//case//62 högst//AB|SUV//advmod//61 tre//RG|NOM//nummod//62 år//NN|NEU|PLU|IND|NOM//obl//58 .//MAD//punct//13
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;I//PP//case//1 fall//NN|NEU|PLU|IND|NOM//obl//10 som//HP|-|-|-//nsubj:pass//3 avses//VB|PRS|SFO//acl:relcl//1 i//PP//case//6 första//RO|NOM//amod//6 stycket//NN|NEU|SIN|DEF|NOM//obl//3 2//RG|NOM//obl//3 får//VB|PRS|AKT//aux//10 anställningstiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//10 förlängas//VB|INF|SFO//ROOT//10 till//PP//case//14 högst//AB|SUV//advmod//13 tre//RG|NOM//nummod//14 år//NN|NEU|PLU|IND|NOM//obl//10 ,//MID//punct//14 om//SN//mark//18 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 finns//VB|PRS|SFO//advcl//10 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//20 skäl//NN|NEU|PLU|IND|NOM//nsubj//18 .//MAD//punct//10
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;I//PP//case//2 de//DT|UTR/NEU|PLU|DEF//det//2 fall//NN|NEU|PLU|IND|NOM//obl//11 som//HP|-|-|-//nsubj:pass//4 avses//VB|PRS|SFO//acl:relcl//2 i//PP//case//7 första//RO|NOM//amod//7 stycket//NN|NEU|SIN|DEF|NOM//obl//4 3//RG|NOM//obl//4 får//VB|PRS|AKT//aux//11 anställningstiden//NN|UTR|SIN|DEF|NOM//nsubj:pass//11 förlängas//VB|INF|SFO//ROOT//11 till//PP//case//15 högst//AB|SUV//advmod//14 fyra//RG|NOM//nummod//15 år//NN|NEU|PLU|IND|NOM//obl//11 om//SN//mark//18 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 finns//VB|PRS|SFO//advcl//11 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//20 skäl//NN|NEU|PLU|IND|NOM//nsubj//18 .//MAD//punct//11
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;22//RG|NOM//nummod//24 a//NN|NEU|SIN|IND|NOM//case//24 §//NN|AN//nmod//26 En//DT|UTR|SIN|IND//det//26 huvudman//NN|UTR|SIN|IND|NOM//parataxis//11 som//HP|-|-|-//nsubj//29 har//VB|PRS|AKT//aux//29 anställt//VB|SUP|AKT//acl:relcl//26 en//DT|UTR|SIN|IND//det//31 lärare//NN|UTR|SIN|IND|NOM//obj//29 eller//KN//cc//33 förskollärare//NN|UTR|PLU|IND|NOM//conj//31 som//HP|-|-|-//nsubj//35 har//VB|PRS|AKT//acl:relcl//33 behörighetsgivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 examen//NN|UTR|SIN|IND|NOM//obj//35 ska//VB|PRS|AKT//aux//39 se//VB|INF|AKT//conj//11 till//PL//compound:prt//39 att//SN//mark//51 läraren//NN|UTR|SIN|DEF|NOM//nsubj:pass//51 eller//KN//cc//44 förskolläraren//NN|UTR|SIN|DEF|NOM//conj//42 i//PP//case//47 omedelbar//JJ|POS|UTR|SIN|IND|NOM//amod//47 anslutning//NN|UTR|SIN|IND|NOM//nmod//42 till//PP//mark//51 att//SN//mark//51 anställningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//51 påbörjas//VB|PRS|SFO//ccomp//39 genomför//VB|PRS|AKT//advmod//51 en//DT|UTR|SIN|IND//det//54 introduktionsperiod//NN|UTR|SIN|IND|NOM//obj//52 inom//PP//case//56 undervisning//NN|UTR|SIN|IND|NOM//obl//52 som//HP|-|-|-//nsubj//60 i//PP//advmod//60 huvudsak//NN|UTR|SIN|IND|NOM//fixed//58 svarar//VB|PRS|AKT//acl:relcl//56 mot//PP//case//65 lärarens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 eller//KN//cc//64 förskollärarens//NN|UTR|SIN|DEF|GEN//conj//62 behörighet//NN|UTR|SIN|IND|NOM//obl//60 ,//MID//punct//39 om//SN//mark//74 inte//AB//advmod//69 läraren//NN|UTR|SIN|DEF|NOM//nsubj//74 eller//KN//cc//71 förskolläraren//NN|UTR|SIN|DEF|NOM//conj//69 tidigare//AB|KOM//advmod//74 har//VB|PRS|AKT//aux//74 genomfört//VB|SUP|AKT//advcl//39 en//DT|UTR|SIN|IND//det//77 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//77 introduktionsperiod//NN|UTR|SIN|IND|NOM//obj//74 .//MAD//punct//11
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;Första//RO|NOM//amod//1 stycket//NN|NEU|SIN|DEF|NOM//nsubj//2 gäller//VB|PRS|AKT//ROOT//2 inte//AB//advmod//2 lärare//NN|UTR|PLU|IND|NOM//nsubj//2 och//KN//cc//6 förskollärare//NN|UTR|PLU|IND|NOM//conj//4 som//HP|-|-|-//nsubj:pass//8 anställs//VB|PRS|SFO//acl:relcl//6 för//PP//mark//29 att//IE//mark//29 med//PP//case//12 stöd//NN|NEU|SIN|IND|NOM//obl//29 av//PP//case//17 17//RG|NOM//nummod//17 eller//KN//cc//14 18//RG|NOM//nummod//14 §//NN|AN//nmod//12 eller//KN//cc//19 föreskrifter//NN|UTR|PLU|IND|NOM//conj//17 som//HP|-|-|-//nsubj:pass//21 meddelas//VB|PRS|SFO//acl:relcl//19 med//PP//case//23 stöd//NN|NEU|SIN|IND|NOM//obl//21 av//PP//case//28 13//RG|NOM//nummod//26 §//NN|AN//nmod//28 tredje//RO|NOM//amod//28 stycket//NN|NEU|SIN|DEF|NOM//nmod//23 bedriva//VB|INF|AKT//advcl//8 viss//JJ|POS|UTR|SIN|IND|NOM//amod//31 undervisning//NN|UTR|SIN|IND|NOM//obj//29 utan//PP//mark//35 att//IE//mark//35 vara//VB|INF|AKT//cop//35 behörig//JJ|POS|UTR|SIN|IND|NOM//advcl//29 enligt//PP//case//38 13//RG|NOM//nummod//38 §//NN|AN//obl//35 första//RO|NOM//amod//40 stycket//NN|NEU|SIN|DEF|NOM//obl//35 .//MAD//punct//2
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;Om//SN//mark//49 läraren//NN|UTR|SIN|DEF|NOM//nsubj//49 eller//KN//cc//45 förskolläraren//NN|UTR|SIN|DEF|NOM//conj//43 inom//PP//case//48 samma//DT|UTR/NEU|SIN/PLU|IND//det//48 anställning//NN|UTR|SIN|IND|NOM//obl//49 övergår//VB|PRS|AKT//advcl//2 till//PP//mark//52 att//IE//mark//52 bedriva//VB|INF|AKT//advcl//49 undervisning//NN|UTR|SIN|IND|NOM//obj//52 som//HP|-|-|-//obj//59 han//PN|UTR|SIN|DEF|SUB//nsubj//59 eller//KN//cc//57 hon//PN|UTR|SIN|DEF|SUB//conj//55 är//VB|PRS|AKT//cop//59 behörig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//53 för//PP//case//59 ,//MID//punct//66  //_SP////61 ska//VB|PRS|AKT//aux//66 dock//AB//advmod//66 huvudmannen//NN|UTR|SIN|DEF|NOM//nsubj//66 se//VB|INF|AKT//conj//49 till//PL//compound:prt//66 att//SN//mark//72 läraren//NN|UTR|SIN|DEF|NOM//nsubj//72 eller//KN//cc//71 förskolläraren//NN|UTR|SIN|DEF|NOM//conj//69 genomför//VB|PRS|AKT//ccomp//66 en//DT|UTR|SIN|IND//det//75 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//75 introduktionsperiod//NN|UTR|SIN|IND|NOM//obj//72 som//HP|-|-|-//nsubj:pass//77 avses//VB|PRS|SFO//acl:relcl//75 i//PP//case//80 första//RO|NOM//amod//80 stycket//NN|NEU|SIN|DEF|NOM//obl//77 .//MAD//punct//2
1.1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap.;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//8 eller//KN//cc//3 den//DT|UTR|SIN|DEF//det//3 myndighet//NN|UTR|SIN|IND|NOM//conj//0 som//HP|-|-|-//obj//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 bestämmer//VB|PRS|AKT//acl:relcl//3 får//VB|PRS|AKT//aux//8 meddela//VB|INF|AKT//ROOT//8 föreskrifter//NN|UTR|PLU|IND|NOM//obj//8 om//PP//case//11 introduktionsperioden//NN|UTR|SIN|DEF|NOM//obl//8 och//KN//cc//15 om//PP//case//15 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 undantag//NN|NEU|PLU|IND|NOM//conj//11 från//PP//case//18 första//RO|NOM//amod//18 stycket//NN|NEU|SIN|DEF|NOM//nmod//15 .//MAD//punct//8
