Ny PBL – på rätt sätt;Slutrapport//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 kompetensinsatser//NN|UTR|PLU|IND|NOM//nmod//2 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//8 en//DT|UTR|SIN|IND//det//8 ny//JJ|POS|UTR|SIN|IND|NOM//amod//8 plan-//NN|UTR|-|-|SMS//obl//0 och//KN//cc//10 bygglag//NN|NEU|SIN|IND|NOM//conj//8
1.1 Uppdraget;Det//DT|NEU|SIN|DEF//det//2 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 syftet//NN|NEU|SIN|DEF|NOM//nsubj//3 var//VB|PRT|AKT//ROOT//3 att//IE//mark//5 bidra//VB|INF|AKT//ccomp//3 till//PP//case//13 en//DT|UTR|SIN|IND//det//13 snabb//JJ|POS|UTR|SIN|IND|NOM//amod//13 ,//MID//punct//10 effektiv//JJ|POS|UTR|SIN|IND|NOM//conj//8 och//KN//cc//12 rättssäker//JJ|POS|UTR|SIN|IND|NOM//conj//8 tillämpning//NN|UTR|SIN|IND|NOM//obl//5 av//PP//case//17 den//DT|UTR|SIN|DEF//det//17 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 lagen//NN|UTR|SIN|DEF|NOM//nmod//13 .//MAD//punct//3
1.1 Uppdraget;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//22 med//PP//case//21 kompetensinsatserna//NN|UTR|PLU|DEF|NOM//nmod//19 var//VB|PRT|AKT//parataxis//3 därför//AB//mark//26 att//IE//fixed//23 //NN|AN//nsubj//26 påskynda//VB|INF|AKT//advcl//22 en//DT|UTR|SIN|IND//det//28 introduktion//NN|UTR|SIN|IND|NOM//obj//26 av//PP//case//32 den//DT|UTR|SIN|DEF//det//32 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 lagen//NN|UTR|SIN|DEF|NOM//nmod//28 ,//MID//punct//34 //IE//nsubj//35 stärka//VB|INF|AKT//conj//22 kompetensen//NN|UTR|SIN|DEF|NOM//obj//35 och//KN//cc//39 därmed//AB//advmod//39 effektiviteten//NN|UTR|SIN|DEF|NOM//conj//35 hos//PP//case//41 kommuner//NN|UTR|PLU|IND|NOM//nmod//39 ,//MID//punct//43 länsstyrelser//NN|UTR|PLU|IND|NOM//conj//41 och//KN//cc//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 myndigheter//NN|UTR|PLU|IND|NOM//conj//41 ,//MID//punct//39 //NN|AN//nsubj//50 skapa//VB|INF|AKT//conj//22 förutsättningar//NN|UTR|PLU|IND|NOM//obj//50 för//PP//case//56 en//DT|UTR|SIN|IND//det//56 nationellt//AB|POS//advmod//55 harmoniserad//PC|PRF|UTR|SIN|IND|NOM//amod//56 tillämpning//NN|UTR|SIN|IND|NOM//nmod//51 av//PP//case//58 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//56 och//KN//cc//60 //NN|UTR|SIN|DEF|NOM//conj//58 utveckla//VB|INF|AKT//conj//50 förutsättningar//NN|UTR|PLU|IND|NOM//obj//61 för//PP//case//66 ett//DT|NEU|SIN|IND//det//66 förbättrat//PC|PRF|NEU|SIN|IND|NOM//amod//66 samspel//NN|NEU|SIN|IND|NOM//nmod//62 på//PP//case//68 plan-//NN|UTR|-|-|SMS//nmod//66 och//KN//cc//70 byggområdet//NN|NEU|SIN|DEF|NOM//conj//68 .//MAD//punct//22
1.1 Uppdraget;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//1 innebar//VB|PRT|AKT//ROOT//1 att//SN//mark//5 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//5 skulle//VB|PRT|AKT//aux//5 ta//VB|INF|AKT//ccomp//1 fram//PL//compound:prt//5 utbildningsmaterial//NN|NEU|SIN|IND|NOM//obj//5 som//HP|-|-|-//nsubj//12 i//PP//advmod//12 första//RO|NOM//fixed//9 hand//NN|UTR|SIN|IND|NOM//fixed//9 behandlade//VB|PRT|AKT//acl:relcl//7 förändringarna//NN|UTR|PLU|DEF|NOM//obj//12 i//PP//case//17 den//DT|UTR|SIN|DEF//det//17 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 lagen//NN|UTR|SIN|DEF|NOM//obl//12 ,//MID//punct//19 tog//VB|PRT|AKT//conj//1 upp//PL//compound:prt//19 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 problemområden//NN|NEU|PLU|IND|NOM//obj//19 och//KN//cc//24 sakfrågor//NN|UTR|PLU|IND|NOM//conj//22 och//KN//cc//26 tillgodosåg//VB|PRT|AKT//conj//19 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 målgruppers//NN|UTR|PLU|IND|GEN//nmod:poss//29 behov//NN|NEU|PLU|IND|NOM//obj//26 och//KN//cc//31 ansvarsområden//NN|NEU|PLU|IND|NOM//conj//29 .//MAD//punct//1
1.1 Uppdraget;Vidare//AB|KOM//advmod//34 innebar//VB|PRT|AKT//parataxis//1 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//34 att//IE//mark//37 ta//VB|INF|AKT//advcl//34 fram//PL//compound:prt//37 målgruppsanpassat//PC|PRF|NEU|SIN|IND|NOM//amod//40 informationsmaterial//NN|NEU|SIN|IND|NOM//obj//37 om//PP//case//44 den//DT|UTR|SIN|DEF//det//44 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 lagen//NN|UTR|SIN|DEF|NOM//obl//37 .//MAD//punct//34
1.1 Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//49 skulle//VB|PRT|AKT//aux//49 också//AB//advmod//49 bilda//VB|INF|AKT//conj//34 ett//DT|NEU|SIN|IND//det//51 forum//NN|NEU|SIN|IND|NOM//obj//49 för//PP//mark//54 att//IE//mark//54 stödja//VB|INF|AKT//advcl//49 introduktionen//NN|UTR|SIN|DEF|NOM//obj//54 av//PP//case//59 den//DT|UTR|SIN|DEF//det//59 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//59 lagen//NN|UTR|SIN|DEF|NOM//nmod//55 gentemot//PP//case//61 företag//NN|NEU|PLU|IND|NOM//nmod//59 och//KN//cc//63 allmänhet//NN|UTR|SIN|IND|NOM//conj//61 .//MAD//punct//34

1.2 Kommitténs program 2010 – 2012;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 presenterade//VB|PRT|AKT//ROOT//1 ,//MID//punct//6 i//PP//case//6 enlighet//NN|UTR|SIN|IND|NOM//fixed//3 med//PP//case//6 uppdraget//NN|NEU|SIN|DEF|NOM//obl//1 ,//MID//punct//10 ett//DT|NEU|SIN|IND//det//10 första//RO|NOM//amod//10 program//NN|NEU|SIN|IND|NOM//conj//6 för//PP//case//12 arbetet//NN|NEU|SIN|DEF|NOM//nmod//10 redan//AB//advmod//17 i//PP//case//17 det//DT|NEU|SIN|DEF//det//17 inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 skedet//NN|NEU|SIN|DEF|NOM//obl//10 .//MAD//punct//1
1.2 Kommitténs program 2010 – 2012;Därefter//AB//advmod//22 har//VB|PRS|AKT//aux//22 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//22 presenterat//VB|SUP|AKT//conj//1 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 uppdaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//28 och//KN//cc//27 mer//AB|KOM//advmod//27 preciserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//24 program//NN|NEU|PLU|IND|NOM//obj//22 i//PP//case//31 fyra//RG|NOM//nummod//31 omgångar//NN|UTR|PLU|IND|NOM//obl//22 .//MAD//punct//22
1.2 Kommitténs program 2010 – 2012;Bilaga//NN|UTR|SIN|IND|NOM//nsubj//35 2//RG|NOM//nummod//33 ger//VB|PRS|AKT//conj//1 en//DT|UTR|SIN|IND//det//37 överblick//NN|UTR|SIN|IND|NOM//obj//35 över//PP//case//41 alla//DT|UTR/NEU|PLU|IND/DEF//det//41 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//41 aktiviteter//NN|UTR|PLU|IND|NOM//nmod//37 under//PP//case//44 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 utredningstiden//NN|UTR|SIN|DEF|NOM//obl//35 ,//MID//punct//35 d.v.s.//AB|AN//advmod//49 för//PP//case//49 åren//NN|NEU|PLU|DEF|NOM//nmod//49 2010–2012//RG|NOM//appos//35 .//MAD//punct//49
1.2 Kommitténs program 2010 – 2012;1.2.1//RG|NOM//nmod//52 Program//NN|NEU|PLU|IND|NOM//appos//49 i//PP//case//54 september//NN|UTR|SIN|IND|NOM//nmod//52 2010//RG|NOM//nummod//52 med//PP//case//58 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//58 mål//NN|NEU|PLU|IND|NOM//nmod//49 för//PP//case//61 sin//PS|UTR|SIN|DEF//nmod:poss//61 verksamhet//NN|UTR|SIN|IND|NOM//nmod//58
