Arbetslivets (o)synliga murar;Redaktör//NN|UTR|SIN|IND|NOM//ROOT//0 ://MID//punct//0
Förord;Dessa//DT|UTR/NEU|PLU|DEF//det//64 associationer//NN|UTR|PLU|IND|NOM//nsubj//65 förstärker//VB|PRS|AKT//parataxis//39 den//DT|UTR|SIN|DEF//det//69 rådande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 etniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//69 maktordningen//NN|UTR|SIN|DEF|NOM//nsubj//65 på//PP//case//71 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//obl//65 genom//PP//mark//74 att//IE//mark//74 undvika//VB|INF|AKT//advcl//65 att//IE//mark//76 fokusera//VB|INF|AKT//xcomp//74 på//PP//case//82 samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//82 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 och//KN//cc//81 institutionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//79 förhållanden//NN|NEU|PLU|IND|NOM//obl//76 som//HP|-|-|-//nsubj//84 utgör//VB|PRS|AKT//acl:relcl//82 hinder//NN|NEU|PLU|IND|NOM//obj//84 för//PP//case//87 tillgång//NN|UTR|SIN|IND|NOM//nmod//85 till//PP//case//89 arbete//NN|NEU|SIN|IND|NOM//nmod//87 och//KN//cc//91 delaktighet//NN|UTR|SIN|IND|NOM//conj//89 i//PP//case//93 samhället//NN|NEU|SIN|DEF|NOM//nmod//91 på//PP//case//96 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 villkor//NN|NEU|PLU|IND|NOM//obl//84 .//MAD//punct//39
Förord;Ofta//AB|POS//advmod//1 framförs//VB|PRS|SFO//ROOT//1 bristande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 kunskaper//NN|UTR|PLU|IND|NOM//nsubj:pass//1 i//PP//case//7 det//DT|NEU|SIN|DEF//det//7 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 språket//NN|NEU|SIN|DEF|NOM//nmod//3 som//KN//mark//11 ett//DT|NEU|SIN|IND//det//11 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//11 hinder//NN|NEU|SIN|IND|NOM//obl//1 för//PP//case//14 ”//PAD//punct//14 invandrarna//NN|UTR|PLU|DEF|NOM//nmod//11 ”//PM|NOM//punct//11 att//IE//mark//17 få//VB|INF|AKT//acl//11 arbete//NN|NEU|SIN|IND|NOM//obj//17 i//PP//case//20 Sverige//PM|NOM//obl//17 .//MAD//punct//1
Förord;Flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//26 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 och//KN//cc//25 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//23 studier//NN|UTR|PLU|IND|NOM//nsubj//27 visar//VB|PRS|AKT//parataxis//1 att//SN//mark//33 språkets//NN|NEU|SIN|DEF|GEN//nmod:poss//30 betydelse//NN|UTR|SIN|IND|NOM//nsubj//33 är//VB|PRS|AKT//cop//33 kraftigt//AB|POS//advmod//33 överdriven//PC|PRF|UTR|SIN|IND|NOM//ccomp//27 och//KN//cc//37 att//SN//mark//37 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//37 finns//VB|PRS|SFO//conj//27 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 och//KN//cc//41 institutionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//39 hinder//NN|NEU|PLU|IND|NOM//nsubj//37 som//HP|-|-|-//nsubj//44 spelar//VB|PRS|AKT//acl:relcl//42 betydligt//AB//advmod//46 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 roll//NN|UTR|SIN|IND|NOM//obj//44 för//PP//case//49 exkludering//NN|UTR|SIN|IND|NOM//nmod//47 av//PP//case//51 personer//NN|UTR|PLU|IND|NOM//nmod//49 med//PP//case//53 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//51 från//PP//case//55 arbetsmarkanden//NN|UTR|SIN|DEF|NOM//nmod//53 och//KN//cc//57 arbetslivet//NN|NEU|SIN|DEF|NOM//conj//55 .//MAD//punct//27
Förord;Utseende//NN|NEU|SIN|IND|NOM//parataxis//27 ,//MID//punct//61 hudfärg//NN|UTR|SIN|IND|NOM//conj//59 ,//MID//punct//63 namn//NN|NEU|SIN|IND|NOM//conj//59 ,//MID//punct//66 religiös//JJ|POS|UTR|SIN|IND|NOM//amod//66 tillhörighet//NN|UTR|SIN|IND|NOM//conj//59 och//KN//cc//68 var//VB|PRT|AKT//conj//59 i//PP//case//70 världen//NN|UTR|SIN|DEF|NOM//nmod//68 man//PN|UTR|SIN|IND|SUB//nsubj//73 är//VB|PRS|AKT//cop//73 född//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//59 begränsar//VB|PRS|AKT//xcomp//73 respektive//AB//cc//76 ökar//VB|PRS|AKT//conj//27 individens//NN|UTR|SIN|DEF|GEN//nmod:poss//78 chanser//NN|UTR|PLU|IND|NOM//obj//76 på//PP//case//80 arbetsmarkanden//NN|NEU|PLU|DEF|NOM//nmod//78 .//MAD//punct//1
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//87 är//VB|PRS|AKT//cop//87 inte//AB//advmod//87 så//AB//advmod//86 mycket//AB|POS//amod//87 språket//NN|NEU|SIN|DEF|NOM//parataxis//1 utan//PP//case//89 brytningen//NN|UTR|SIN|DEF|NOM//nmod//87 som//HP|-|-|-//nsubj//91 påverkar//VB|PRS|AKT//acl:relcl//89 ”//PM|NOM//punct//95 invandrarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//94 ”//PAD//punct//95 tillgång//NN|UTR|SIN|IND|NOM//obj//91 till//PP//case//97 arbete//NN|NEU|SIN|IND|NOM//nmod//95 och//KN//cc//100 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//100 möjligheter//NN|UTR|PLU|IND|NOM//conj//95 och//KN//cc//102 hinder//NN|NEU|PLU|IND|NOM//conj//95 i//PP//case//104 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//102 .//MAD//punct//95
Förord;Bryter//VB|PRS|AKT//advcl//113 man//PN|UTR|SIN|IND|SUB//nsubj//106 på//PP//case//110 amerikanska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 respektive//AB//obl//106 på//PP//case//112 arabiska//NN|UTR|SIN|IND|NOM//obl//106 ger//VB|PRS|AKT//parataxis//1 individen//NN|UTR|SIN|DEF|NOM//iobj//113 olika//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//116 status//NN|UTR|SIN|IND|NOM//obj//113 och//KN//cc//119 därmed//AB//advmod//119 påverkar//VB|PRS|AKT//conj//113 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//121 möjligheter//NN|UTR|PLU|IND|NOM//obj//119 på//PP//case//123 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//121 .//MAD//punct//113
Förord;Dessa//DT|UTR/NEU|PLU|DEF//det//126 egenskapers//NN|UTR|PLU|IND|GEN//nmod:poss//128 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//128 status//NN|UTR|SIN|IND|NOM//nsubj:pass//129 bestäms//VB|PRS|SFO//parataxis//113 inte//AB//advmod//129 av//PP//case//132 innehavarna//NN|UTR|PLU|DEF|NOM//obl:agent//129 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//132 ,//MID//punct//129 utan//KN//cc//139 av//PP//case//139 det//DT|NEU|SIN|DEF//det//139 omgivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//139 samhället//NN|NEU|SIN|DEF|NOM//conj//129 och//KN//cc//145 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//145 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//145 och//KN//cc//144 institutionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//142 sammanhang//NN|NEU|PLU|IND|NOM//conj//139 .//MAD//punct//113
Förord;Arbetsplatserna//NN|UTR|PLU|DEF|NOM//nsubj//5 och//KN//cc//2 arbetsorganisationerna//NN|UTR|PLU|DEF|NOM//conj//0 är//VB|PRS|AKT//cop//5 inte//AB//advmod//5 isolerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//5 från//PP//case//9 det//DT|NEU|SIN|DEF//det//9 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 samhället//NN|NEU|SIN|DEF|NOM//obl//5 och//KN//cc//17 är//VB|PRS|AKT//cop//17 en//DT|UTR|SIN|IND//det//17 historiskt//AB|POS//amod//16 och//KN//cc//15 kulturellt//AB|POS//advmod//16 definierad//PC|PRF|UTR|SIN|IND|NOM//amod//17 plats//NN|UTR|SIN|IND|NOM//conj//5 för//PP//case//20 social//JJ|POS|UTR|SIN|IND|NOM//amod//20 interaktion//NN|UTR|SIN|IND|NOM//nmod//17 ,//MID//punct//22 förhandling//NN|UTR|SIN|IND|NOM//conj//20 och//KN//cc//24 maktutövande//NN|NEU|SIN|IND|NOM//conj//20 .//MAD//punct//5
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 är//VB|PRS|AKT//cop//4 inte//AB//advmod//4 bara//AB//advmod//4 tillgången//NN|UTR|SIN|DEF|NOM//ROOT//4 till//PP//case//6 arbete//NN|NEU|SIN|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//11 är//VB|PRS|AKT//cop//11 ett//DT|NEU|SIN|IND//det//11 påtagligt//JJ|POS|NEU|SIN|IND|NOM//amod//11 problem//NN|NEU|SIN|IND|NOM//acl:cleft//4 för//PP//case//14 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 personer//NN|UTR|PLU|IND|NOM//nmod//11 med//PP//case//16 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//14 ,//MID//punct//21 utan//KN//cc//21 också//AB//advmod//21 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//21 situation//NN|UTR|SIN|IND|NOM//nmod//4 i//PP//case//23 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//21 .//MID//punct//4
Förord;Många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 personer//NN|UTR|PLU|IND|NOM//nsubj:pass//29 med//PP//case//28 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//26 andrafieras//VB|PRS|SFO//parataxis//4 genom//PP//mark//33 att//SN//mark//33 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//33 ses//VB|PRS|SFO//advcl//29 som//KN//mark//36 ”//PAD//punct//36 mångfaldsagenter//NN|UTR|PLU|IND|NOM//xcomp//33 ”//RG|NOM//punct//36 som//HP|-|-|-//nsubj//39 besitter//VB|PRS|AKT//appos//36 ”//PAD//punct//41 kulturkompetens//NN|UTR|SIN|IND|NOM//obj//39 ”//PAD//punct//4 på//PP//case//47 grund//NN|UTR|SIN|IND|NOM//fixed//43 av//PP//fixed//43 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//47 ”//PAD//nmod//48 olikheter//NN|UTR|PLU|IND|NOM//nmod//4 ”//PM|NOM//punct//48 från//PP//case//52 ”//PM|NOM//punct//52 oss//PN|UTR|PLU|DEF|OBJ//nmod//48 ”//PAD//punct//48 .//MAD//punct//4
