En samlad tolktjänst;–//RG|NOM//punct//1 samordning//NN|UTR|SIN|IND|NOM//ROOT//1 och//KN//cc//3 utveckling//NN|UTR|SIN|IND|NOM//conj//1 av//PP//case//5 tolktjänst//NN|UTR|SIN|IND|NOM//nmod//3 för//PP//case//7 barndomsdöva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//3 ,//MID//punct//9 vuxendöva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 ,//MID//punct//11 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//7 och//KN//cc//13 personer//NN|UTR|PLU|IND|NOM//conj//7 med//PP//case//15 dövblindhet//NN|UTR|SIN|IND|NOM//obl//1
Till statsrådet Maria Larsson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Tolktjänstutredningen//NN|UTR|SIN|DEF|NOM//obj//4 ,//MID//punct//0 får//VB|PRS|AKT//aux//10 härmed//AB//advmod//10 överlämna//VB|INF|AKT//ROOT//10 betänkandet//NN|NEU|SIN|DEF|NOM//obj//10 ,//MID//punct//15 En//DT|UTR|SIN|IND//det//15 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//15 Tolktjänst//NN|UTR|SIN|IND|NOM//appos//10 -//MID//punct//15 samordning//NN|UTR|SIN|IND|NOM//obj//10 och//KN//cc//19 utveckling//NN|UTR|SIN|IND|NOM//conj//17 av//PP//case//21 tolktjänst//NN|UTR|SIN|IND|NOM//nmod//19 för//PP//case//23 barndomsdöva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//19 ,//MID//punct//25 vuxendöva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//23 ,//MID//punct//27 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//23 och//KN//cc//29 personer//NN|UTR|PLU|IND|NOM//conj//23 med//PP//case//31 dövblindhet//NN|UTR|SIN|IND|NOM//nmod//29  //_SP////31 (//PAD//punct//17 SOU//PM|NOM//obl//10 2011:83//RG|NOM//obl//10 )//PAD//punct//10 .//MAD//punct//10
Till statsrådet Maria Larsson;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//41 är//VB|PRS|AKT//cop//41 därmed//AB//advmod//41 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//10 .//MAD//punct//10
Till statsrådet Maria Larsson;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//obl//0 2011//RG|NOM//nummod//2
Till statsrådet Maria Larsson;Greger//PM|NOM//nmod//3 Bååth//PM|NOM//flat:name//0 /Martin//RG|NOM//advmod//0 Färnsten//NN|UTR|SIN|DEF|NOM//ROOT//3
Till statsrådet Maria Larsson;Susanne//PM|NOM//ROOT//0 Ritseson//PM|NOM//flat//0 4.3//RG|NOM//nmod//0 Bedömning//NN|UTR|SIN|IND|NOM//flat:name//0 av//PP//case//6 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 reglering//NN|UTR|SIN|IND|NOM//nmod//3 och//KN//cc//8 organisering//NN|UTR|SIN|IND|NOM//conj//6 av//PP//case//12 4.9//RG|NOM//nmod//12 Kombinerad//PC|PRF|UTR|SIN|IND|NOM//amod//12 ledsagning//NN|UTR|SIN|IND|NOM//nmod//8 och//KN//cc//14 tolkning//NN|UTR|SIN|IND|NOM//conj//12 för//PP//case//16 personer//NN|UTR|PLU|IND|NOM//nmod//14 med//PP//case//0


1 Förslag till lag (2014:000) om tolktjänst till barndomsdöva, vuxendöva, hörselskadade och personer med dövblindhet;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1

1 Förslag till lag (2014:000) om tolktjänst till barndomsdöva, vuxendöva, hörselskadade och personer med dövblindhet / Inledande bestämmelse;1//RG|NOM//nummod//1 §//NN|AN//obl//5  //_SP////1 Denna//DT|UTR|SIN|DEF//det//4 lag//NN|UTR|SIN|IND|NOM//nsubj//5 innehåller//VB|PRS|AKT//ROOT//5 bestämmelser//NN|UTR|PLU|IND|NOM//obj//5 om//PP//case//9 den//DT|UTR|SIN|DEF//det//9 tolktjänst//NN|UTR|SIN|IND|NOM//nmod//6 som//HP|-|-|-//obl//13 Tolktjänstmyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//13 ska//VB|PRS|AKT//aux//13 erbjuda//VB|INF|AKT//acl:relcl//9 barndomsdöva//AB//acl//9 ,//MID//punct//16 vuxendöva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//14 ,//MID//punct//18 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//14 och//KN//cc//20 personer//NN|UTR|PLU|IND|NOM//conj//14 med//PP//case//22 dövblindhet//NN|UTR|SIN|IND|NOM//nmod//20 .//MAD//punct//5
