Med rätt att välja;–//RG|NOM//punct//2 flexibel//JJ|POS|UTR|SIN|IND|NOM//amod//2 utbildning//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 elever//NN|UTR|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 tillhör//VB|PRS|AKT//acl:relcl//4 specialskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//8 målgrupp//NN|UTR|SIN|IND|NOM//obj//6
1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap. Huvudmän och ansvarsfördelning Huvudmän inom skolväsendet;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//11 som//HP|-|-|-//nsubj:pass//2 anges//VB|PRS|SFO//acl:relcl//0 om//SN//case//4 huvudmannen//NN|UTR|SIN|DEF|NOM//obl//2 i//PP//case//7 denna//DT|UTR|SIN|DEF//det//7 lag//NN|UTR|SIN|IND|NOM//nmod//4 ska//VB|PRS|AKT//aux//11 för//PP//case//10 deltidutbildning//NN|UTR|SIN|IND|NOM//obl//11 avse//VB|INF|AKT//ROOT//11 den//DT|UTR|SIN|DEF//det//13 huvudman//NN|UTR|SIN|IND|NOM//obj//11 som//HP|-|-|-//nsubj:pass//15 utses//VB|PRS|SFO//acl:relcl//13 enligt//PP//case//17 ovan//AB//advmod//15 .//MAD//punct//11

1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;Specialskolan//NN|UTR|SIN|DEF|NOM//ROOT//0
1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;Barn//NN|NEU|PLU|IND|NOM//nsubj:pass//19 som//HP|-|-|-//nsubj//13 på//PP//case//6 grund//NN|UTR|SIN|IND|NOM//fixed//2 av//PP//fixed//2 sin//PS|UTR|SIN|DEF//nmod:poss//6 funktionsnedsättning//NN|UTR|SIN|IND|NOM//obl//13 eller//KN//cc//10 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 skäl//NN|NEU|PLU|IND|NOM//conj//6 inte//AB//advmod//13 kan//VB|PRS|AKT//aux//13 gå//VB|INF|AKT//acl:relcl//0 i//PP//case//15 grundskolan//NN|UTR|SIN|DEF|NOM//obl//13 eller//KN//cc//17 grundsärskolan//NN|UTR|SIN|DEF|NOM//conj//13 ska//VB|PRS|AKT//aux//19 tas//VB|INF|SFO//ROOT//19 emot//PL//compound:prt//19 i//PP//case//22 specialskolan//NN|UTR|SIN|DEF|NOM//obl//19 om//PP//case//25 de//DT|UTR/NEU|PLU|DEF//det//25 1//RG|NOM//obl//19 .//MAD//punct//19
1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;är//VB|PRS|AKT//cop//28 dövblinda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//19 eller//KN//cc//32 annars//AB//advmod//32 är//VB|PRS|AKT//cop//32 synskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//28 och//KN//cc//34 har//VB|PRS|AKT//conj//28 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 funktionsnedsättning//NN|UTR|SIN|IND|NOM//obj//34 ,//MID//punct//36 2//RG|NOM//nummod//28 .//MAD//punct//28
1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;i//PP//case//42 annat//JJ|POS|NEU|SIN|IND|NOM//amod//42 fall//NN|NEU|SIN|IND|NOM//obl//49 än//KN//mark//45 som//HP|-|-|-//nsubj:pass//45 avses//VB|PRS|SFO//acl//42 i//PP//case//47 1//RG|NOM//obl//45 är//VB|PRS|AKT//cop//49 döva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//19 eller//KN//cc//51 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//49 ,//MID//punct//49 eller//KN//cc//54 3//RG|NOM//conj//49 .//MAD//punct//19
1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;har//VB|PRS|AKT//parataxis//19 en//DT|UTR|SIN|IND//det//58 grav//NN|UTR|SIN|IND|NOM//nmod//59 språkstörning//NN|UTR|SIN|IND|NOM//obj//56 .//MAD//punct//19
1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 om//PP//case//2 mottagande//NN|NEU|SIN|IND|NOM//nmod//0 i//PP//case//4 specialskolan//NN|UTR|SIN|DEF|NOM//nmod//2 prövas//VB|PRS|SFO//ROOT//5 av//PP//case//8 Specialpedagogiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 skolmyndigheten//NN|UTR|SIN|DEF|NOM//obl:agent//5 .//MID//punct//5
1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;Ett//DT|NEU|SIN|IND//det//11 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//17 om//PP//mark//13 mottagande//NN|NEU|SIN|IND|NOM//acl//11 i//PP//case//15 specialskolan//NN|UTR|SIN|DEF|NOM//nmod//13 ska//VB|PRS|AKT//aux//17 föregås//VB|INF|SFO//conj//5 av//PP//case//20 en//DT|UTR|SIN|IND//det//20 utredning//NN|UTR|SIN|IND|NOM//obl:agent//17 som//HP|-|-|-//nsubj//22 omfattar//VB|PRS|AKT//acl:relcl//20 en//DT|UTR|SIN|IND//det//31 pedagogisk//JJ|POS|UTR|SIN|IND|NOM//amod//31 ,//MID//punct//26 psykologisk//JJ|POS|UTR|SIN|IND|NOM//conj//24 ,//MID//punct//28 medicinsk//JJ|POS|UTR|SIN|IND|NOM//conj//24 och//KN//cc//30 social//JJ|POS|UTR|SIN|IND|NOM//amod//31 bedömning//NN|UTR|SIN|IND|NOM//obj//22 .//MAD//punct//17
1 Förslag till lag om ändring i skollagen (2010:800) / 7 kap. Skolplikt och rätt till utbildning Hur skolplikten ska fullgöras;Samråd//NN|NEU|SIN|IND|NOM//nsubj//38 med//PP//case//36 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//36 vårdnadshavare//NN|UTR|SIN|IND|NOM//nmod//33 ska//VB|PRS|AKT//aux//38 ske//VB|INF|AKT//parataxis//17 när//HA//mark//41 utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//41 genomförs//VB|PRS|SFO//advcl//38 .//MAD//punct//5

