
En utvärdering med koppling till PBL och förslag till fortsatt arbete;Rapport//NN|UTR|SIN|IND|NOM//ROOT//0 från//PP//case//2 PBL-kommittén//NN|UTR|SIN|DEF|NOM//nmod//0

Dessa områden kan anses redan ligga i PBL-kommitténs uppdrag och bör därför utredas och övervägas i ett vidare perspektiv. Några särskilda utredningsinsatser är därför inte påkallade i dessa frågor.;Dessa//DT|UTR/NEU|PLU|DEF//det//1 områden//NN|NEU|PLU|IND|NOM//nsubj:pass//3 kan//VB|PRS|AKT//aux//3 anses//VB|INF|SFO//ROOT//3 redan//AB//advmod//3 ligga//VB|INF|AKT//xcomp//3 i//PP//case//8 PBL-kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//8 uppdrag//NN|NEU|SIN|IND|NOM//obl//5 och//KN//cc//12 bör//VB|PRS|AKT//aux//12 därför//AB//advmod//12 utredas//VB|INF|SFO//conj//5 och//KN//cc//14 övervägas//VB|INF|SFO//conj//12 i//PP//case//18 ett//DT|NEU|SIN|IND//det//18 vidare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 perspektiv//NN|NEU|SIN|IND|NOM//obl//14 .//MAD//punct//3
Dessa områden kan anses redan ligga i PBL-kommitténs uppdrag och bör därför utredas och övervägas i ett vidare perspektiv. Några särskilda utredningsinsatser är därför inte påkallade i dessa frågor.;Några//DT|UTR/NEU|PLU|IND//det//22 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//22 utredningsinsatser//NN|UTR|PLU|IND|NOM//nsubj//26 är//VB|PRS|AKT//cop//26 därför//AB//advmod//26 inte//AB//advmod//26 påkallade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//3 i//PP//case//29 dessa//DT|UTR/NEU|PLU|DEF//det//29 frågor//NN|UTR|PLU|IND|NOM//obl//26 .//MAD//punct//3

1 PBL-kommitténs uppdrag;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 gett//VB|SUP|AKT//ROOT//2 PBL-kommittén//NN|UTR|SIN|DEF|NOM//obj//2 i//PP//case//5 uppdrag//NN|NEU|SIN|IND|NOM//obl//2 att//IE//mark//7 göra//VB|INF|AKT//acl//5 en//DT|UTR|SIN|IND//det//10 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//10 översyn//NN|UTR|SIN|IND|NOM//obj//7 av//PP//case//12 plan-//NN|UTR|-|-|SMS//nmod//10 och//KN//cc//14 bygglagen//NN|UTR|SIN|DEF|NOM//conj//12 (//PAD//punct//7 1987:10//RG|NOM//appos//7 ,//MID//punct//18 PBL//PM|NOM//nmod//16 )//PAD//punct//2 .//MAD//punct//21
1 PBL-kommitténs uppdrag;Kommittédirektiven//NN|NEU|PLU|DEF|NOM//nsubj//25 i//PP//case//24 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//24 helhet//NN|UTR|SIN|IND|NOM//nmod//21 återfinns//VB|PRS|SFO//parataxis//2 i//PP//case//27 bilaga//NN|UTR|SIN|IND|NOM//obl//25 1//RG|NOM//nummod//27 .//MAD//punct//25
1 PBL-kommitténs uppdrag;I//PP//case//32 PBL-kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//32 uppdrag//NN|NEU|SIN|IND|NOM//obl//33 ingår//VB|PRS|AKT//conj//25 bl.a.//AB|AN//advmod//33 att//IE//mark//36 överväga//VB|INF|AKT//xcomp//33 och//KN//cc//38 redovisa//VB|INF|AKT//conj//36 förslag//NN|NEU|PLU|IND|NOM//obj//36 till//PP//case//41 förändringar//NN|UTR|PLU|IND|NOM//nmod//39 i//PP//case//43 PBL//PM|NOM//nmod//41 till//PP//case//48 följd//NN|UTR|SIN|IND|NOM//fixed//44 av//PP//case//48 EG-rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 krav//NN|NEU|PLU|IND|NOM//obl//36 .//MAD//punct//25
1 PBL-kommitténs uppdrag;Huvuddelen//NN|UTR|SIN|DEF|NOM//nsubj:pass//56 av//PP//case//53 detta//DT|NEU|SIN|DEF//det//53 arbete//NN|NEU|SIN|IND|NOM//nmod//50 kommer//VB|PRS|AKT//aux//56 att//IE//mark//56 redovisas//VB|INF|SFO//parataxis//25 i//PP//case//58 slutbetänkandet//NN|NEU|SIN|DEF|NOM//obl//56 .//MAD//punct//56
1 PBL-kommitténs uppdrag;Genomförandet//NN|NEU|SIN|DEF|NOM//obl//56 av//PP//case//62 direktivet//NN|NEU|SIN|DEF|NOM//nmod//60 om//PP//case//64 miljöbedömningar//NN|UTR|PLU|IND|NOM//nmod//62 liksom//PP//mark//67 en//DT|UTR|SIN|IND//det//67 utvärdering//NN|UTR|SIN|IND|NOM//obl//56 enligt//PP//case//70 en//DT|UTR|SIN|IND//det//70 artikel//NN|UTR|SIN|IND|NOM//nmod//67 i//PP//case//72 direktiv//NN|NEU|SIN|IND|NOM//nmod//70 2001/77//RG|NOM//advmod//56 ///MID//cc//75 EG//NN|AN//conj//73 om//PP//case//77 främjande//NN|NEU|SIN|IND|NOM//obl//56 av//PP//case//80 el//KN//cc//80 producerad//PC|PRF|UTR|SIN|IND|NOM//nmod//77 från//PP//case//83 förnybara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 energikällor//NN|UTR|PLU|IND|NOM//obl//80 skall//VB|PRS|AKT//aux//86 emellertid//AB//advmod//86 redovisas//VB|INF|SFO//conj//25 redan//AB//advmod//90 den//DT|UTR|SIN|DEF//det//90 30//RG|NOM//nummod//90 juni//NN|UTR|SIN|IND|NOM//obl//86 2003//RG|NOM//nummod//90 .//MAD//punct//25
1 PBL-kommitténs uppdrag;Förslag//NN|NEU|PLU|IND|NOM//nsubj:pass//100 till//PP//case//95 genomförande//NN|NEU|SIN|IND|NOM//nmod//93 av//PP//case//97 direktivet//NN|NEU|SIN|DEF|NOM//nmod//95 om//PP//case//99 miljöbedömningar//NN|UTR|PLU|IND|NOM//nmod//97 redovisas//VB|PRS|SFO//conj//25 i//PP//case//103 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//103 Miljöbedömningar//NN|UTR|PLU|IND|NOM//obl//100 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//106 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//106 planer//NN|UTR|PLU|IND|NOM//obl//100 och//KN//cc//108 program//NN|NEU|PLU|IND|NOM//conj//106 (//PAD//punct//110 SOU//PM|NOM//appos//108 2003:70//RG|NOM//punct//110 )//PAD//punct//108 .//MAD//punct//117
