1.1 Uppdraget;I//PP//case//13 dessa//DT|UTR/NEU|PLU|DEF//det//13 direktiv//NN|NEU|PLU|IND|NOM//obl//14 gavs//VB|PRT|SFO//parataxis//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//14 i//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//14 att//IE//punct//3
1.1 Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 lämna//VB|INF|AKT//ROOT//2 förslag//NN|NEU|SIN|IND|NOM//obj//2 till//PP//case//6 ny//JJ|POS|UTR|SIN|IND|NOM//amod//6 lydelse//NN|UTR|SIN|IND|NOM//nmod//3 av//PP//case//8 stadgandet//NN|NEU|SIN|DEF|NOM//nmod//6 om//PP//case//10 skydd//NN|NEU|SIN|IND|NOM//nmod//8 för//PP//case//12 egendom//NN|UTR|SIN|IND|NOM//nmod//10 i//PP//case//20 2//RG|NOM//nummod//15 kap.//NN|AN//nmod//16 18//RG|NOM//nummod//17 §//NN|AN//nmod//19 andra//RO|NOM//amod//19 stycket//NN|NEU|SIN|DEF|NOM//nmod//20 RF//PM|NOM//nmod//12 ,//MID//punct//2
1.1 Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 utreda//VB|INF|AKT//ROOT//2 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//2 för//PP//mark//6 att//IE//mark//6 införa//VB|INF|AKT//advcl//2 en//DT|UTR|SIN|IND//det//8 möjlighet//NN|UTR|SIN|IND|NOM//obj//6 för//PP//case//10 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//8 att//IE//mark//18 på//PP//case//13 begäran//NN|UTR|SIN|IND|NOM//obl//18 av//PP//case//15 regeringen//NN|UTR|SIN|DEF|NOM//nmod//13 på//PP//advmod//18 förhand//NN|UTR|SIN|IND|NOM//fixed//16 lämna//VB|INF|AKT//acl//8 sitt//PS|NEU|SIN|DEF//nmod:poss//20 godkännande//NN|NEU|SIN|IND|NOM//obj//18 till//PP//mark//24 att//SN//mark//24 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//24 ingår//VB|PRS|AKT//advcl//18 en//DT|UTR|SIN|IND//det//28 viss//JJ|POS|UTR|SIN|IND|NOM//amod//28 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//28 överenskommelse//NN|UTR|SIN|IND|NOM//obj//24 som//HP|-|-|-//nsubj//32 ännu//AB//advmod//32 inte//AB//advmod//32 finns//VB|PRS|SFO//acl:relcl//28 i//PP//case//35 slutligt//JJ|POS|NEU|SIN|IND|NOM//amod//35 skick//NN|NEU|SIN|IND|NOM//obl//32 ,//MID//punct//2 samt//KN//punct//2
1.1 Uppdraget;N//PM|NOM//nsubj//3  //_SP////0 närmare//AB|KOM//advmod//3 analysera//VB|INF|AKT//ROOT//3 om//SN//case//5 utvecklingen//NN|UTR|SIN|DEF|NOM//obl//3 av//PP//case//7 samarbetet//NN|NEU|SIN|DEF|NOM//nmod//5 inom//PP//case//9 EU//PM|NOM//nmod//7 går//VB|PRS|AKT//conj//3 mot//PP//case//14 en//DT|UTR|SIN|IND//det//14 minskad//PC|PRF|UTR|SIN|IND|NOM//amod//14 uppdelning//NN|UTR|SIN|IND|NOM//obl//10 mellan//PP//case//17 en//DT|UTR|SIN|IND//det//17 gemenskapsdel//NN|UTR|SIN|IND|NOM//nmod//14 och//KN//cc//20 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 delar//NN|UTR|PLU|IND|NOM//conj//17 av//PP//case//22 unionssamarbetet//NN|NEU|SIN|DEF|NOM//nmod//20 och//KN//cc//29 i//PP//mark//29 samband//NN|NEU|SIN|IND|NOM//fixed//24 med//PP//fixed//24 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//29 också//AB//advmod//29 överväga//VB|INF|AKT//conj//10 om//SN//mark//33 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 kan//VB|PRS|AKT//aux//33 finnas//VB|INF|SFO//ccomp//29 anledning//NN|UTR|SIN|IND|NOM//obj//33 att//IE//mark//36 ändra//VB|INF|AKT//acl//34 ordalydelsen//NN|UTR|SIN|DEF|NOM//obj//36 av//PP//case//45 10//RG|NOM//nummod//40 kap.//NN|AN//nmod//42 5//RG|NOM//nummod//42 §//NN|AN//nmod//44 första//RO|NOM//amod//44 stycket//NN|NEU|SIN|DEF|NOM//nmod//45 RF//PM|NOM//nmod//37 .//MAD//punct//3
1.1 Uppdraget;Genom//PP//case//1 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//2 beslutade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//2 av//PP//case//4 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//2 den//DT|UTR|SIN|DEF//det//7 16//RG|NOM//nummod//7 mars//NN|UTR|SIN|IND|NOM//obl//9 2000//RG|NOM//nummod//7 gavs//VB|PRT|SFO//parataxis//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//9 vidare//AB|KOM//advmod//9 i//PP//case//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//9 bl.a.//AB|AN//advmod//9 att//IE//mark//16 föreslå//VB|INF|AKT//xcomp//9 hur//HA//advmod//33 skyddet//NN|NEU|SIN|DEF|NOM//nsubj:pass//33 för//PP//case//20 miljön//NN|UTR|SIN|DEF|NOM//nmod//18 samt//KN//cc//22 funktionshindrades//VB|PRT|SFO//conj//18 och//KN//cc//25 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//25 utsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//22 gruppers//NN|UTR|PLU|IND|GEN//nmod:poss//27 delaktighet//NN|UTR|SIN|IND|NOM//obj//25 och//KN//cc//29 jämlikhet//NN|UTR|SIN|IND|NOM//conj//27 i//PP//case//31 samhället//NN|NEU|SIN|DEF|NOM//nmod//29 skall//VB|PRS|AKT//aux//33 regleras//VB|INF|SFO//ccomp//16 i//PP//case//36 1//RG|NOM//nummod//36 kap.//NN|AN//obl//33 2//RG|NOM//nummod//38 §//NN|AN//nmod//39 RF//PM|NOM//nmod//36 ,//MID//punct//41 se//VB|IMP|AKT//conj//9 bilaga//NN|UTR|SIN|IND|NOM//obj//41 1//RG|NOM//nummod//41 .//MID//punct//9
1.1 Uppdraget;Dessutom//AB//advmod//46 fick//VB|PRT|AKT//conj//9 vi//PN|UTR|PLU|DEF|SUB//nsubj//46 genom//PP//case//50 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//46 ,//MID//punct//46 beslutade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//46 av//PP//case//54 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//52 den//DT|UTR|SIN|DEF//det//57 21//RG|NOM//nummod//57 september//NN|UTR|SIN|IND|NOM//obl//52 2000//RG|NOM//nummod//57 ,//MID//punct//62 i//PP//case//62 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//62 uppdrag//NN|NEU|SIN|IND|NOM//obl//52 att//IE//mark//64 lämna//VB|INF|AKT//acl//62 förslag//NN|NEU|SIN|IND|NOM//obj//64 till//PP//case//69 en//DT|UTR|SIN|IND//det//69 ny//JJ|POS|UTR|SIN|IND|NOM//amod//69 bestämmelse//NN|UTR|SIN|IND|NOM//nmod//65 i//PP//case//73 10//RG|NOM//nummod//72 kap.//NN|AN//nmod//73 RF//PM|NOM//nmod//69 som//HP|-|-|-//nsubj//76 skall//VB|PRS|AKT//aux//76 reglera//VB|INF|AKT//acl:relcl//65 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//78 skyldighet//NN|UTR|SIN|IND|NOM//obj//76 att//IE//mark//80 informera//VB|INF|AKT//advcl//76 och//KN//cc//82 samråda//VB|INF|AKT//conj//80 med//PP//case//84 riksdagen//NN|UTR|SIN|DEF|NOM//obl//82 i//PP//case//86 EU-frågor//NN|UTR|PLU|IND|NOM//nmod//84 .//MAD//punct//2
1.1 Uppdraget;Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//1 förslag//NN|NEU|PLU|IND|NOM//nsubj//17 och//KN//cc//3 överväganden//NN|NEU|PLU|IND|NOM//conj//1 när//HA//case//8 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//4 gäller//VB|PRS|AKT//fixed//4 ovanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 delar//NN|UTR|PLU|IND|NOM//nmod//3 av//PP//case//11 vårt//PS|NEU|SIN|DEF//nmod:poss//11 uppdrag//NN|NEU|SIN|IND|NOM//nmod//8 har//VB|PRS|AKT//aux//17 vi//PN|UTR|PLU|DEF|SUB//nsubj//17 i//PP//case//15 februari//NN|UTR|SIN|IND|NOM//obl//17 2001//RG|NOM//nummod//15 redovisat//VB|SUP|AKT//ROOT//17 i//PP//case//19 delbetänkandet//NN|NEU|SIN|DEF|NOM//obl//17 Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 grundlagsfrågor//NN|UTR|PLU|IND|NOM//obj//17 .//MAD//punct//17
1.1 Uppdraget;Genom//PP//case//1 tilläggsdirektiven//NN|NEU|PLU|DEF|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 16//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obl//6 2000//RG|NOM//nummod//4 gavs//VB|PRT|SFO//ROOT//6 vi//PN|UTR|PLU|DEF|SUB//nsubj//6 också//AB//advmod//6 i//PP//case//10 uppdrag//NN|NEU|SIN|IND|NOM//obl//6 att//IE//punct//6
1.1 Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 utreda//VB|INF|AKT//ROOT//2 frågorna//NN|UTR|PLU|DEF|NOM//obj//2 om//PP//case//6 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 valdagar//NN|UTR|PLU|IND|NOM//obl//2 och//KN//cc//8 vårval//NN|NEU|PLU|IND|NOM//conj//6 ,//MID//punct//2
1.1 Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 överväga//VB|INF|AKT//ROOT//2 om//SN//mark//9 de//DT|UTR/NEU|PLU|DEF//det//7 tre//RG|NOM//nummod//7 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//7 valkretsarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//9 bör//VB|PRS|AKT//aux//9 minskas//VB|INF|SFO//advcl//2 ,//MID//punct//11 N//PM|NOM//obl//9  //_SP////11 se//VB|INF|AKT//conj//9 över//PL//case//15 partibegreppet//NN|NEU|SIN|DEF|NOM//obl//13 i//PP//case//21 3//RG|NOM//nummod//18 kap.//NN|AN//nmod//20 7//RG|NOM//nummod//20 §//NN|AN//nmod//21 RF//PM|NOM//nmod//15 ,//MID//punct//2 samt//KN//punct//2
1.1 Uppdraget;N//PM|NOM//nsubj//2  //_SP////0 överväga//VB|INF|AKT//ROOT//2 vilken//HD|UTR|SIN|IND//det//4 giltighet//NN|UTR|SIN|IND|NOM//nmod//5 valsedlar//NN|UTR|PLU|IND|NOM//nsubj//10 som//HP|-|-|-//nsubj//7 saknar//VB|PRS|AKT//acl:relcl//5 partibeteckning//NN|UTR|SIN|IND|NOM//obj//7 skall//VB|PRS|AKT//aux//10 ha//VB|INF|AKT//ccomp//2 .//MAD//punct//2
