
Del 2;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Vindkraftsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
1. Inledning;Attityden//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 till//PP//case//2 vindkraft//NN|UTR|SIN|IND|NOM//nmod//0 påverkas//VB|PRS|SFO//ROOT//3 dessutom//AB//advmod//3 av//PP//case//7 betraktarens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 inställning//NN|UTR|SIN|IND|NOM//obl:agent//3 till//PP//case//9 energifrågor//NN|UTR|PLU|IND|NOM//nmod//7 .//MAD//punct//3
1. Inledning;Information//NN|UTR|SIN|IND|NOM//nsubj//25 om//PP//case//13 vindkraft//NN|UTR|SIN|IND|NOM//nmod//11 och//KN//cc//15 möjligheten//NN|UTR|SIN|DEF|NOM//conj//13 att//IE//mark//18 aktivt//AB|POS//advmod//18 delta//VB|INF|AKT//acl//11 i//PP//case//20 planeringen//NN|UTR|SIN|DEF|NOM//obl//18 när//HA//case//24 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//21 gäller//VB|PRS|AKT//fixed//21 lokaliseringen//NN|UTR|SIN|DEF|NOM//obl//18 påverkar//VB|PRS|AKT//parataxis//3 också//AB//advmod//25 allmänhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 inställning//NN|UTR|SIN|IND|NOM//obj//25 till//PP//case//30 vindkraft//NN|UTR|SIN|IND|NOM//nmod//28 i//PP//case//32 landskapet//NN|NEU|SIN|DEF|NOM//nmod//28 .//MAD//punct//3
1. Inledning;Rapporten//NN|UTR|SIN|DEF|NOM//nsubj//15 ”//PM|NOM//nmod//2 Vindkraft//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//4 harmoni//NN|UTR|SIN|IND|NOM//nmod//2 ”//RG|NOM//punct//0 (//PAD//punct//0 ET//PM|NOM//appos//0 19:1998//RG|NOM//nummod//7 ,//MID//punct//10 Energimyndigheten//NN|UTR|SIN|DEF|NOM//conj//7 ,//MID//punct//12 maj//NN|UTR|SIN|IND|NOM//conj//7 1998//RG|NOM//nummod//12 )//PAD//punct//7 innehåller//VB|PRS|AKT//ROOT//15 en//DT|UTR|SIN|IND//det//18 teoretisk//JJ|POS|UTR|SIN|IND|NOM//amod//18 bakgrund//NN|UTR|SIN|IND|NOM//obj//15 och//KN//cc//20 analyser//NN|UTR|PLU|IND|NOM//conj//18 av//PP//case//23 några//DT|UTR/NEU|PLU|IND//det//23 förslag//NN|NEU|PLU|IND|NOM//nmod//20 på//PP//case//25 utformning//NN|UTR|SIN|IND|NOM//nmod//23 av//PP//case//27 vindkraftsanläggningar//NN|UTR|PLU|IND|NOM//nmod//25 i//PP//case//30 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 landskap//NN|NEU|PLU|IND|NOM//nmod//25 .//MAD//punct//15
1. Inledning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//34 kan//VB|PRS|AKT//aux//34 fungera//VB|INF|AKT//parataxis//15 som//KN//case//37 en//DT|UTR|SIN|IND//det//37 metodhandledning//NN|UTR|SIN|IND|NOM//obl//34 för//PP//case//40 fördjupade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//40 detaljstudier//NN|UTR|PLU|IND|NOM//nmod//37 i//PP//case//43 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 planeringsärenden//NN|NEU|PLU|IND|NOM//nmod//40 .//MAD//punct//15
1. Inledning;Den//DT|UTR|SIN|DEF//det//2 visuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 upplevelsen//NN|UTR|SIN|DEF|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 en//DT|UTR|SIN|IND//det//6 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//6 faktor//NN|UTR|SIN|IND|NOM//ROOT//6 att//IE//mark//8 ta//VB|INF|AKT//acl//6 hänsyn//NN|UTR|SIN|IND|NOM//obj//8 till//PP//compound:prt//8 i//PP//case//12 planerings-//NN|UTR|-|-|SMS//obl//8 och//KN//cc//14 beslutsprocessen//NN|UTR|SIN|DEF|NOM//conj//12 .//MAD//punct//6
1. Inledning;Därför//AB//advmod//17 behövs//VB|PRS|SFO//parataxis//6 ett//DT|NEU|SIN|IND//det//19 faktaunderlag//NN|NEU|SIN|IND|NOM//nsubj:pass//17 om//PP//mark//23 hur//HA//advmod//22 vindkraftverk//NN|NEU|PLU|IND|NOM//nsubj//23 påverkar//VB|PRS|AKT//acl//19 landskapsbilden//NN|UTR|SIN|DEF|NOM//obj//23 .//MAD//punct//6
1. Inledning;Etableringar//NN|UTR|PLU|IND|NOM//parataxis//6 som//HP|-|-|-//nsubj:pass//29 inte//AB//advmod//29 anpassas//VB|PRS|SFO//acl:relcl//26 till//PP//case//32 landskapets//NN|NEU|SIN|DEF|GEN//nmod:poss//32 skala//NN|UTR|SIN|IND|NOM//obl//29 och//KN//cc//34 karaktär//NN|UTR|SIN|IND|NOM//conj//32 kan//VB|PRS|AKT//aux//38 till//PP//advmod//38 exempel//NN|NEU|SIN|IND|NOM//fixed//36 ge//VB|INF|AKT//conj//6 landskapet//NN|NEU|SIN|DEF|NOM//iobj//38 en//DT|UTR|SIN|IND//det//42 industriell//JJ|POS|UTR|SIN|IND|NOM//amod//42 prägel//NN|UTR|SIN|IND|NOM//obj//38 .//MAD//punct//6
1. Inledning;"Därför//AB//advmod//45 behövs//VB|PRS|SFO//parataxis//6 ett//DT|NEU|SIN|IND//det//47 material//NN|NEU|SIN|IND|NOM//nsubj:pass//45 som//HP|-|-|-//dislocated//50 som//HP|-|-|-//nsubj//50 utgår//VB|PRS|AKT//acl:relcl//47 från//PP//case//53 en//DT|UTR|SIN|IND//det//53 helhetssyn//NN|UTR|SIN|IND|NOM//obl//50 på//PP//case//55 landskapsbilden//NN|UTR|SIN|DEF|NOM//nmod//53 ;//MID//punct//6"
1. Inledning;av//PP//case//60 människans//NN|UTR|SIN|DEF|GEN//nmod:poss//60 visuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 upplevelse//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//62 landskapet//NN|NEU|SIN|DEF|NOM//nmod//60 .//MID//punct//6
1. Inledning;Hur//HA//advmod//66 landskapsbilden//NN|UTR|SIN|DEF|NOM//nsubj:pass//66 påverkas//VB|PRS|SFO//parataxis//6 varierar//VB|PRS|AKT//xcomp//66 i//PP//case//70 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 typer//NN|UTR|PLU|IND|NOM//obl//67 av//PP//case//72 landskap//NN|NEU|PLU|IND|NOM//nmod//70 och//KN//cc//75 därför//AB//advmod//75 behöver//VB|PRS|AKT//conj//66 en//DT|UTR|SIN|IND//det//77 indelning//NN|UTR|SIN|IND|NOM//nsubj:pass//81 i//PP//case//80 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 landskapstyper//NN|UTR|PLU|IND|NOM//nmod//77 genomföras//VB|INF|SFO//advcl//75 .//MAD//punct//6
1. Inledning;Syfte//NN|NEU|SIN|IND|NOM//ROOT//0
1. Inledning;Studien//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 ta//VB|INF|AKT//ROOT//2 fasta//NN|UTR|SIN|IND|NOM//obj//2 på//PP//case//6 dominerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 terrängformer//NN|UTR|PLU|IND|NOM//obl//2 och//KN//cc//8 karaktärsdrag//NN|NEU|PLU|IND|NOM//conj//6 i//PP//case//10 kulturlandskapet//NN|NEU|SIN|DEF|NOM//nmod//8 för//PP//mark//13 att//IE//mark//13 avgränsa//VB|INF|AKT//advcl//2 enhetliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 landskapstyper//NN|UTR|PLU|IND|NOM//obj//13 -//MID//punct//15 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 grundtyper//NN|UTR|PLU|IND|NOM//appos//15 -//MID//punct//18 i//PP//case//22 översiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//22 skala//NN|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//25 samt//KN//cc//25 beskriva//VB|INF|AKT//conj//13 hur//HA//advmod//29 vindkraftsanläggningar//NN|UTR|PLU|IND|NOM//nsubj:pass//29 bör//VB|PRS|AKT//aux//29 anpassas//VB|INF|SFO//ccomp//25 för//PP//mark//32 att//IE//mark//32 passa//VB|INF|AKT//advcl//29 in//PL//compound:prt//32 i//PP//case//37 dessa//DT|UTR/NEU|PLU|DEF//det//37 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 typer//NN|UTR|PLU|IND|NOM//obl//32 av//PP//case//39 landskap//NN|NEU|PLU|IND|NOM//nmod//37 på//PP//case//43 ett//DT|NEU|SIN|IND//det//43 harmoniskt//JJ|POS|NEU|SIN|IND|NOM//amod//43 sätt//NN|NEU|SIN|IND|NOM//obl//32 .//MAD//punct//2
1. Inledning;Studien//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 ange//VB|INF|AKT//ROOT//2 vilka//HD|UTR/NEU|PLU|IND//det//5 generella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 hänsyn//NN|UTR|PLU|IND|NOM//obj//2 som//HP|-|-|-//nsubj:pass//7 krävs//VB|PRS|SFO//acl:relcl//5 och//KN//cc//13 vilka//HD|UTR/NEU|PLU|IND//det//10 faktorer//NN|UTR|PLU|IND|NOM//dislocated//13 som//HP|-|-|-//nsubj//13 är//VB|PRS|AKT//cop//13 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 att//IE//mark//15 ta//VB|INF|AKT//acl//13 hänsyn//NN|UTR|SIN|IND|NOM//obj//15 vid//PP//case//18 bedömningen//NN|UTR|SIN|DEF|NOM//obl//15 av//PP//case//21 var//HA//cop//21 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//18 ska//VB|PRS|AKT//punct//2 lokalieras//VB|INF|SFO//obj//22 och//KN//cc//30 hur//HA//advmod//30 grupper//NN|UTR|PLU|IND|NOM//nsubj:pass//30 av//PP//case//28 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//26 ska//VB|PRS|AKT//aux//30 utformas//VB|INF|SFO//conj//22 i//PP//case//33 respektive//AB//amod//33 landskapstyp//NN|UTR|SIN|IND|NOM//obl//30 .//MAD//punct//2
1. Inledning;Kriterierna//NN|NEU|PLU|DEF|NOM//nsubj:pass//39 får//VB|PRS|AKT//aux//39 dock//AB//advmod//39 inte//AB//advmod//39 betraktas//VB|INF|SFO//parataxis//2 som//KN//case//42 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 regler//NN|UTR|PLU|IND|NOM//xcomp//39 för//PP//case//45 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 ärenden//NN|NEU|PLU|IND|NOM//nmod//42 .//MAD//punct//2
1. Inledning;De//DT|UTR/NEU|PLU|DEF//det//49 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 variationerna//NN|UTR|PLU|DEF|NOM//nsubj//55 inom//PP//case//52 dessa//DT|UTR/NEU|PLU|DEF//det//52 landskapstyper//NN|UTR|PLU|IND|NOM//nmod//49 kan//VB|PRS|AKT//aux//55 vara//VB|INF|AKT//cop//55 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//2 och//KN//cc//57 skapa//VB|INF|AKT//conj//55 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 förutsättningar//NN|UTR|PLU|IND|NOM//obj//57 .//MAD//punct//55
1. Inledning;Entydiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 och//KN//cc//63 allmängiltiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//61 kriterier//NN|NEU|PLU|IND|NOM//nsubj:pass//71 för//PP//case//66 anpassning//NN|UTR|SIN|IND|NOM//nmod//64 till//PP//case//68 landskapet//NN|NEU|SIN|DEF|NOM//nmod//66 kan//VB|PRS|AKT//aux//71 aldrig//AB//advmod//71 fastställas//VB|INF|SFO//advcl//2 .//MAD//punct//2
1. Inledning;Organisation//NN|UTR|SIN|IND|NOM//ROOT//0
1. Inledning;Studien//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 genomförts//VB|SUP|SFO//ROOT//2 av//PP//case//5 en//DT|UTR|SIN|IND//det//5 arbetsgrupp//NN|UTR|SIN|IND|NOM//obl:agent//2 på//PP//case//7 Institutionen//NN|UTR|SIN|DEF|NOM//nmod//5 för//PP//case//9 landskapsplanering//NN|UTR|SIN|IND|NOM//nmod//7 Alnarp//PM|NOM//flat//9 på//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//nmod//9 av//PP//case//14 Vindkraftsutredningen//NN|UTR|SIN|DEF|NOM//nmod//12 ,//MID//punct//19 samt//KN//cc//19 en//DT|UTR|SIN|IND//det//18 styrgrupp//NN|UTR|SIN|IND|NOM//nsubj:pass//19 tillsatt//PC|PRF|UTR|SIN|IND|NOM//conj//2 av//PP//case//21 Vindkraftsutredningen//NN|UTR|SIN|DEF|NOM//obl:agent//19 .//MAD//punct//2
1. Inledning;Vindkraftsutredningen//NN|UTR|SIN|DEF|NOM//ROOT//0 ://MAD//punct//0
1. Inledning;Kjell//PM|NOM//ROOT//0 Svensson//PM|NOM//flat:name//0 .//MAD//punct//0
1. Inledning;Utredningsman//NN|UTR|SIN|IND|NOM//appos//0
1. Inledning;Henrik//PM|NOM//nsubj//3 Lindström//PM|NOM//flat:name//0 .//MAD//punct//0
1. Inledning;Utredningssekreterare//NN|UTR|PLU|IND|NOM//ROOT//3
1. Inledning;Styrgruppen//NN|UTR|SIN|DEF|NOM//ROOT//0 ://MAD//punct//0
1. Inledning;Ann//PM|NOM//ROOT//0 Marie//PM|NOM//flat//0 Svensson//PM|NOM//flat:name//1 ,//MID//punct//0 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//appos//0 i//PP//case//6 Norrbotten//PM|NOM//nmod//4
1. Inledning;Måns//PM|NOM//ROOT//0 Hagberg//PM|NOM//flat:name//0 ,//MID//punct//3 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//0 i//PP//case//6 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 Götaland//PM|NOM//nmod//3
1. Inledning;Per//PM|NOM//ROOT//0 Olof//PM|NOM//flat:name//0 Remmare//PM|NOM//flat//0 ,//MID//punct//4 Riksantikvarieämbetet//NN|NEU|SIN|DEF|NOM//conj//0
1. Inledning;Niels//PM|NOM//ROOT//0 Moe//PM|NOM//flat//0 ,//MID//punct//1 Energimyndigheten//NN|UTR|SIN|DEF|NOM//nmod//0
1. Inledning;Tore//PM|NOM//nmod//4 Wizelius//PM|NOM//flat:name//0 ,//MID//punct//1 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//4 Vindkraftsförening//NN|UTR|SIN|IND|NOM//ROOT//4
1. Inledning;Arbetsgrupp//NN|UTR|SIN|IND|NOM//ROOT//0 ://MAD//punct//0
1. Inledning;Erik//PM|NOM//nmod//1 Skärbäck//PM|NOM//ROOT//1 .//MAD//punct//1
1. Inledning;Projektledare//NN|UTR|SIN|IND|NOM//appos//1
1. Inledning;Anna-Lie//PM|NOM//nmod//1 Mårtensson//PM|NOM//ROOT//1
1. Inledning;Ingvar//PM|NOM//ROOT//0 Svensson//PM|NOM//flat:name//0
1. Inledning;Anders//PM|NOM//nmod//1 Bramme//PM|NOM//ROOT//1 ,//MID//punct//3 Norrland//PM|NOM//conj//1 samt//KN//cc//5 principfigurerna//NN|UTR|PLU|DEF|NOM//conj//1 för//PP//case//7 grundtyper//NN|UTR|PLU|IND|NOM//nmod//5
1. Inledning;Lars//PM|NOM//ROOT//0 Andersson//PM|NOM//flat:name//0 ,//MID//punct//3 GIS-ansvarig//NN|NEU|SIN|IND|NOM//conj//0
1. Inledning;Annika//PM|NOM//ROOT//0 Hansson//PM|NOM//flat:name//0 ,//MID//punct//1 GIS//PM|NOM//conj//0 -//MID//punct//3 digitalisering//NN|UTR|SIN|IND|NOM//conj//0
1. Inledning;Rapportens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 disposition//NN|UTR|SIN|IND|NOM//ROOT//1
1. Inledning;Denna//DT|UTR|SIN|DEF//det//1 rapport//NN|UTR|SIN|IND|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 disponerad//PC|PRF|UTR|SIN|IND|NOM//ROOT//3 som//KN//case//7 en//DT|UTR|SIN|IND//det//7 analyserande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 beskrivning//NN|UTR|SIN|IND|NOM//obl//3 i//PP//case//10 tre//RG|NOM//nummod//10 steg//NN|NEU|PLU|IND|NOM//nmod//7 ://MAD//punct//3
1. Inledning;Kapitel//NN|NEU|SIN|IND|NOM//nsubj:pass//4 2//RG|NOM//nummod//0 .//MAD//punct//0
1. Inledning;Först//AB//advmod//4 definieras//VB|PRS|SFO//ROOT//4 ett//DT|NEU|SIN|IND//det//6 antal//NN|NEU|SIN|IND|NOM//nsubj:pass//4  //_SP////6 utformningsprinciper//NN|UTR|PLU|IND|NOM//appos//6 för//PP//case//10 vindkraftsanläggningar//NN|UTR|PLU|IND|NOM//nmod//8 .//MAD//punct//4
1. Inledning;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj:pass//13 illustreras//VB|PRS|SFO//parataxis//4 med//PP//case//15 foto//NN|NEU|SIN|IND|NOM//obl//13 exempel//NN|NEU|SIN|IND|NOM//advmod//13 på//PP//mark//21 hur//HA//advmod//21 vindkraftsanläggningar//NN|UTR|PLU|IND|NOM//nsubj//21 kan//VB|PRS|AKT//aux//21 te//VB|INF|AKT//advcl//13 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//21 i//PP//case//24 landskapet//NN|NEU|SIN|DEF|NOM//obl//21 .//MAD//punct//13
1. Inledning;Diskussion//NN|UTR|SIN|IND|NOM//nsubj:pass//27 förs//VB|PRS|SFO//conj//13 även//AB//mark//39 om//SN//fixed//28 vindkraftverkens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 storlek//NN|UTR|SIN|IND|NOM//nsubj//39 i//PP//case//33 relation//NN|UTR|SIN|IND|NOM//nmod//31 till//PP//case//35 landskapet//NN|NEU|SIN|DEF|NOM//nmod//31 .//MID//punct//31
1. Inledning;Detta//DT|NEU|SIN|DEF//det//38 arbetsmoment//NN|NEU|SIN|IND|NOM//nsubj//39 syftar//VB|PRS|AKT//advcl//27 till//PP//mark//42 att//IE//mark//42 skaffa//VB|INF|AKT//advcl//39 en//DT|UTR|SIN|IND//det//46 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//46 empirisk//JJ|POS|UTR|SIN|IND|NOM//amod//46 bas//NN|UTR|SIN|IND|NOM//obj//42 för//PP//case//48 studien//NN|UTR|SIN|DEF|NOM//obl//42 .//MAD//punct//4
1. Inledning;Kapitel//NN|NEU|SIN|IND|NOM//nsubj//22 3//RG|NOM//nummod//0 .//MAD//punct//0
1. Inledning;Efter//PP//case//4 studier//NN|UTR|PLU|IND|NOM//obl//22 av//PP//case//7 dessa//DT|UTR/NEU|PLU|DEF//det//7 utformningsprinciper//NN|UTR|PLU|IND|NOM//nmod//4 ,//MID//punct//14 och//KN//cc//14 en//DT|UTR|SIN|IND//det//12 lång//JJ|POS|UTR|SIN|IND|NOM//amod//12 rad//NN|UTR|SIN|IND|NOM//nmod//14 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 vindkraftsanläggningar//NN|UTR|PLU|IND|NOM//conj//4 i//PP//case//16 Sverige//PM|NOM//nmod//14 och//KN//cc//18 utomlands//AB//advmod//14 ,//MID//punct//4 har//VB|PRS|AKT//aux//22 successivt//AB|POS//advmod//22 bedömts//VB|SUP|SFO//ROOT//22 landskapstyper//NN|UTR|PLU|IND|NOM//obj//22 i//PP//case//25 Sverige//PM|NOM//nmod//23 där//HA//advmod//30 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//28 vindenergi//NN|UTR|SIN|IND|NOM//nsubj//30 kan//VB|PRS|AKT//aux//30 finnas//VB|INF|SFO//acl:relcl//23 för//PP//case//33 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//33 exploatering//NN|UTR|SIN|IND|NOM//obl//30 .//MAD//punct//22
1. Inledning;För//PP//case//36 vindkraftslokalisering//NN|UTR|SIN|IND|NOM//obl//39 signifikant//AB|POS//advmod//36 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 landskapstyper//NN|UTR|PLU|IND|NOM//nsubj:pass//42 har//VB|PRS|AKT//aux//42 successivt//AB|POS//advmod//42 identifierats//VB|SUP|SFO//advcl//22 s.k.//AB|AN//amod//45 ”//PAD//punct//45 grundtyper//NN|UTR|PLU|IND|NOM//nsubj:pass//42 ”//RG|NOM//punct//45 .//MAD//punct//52
1. Inledning;För//PP//case//50 varje//DT|UTR/NEU|SIN|IND//det//50 grundtyp//NN|UTR|SIN|IND|NOM//obl//52 har//VB|PRS|AKT//aux//52 sammanfattats//VB|SUP|SFO//conj//22 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 råd//NN|NEU|PLU|IND|NOM//obj//52 beträffande//PP//case//56 förutsättningar//NN|UTR|PLU|IND|NOM//obl//52 för//PP//case//58 placering//NN|UTR|SIN|IND|NOM//nmod//56 ///MID//cc//60 utformning//NN|UTR|SIN|IND|NOM//conj//58 av//PP//case//62 vindkraftsanläggningar//NN|UTR|PLU|IND|NOM//nmod//60 .//MAD//punct//22
1. Inledning;Kapitel//NN|NEU|SIN|IND|NOM//nmod//1 4//RG|NOM//discourse//12 .//MID//punct//1
1. Inledning;Slutligen//AB//advmod//12 har//VB|PRS|AKT//aux//12 för//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 vindintressanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 områdena//NN|NEU|PLU|DEF|NOM//obl//12 söder//JJ|POS|UTR|SIN|IND|NOM//nmod//8 om//PP//case//11 Norrland//PM|NOM//nmod//9 gjorts//VB|SUP|SFO//ROOT//12 en//DT|UTR|SIN|IND//det//15 översiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//15 kartering//NN|UTR|SIN|IND|NOM//nsubj:pass//12 .//MAD//punct//12
1. Inledning;För//PP//case//20 de//DT|UTR/NEU|PLU|DEF//det//20 karterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//20 enheterna//NN|UTR|PLU|DEF|NOM//obl//22 har//VB|PRS|AKT//aux//22 gjorts//VB|SUP|SFO//conj//12 en//DT|UTR|SIN|IND//det//25 grov//JJ|POS|UTR|SIN|IND|NOM//amod//25 beskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//22 beträffande//PP//case//27 karaktärselement//NN|NEU|PLU|IND|NOM//nmod//25 och//KN//cc//30 riktningsgivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 element//NN|NEU|PLU|IND|NOM//conj//27 .//MAD//punct//22
