9 Ikraftträdande och genomförande ;Förslag//NN|NEU|PLU|IND|NOM//nsubj//12 ://MID//punct//0
9 Ikraftträdande och genomförande  / Genomförande;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 lämnar//VB|PRS|AKT//ROOT//1 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//3 förslag//NN|NEU|PLU|IND|NOM//obj//1 för//PP//mark//7 att//IE//mark//7 bättre//AB|KOM//advmod//7 tillgodose//VB|INF|AKT//advcl//1 bostadsförsörjningsbehovet//NN|NEU|SIN|DEF|NOM//obj//7 och//KN//cc//10 behovet//NN|NEU|SIN|DEF|NOM//conj//8 av//PP//case//14 en//DT|UTR|SIN|IND//det//14 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//14 utveckling//NN|UTR|SIN|IND|NOM//nmod//10 i//PP//case//17 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 landet//NN|NEU|SIN|DEF|NOM//nmod//14 .//MAD//punct//1
9 Ikraftträdande och genomförande  / Genomförande;Vi//PN|UTR|PLU|DEF|SUB//nsubj//20 ställer//VB|PRS|AKT//parataxis//1 krav//NN|NEU|PLU|IND|NOM//obj//20 på//PP//case//24 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//24 samordning//NN|UTR|SIN|IND|NOM//obl//20 mellan//PP//case//28 ett//DT|NEU|SIN|IND//det//27 antal//NN|NEU|SIN|IND|NOM//nmod//28 planeringsslag//NN|NEU|PLU|IND|NOM//nmod//24 och//KN//cc//30 föreslår//VB|PRS|AKT//conj//20 också//AB//advmod//30 en//DT|UTR|SIN|IND//det//35 regional//JJ|POS|UTR|SIN|IND|NOM//amod//35 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//35 planering//NN|UTR|SIN|IND|NOM//obj//30 .//MAD//punct//20
9 Ikraftträdande och genomförande  / Genomförande;Vi//PN|UTR|PLU|DEF|SUB//nsubj//38 bedömer//VB|PRS|AKT//conj//1 dessutom//AB//advmod//38 att//SN//mark//42 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//42 finns//VB|PRS|SFO//ccomp//38 behov//NN|NEU|SIN|IND|NOM//nsubj//42 av//PP//case//47 en//DT|UTR|SIN|IND//det//47 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 stat//NN|UTR|SIN|IND|NOM//nmod//43 och//KN//cc//53 att//SN//mark//53 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//53 därför//AB//advmod//53 bör//VB|PRS|AKT//aux//53 besluta//VB|INF|AKT//conj//42 om//PP//case//57 en//DT|UTR|SIN|IND//det//57 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//57 strategi//NN|UTR|SIN|IND|NOM//obl//53 för//PP//case//60 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//60 planering//NN|UTR|SIN|IND|NOM//nmod//57 och//KN//cc//62 bostadsförsörjning//NN|UTR|SIN|IND|NOM//conj//60 .//MAD//punct//53
9 Ikraftträdande och genomförande  / Genomförande;Förslagen//NN|NEU|PLU|DEF|NOM//nsubj:pass//66 bör//VB|PRS|AKT//aux//66 betraktas//VB|INF|SFO//parataxis//53 som//KN//mark//69 en//DT|UTR|SIN|IND//det//69 helhet//NN|UTR|SIN|IND|NOM//xcomp//66 ,//MID//punct//74 men//KN//cc//74 om//SN//mark//74 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//74 finns//VB|PRS|SFO//conj//66 behov//NN|NEU|SIN|IND|NOM//nsubj//74 av//PP//mark//78 att//IE//mark//78 införa//VB|INF|AKT//acl//75 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//78 åtskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advmod//78 är//VB|PRS|AKT//cop//83 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//83 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//66 .//MAD//punct//38
9 Ikraftträdande och genomförande  / Genomförande;Vårt//PS|NEU|SIN|DEF//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//dislocated//41 om//PP//case//4 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//4 samordning//NN|UTR|SIN|IND|NOM//nmod//1 såväl//KN//advmod//7 mellan//PP//case//7 planeringslagen//NN|UTR|SIN|DEF|NOM//nmod//4 på//PP//case//10 regional//JJ|POS|UTR|SIN|IND|NOM//amod//10 nivå//NN|UTR|SIN|IND|NOM//nmod//7 som//KN//nsubj:pass//18 mellan//PP//case//16 dessa//DT|UTR/NEU|PLU|DEF//det//16 och//KN//cc//15 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//16 planering//NN|UTR|SIN|IND|NOM//obl//18 kan//VB|PRS|AKT//aux//18 införas//VB|INF|SFO//acl:relcl//1 utan//PP//case//23 en//DT|UTR|SIN|IND//det//23 regional//JJ|POS|UTR|SIN|IND|NOM//amod//23 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 planering//NN|UTR|SIN|IND|NOM//obl//18 .//MAD//punct//1
9 Ikraftträdande och genomförande  / Genomförande;Samordningen//NN|UTR|SIN|DEF|NOM//nsubj//29 är//VB|PRS|AKT//cop//29 heller//AB//advmod//29 inte//AB//advmod//29 villkorad//PC|PRF|UTR|SIN|IND|NOM//parataxis//1 av//PP//mark//33 att//SN//mark//33 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//33 fattar//VB|PRS|AKT//acl//29 beslut//NN|NEU|SIN|IND|NOM//obj//33 om//PP//case//38 en//DT|UTR|SIN|IND//det//38 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//38 strategi//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//1
9 Ikraftträdande och genomförande  / Genomförande;Vi//PN|UTR|PLU|DEF|SUB//nsubj//41 bedömer//VB|PRS|AKT//ROOT//41 dock//AB//advmod//41 att//SN//mark//47 en//DT|UTR|SIN|IND//det//45 sådan//JJ|POS|UTR|SIN|IND|NOM//nsubj//47 skulle//VB|PRT|AKT//aux//47 utgöra//VB|INF|AKT//ccomp//41 ett//DT|NEU|SIN|IND//det//49 stöd//NN|NEU|SIN|IND|NOM//obj//47 för//PP//case//51 samordningen//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//41
9 Ikraftträdande och genomförande  / Genomförande;Strategin//NN|UTR|SIN|DEF|NOM//nsubj//60 skulle//VB|PRT|AKT//aux//60 i//PP//advmod//60 sin//PS|UTR|SIN|DEF//fixed//55 tur//NN|UTR|SIN|IND|NOM//fixed//55 vara//VB|INF|AKT//cop//60 ett//DT|NEU|SIN|IND//det//60 stöd//NN|NEU|SIN|IND|NOM//parataxis//41 för//PP//case//64 det//DT|NEU|SIN|DEF//det//64 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 agerandet//NN|NEU|SIN|DEF|NOM//nmod//60 oavsett//PP//case//66 krav//NN|NEU|SIN|IND|NOM//nmod//64 på//PP//case//69 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//69 samordning//NN|UTR|SIN|IND|NOM//nmod//66 eller//KN//cc//71 var//VB|PRT|AKT//conj//60 i//PP//case//73 planeringsprocesserna//NN|UTR|PLU|DEF|NOM//obl//71 på//PP//case//75 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//80 ,//MID//punct//77 regional//JJ|POS|UTR|SIN|IND|NOM//conj//75 eller//KN//cc//79 nationell//JJ|POS|UTR|SIN|IND|NOM//conj//75 nivå//NN|UTR|SIN|IND|NOM//obl//71 som//HP|-|-|-//obj//83 staten//NN|UTR|SIN|DEF|NOM//nsubj//83 verkar//VB|PRS|AKT//acl:relcl//80 .//MAD//punct//60
9 Ikraftträdande och genomförande  / Genomförande;En//DT|UTR|SIN|IND//det//87 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//87 strategi//NN|UTR|SIN|IND|NOM//nsubj//90 är//VB|PRS|AKT//cop//90 således//AB//advmod//90 relevant//JJ|POS|NEU|SIN|IND|NOM//xcomp//41 utan//PP//mark//97 att//SN//mark//97 en//DT|UTR|SIN|IND//det//96 regional//JJ|POS|UTR|SIN|IND|NOM//amod//96 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//96 planering//NN|UTR|SIN|IND|NOM//nsubj:pass//97 införs//VB|PRS|SFO//advcl//90 .//MAD//punct//97
9 Ikraftträdande och genomförande  / Genomförande;En//DT|UTR|SIN|IND//det//101 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//101 strategi//NN|UTR|SIN|IND|NOM//nsubj//103 bör//VB|PRS|AKT//aux//103 leda//VB|INF|AKT//conj//90 till//PP//case//107 ett//DT|NEU|SIN|IND//det//107 mer//AB|KOM//amod//107 sammanhållet//PC|PRF|NEU|SIN|IND|NOM//nmod//109 statligt//JJ|POS|NEU|SIN|IND|NOM//advmod//109 agerande//NN|NEU|SIN|IND|NOM//xcomp//103 .//MAD//punct//41
