En förvaltning som håller ihop;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 E-delegationen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet Mehmet Kaplan;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//16 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 härmed//AB//advmod//19 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//1 .//MAD//punct//19
Till statsrådet Mehmet Kaplan;/Ewa//MID//nmod//22 Carlsson//PM|NOM//appos//19
Till statsrådet Mehmet Kaplan;Karolina//PM|NOM//ROOT//0 Brogan//PM|NOM//flat//0
Till statsrådet Mehmet Kaplan;Johan//PM|NOM//ROOT//0 Bålman//PM|NOM//flat:name//0
Till statsrådet Mehmet Kaplan;Marit//PM|NOM//ROOT//0 Dozzi//PM|NOM//flat//0
Till statsrådet Mehmet Kaplan;Margareta//PM|NOM//ROOT//0 Eriksson//PM|NOM//flat//0
Till statsrådet Mehmet Kaplan;Viktoria//PM|NOM//ROOT//0 Hagelstedt//PM|NOM//nsubj//0
Till statsrådet Mehmet Kaplan;Björn//PM|NOM//ROOT//0 Hagström//PM|NOM//flat:name//0
Till statsrådet Mehmet Kaplan;Catharina//PM|NOM//ROOT//0 Nyström//PM|NOM//flat//0
Till statsrådet Mehmet Kaplan;Anna//PM|NOM//ROOT//0 Pegelow//PM|NOM//flat:name//0
Till statsrådet Mehmet Kaplan;Odd//PM|NOM//ROOT//0 Sivertzen//PM|NOM//flat:name//0
Till statsrådet Mehmet Kaplan;Jan//PM|NOM//ROOT//0 Sjösten//PM|NOM//flat:name//0
Till statsrådet Mehmet Kaplan;Lena//PM|NOM//ROOT//0 Olofsson//PM|NOM//flat:name//0 Warstrand//PM|NOM//flat//0


1.1 Bakgrund;E-delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 arbete//NN|NEU|SIN|IND|NOM//nsubj//15 med//PP//case//3 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//1 att//IE//mark//5 samordna//VB|INF|AKT//acl//1 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//7 arbete//NN|NEU|SIN|IND|NOM//obj//5 för//PP//mark//10 att//IE//mark//10 stärka//VB|INF|AKT//advcl//5 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//10 av//PP//case//13 e-förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//11 har//VB|PRS|AKT//aux//15 pågått//VB|SUP|AKT//ROOT//15 sedan//PP//case//17 2009//RG|NOM//obl//15 .//MAD//punct//15
1.1 Bakgrund;Med//PP//case//20 myndigheter//NN|UTR|PLU|IND|NOM//obl//21 avses//VB|PRS|SFO//conj//15 i//PP//case//26 detta//DT|NEU|SIN|DEF//det//24 betänkande//NN|NEU|SIN|IND|NOM//nmod//26 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 myndigheter//NN|UTR|PLU|IND|NOM//obl//21 ,//MID//punct//28 kommuner//NN|UTR|PLU|IND|NOM//conj//26 och//KN//cc//30 landsting//NN|NEU|SIN|IND|NOM//conj//26 .//MAD//punct//15
1.1 Bakgrund;E-delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 erfarenheter//NN|UTR|PLU|IND|NOM//nsubj//11 av//PP//mark//4 att//IE//mark//4 samordna//VB|INF|AKT//acl//1 och//KN//cc//6 koordinera//VB|INF|AKT//conj//4 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//8 arbete//NN|NEU|SIN|IND|NOM//obj//6 med//PP//case//10 e-förvaltning//NN|UTR|SIN|IND|NOM//obl//6 innebär//VB|PRS|AKT//ROOT//11 att//SN//mark//14 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 finns//VB|PRS|SFO//ccomp//11 mycket//JJ|POS|NEU|SIN|IND|NOM//amod//16 kunskap//NN|UTR|SIN|IND|NOM//nsubj//14 som//HP|-|-|-//nsubj:pass//19 kan//VB|PRS|AKT//aux//19 tas//VB|INF|SFO//acl:relcl//16 till//PP//case//21 vara//NN|-|-|-|-//obl//19 och//KN//cc//23 återanvändas//VB|PRS|SFO//conj//19 vid//PP//case//26 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//26 utveckling//NN|UTR|SIN|IND|NOM//obl//23 av//PP//case//29 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 tjänster//NN|UTR|PLU|IND|NOM//nmod//26 utifrån//PP//case//34 medborgarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//34 och//KN//cc//33 företagarnas//NN|UTR|PLU|DEF|GEN//conj//31 behov//NN|NEU|PLU|IND|NOM//nmod//29 .//MAD//punct//11
1.1 Bakgrund;E-delegationen//NN|UTR|SIN|DEF|NOM//nsubj//37 lämnar//VB|PRS|AKT//parataxis//11 i//PP//case//41 detta//DT|NEU|SIN|DEF//det//40 betänkande//NN|NEU|SIN|IND|NOM//amod//41 rekommendationer//NN|UTR|PLU|IND|NOM//obl//37 för//PP//mark//44 att//IE//mark//44 öka//VB|INF|AKT//advcl//37 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//44 att//IE//mark//47 få//VB|INF|AKT//xcomp//44 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 fart//NN|UTR|SIN|IND|NOM//obj//47 på//PP//case//51 e-förvaltningsutvecklingen//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//11
