7LOO VWDWVUnGHW RFK FKHIHQ I|U 0LOM|GHSDUWHPHQWHW;+//MID//cc//1 nNDQ//NN|AN//ROOT//1 -XOLXV//MAD//punct//1
$UEHWVPLOM|ODJHQ;$//NN|NEU|SIN|IND|NOM//nmod//1 UEHWVPLOM|ODJVWLIWQLQJHQ//PM|NOM//nummod//2 RPIDWWDU//PM|NOM//obl//18 lYHQ//NN|AN//nmod//5 PLOM|Q//NN|UTR|SIN|IND|NOM//nmod//5 L//PM|NOM//nsubj//2 VNROORNDOHU//PM|NOM//flat:name//5 ,//MID//punct//8 HQ//PM|NOM//parataxis//2 UDSSRUW//PM|NOM//nmod//8 IUnQ//PM|NOM//nmod//11 $//NN|UTR|SIN|IND|NOM//nmod//8 UEHWVPLOM|YHUNHW//NN|AN//obl//15 6NRODQV//JJ|AN//nummod//15 DUEHWVPLOM|//NN|UTR|SIN|IND|NOM//fixed//13 ²//RG|NOM//nummod//16 UHVXOWDW//VB|PRS|AKT//nmod//17 DY//PM|NOM//appos//2 HQNlWXQGHUV|NQLQJ//NN|NEU|SIN|DEF|NOM//amod//19 YnUHQ//NN|UTR|SIN|IND|NOM//nmod//20 IUDPJnU//PP//ROOT//20 DWW//PM|NOM//nmod//22 GHQ//PM|NOM//obl//23 YDQOLJDVW//PM|NOM//acl:relcl//20 I|UH//RG|NOM//nmod//20 NRPPDQGH//PM|NOM//xcomp//20 DQPlUNQLQJHQ//PM|NOM//obj//20 VnYLWW//RG|NOM//cc//20 DYVHU//PM|NOM//fixed//27 VNRODQV//PM|NOM//amod//31 I\VLVND//PM|NOM//amod//31 DUEHWVPLOM|//PM|NOM//obl//32 JlOOHU//RG|NOM//acl//20 YHQWLODWLRQHQ//PM|NOM//obj//20


$OOPlQW;EHW//PM|NOM//nmod//2 %//NN|AN//nmod//2 R8//PM|NOM//nsubj//3 UVNU//NN|UTR|SIN|IND|NOM//ROOT//3

%\JJQDGVPLOM|XWUHGQLQJHQ;!//MID//ROOT//0
%\JJQDGVPLOM|XWUHGQLQJHQ;"    //_SP////0 ""//PAD//punct//0"


0LOM|VWDWXV I|U E\JJQDGHU;(//PAD//punct//1 Q//PM|NOM//discourse//13 IDVWLJKHWV//PM|NOM//nsubj//1 PLOM|VWDWXV//PM|NOM//nummod//1 IDVWVWlOOV//RG|NOM//det//5 L//NN|AN//nmod//7 WUH//PM|NOM//flat//5 VWHJ//PM|NOM//nmod//1 PLOM|LQYHQWHULQJ//KN//conj//1 GDWDEHDUEHWQLQJ//NN|UTR|SIN|DEF|NOM//flat:name//1 VDPW//NN|UTR|SIN|IND|NOM//dep//1 XWYlUGHULQJ//RG|NOM//dep//1 RFK//PM|NOM//nmod//13 nWJlUGVI|UVODJ//PM|NOM//ROOT//13 ,//MID//punct//13 QYHQWHULQJ//NN|UTR|SIN|DEF|NOM//nmod//16 RFK//PM|NOM//appos//13 YlUGHULQJ//RG|NOM//amod//19 JUXQGDV//PM|NOM//nmod//19 Sn//NN|AN//conj//13 0LOM|PDQXDOHQ//RG|NOM//nummod//19 6MlOYD//RG|NOM//appos//19 LQYHQWHULQJHQ//PM|NOM//flat:name//21

3 PlUNQLQJ / 3 PlUNQLQJ 6XQG LQQHPLOM| 6YHQVN 0LOM|EHVLNWQLQJ )ULVN %RVWDG ([HPSHO Sn XWOlQGVND E\JJQDGVGHNODUDWLRQHU HOOHU PRWVYDUDQGH /DJVWLIWQLQJ RP HQHUJLGHNODUDWLRQHU 8WYHFNOLQJVDUEHWHQ gYHUYlJDQGHQ RFK I|UVODJ $OOPlQQD XWJnQJVSXQNWHU $OOPlQW (QNlWHU;(//PAD//punct//2 Q//PM|NOM//nummod//2 RFK//PM|NOM//ROOT//2
3 PlUNQLQJ / 3 PlUNQLQJ 6XQG LQQHPLOM| 6YHQVN 0LOM|EHVLNWQLQJ )ULVN %RVWDG ([HPSHO Sn XWOlQGVND E\JJQDGVGHNODUDWLRQHU HOOHU PRWVYDUDQGH /DJVWLIWQLQJ RP HQHUJLGHNODUDWLRQHU 8WYHFNOLQJVDUEHWHQ gYHUYlJDQGHQ RFK I|UVODJ $OOPlQQD XWJnQJVSXQNWHU $OOPlQW (QNlWHU;WYnERVWDGVKXV//MID//punct//2 )//PAD//punct//2 OHUERVWDGVKXV//PM|NOM//ROOT//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//2 '//PAD//punct//47 ''//UO//appos//2 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//47 (//PAD//punct//47                            //_SP////91 #//UO//conj//47 '//PAD//punct//47 '//PAD//punct//47 '//PAD//punct//97 ''//PAD//conj//2 '//PAD//punct//97 '//PAD//punct//97

3 PlUNQLQJ / 9HQWLODWLRQ;$//NN|NEU|SIN|IND|NOM//nmod//1 #//MID//ROOT//1 '//PAD//punct//1 ''//PAD//punct//1

3 PlUNQLQJ / (QHUJL;!//MID//ROOT//0
3 PlUNQLQJ / (QHUJL;                                  //_SP////0 #//PM|NOM//punct//0

3 PlUNQLQJ / 5DGRQ;'//PAD//punct//28 '//PAD//punct//0 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//1 '//PAD//punct//28 ''//UO//ROOT//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 '//PAD//punct//28 $//NN|UTR|SIN|IND|NOM//nummod//28
3 PlUNQLQJ / 5DGRQ;"SUHVWDQGD//PM|NOM//amod//7 RFK//PM|NOM//obj//0 UHIHUHQVYlUGHQ//PAD//obj//0 !//MAD//punct//0 ""//PAD//punct//0 #//MID//nmod//6"
3 PlUNQLQJ / 5DGRQ;$//NN|UTR|SIN|IND|NOM//obl//7 %//NN|AN//nmod//15              //_SP////7 !//MID//punct//7 &//KN|AN//cc//7 !//MID//punct//10
3 PlUNQLQJ / 5DGRQ;   //_SP////11 %//NN|AN//nmod//15               //_SP////13 #//MID//ROOT//15 '//PAD//punct//18    //_SP////16 &//KN|AN//flat//15 !//MID//punct//18
3 PlUNQLQJ / 5DGRQ;"   //_SP////19 #//NN|UTR|SIN|IND|NOM//nummod//24 #//RG|NOM//nmod//24                            //_SP////22 %//NN|AN//nmod//26 '//PAD//punct//26 #//MID//obl:agent//15 ""//PAD//punct//26          //_SP////27 !//MID//punct//26 &//KN|AN//conj//15 !//MID//punct//30 &//KN|AN//nummod//15 !//MID//punct//32 #//MID//nummod//15 ""//PAD//punct//38"
3 PlUNQLQJ / 5DGRQ;"         //_SP////35 ""//PAD//punct//38 %//NN|AN//conj//15     //_SP////38 !//MID//punct//38 (//PAD//punct//38 )//PAD//punct//38 (//PAD//punct//38 *//MID//punct//38"
3 PlUNQLQJ / 5DGRQ; //_SP////44 )//PAD//punct//38 +//MID//cc//51   //_SP////47 ,//MID//punct//50 %//NN|AN//conj//47 +//MID//conj//15 -//MID//punct//51 !//MAD//punct//15 (//PAD//punct//15


3 PlUNQLQJ / $OOPlQW (1);)//PAD//punct//4     //_SP////0 (//PAD//punct//0 )//PAD//punct//4 #//NN|UTR|SIN|IND|NOM//ROOT//4


3 PlUNQLQJ / /lJHQKHWVUHJLVWUHW;.//MAD//ROOT//0
3 PlUNQLQJ / /lJHQKHWVUHJLVWUHW; //_SP////0 ///MID//punct//0        //_SP////2 .//MAD//punct//2
3 PlUNQLQJ / /lJHQKHWVUHJLVWUHW;L//PM|NOM//ROOT//0 IDVWLJKHWVUHJLVWUHW//PM|NOM//flat//0


3 PlUNQLQJ / 1nJUD I|UHVODJQD UHJLVWHU;UHVXOWDWHW//PM|NOM//ROOT//0 DY//PM|NOM//nsubj:pass//0 PlWQLQJHQ//RG|NOM//advmod//0 )//PAD//punct//0     //_SP////3 (//PAD//punct//0 (//PAD//punct//7 $//NN|UTR|SIN|IND|NOM//appos//0 (//PAD//punct//7


3 PlUNQLQJ / IDVWLJKHWVUHJLVWUHW;'//PAD//punct//1 HQ//PM|NOM//ROOT//1 GHFHPEHU//PM|NOM//nsubj//1  //_SP////2 KDGH//PM|NOM//obl//1 )//PAD//punct//1 DVWLJKHWVUHJLVWUHW//PM|NOM//dep//1 .RPPXQDOW//MAD//punct//1
3 PlUNQLQJ / IDVWLJKHWVUHJLVWUHW;UHJLVWHU//PM|NOM//ROOT//0 ,//MID//punct//0

3 PlUNQLQJ / *UlQVVQLWW;NRPPXQHUQD//PM|NOM//advmod//2 LQWH//PM|NOM//obj//0 I|U//PM|NOM//ROOT//2 XSSJLIWHU//PM|NOM//nmod//4 RP//NN|AN//compound//10 YHQWLODWLRQ//PM|NOM//flat//4 RFK//PM|NOM//obl//7 UDGRQ//PM|NOM//conj//4 L//PM|NOM//flat:name//4 HWW//PM|NOM//nmod//10 RFK//PM|NOM//obj//2
3 PlUNQLQJ / *UlQVVQLWW;VDPPD//PM|NOM//amod//1 UHJLVWHU//PM|NOM//ROOT//1

3 PlUNQLQJ / 2IIHQWOLJKHWVSULQFLSHQ;///MID//ROOT//0     //_SP////0 )//PAD//punct//0                       //_SP////2 .//MAD//punct//2


3 PlUNQLQJ / $OOPlQW (2);.8//MID//punct//1 UVNU//NN|UTR|SIN|IND|NOM//ROOT//1

3 PlUNQLQJ / 6HNUHWHVV L XSSGUDJVYHUNVDPKHW;(//PAD//ROOT//0 (//PAD//punct//0 (//PAD//punct//1   //_SP////2 )//PAD//punct//2 (//PAD//punct//1           //_SP////5 .//MAD//punct//1


3 PlUNQLQJ / $OOPlQQD XWJnQJVSXQNWHU;%//NN|AN//nmod//3           //_SP////0 !//MID//punct//0 &//KN|AN//discourse//12 !//MID//punct//3 !//MID//punct//3 !//MID//punct//3 !//MID//punct//8 %//NN|AN//nmod//12 &//KN|AN//nummod//8 !//MID//punct//8
3 PlUNQLQJ / $OOPlQQD XWJnQJVSXQNWHU;"    //_SP////10 #//MID//ROOT//12 ""//PAD//punct//12  //_SP////13 !//MID//punct//13"
3 PlUNQLQJ / $OOPlQQD XWJnQJVSXQNWHU;                   //_SP////15 %//NN|AN//dep//12    //_SP////17 !//MID//punct//17
3 PlUNQLQJ / $OOPlQQD XWJnQJVSXQNWHU;        //_SP////19 !//MAD//punct//17


3 PlUNQLQJ / $OOPlQW (3);DY//PM|NOM//nmod//1 SHUVRQXSSJLIWHU//PM|NOM//ROOT//1
3 PlUNQLQJ / $OOPlQW (3);ODJHQ//NN|UTR|SIN|IND|NOM//ROOT//0

3 PlUNQLQJ / 1lUPDUH RP ,QWHJULWHWVIUnJRU bQGDPnOHQ;)//PAD//ROOT//0      //_SP////0 )//PAD//punct//0 #//MID//punct//2  //_SP////3 &//KN|AN//cc//3     //_SP////5 (//PAD//punct//3 ///MID//punct//3


"3 PlUNQLQJ / GHNODUDWLRQHUQD UHJOHUDV""";$//NN|UTR|SIN|IND|NOM//ROOT//0 )//PAD//punct//0 ///MID//case//3 $//UO//nmod//0 )//PAD//punct//3 ///MID//case//6 #//NN|UTR|SIN|IND|NOM//conj//0
"3 PlUNQLQJ / GHNODUDWLRQHUQD UHJOHUDV""";SXQNWHUQD//NN|UTR|SIN|IND|NOM//ROOT//0 IDVWLJKHWVUHJLVWHUODJHQ//PM|NOM//obj//0

3 PlUNQLQJ / $OOPlQW (4);ODJHQV//PM|NOM//ROOT//0 WLOONRPVW//PM|NOM//flat//0

3 PlUNQLQJ / 5HJOHULQJHQ L IDVWLJKHWVUHJLVWUHW;'//PAD//punct//4 LUHNWnWNRPVW//NN|UTR|SIN|IND|NOM//nmod:poss//4 8UYDO//NN|AN//nummod//3 RFK//PM|NOM//conj//1 EHDUEHWQLQJDU//PM|NOM//ROOT//4
3 PlUNQLQJ / 5HJOHULQJHQ L IDVWLJKHWVUHJLVWUHW;XU//PM|NOM//nmod//1 E\JJQDGVGHNODUDWLRQHUQD//PM|NOM//ROOT//1


3 PlUNQLQJ / ,QWHUQHW;WLOOJlQJOLJ//SN//amod//1 Sn//NN|AN//ROOT//1 ,//MID//punct//3 QWHUQHW//PM|NOM//conj//1 Vn//PM|NOM//nmod//5 DWW//PM|NOM//nsubj//3 lYHQ//NN|AN//nmod//7 SHUVRQHU//PM|NOM//conj//1 L//NN|NEU|SIN|IND|NOM//flat:name//7 OlQGHU//MID//flat//8 XWDQI|U//NN|UTR|SIN|IND|NOM//conj//1 (//PAD//punct//13 8//RG|NOM//nummod//13 RFK//PM|NOM//conj//1

3 PlUNQLQJ / ' g95,*$ )5c*25;,//MID//punct//1 NUDIWWUlGDQGH//PAD//ROOT//1 RFK//PM|NOM//nsubj//1 |YHUJnQJVEHVWlPPHOVHU//RG|NOM//punct//1


3 PlUNQLQJ / $OOPlQW (5);#//NN|UTR|SIN|IND|NOM//nummod//2 '//PAD//punct//2 %//NN|AN//ROOT//2 &//KN|AN//punct//2 5641//RG|NOM//nummod//2     //_SP////4 !//MID//punct//2
