Kategorisering och integration;Om//SN//case//2 föreställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 identiteter//NN|UTR|PLU|IND|NOM//ROOT//2 i//PP//case//4 politik//NN|UTR|SIN|IND|NOM//nmod//2 ,//MID//punct//6 forskning//NN|UTR|SIN|IND|NOM//conj//2 ,//MID//punct//8 media//NN|UTR|SIN|IND|NOM//conj//2 och//KN//cc//10 vardag//NN|UTR|SIN|IND|NOM//conj//2
Förord;Vi//PN|UTR|PLU|DEF|SUB//nsubj//31 vill//VB|PRS|AKT//aux//31 rikta//VB|INF|AKT//parataxis//7 ett//DT|NEU|SIN|IND//det//34 varmt//JJ|POS|NEU|SIN|IND|NOM//amod//34 tack//NN|NEU|SIN|IND|NOM//obj//31 till//PP//case//37 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//37 medverkande//NN|UTR|PLU|IND|NOM//obl//31 för//PP//case//40 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//40 insatser//NN|UTR|PLU|IND|NOM//nmod//37 !//MAD//punct//31

1. Kategorisering och integration – en introduktion;Karin//PM|NOM//ROOT//0 Borevi//PM|NOM//flat:name//0 och//KN//cc//3 Per//PM|NOM//conj//0 Strömblad//PM|NOM//flat//3
1. Kategorisering och integration – en introduktion;Invandrarna//NN|UTR|PLU|DEF|NOM//nsubj//18 som//HP|-|-|-//nsubj//4 kommer//VB|PRS|AKT//aux//4 hit//AB//advmod//4 har//VB|PRS|AKT//acl:relcl//0 svårt//AB|POS//obj//4 att//IE//mark//7 integrera//VB|INF|AKT//advcl//4 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//7 .//MAD//punct//0
1. Kategorisering och integration – en introduktion;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//11 håller//VB|PRS|AKT//parataxis//0 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//11 mest//AB|SUV//advmod//11 för//PP//case//15 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//11 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 ,//MID//punct//18 har//VB|PRS|AKT//ROOT//18 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//21 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 föreningar//NN|UTR|PLU|IND|NOM//obj//18 ,//MID//punct//18 en//DT|UTR|SIN|IND//det//25 annorlunda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 matkultur//NN|UTR|SIN|IND|NOM//obj//18 ,//MID//punct//18 läser//VB|PRS|AKT//conj//18 tidningar//NN|UTR|PLU|IND|NOM//obj//27 från//PP//case//30 hemlandet//NN|NEU|SIN|DEF|NOM//nmod//28 ,//MID//punct//18 och//KN//cc//33 lär//VB|PRS|AKT//conj//18 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//33 inte//AB//advmod//33 språket//NN|NEU|SIN|DEF|NOM//obj//33 ordentligt//AB|POS//advmod//33 .//MAD//punct//18
1. Kategorisering och integration – en introduktion;Denna//DT|UTR|SIN|DEF//det//40 isolering//NN|UTR|SIN|IND|NOM//nsubj//45 från//PP//case//44 det//DT|NEU|SIN|DEF//det//44 omgivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 samhället//NN|NEU|SIN|DEF|NOM//nmod//40 ger//VB|PRS|AKT//parataxis//18 näring//NN|UTR|SIN|IND|NOM//obj//45 åt//PP//case//48 fördomar//NN|UTR|PLU|IND|NOM//obl//45 och//KN//cc//50 leder//VB|PRS|AKT//conj//45 stundtals//AB//advmod//50 till//PP//case//54 öppna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 konflikter//NN|UTR|PLU|IND|NOM//obl//50 med//PP//case//57 de//DT|UTR/NEU|PLU|DEF//det//57 infödda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//50 .//MAD//punct//45
1. Kategorisering och integration – en introduktion;Bråk//NN|NEU|PLU|IND|NOM//nsubj//65 mellan//PP//case//64 invandrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//64 och//KN//cc//63 infödda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//61 ungdomar//NN|UTR|PLU|IND|NOM//nmod//59 förekommer//VB|PRS|AKT//parataxis//45 allt//PN|NEU|SIN|IND|SUB/OBJ//advmod//65 som//KN//mark//68 oftast//AB|SUV//advmod//65 .//MAD//punct//45
1. Kategorisering och integration – en introduktion;Ovanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//4 är//VB|PRS|AKT//cop//4 ett//DT|NEU|SIN|IND//det//4 kort//JJ|POS|NEU|SIN|IND|NOM//advmod//4 referat//NN|NEU|SIN|IND|NOM//ROOT//4 av//PP//case//7 en//DT|UTR|SIN|IND//det//7 radiodokumentär//NN|UTR|SIN|IND|NOM//nmod//4 om//PP//case//9 integrationsproblematik//NN|UTR|SIN|IND|NOM//nmod//7 .//MAD//punct//4
1. Kategorisering och integration – en introduktion;Men//KN//cc//28 vad//HP|NEU|SIN|IND//nsubj//28 är//VB|PRS|AKT//cop//12 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//12 egentligen//AB//advmod//12 vi//PN|UTR|PLU|DEF|SUB//nsubj//17 ser//VB|PRS|AKT//acl:cleft//12 framför//PP//case//19 oss//PN|UTR|PLU|DEF|OBJ//obl//17 när//HA//advmod//12 uttryck//NN|NEU|PLU|IND|NOM//fixed//20 som//KN//case//24 ”//PAD//punct//24 invandrare//NN|UTR|PLU|IND|NOM//nmod//12 ”//RG|NOM//punct//12 ,//MID//punct//12 ”//PAD//punct//12 integrera//VB|INF|AKT//advcl//55 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//28 ”//PM|NOM//punct//28 ,//MID//punct//28 och//KN//cc//36 ”//PM|NOM//punct//34 hemlandet//NN|NEU|SIN|DEF|NOM//nsubj//36 ”//PM|NOM//punct//34 skymtar//VB|PRS|AKT//conj//28 förbi//PL//advmod//36 ?//MID//punct//28
1. Kategorisering och integration – en introduktion;Vilka//HD|UTR/NEU|PLU|IND//det//40 bilder//NN|UTR|PLU|IND|NOM//nsubj//41 tränger//VB|PRS|AKT//conj//28 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//41 fram//PL//advmod//41 genom//PP//case//45 informationsflödet//NN|NEU|SIN|DEF|NOM//obl//41 ,//MID//punct//28 och//KN//cc//51 vilka//HD|UTR/NEU|PLU|IND//det//50 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 bilder//NN|UTR|PLU|IND|NOM//nsubj:pass//51 filtreras//VB|PRS|SFO//conj//28 bort//PL//advmod//51 ?//MID//punct//28
1. Kategorisering och integration – en introduktion;Hur//HA//advmod//55 ser//VB|PRS|AKT//conj//4 verkligheten//NN|UTR|SIN|DEF|NOM//nsubj//55 ut//PL//compound:prt//55 i//PP//case//60 betraktarens//NN|UTR|SIN|DEF|GEN//nmod:poss//60 öga//NN|NEU|SIN|IND|NOM//obl//55 ?//MID//punct//4
1. Kategorisering och integration – en introduktion;Dokumentären//NN|UTR|SIN|DEF|NOM//nsubj//63 handlar//VB|PRS|AKT//parataxis//4 om//PP//case//65 förhållanden//NN|NEU|PLU|IND|NOM//obl//63 på//PP//case//69 Costa//PM|GEN//nmod:poss//68 del//NN|UTR|SIN|IND|NOM//nmod//69 Sol//NN|UTR|SIN|IND|NOM//nmod//65 i//PP//case//72 södra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 Spanien//PM|NOM//obl//63 ,//MID//punct//76 och//KN//cc//76 mer//AB|KOM//advmod//76 precist//AB|POS//conj//63 om//PP//case//79 vilka//HD|UTR/NEU|PLU|IND//det//79 svårigheter//NN|UTR|PLU|IND|NOM//obl//76 som//HP|-|-|-//case//83 den//DT|UTR|SIN|DEF//det//83 etniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//83 gruppen//NN|UTR|SIN|DEF|NOM//nmod//79 ”//RG|NOM//nmod//85 svenskar//NN|UTR|PLU|IND|NOM//nmod//79 ”//PM|NOM//punct//4 (//PAD//punct//92 en//DT|UTR|SIN|IND//det//92 storleksmässigt//AB|POS//advmod//91 ganska//AB//advmod//91 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//92 minoritet//NN|UTR|SIN|IND|NOM//parataxis//4 i//PP//case//94 Spanien//PM|NOM//nmod//92 )//PAD//punct//92 upplever//VB|PRS|AKT//conj//4 i//PP//case//98 mötet//NN|NEU|SIN|DEF|NOM//obl//96 med//PP//case//102 det//DT|NEU|SIN|DEF//det//102 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//102 samhället//NN|NEU|SIN|DEF|NOM//nmod//98 där//AB//advmod//96 .//MAD//punct//4
