Skärpta regler om utländska månggiften;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 strängare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 regler//NN|UTR|PLU|IND|NOM//nmod//2 om//PP//case//8 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 månggiften//NN|NEU|PLU|IND|NOM//nmod//5
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Detsamma//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//29 gäller//VB|PRS|AKT//parataxis//17 om//SN//mark//32 partnerskap//NN|NEU|SIN|IND|NOM//nsubj:pass//32 registrerats//VB|SUP|SFO//advcl//29 trots//PP//mark//40 att//SN//mark//40 någon//PN|UTR|SIN|IND|SUB/OBJ//nsubj//40 av//PP//case//37 partnerna//NN|UTR|PLU|DEF|NOM//nmod//35 då//AB//advmod//40 var//VB|PRT|AKT//cop//40 gift//PC|PRF|UTR|SIN|IND|NOM//advcl//32 .//MAD//punct//29
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);I//PP//case//2 de//DT|UTR/NEU|PLU|DEF//det//2 fall//NN|NEU|PLU|IND|NOM//obl//8 som//HP|-|-|-//nsubj:pass//4 avses//VB|PRS|SFO//acl:relcl//2 i//PP//case//7 första//RO|NOM//amod//7 stycket//NN|NEU|SIN|DEF|NOM//obl//4 får//VB|PRS|AKT//aux//12 talan//NN|UTR|SIN|IND|NOM//nsubj:pass//12 om//PP//mark//12 äktenskapsskillnad//NN|UTR|SIN|IND|NOM//nsubj:pass//12 föras//VB|INF|SFO//ROOT//12 även//AB//advmod//12 av//PP//case//16 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//16 åklagare//NN|UTR|SIN|IND|NOM//obl:agent//12 .//MAD//punct//12
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);I//PP//case//20 de//DT|UTR/NEU|PLU|DEF//det//20 fall//NN|NEU|PLU|IND|NOM//obl//30 som//HP|-|-|-//nsubj//22 avser//VB|PRS|AKT//acl:relcl//20 äktenskap//NN|NEU|SIN|IND|NOM//obj//22 som//HP|-|-|-//nsubj:pass//26 har//VB|PRS|AKT//aux//26 ingåtts//VB|SUP|SFO//acl:relcl//23 av//PP//case//28 underårig//JJ|POS|UTR|SIN|IND|NOM//obl:agent//26 är//VB|PRS|AKT//cop//30 socialnämnden//NN|UTR|SIN|DEF|NOM//parataxis//12 i//PP//case//33 den//DT|UTR|SIN|DEF//det//33 kommun//NN|UTR|SIN|IND|NOM//nmod//30 där//HA//advmod//37 personen//NN|UTR|SIN|DEF|NOM//nsubj//37 är//VB|PRS|AKT//cop//37 folkbokförd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//33 eller//KN//cc//44 ,//MID//punct//44 om//SN//mark//44 personen//NN|UTR|SIN|DEF|NOM//nsubj//44 inte//AB//advmod//44 är//VB|PRS|AKT//aux:pass//44 folkbokförd//PC|PRF|UTR|SIN|IND|NOM//conj//37 här//AB//advmod//44 i//PP//case//47 landet//NN|NEU|SIN|DEF|NOM//obl//44 ,//MID//punct//44 i//PP//case//51 den//DT|UTR|SIN|DEF//det//51 kommun//NN|UTR|SIN|IND|NOM//obl//12 där//HA//advmod//56 han//PN|UTR|SIN|DEF|SUB//nsubj//56 eller//KN//cc//55 hon//PN|UTR|SIN|DEF|SUB//conj//53 vistas//VB|PRS|SFO//acl:relcl//51 skyldig//JJ|POS|UTR|SIN|IND|NOM//xcomp//56 att//IE//mark//61 på//PP//case//60 begäran//NN|UTR|SIN|IND|NOM//obl//61 lämna//VB|INF|AKT//advcl//56 yttrande//NN|NEU|SIN|IND|NOM//obj//61 samt//KN//cc//65 de//DT|UTR/NEU|PLU|DEF//det//65 upplysningar//NN|UTR|PLU|IND|NOM//conj//51 som//HP|-|-|-//nsubj//68 kan//VB|PRS|AKT//aux//68 vara//VB|INF|AKT//acl:relcl//65 av//PP//case//70 betydelse//NN|UTR|SIN|IND|NOM//obl//68 för//PP//case//73 frågans//NN|UTR|SIN|DEF|GEN//nmod:poss//73 bedömning//NN|UTR|SIN|IND|NOM//obl//68 till//PP//case//75 åklagaren//NN|UTR|SIN|DEF|NOM//nmod//73 .//MAD//punct//65
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);En//DT|UTR|SIN|IND//det//79 annan//JJ|POS|UTR|SIN|IND|NOM//amod//79 socialnämnd//NN|UTR|SIN|IND|NOM//nsubj//93 som//HP|-|-|-//nsubj//81 har//VB|PRS|AKT//acl:relcl//79 tillgång//NN|UTR|SIN|IND|NOM//obj//81 till//PP//case//84 upplysningar//NN|UTR|PLU|IND|NOM//obl//81 som//HP|-|-|-//nsubj//87 kan//VB|PRS|AKT//aux//87 vara//VB|INF|AKT//acl:relcl//84 av//PP//case//89 betydelse//NN|UTR|SIN|IND|NOM//obl//87 i//PP//case//91 frågan//NN|UTR|SIN|DEF|NOM//nmod//89 är//VB|PRS|AKT//cop//93 skyldig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//65 att//IE//mark//95 lämna//VB|INF|AKT//advcl//93 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//95 på//PP//case//98 begäran//NN|UTR|SIN|IND|NOM//obl//95 av//PP//case//101 den//DT|UTR|SIN|DEF//det//101 socialnämnd//NN|UTR|SIN|IND|NOM//nmod//98 som//HP|-|-|-//nsubj//104 ska//VB|PRS|AKT//aux//104 yttra//VB|INF|AKT//acl:relcl//101 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//104 .//MAD//punct//12
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Tredje//RO|NOM//amod//1 stycket//NN|NEU|SIN|DEF|NOM//nsubj//2 gäller//VB|PRS|AKT//ROOT//2 inte//AB//advmod//2 äktenskap//NN|NEU|PLU|IND|NOM//obj//2 som//HP|-|-|-//nsubj:pass//7 har//VB|PRS|AKT//aux//7 ingåtts//VB|SUP|SFO//acl:relcl//4 enligt//PP//case//10 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//10 lag//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//2
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Bestämmelser//NN|UTR|PLU|IND|NOM//parataxis//2 om//PP//mark//21 att//SN//mark//21 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//16 äktenskap//NN|NEU|PLU|IND|NOM//nsubj//21 i//PP//case//19 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 fall//NN|NEU|PLU|IND|NOM//nmod//16 inte//AB//advmod//21 erkänns//VB|PRS|SFO//acl//12 i//PP//case//23 Sverige//PM|NOM//obl//21 finns//VB|PRS|SFO//conj//2 i//PP//case//28 1//RG|NOM//nummod//27 kap.//NN|AN//nmod//28 8//RG|NOM//obl//24 a//NN|NEU|SIN|IND|NOM//case//30 §//NN|AN//nmod//31 lagen//NN|UTR|SIN|DEF|NOM//obl//2 (//PAD//punct//31 1904:26//RG|NOM//nmod//34 s.1//NN|AN//appos//31 )//PAD//punct//31 om//PP//case//39 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 rättsförhållanden//NN|NEU|PLU|IND|NOM//obl//2 rörande//PP//case//41 äktenskap//NN|NEU|SIN|IND|NOM//nmod//39 och//KN//cc//43 förmynderskap//NN|NEU|SIN|IND|NOM//conj//41 .//MAD//punct//2
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 juli//NN|UTR|SIN|IND|NOM//obl//2 2021//RG|NOM//nummod//7 .//MAD//punct//2

1.2 Förslag till lag om ändring av lagen (1904:26 s.1) om vissa internationella rättsförhållanden rörande äktenskap och förmynderskap;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//22 1//RG|NOM//nummod//4 kap.//NN|AN//nmod//5 8//RG|NOM//nummod//6 a//NN|NEU|SIN|IND|NOM//nummod//7 §//NN|AN//nmod//8 lagen//NN|UTR|SIN|DEF|NOM//nsubj//22 (//PAD//punct//8 1904:26//RG|NOM//nummod//11 s.1//NN|AN//appos//8 )//PAD//punct//8 om//PP//case//16 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 rättsförhållanden//NN|NEU|PLU|IND|NOM//nmod//8 rörande//PP//case//18 äktenskap//NN|NEU|SIN|IND|NOM//nmod//16 och//KN//cc//20 förmynderskap//NN|NEU|SIN|IND|NOM//conj//18 ska//VB|PRS|AKT//aux//22 ha//VB|INF|AKT//dep//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 lydelse//NN|UTR|SIN|IND|NOM//obj//22 .//MAD//punct//1

