För studenterna...;–//RG|NOM//punct//2 om//PP//case//2 studentkårer//NN|UTR|PLU|IND|NOM//ROOT//2 ,//MID//punct//4 nationer//NN|UTR|PLU|IND|NOM//conj//2 och//KN//cc//7 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 studentföreningar//NN|UTR|PLU|IND|NOM//conj//2
Till statsrådet och chefen för Utbildnings- och kulturdepartementet;Den//DT|UTR|SIN|DEF//det//2 10//RG|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//obl//3 beslutade//VB|PRT|AKT//ROOT//3 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 om//PP//case//6 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//3 med//PP//case//8 innebörd//NN|UTR|SIN|IND|NOM//nmod//6 att//SN//mark//12 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//12 skulle//VB|PRT|AKT//aux//12 redovisa//VB|INF|AKT//acl//6 sitt//PS|NEU|SIN|DEF//nmod:poss//14 arbete//NN|NEU|SIN|IND|NOM//obj//12 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//18 den//DT|UTR|SIN|DEF//det//18 13//RG|NOM//nummod//18 april//NN|UTR|SIN|IND|NOM//obl//12 2006//RG|NOM//nummod//18 .//MAD//punct//3
Till statsrådet och chefen för Utbildnings- och kulturdepartementet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 vårt//PS|NEU|SIN|DEF//nmod:poss//4 betänkande//NN|NEU|SIN|IND|NOM//obj//1 ”//PAD//punct//1 För//PP//case//7 studenterna//NN|UTR|PLU|DEF|NOM//obl//1 –//RG|NOM//punct//7 om//PP//case//10 studentkårer//NN|UTR|PLU|IND|NOM//nmod//7 ,//MID//punct//12 nationer//NN|UTR|PLU|IND|NOM//conj//10 och//KN//cc//15 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//15 studentföreningar//NN|UTR|PLU|IND|NOM//conj//10 ”//RG|NOM//punct//1 .//MAD//punct//1
Till statsrådet och chefen för Utbildnings- och kulturdepartementet;Experterna//NN|UTR|PLU|DEF|NOM//nsubj//1 instämmer//VB|PRS|AKT//ROOT//1 i//PP//case//4 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//4 bedömningar//NN|UTR|PLU|IND|NOM//obl//1 och//KN//cc//6 förslag//NN|NEU|PLU|IND|NOM//conj//4 .//MAD//punct//1
Till statsrådet och chefen för Utbildnings- och kulturdepartementet;Vårt//PS|NEU|SIN|DEF//nmod:poss//9 arbete//NN|NEU|SIN|IND|NOM//nsubj//12 är//VB|PRS|AKT//cop//12 härmed//AB//advmod//12 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//1 .//MAD//punct//1
Till statsrådet och chefen för Utbildnings- och kulturdepartementet;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 12//RG|NOM//nummod//3 april//NN|UTR|SIN|IND|NOM//obj//0 2006//RG|NOM//nummod//3
Till statsrådet och chefen för Utbildnings- och kulturdepartementet;Kerstin//PM|NOM//ROOT//0 Thoursie//PM|NOM//flat:name//0 /Ignacio//MID//case//3 Vita//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//0

För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;När//HA//mark//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 gäller//VB|PRS|AKT//advcl//6 nationer//NN|UTR|PLU|IND|NOM//obj//2 och//KN//cc//5 studentföreningar//NN|UTR|PLU|IND|NOM//conj//3 avser//VB|PRS|AKT//ROOT//6 vårt//PS|NEU|SIN|DEF//nmod:poss//8 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//6 de//DT|UTR/NEU|PLU|DEF//det//10 sammanslutningar//NN|UTR|PLU|IND|NOM//obj//6 som//HP|-|-|-//nsubj//13 är//VB|PRS|AKT//cop//13 obligatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//10 .//MAD//punct//6
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//16 finns//VB|PRS|SFO//parataxis//6 i//PP//case//18 Uppsala//PM|NOM//obl//16 ,//MID//punct//20 Lund//PM|NOM//conj//18 och//KN//cc//22 Stockholm//PM|NOM//conj//18 .//MID//punct//16
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;På//PP//case//26 samma//DT|UTR/NEU|SIN/PLU|IND//det//26 sätt//NN|NEU|SIN|IND|NOM//obl//35 som//KN//nsubj//33 för//PP//case//29 studentkårerna//NN|UTR|PLU|DEF|NOM//obl//33 har//VB|PRS|AKT//aux//33 vi//PN|UTR|PLU|DEF|SUB//nsubj//33 därför//AB//advmod//33 begärt//VB|SUP|AKT//acl:relcl//26 ,//MID//punct//26 tagit//VB|SUP|AKT//conj//16 del//NN|UTR|SIN|IND|NOM//obj//35 av//PP//compound:prt//35 och//KN//cc//39 analyserat//VB|SUP|AKT//conj//35 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 dokument//NN|NEU|PLU|IND|NOM//obj//39 från//PP//case//43 nationerna//NN|UTR|PLU|DEF|NOM//nmod//41 vid//PP//case//45 universiteten//NN|NEU|PLU|DEF|NOM//obl//39 i//PP//case//47 Lund//PM|NOM//nmod//45 och//KN//cc//49 Uppsala//PM|NOM//conj//47 samt//KN//cc//51 fakultetsföreningarna//NN|UTR|PLU|DEF|NOM//conj//47 vid//PP//case//54 Stockholms//PM|GEN//nmod:poss//54 universitet//NN|NEU|SIN|IND|NOM//nmod//51 .//MAD//punct//16
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;Vi//PN|UTR|PLU|DEF|SUB//nsubj//57 har//VB|PRS|AKT//aux//61 med//PP//case//60 ett//DT|NEU|SIN|IND//det//60 undantag//NN|NEU|SIN|IND|NOM//obl//61 fått//VB|SUP|AKT//conj//16 tillgång//NN|UTR|SIN|IND|NOM//obj//61 till//PP//case//64 handlingarna//NN|UTR|PLU|DEF|NOM//nmod//62 från//PP//case//68 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//68 dessa//DT|UTR/NEU|PLU|DEF//det//68 sammanslutningar//NN|UTR|PLU|IND|NOM//nmod//64 .//MAD//punct//16
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;Detta//DT|NEU|SIN|DEF//det//71 analysarbete//NN|NEU|SIN|IND|NOM//nsubj//74 har//VB|PRS|AKT//aux//74 varit//VB|SUP|AKT//cop//74 viktigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//16 inför//PP//case//77 de//DT|UTR/NEU|PLU|DEF//det//77 överläggningar//NN|UTR|PLU|IND|NOM//obl//74 vi//PN|UTR|PLU|DEF|SUB//nsubj//80 senare//AB|KOM//advmod//80 haft//VB|SUP|AKT//acl:relcl//77 liksom//AB//case//85 för//PP//case//85 det//DT|NEU|SIN|DEF//det//85 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 arbetet//NN|NEU|SIN|DEF|NOM//obl//80 .//MAD//punct//6
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;I//PP//case//1 överensstämmelse//NN|UTR|SIN|IND|NOM//obl//4 med//PP//case//3 direktiven//NN|NEU|PLU|DEF|NOM//nmod//1 har//VB|PRS|AKT//aux//9 vi//PN|UTR|PLU|DEF|SUB//nsubj//9 under//PP//case//8 arbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//8 gång//NN|UTR|SIN|IND|NOM//obl//9 samrått//VB|SUP|AKT//ROOT//9 med//PP//case//12 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 myndigheter//NN|UTR|PLU|IND|NOM//obl//9 och//KN//cc//14 studentorganisationer//NN|UTR|PLU|IND|NOM//conj//12 m.m.//AB|AN//conj//9
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;Överläggningar//NN|UTR|PLU|IND|NOM//ROOT//0 i//PP//case//4 samband//NN|NEU|SIN|IND|NOM//fixed//1 med//PP//fixed//1 studiebesök//NN|NEU|PLU|IND|NOM//nmod//0
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;För//PP//mark//2 att//IE//mark//2 få//VB|INF|AKT//advcl//12 inblick//NN|UTR|SIN|IND|NOM//obj//2 i//PP//case//7 en//DT|UTR|SIN|IND//det//7 innovativ//JJ|POS|UTR|SIN|IND|NOM//amod//7 utbildnings-//NN|UTR|-|-|SMS//obl//2 och//KN//cc//9 studiemiljö//NN|UTR|SIN|IND|NOM//conj//7 har//VB|PRS|AKT//aux//12 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//12 besökt//VB|SUP|AKT//ROOT//12 Skeria//PM|GEN//nmod:poss//14 Utveckling//NN|UTR|SIN|IND|NOM//obj//12 ,//MID//punct//18 en//DT|UTR|SIN|IND//det//18 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//18 organisation//NN|UTR|SIN|IND|NOM//conj//14 i//PP//case//20 Skellefteå//PM|NOM//nmod//18 .//MAD//punct//12
För att få en bred grund för arbetet och en aktuell kunskap om studentsammanslutningarnas verksamhet skrev vi i början av hösten 2005 till landets samtliga studentkårer och presenterade utredningsuppdraget samtidigt som vi bad om att få ta del av deras stadgar och verksamhetsberättelser/planer. Följande studentkårer svarade och gick oss tillmötes: Lundaekonomernas studentkår, Hälsouniversitets studentkår Consensus, Medicinska föreningen i Göteborg, Utbildningsvetenskapliga studentkåren vid Göteborgs universitet, Studentkåren i Skövde, Karlstad studentkår, Filosofiska Fakultetens Studentkår i Göteborg, Uppsala studentkår, Medicinska studentkåren vid Umeå universitet, Umeå naturvetar- och teknologkår, Skara studentkår, Medicinska föreningen LundMalmö, Samhällsvetenskapliga studentkåren i Lund, Örebro studentkår, Jönköpings studentkår, Studentkåren vid Grafiska institutet, Teknologkåren vid Luleå tekniska universitet, Chalmers studentkår, Sjukgymnasternas studentkår i Stockholm, Studentkåren vid Journalisthögskolan i Stockholm, Odontologiska föreningen i Stockholm, Socialhögskolans studentkår vid Stockholms universitet, Lunds samhällsvetarkår, Kristianstad Studentkår, Studentkåren i Borås, Lunds Naturvetarkår, Halmstads studentkår, Falu studentkår.;Dit//AB//advmod//24 har//VB|PRS|AKT//aux//24 Umeå//PM|GEN//parataxis//12 universitet//NN|NEU|SIN|IND|NOM//obj//24 och//KN//cc//29 Luleå//PM|GEN//nmod:poss//29 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 universitet//NN|NEU|SIN|IND|NOM//nsubj//30 förlagt//VB|SUP|AKT//conj//24 ett//DT|NEU|SIN|IND//det//32 antal//NN|NEU|SIN|IND|NOM//nmod//33 kurser//NN|UTR|PLU|IND|NOM//obj//30 till//PP//case//36 ett//DT|NEU|SIN|IND//det//36 campus//NN|NEU|SIN|IND|NOM//obl//30 ,//MID//punct//40 som//HP|-|-|-//nsubj//40 också//AB//advmod//40 innefattar//VB|PRS|AKT//acl:relcl//36 ett//DT|NEU|SIN|IND//det//43 s.k.//AB|AN//amod//43 lär-centrum//NN|NEU|SIN|IND|NOM//obj//40 med//PP//case//45 tillgång//NN|UTR|SIN|IND|NOM//obl//40 till//PP//case//49 avancerad//PC|PRF|UTR|SIN|IND|NOM//amod//49 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//49 studieutrustning//NN|UTR|SIN|IND|NOM//nmod//45 och//KN//cc//51 möjlighet//NN|UTR|SIN|IND|NOM//conj//49 att//IE//mark//53 studera//VB|INF|AKT//acl//51 ett//DT|NEU|SIN|IND//det//56 stort//JJ|POS|NEU|SIN|IND|NOM//amod//56 antal//NN|NEU|SIN|IND|NOM//nmod//57 kurser//NN|UTR|PLU|IND|NOM//obj//53 på//PP//case//59 distans//NN|UTR|SIN|IND|NOM//obl//53 från//PP//case//64 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//advmod//63 än//KN//fixed//61 30//RG|NOM//nummod//64 högskolor//NN|UTR|PLU|IND|NOM//obl//53 .//MAD//punct//12
