Sammanfattning;Utbetalningar//NN|UTR|PLU|IND|NOM//nsubj//6 från//PP//case//2 välfärdssystemen//NN|NEU|PLU|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//6 en//DT|UTR|SIN|IND//det//6 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//6 samhällsfunktion//NN|UTR|SIN|IND|NOM//ROOT//6 och//KN//cc//8 utgör//VB|PRS|AKT//conj//6 en//DT|UTR|SIN|IND//det//11 stor//JJ|POS|UTR|SIN|IND|NOM//amod//11 del//NN|UTR|SIN|IND|NOM//obj//8 av//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 finanserna//NN|UTR|PLU|DEF|NOM//nmod//11 .//MAD//punct//6
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;Den//DT|UTR|SIN|DEF//det//2 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 styrningen//NN|UTR|SIN|DEF|NOM//nsubj//17 mellan//PP//case//4 riksdag//NN|UTR|SIN|IND|NOM//nmod//2 och//KN//cc//6 regering//NN|UTR|SIN|IND|NOM//conj//4 av//PP//case//8 arbetet//NN|NEU|SIN|DEF|NOM//nmod//6 med//PP//mark//11 att//IE//mark//11 motverka//VB|INF|AKT//acl//2 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 utbetalningar//NN|UTR|PLU|IND|NOM//obj//11 och//KN//cc//15 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//13 är//VB|PRS|AKT//cop//17 otydlig//JJ|POS|UTR|SIN|IND|NOM//ROOT//17 och//KN//cc//20 ofta//AB|POS//advmod//20 reaktiv//JJ|POS|UTR|SIN|IND|NOM//conj//17 .//MAD//punct//17
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;Enligt//PP//case//23 budgetlagen//NN|UTR|SIN|DEF|NOM//obl//26 ska//VB|PRS|AKT//aux//26 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//26 redovisa//VB|INF|AKT//conj//17 resultat//NN|NEU|PLU|IND|NOM//obj//26 i//PP//case//31 förhållande//NN|NEU|SIN|IND|NOM//fixed//28 till//PP//fixed//28 de//DT|UTR/NEU|PLU|DEF//nmod//27 av//PP//case//33 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//31 beslutade//VB|PRT|AKT//conj//17 målen//NN|NEU|PLU|DEF|NOM//obj//34 .//MAD//punct//17
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;I//PP//case//39 vår//PS|UTR|SIN|DEF//nmod:poss//39 kartläggning//NN|UTR|SIN|IND|NOM//obl//40 framkommer//VB|PRS|AKT//conj//17 att//SN//mark//43 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//43 finns//VB|PRS|SFO//ccomp//40 ett//DT|NEU|SIN|IND//det//45 samband//NN|NEU|SIN|IND|NOM//nsubj//43 mellan//PP//case//48 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 mål//NN|NEU|PLU|IND|NOM//obl//43 och//KN//cc//50 återrapporteringen//NN|UTR|SIN|DEF|NOM//conj//48 i//PP//case//52 budgetpropositionen//NN|UTR|SIN|DEF|NOM//nmod//50 för//PP//case//56 utgiftsområde//NN|NEU|SIN|IND|NOM//nmod//55 15//RG|NOM//nummod//56 Studiestöd//NN|NEU|PLU|IND|NOM//nmod//52  //_SP////56 och//KN//cc//59 utgiftsområde//NN|NEU|SIN|IND|NOM//conj//56 3//RG|NOM//nummod//61 Skatt//NN|UTR|SIN|IND|NOM//obl//43 ,//MID//punct//63 tull//NN|UTR|SIN|IND|NOM//conj//61 och//KN//cc//65 exekution//NN|UTR|SIN|IND|NOM//conj//63 .//MAD//punct//17
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;För//PP//case//69 dessa//DT|UTR/NEU|PLU|DEF//det//69 utgiftsområden//NN|NEU|PLU|IND|NOM//obl//70 sker//VB|PRS|AKT//conj//17 återrapportering//NN|UTR|SIN|IND|NOM//obj//70 i//PP//case//73 budgetpropositionen//NN|UTR|SIN|DEF|NOM//nmod//71 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 arbetet//NN|NEU|SIN|DEF|NOM//obl//70 med//PP//mark//78 att//IE//mark//78 motverka//VB|INF|AKT//acl//75 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 utbetalningar//NN|UTR|PLU|IND|NOM//obj//78 och//KN//cc//82 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//80 respektive//AB//cc//84 skattefel//NN|NEU|SIN|IND|NOM//conj//80 ,//MID//punct//86 skattefusk//NN|NEU|SIN|IND|NOM//conj//84 och//KN//cc//88 skatteundandragande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//84 .//MAD//punct//17
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;Att//SN//mark//95 riksdag//NN|UTR|SIN|IND|NOM//nsubj//95 och//KN//cc//93 regering//NN|UTR|SIN|IND|NOM//conj//91 har//VB|PRS|AKT//aux//95 formulerat//VB|SUP|AKT//advcl//17 mål//NN|NEU|SIN|IND|NOM//obj//95 på//PP//case//98 utgiftsområdesnivå//NN|UTR|SIN|IND|NOM//obl//95 har//VB|PRS|AKT//conj//17 således//AB//advmod//99 betydelse//NN|UTR|SIN|IND|NOM//obj//99 för//PP//case//105 den//DT|UTR|SIN|DEF//det//105 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//105 styrningen//NN|UTR|SIN|DEF|NOM//obl//99 och//KN//cc//107 återrapporteringen//NN|UTR|SIN|DEF|NOM//conj//105 .//MID//punct//17
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;Eftersom//SN//mark//118 korrekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//111 utbetalningar//NN|UTR|PLU|IND|NOM//nsubj//118 och//KN//cc//113 frånvaro//NN|UTR|SIN|IND|NOM//conj//111 av//PP//case//115 bidragsbrott//NN|NEU|PLU|IND|NOM//nmod//113 är//VB|PRS|AKT//cop//118 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 förutsättningar//NN|UTR|PLU|IND|NOM//advcl//125 för//PP//case//122 en//DT|UTR|SIN|IND//det//122 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//122 välfärd//NN|UTR|SIN|IND|NOM//nmod//118 bör//VB|PRS|AKT//aux//125 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//125 övervägas//VB|INF|SFO//conj//17 att//IE//mark//127 fastställa//VB|INF|AKT//acl//125 mål//NN|NEU|PLU|IND|NOM//obj//127 på//PP//case//131 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//131 utgiftsområden//NN|NEU|PLU|IND|NOM//obl//127 i//PP//case//133 syfte//NN|NEU|SIN|IND|NOM//nmod//131 att//IE//mark//135 ge//VB|INF|AKT//advcl//127 frågan//NN|UTR|SIN|DEF|NOM//obj//135 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//138 tyngd//NN|UTR|SIN|IND|NOM//obj//135 och//KN//cc//141 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//141 styrning//NN|UTR|SIN|IND|NOM//conj//138 .//MAD//punct//17
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;För//PP//mark//2 att//IE//mark//2 få//VB|INF|AKT//advcl//14 en//DT|UTR|SIN|IND//det//4 helhetsbild//NN|UTR|SIN|IND|NOM//obj//2 av//PP//case//6 arbetet//NN|NEU|SIN|DEF|NOM//nmod//4 med//PP//mark//9 att//IE//mark//9 motverka//VB|INF|AKT//advcl//2 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 utbetalningar//NN|UTR|PLU|IND|NOM//obj//9 bör//VB|PRS|AKT//aux//14 återrapporteringen//NN|UTR|SIN|DEF|NOM//nsubj//14 ske//VB|INF|AKT//ROOT//14 på//PP//case//18 ett//DT|NEU|SIN|IND//det//18 mer//AB|KOM//advmod//18 enhetligt//JJ|POS|NEU|SIN|IND|NOM//obl//14 ,//MID//punct//20 samlat//PC|PRF|NEU|SIN|IND|NOM//conj//14 och//KN//cc//22 strukturerat//PC|PRF|NEU|SIN|IND|NOM//conj//20 sätt//NN|NEU|SIN|IND|NOM//obj//20 .//MAD//punct//14
Den övergripande styrningen och återrapportering avseende felaktiga utbetalningar mellan riksdag och regering är otydlig;Ett//DT|NEU|SIN|IND//det//26 sätt//NN|NEU|SIN|IND|NOM//appos//14 är//VB|PRS|AKT//cop//26 att//SN//mark//35 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//35 i//PP//case//32 en//DT|UTR|SIN|IND//det//32 skrivelse//NN|UTR|SIN|IND|NOM//obl//35 till//PP//case//34 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//32 redogör//VB|PRS|AKT//csubj//26 för//PP//case//37 arbetet//NN|NEU|SIN|DEF|NOM//obl//35 med//PP//mark//40 att//IE//mark//40 säkerställa//VB|INF|AKT//advcl//35 korrekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 utbetalningar//NN|UTR|PLU|IND|NOM//obj//40 och//KN//cc//44 motverka//VB|INF|AKT//conj//40 bidragsbrott//NN|NEU|PLU|IND|NOM//obj//44 .//MAD//punct//14

Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//7 med//PP//mark//3 att//IE//mark//3 motverka//VB|INF|AKT//acl//0 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 utbetalningar//NN|UTR|PLU|IND|NOM//obj//3 har//VB|PRS|AKT//aux//7 funnits//VB|SUP|SFO//ROOT//7 med//PP//case//12 både//KN//cc//12 i//PP//case//12 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 instruktion//NN|UTR|SIN|IND|NOM//obl//7 och//KN//cc//15 i//PP//case//15 regleringsbrev//NN|NEU|SIN|IND|NOM//conj//12 under//PP//case//18 lång//JJ|POS|UTR|SIN|IND|NOM//amod//18 tid//NN|UTR|SIN|IND|NOM//nmod//15 .//MAD//punct//7
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//21 har//VB|PRS|AKT//parataxis//7 en//DT|UTR|SIN|IND//det//24 tydlig//JJ|POS|UTR|SIN|IND|NOM//amod//24 uppgift//NN|UTR|SIN|IND|NOM//obj//21 i//PP//case//27 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//27 instruktioner//NN|UTR|PLU|IND|NOM//nmod//24 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//21 att//IE//mark//30 säkerställa//VB|INF|AKT//advcl//21 korrekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 utbetalningar//NN|UTR|PLU|IND|NOM//obj//30 och//KN//cc//34 motverka//VB|INF|AKT//conj//30 bidragsbrott//NN|NEU|PLU|IND|NOM//obj//34 .//MAD//punct//21
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//40 har//VB|PRS|AKT//aux//40 också//AB//advmod//40 formulerat//VB|SUP|AKT//parataxis//21 mål//NN|NEU|PLU|IND|NOM//obj//40 ,//MID//punct//43 återrapporteringskrav//NN|NEU|PLU|IND|NOM//conj//41 och//KN//cc//45 uppdrag//NN|NEU|PLU|IND|NOM//conj//41 i//PP//case//47 regleringsbreven//NN|NEU|PLU|DEF|NOM//nmod//45 för//PP//mark//50 att//IE//mark//50 styra//VB|INF|AKT//advcl//40 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//52 arbete//NN|NEU|SIN|IND|NOM//obj//50 med//PP//mark//55 att//IE//mark//55 motverka//VB|INF|AKT//advcl//50 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 utbetalningar//NN|UTR|PLU|IND|NOM//obj//55 och//KN//cc//59 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//57 .//MAD//punct//21
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Perspektiven//NN|NEU|PLU|DEF|NOM//nsubj//65 har//VB|PRS|AKT//aux//65 i//PP//case//64 princip//NN|UTR|SIN|IND|NOM//obl//65 varit//VB|SUP|AKT//conj//21 med//PL//compound:prt//65 i//PP//case//69 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//69 regleringsbrev//NN|NEU|PLU|IND|NOM//obl//65 under//PP//case//72 åren//NN|NEU|PLU|DEF|NOM//nmod//72 2010–2018//RO|NOM//nmod//69 men//KN//cc//75 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//75 styrning//NN|UTR|SIN|IND|NOM//nsubj//79 via//PP//case//77 regleringsbreven//NN|NEU|PLU|DEF|NOM//nmod//75 har//VB|PRS|AKT//aux//79 varierat//VB|SUP|AKT//advcl//65 över//PP//case//81 åren//NN|NEU|PLU|DEF|NOM//obl//79 och//KN//cc//84 mellan//PP//case//84 myndigheterna//NN|UTR|PLU|DEF|NOM//conj//81 .//MID//punct//79
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Två//RG|NOM//nsubj//89 av//PP//case//88 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//86 saknade//VB|PRT|AKT//parataxis//79 exempelvis//AB//advmod//89 helt//JJ|POS|NEU|SIN|IND|NOM//advmod//92 mål//NN|NEU|SIN|IND|NOM//obl//89 ,//MID//punct//94 återrapporteringskrav//NN|NEU|PLU|IND|NOM//conj//92 och//KN//cc//96 uppdrag//NN|NEU|PLU|IND|NOM//conj//92 för//PP//case//98 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//96 av//PP//case//100 åren//NN|NEU|PLU|DEF|NOM//nmod//98 .//MAD//punct//7
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//103 saknas//VB|PRS|SFO//parataxis//7 dock//AB//advmod//103 ett//DT|NEU|SIN|IND//det//106 helhetsperspektiv//NN|NEU|SIN|IND|NOM//nsubj:pass//103 i//PP//case//109 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//109 styrning//NN|UTR|SIN|IND|NOM//nmod//106 på//PP//case//112 detta//DT|NEU|SIN|DEF//det//112 område//NN|NEU|SIN|IND|NOM//nmod//109 .//MAD//punct//103
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Mål//NN|NEU|PLU|IND|NOM//nsubj:pass//125 ,//MID//punct//116 återrapporteringskrav//NN|NEU|PLU|IND|NOM//conj//114 och//KN//cc//118 uppdrag//NN|NEU|PLU|IND|NOM//conj//114 i//PP//case//120 regleringsbreven//NN|NEU|PLU|DEF|NOM//nmod//118 bör//VB|PRS|AKT//aux//125 i//PP//case//124 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//124 utsträckning//NN|UTR|SIN|IND|NOM//obl//125 samordnas//VB|PRS|SFO//conj//103 inom//PP//case//131 ramen//NN|UTR|SIN|DEF|NOM//fixed//126 för//PP//fixed//126 en//DT|UTR|SIN|IND//det//131 långsiktig//JJ|POS|UTR|SIN|IND|NOM//amod//131 strategi//NN|UTR|SIN|IND|NOM//obl//125 .//MAD//punct//103
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//134 skapar//VB|PRS|AKT//parataxis//103 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//136 förutsättningar//NN|UTR|PLU|IND|NOM//obj//134 för//PP//mark//139 att//IE//mark//139 få//VB|INF|AKT//advcl//134 en//DT|UTR|SIN|IND//det//141 helhetsbild//NN|UTR|SIN|IND|NOM//obj//139 över//PP//case//144 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//144 utbetalningar//NN|UTR|PLU|IND|NOM//obl//139 och//KN//cc//146 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//144 inom//PP//case//148 välfärdssystemen//NN|NEU|PLU|DEF|NOM//obl//139 .//MAD//punct//7
