Den vuxenpedagogiska praktiken;Illustrationer//NN|UTR|PLU|IND|NOM//ROOT//0 endast//AB//advmod//0 i//PP//case//5 den//DT|UTR|SIN|DEF//det//5 tryckta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//5 versionen//NN|UTR|SIN|DEF|NOM//obl//0
Vuxenstudier som kommunikativt handlande;När//HA//mark//100 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//100 väl//AB|POS//advmod//100 sitter//VB|PRS|AKT//advcl//118 i//PP//case//102 klassrummet//NN|NEU|SIN|DEF|NOM//obl//100 för//PP//case//105 första//RO|NOM//amod//105 gången//NN|UTR|SIN|DEF|NOM//obl//100 ,//MID//punct//100 var//PN|UTR|SIN|IND|SUB/OBJ//advmod//100 och//KN//cc//110 en//DT|UTR|SIN|IND//det//110 uppklädd//PC|PRF|UTR|SIN|IND|NOM//conj//107 enligt//PP//case//113 sin//PS|UTR|SIN|DEF//nmod:poss//113 klädnorm//NN|UTR|SIN|IND|NOM//obl//100 ,//MID//punct//118 är//VB|PRS|AKT//cop//118 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//118 mycket//AB|POS//advmod//118 spända//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//48 på//PP//case//120 vad//HP|NEU|SIN|IND//dislocated//122 som//HP|-|-|-//nsubj//122 väntar//VB|PRS|AKT//advcl//118 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//122 .//MAD//punct//48
Vuxenstudier som kommunikativt handlande;Hur//HA//advmod//1 möter//VB|PRS|AKT//ROOT//1 man//PN|UTR|SIN|IND|SUB//nsubj//1 som//KN//mark//4 lärare//NN|UTR|SIN|IND|NOM//xcomp//1 denna//DT|UTR|SIN|DEF//det//6 situation//NN|UTR|SIN|IND|NOM//obj//4 ?//MID//punct//1
Vuxenstudier som kommunikativt handlande;Ja//IN//discourse//10 ,//MID//punct//8 vanligt//AB|POS//parataxis//1 är//VB|PRS|AKT//cop//12 väl//AB//nsubj//1 att//SN//mark//15 man//PN|UTR|SIN|IND|SUB//nsubj//15 kommer//VB|PRS|AKT//ccomp//1 med//PP//case//18 långa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 listor//NN|UTR|PLU|IND|NOM//obl//15 med//PP//case//20 information//NN|UTR|SIN|IND|NOM//obl//15 som//HP|-|-|-//nsubj:pass//23 ska//VB|PRS|AKT//aux//23 förmedlas//VB|INF|SFO//acl:relcl//20 och//KN//cc//30 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//30 kan//VB|PRS|AKT//aux//30 väl//AB//advmod//30 vara//VB|INF|AKT//cop//30 en//DT|UTR|SIN|IND//det//30 ljudkuliss//NN|UTR|SIN|IND|NOM//conj//23 så//AB//advmod//32 god//JJ|POS|UTR|SIN|IND|NOM//obl//23 som//KN//case//34 någon//PN|UTR|SIN|IND|SUB/OBJ//nmod//32 ,//MID//punct//37 under//PP//case//37 förutsättning//NN|UTR|SIN|IND|NOM//obl//15 att//SN//mark//40 informationen//NN|UTR|SIN|DEF|NOM//nsubj//40 går//VB|PRS|AKT//acl//37 att//IE//mark//42 komma//VB|INF|AKT//advcl//40 åt//PL//case//44 senare//AB|KOM//advmod//42 ,//MID//punct//40 också//AB//advmod//40 .//MAD//punct//1
Vuxenstudier som kommunikativt handlande;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 är//VB|PRS|AKT//cop//52 nämligen//AB//advmod//52 inte//AB//advmod//52 mycket//PN|NEU|SIN|IND|SUB/OBJ//parataxis//1 som//HP|-|-|-//nsubj//54 fastnar//VB|PRS|AKT//acl:cleft//52 vid//PP//case//58 detta//DT|NEU|SIN|DEF//det//58 första//RO|NOM//amod//58 tillfälle//NN|NEU|SIN|IND|NOM//obl//54 .//MAD//punct//1
Vuxenstudier som kommunikativt handlande;Medan//SN//mark//62 läraren//NN|UTR|SIN|DEF|NOM//nsubj//62 talar//VB|PRS|AKT//advcl//67 är//VB|PRS|AKT//cop//67 de//DT|UTR/NEU|PLU|DEF//det//66 blivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 klasskamraterna//NN|UTR|PLU|DEF|NOM//nsubj//67 upptagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//1 med//PP//mark//70 att//IE//mark//70 iaktta//VB|INF|AKT//advcl//67 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//70 och//KN//cc//75 kanske//AB//advmod//74 framför//PP//case//75 allt//PN|NEU|SIN|IND|SUB/OBJ//conj//67 med//PP//mark//78 att//IE//mark//78 försöka//VB|INF|AKT//acl//75 läsa//VB|INF|AKT//xcomp//78 av//PP//case//82 vilket//HD|NEU|SIN|IND//det//82 intryck//NN|NEU|SIN|IND|NOM//obl//79 de//PN|UTR/NEU|PLU|DEF|SUB//det//84 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//85 gör//VB|PRS|AKT//acl:relcl//82 på//PP//case//88 de//DT|UTR/NEU|PLU|DEF//det//88 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//85 .//MAD//punct//1
Vuxenstudier som kommunikativt handlande;De//DT|UTR/NEU|PLU|DEF//det//91 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//nsubj//92 brukar//VB|PRS|AKT//parataxis//1 berätta//VB|INF|AKT//xcomp//92 efteråt//AB//advmod//93 att//SN//mark//97 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//97 kände//VB|PRT|AKT//ccomp//93 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//97 udda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//97 ,//MID//punct//97 att//SN//mark//104 alla//DT|UTR/NEU|PLU|IND/DEF//det//103 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//104 såg//VB|PRT|AKT//ccomp//97 så//AB//advmod//106 konstiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//104 ut//PL//compound:prt//104 ,//MID//punct//104 att//SN//mark//112 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//112 nästan//AB//advmod//112 gav//VB|PRT|AKT//advcl//104 upp//PL//compound:prt//112 efter//PP//case//116 första//RO|NOM//amod//116 dagen//NN|UTR|SIN|DEF|NOM//obl//112 .//MAD//punct//1
Vuxenstudier som kommunikativt handlande;Vad//HP|NEU|SIN|IND//discourse//26 är//VB|PRS|AKT//cop//0 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//0 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//4 talar//VB|PRS|AKT//acl:cleft//0 om//PP//compound:prt//4 när//HA//mark//8 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//8 berättar//VB|PRS|AKT//advcl//4 om//PP//case//12 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//12 första//RO|NOM//amod//12 intryck//NN|NEU|PLU|IND|NOM//obl//8 ?//MID//punct//0
Vuxenstudier som kommunikativt handlande;Jo//IN//expl//0 ,//MID//punct//0 att//SN//mark//18 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//18 definierar//VB|PRS|AKT//csubj//0 situationen//NN|UTR|SIN|DEF|NOM//obj//18 socialt//AB|POS//advmod//18 i//PP//case//23 första//RO|NOM//fixed//21 hand//NN|UTR|SIN|IND|NOM//obl//18 .//MAD//punct//0
Vuxenstudier som kommunikativt handlande;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//26 studerar//VB|PRS|AKT//ROOT//26 av//PP//case//29 individuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 skäl//NN|NEU|PLU|IND|NOM//obl//26 och//KN//cc//32 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//32 har//VB|PRS|AKT//conj//26 individuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 mål//NN|NEU|PLU|IND|NOM//obj//32 ,//MID//punct//26 men//KN//cc//38 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//38 hamnar//VB|PRS|AKT//conj//26 i//PP//case//41 en//DT|UTR|SIN|IND//det//41 situation//NN|UTR|SIN|IND|NOM//obl//38 som//HP|-|-|-//nsubj:pass//48 i//PP//case//45 hög//JJ|POS|UTR|SIN|IND|NOM//amod//45 grad//NN|UTR|SIN|IND|NOM//obl//48 kommer//VB|PRS|AKT//aux//48 att//IE//mark//48 präglas//VB|INF|SFO//acl:relcl//41 av//PP//case//50 gruppen//NN|UTR|SIN|DEF|NOM//obl:agent//48 .//MID//punct//26
Vuxenstudier som kommunikativt handlande;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//53 vet//VB|PRS|AKT//parataxis//26 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//53 intuitivt//AB|POS//advmod//53 och//KN//cc//58 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//58 satsar//VB|PRS|AKT//conj//53 sin//PS|UTR|SIN|DEF//nmod:poss//60 energi//NN|UTR|SIN|IND|NOM//obj//58 därefter//AB//advmod//58 .//MAD//punct//53
