5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Isabell//PM|NOM//ROOT//0 Schierenbeck//PM|NOM//flat//0
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;På//PP//case//65 vilket//HD|NEU|SIN|IND//det//65 sätt//NN|NEU|SIN|IND|NOM//obl//66 påverkar//VB|PRS|AKT//conj//59 frontlinjebyråkraternas//NN|UTR|PLU|DEF|GEN//nmod:poss//68 uppfattningar//NN|UTR|PLU|IND|NOM//obj//66 om//PP//case//71 invandrarklienterna//NN|UTR|PLU|DEF|NOM//amod//71 myndighetsutövningen//NN|UTR|SIN|DEF|NOM//nmod//68 ?//MAD//punct//59
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;"Tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 forskning//NN|UTR|SIN|IND|NOM//nsubj//2 visar//VB|PRS|AKT//ROOT//2 att//SN//mark//14 mötet//NN|NEU|SIN|DEF|NOM//nsubj//14 mellan//PP//case//6 klient//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//8 frontlinjebyråkrat//VB|SUP|AKT//conj//4 –//RG|NOM//punct//10 medborgare//NN|UTR|PLU|IND|NOM//nmod//4 och//KN//cc//12 stat//NN|UTR|SIN|IND|NOM//conj//10 –//RG|NOM//punct//4 påverkar//VB|PRS|AKT//ccomp//2 uppfattningen//NN|UTR|SIN|DEF|NOM//obj//14 om//PP//case//19 de//DT|UTR/NEU|PLU|DEF//det//19 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 institutionerna//NN|UTR|PLU|DEF|NOM//obl//14 och//KN//cc//21 viljan//NN|UTR|SIN|DEF|NOM//conj//19 till//PP//case//24 politiskt//JJ|POS|NEU|SIN|IND|NOM//amod//24 deltagande//NN|NEU|SIN|IND|NOM//nmod//19 (//PAD//punct//26 Lawless//PM|NOM//appos//24 och//KN//cc//28 Fox//PM|NOM//conj//26 2001//RG|NOM//nummod//28 ;//MID//punct//26"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;"Schneider//PM|NOM//conj//24 och//KN//cc//33 Ingram//PM|NOM//conj//31 1993//RG|NOM//nummod//33 ,//MID//punct//31 1997//RG|NOM//conj//31 ;//MID//punct//14"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Soss//PM|NOM//appos//14 1999//RG|NOM//nummod//38 )//PAD//punct//38 .//MAD//punct//2
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Studien//NN|UTR|SIN|DEF|NOM//nsubj//43 utmynnar//VB|PRS|AKT//parataxis//2 därför//AB//advmod//43 i//PP//case//48 en//DT|UTR|SIN|IND//det//48 vidare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 diskussion//NN|UTR|SIN|IND|NOM//obl//43 om//PP//mark//55 vilka//HD|UTR/NEU|PLU|IND//det//52 tänkbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 konsekvenser//NN|UTR|PLU|IND|NOM//obj//55 myndighetsutövningen//NN|UTR|SIN|DEF|NOM//nsubj//55 kan//VB|PRS|AKT//aux//55 få//VB|INF|AKT//acl//48 för//PP//case//59 det//DT|NEU|SIN|DEF//det//59 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//59 deltagandet//NN|NEU|SIN|DEF|NOM//obl//55 .//MAD//punct//43
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Den//DT|UTR|SIN|DEF//det//63 intressanta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 frågan//NN|UTR|SIN|DEF|NOM//nsubj//70 är//VB|PRS|AKT//cop//70 således//AB//advmod//70 vilken//HD|UTR|SIN|IND//det//67 betydelse//NN|UTR|SIN|IND|NOM//nmod//70 invandrarklienters//NN|UTR|PLU|IND|GEN//nmod:poss//70 individuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 erfarenheter//NN|UTR|PLU|IND|NOM//parataxis//43 av//PP//case//72 frontlinjebyråkratier//NN|UTR|PLU|IND|NOM//nmod//70 har//VB|PRS|AKT//advcl//43 för//PP//case//77 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//77 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//77 deltagande//NN|NEU|SIN|IND|NOM//obl//73 ?//MAD//punct//43

5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 moderna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 välfärdsstaten//NN|UTR|SIN|DEF|NOM//obl//4 innehar//VB|PRS|AKT//ROOT//4 de//DT|UTR/NEU|PLU|DEF//det//7 situationsanpassade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 myndigheterna//NN|UTR|PLU|DEF|NOM//obj//4 en//DT|UTR|SIN|IND//det//9 nyckelposition//NN|UTR|SIN|IND|NOM//obj//4 .//MAD//punct//4
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;Utmärkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//4 för//PP//case//15 det//DT|NEU|SIN|DEF//det//15 situationsanpassade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//15 myndighetsuppdraget//NN|NEU|SIN|DEF|NOM//nmod//11 är//VB|PRS|AKT//cop//11 att//SN//mark//21 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//21 är//VB|PRS|AKT//cop//21 alltför//AB//advmod//21 komplicerat//PC|PRF|NEU|SIN|IND|NOM//csubj//11 för//PP//mark//25 att//IE//mark//25 kunna//VB|INF|AKT//aux//25 detaljregleras//VB|INF|SFO//advcl//21 .//MAD//punct//4
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;"Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 är//VB|PRS|AKT//cop//30 inte//AB//advmod//30 möjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//4 för//PP//case//35 de//DT|UTR/NEU|PLU|DEF//det//35 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 organen//NN|NEU|PLU|DEF|NOM//obl//30 att//IE//mark//39 i//PP//case//38 detalj//NN|UTR|SIN|IND|NOM//obl//39 föreskriva//VB|INF|AKT//acl//35 hur//HA//advmod//45 alla//DT|UTR/NEU|PLU|IND/DEF//det//43 olikartade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 fall//NN|NEU|PLU|IND|NOM//nsubj:pass//45 skall//VB|PRS|AKT//aux//45 hanteras//VB|INF|SFO//ccomp//39 ,//MID//punct//39 och//KN//cc//49 frontlinjebyråkraterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//49 ges//VB|PRS|SFO//conj//39 därför//AB//advmod//49 ett//DT|NEU|SIN|IND//det//53 visst//JJ|POS|NEU|SIN|IND|NOM//amod//53 handlingsutrymme//NN|NEU|SIN|IND|NOM//obj//49 inom//PP//case//57 ramen//NN|UTR|SIN|DEF|NOM//fixed//54 för//PP//fixed//54 myndighetsutövningen//NN|UTR|SIN|DEF|NOM//obl//49 (//PAD//punct//39 Johansson//PM|NOM//obj//39 1992:41//RG|NOM//fixed//59 ;//MID//punct//62"
