Fokus på åtgärder;–//RG|NOM//punct//2 En//DT|UTR|SIN|IND//det//2 plan//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//5 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//5 rehabilitering//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//7 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//5
Pehrsson;Den//DT|UTR|SIN|DEF//det//23 15//RG|NOM//nummod//23 augusti//NN|UTR|SIN|IND|NOM//obl//25 2006//RG|NOM//nummod//23 avsade//VB|PRT|AKT//parataxis//9 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//25 Alicia//PM|NOM//nsubj//25 Lycke//NN|NEU|SIN|IND|NOM//flat//27 sitt//PS|NEU|SIN|DEF//nmod:poss//30 uppdrag//NN|NEU|SIN|IND|NOM//obj//25 .//MAD//punct//9
Pehrsson;Den//DT|UTR|SIN|DEF//det//34 6//RO|NOM//nummod//34 oktober//NN|UTR|SIN|IND|NOM//obl//36 2006//RG|NOM//nummod//34 ersattes//VB|PRT|SFO//parataxis//9 Jens//PM|NOM//nsubj:pass//36 Karlsson//PM|NOM//flat//37 av//PP//case//42 Maria//PM|NOM//nmod:poss//42 Hagberg//PM|NOM//flat:name//40 Forss//PM|NOM//nmod//37 .//MAD//punct//9
Pehrsson;Samråd//NN|NEU|SIN|IND|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 skett//VB|SUP|AKT//ROOT//2 med//PP//case//4 Utredningen//NN|UTR|SIN|DEF|NOM//obl//2 om//PP//case//6 arbetsmiljölagen//NN|UTR|SIN|DEF|NOM//nmod//4 (//PAD//punct//2 dir//NN|AN//parataxis//2 .//MAD//punct//2
Pehrsson;2004:91//RG|NOM//obl//2 )//PAD//punct//10 .//MAD//punct//2
Pehrsson;På//PP//case//16 grund//NN|UTR|SIN|IND|NOM//fixed//13 av//PP//fixed//13 tidsbrist//NN|UTR|SIN|IND|NOM//obl//17 har//VB|PRS|AKT//aux//20 inget//DT|NEU|SIN|IND//det//19 samråd//NN|NEU|SIN|IND|NOM//nsubj//20 ägt//VB|SUP|AKT//conj//2 rum//NN|NEU|SIN|IND|NOM//compound:prt//20 med//PP//case//24 Näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//24 regelnämnd//NN|UTR|SIN|IND|NOM//obl//20 (//PAD//punct//24 NNR//PM|NOM//appos//24 )//PAD//punct//20 .//MAD//punct//2
Pehrsson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//9 ,//MID//punct//0 som//HP|-|-|-//nsubj//3 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//5 Rehabiliteringsutredningen//NN|UTR|SIN|DEF|NOM//obj//3 ,//MID//punct//0 får//VB|PRS|AKT//aux//9 härmed//AB//advmod//9 överlämna//VB|INF|AKT//ROOT//9 betänkandet//NN|NEU|SIN|DEF|NOM//obj//9 Fokus//NN|NEU|SIN|IND|NOM//xcomp//9 på//PP//case//13 åtgärder//NN|UTR|PLU|IND|NOM//nmod//11 –//RG|NOM//punct//9 En//DT|UTR|SIN|IND//det//16 plan//NN|UTR|SIN|IND|NOM//appos//9 för//PP//case//19 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//19 rehabilitering//NN|UTR|SIN|IND|NOM//nmod//16 i//PP//case//21 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//19  //_SP////21 (//PAD//punct//16 SOU//PM|NOM//nmod//25 2006:107//RG|NOM//appos//16 )//PAD//punct//9 .//MAD//punct//31
Pehrsson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//31 har//VB|PRS|AKT//aux//31 härmed//AB//advmod//31 slutfört//VB|SUP|AKT//conj//9 sitt//PS|NEU|SIN|DEF//nmod:poss//33 uppdrag//NN|NEU|SIN|IND|NOM//obj//31 .//MAD//punct//9
Pehrsson;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 6//RO|NOM//nummod//3 december//NN|UTR|SIN|IND|NOM//obj//0 2006//RG|NOM//nummod//3 .//MAD//punct//0
Pehrsson;Kurt//PM|NOM//dislocated//5 Eriksson//PM|NOM//flat//0 10.5//RG|NOM//nummod//0 Vad//HP|NEU|SIN|IND//nsubj:pass//5 har//VB|PRS|AKT//aux//5 sagts//VB|SUP|SFO//ROOT//5 om//PP//case//8 begreppen//NN|NEU|PLU|DEF|NOM//amod//8 rehabilitering//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//10 anpassning//NN|UTR|SIN|IND|NOM//conj//8 i//PP//case//12 utredningar//NN|UTR|PLU|IND|NOM//nmod//10 som//HP|-|-|-//nsubj//14 ägt//VB|SUP|AKT//acl:relcl//12 rum//NN|NEU|SIN|IND|NOM//obj//14 efter//PP//case//17 21.1//RG|NOM//obl//14 Vad//HP|NEU|SIN|IND//nsubj//19 talar//VB|PRS|AKT//acl:relcl//8 för//PP//mark//24 att//SN//mark//24 AML//PM|NOM//nsubj//24 ska//VB|PRS|AKT//aux//24 inrymma//VB|INF|AKT//advcl//19 även//AB//advmod//27 de//DT|UTR/NEU|PLU|DEF//det//27 delar//NN|UTR|PLU|IND|NOM//obj//24 av//PP//case//30 arbetsgivarens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 rehabiliteringsansvar//NN|NEU|SIN|IND|NOM//nmod//27 som//HP|-|-|-//nsubj//34 i//PP//advmod//34 dag//NN|UTR|SIN|IND|NOM//fixed//32 finns//VB|PRS|SFO//acl:relcl//30 i//PP//case//37 22//RG|NOM//nummod//37 21.2//RG|NOM//obl//34 Vad//HP|NEU|SIN|IND//nsubj//39 talar//VB|PRS|AKT//acl:relcl//37 emot//PP//mark//44 att//SN//mark//44 AML//PM|NOM//nsubj//44 ska//VB|PRS|AKT//aux//44 inrymma//VB|INF|AKT//advcl//39 även//AB//advmod//47 de//DT|UTR/NEU|PLU|DEF//det//47 delar//NN|UTR|PLU|IND|NOM//nsubj//63 av//PP//case//50 arbetsgivarens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 rehabiliteringsansvar//NN|NEU|SIN|IND|NOM//nmod//47 som//HP|-|-|-//nsubj//54 i//PP//advmod//54 dag//NN|UTR|SIN|IND|NOM//fixed//52 finns//VB|PRS|SFO//acl:relcl//50 i//PP//case//58 22//RG|NOM//nummod//57 22.2//RG|NOM//nummod//58 Arbetsgivaren//NN|UTR|SIN|DEF|NOM//obl//54 och//KN//cc//61 den//DT|UTR|SIN|DEF//det//61 anställde//PC|PRF|MAS|SIN|DEF|NOM//conj//58 ska//VB|PRS|AKT//aux//63 upprätta//VB|INF|AKT//conj//5 planen//NN|UTR|SIN|DEF|NOM//obj//63 tillsammans//AB//advmod//63 och//KN//cc//68 den//DT|UTR|SIN|DEF//nsubj:pass//68 anställdes//VB|PRT|SFO//conj//63 fackliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//70 organisation//NN|UTR|SIN|IND|NOM//nsubj:pass//68 ska//VB|PRS|AKT//aux//75 22.4//RG|NOM//nummod//73 Planen//NN|UTR|SIN|DEF|NOM//nsubj:pass//75 ska//VB|PRS|AKT//aux//75 upprättas//VB|INF|SFO//conj//63 på//PP//case//77 begäran//NN|UTR|SIN|IND|NOM//obl//75 av//PP//case//80 den//DT|UTR|SIN|DEF//det//80 anställde//PC|PRF|MAS|SIN|DEF|NOM//nmod//77 eller//KN//cc//82 Försäkringskassan//NN|UTR|SIN|DEF|NOM//conj//80 och//KN//cc//85 alltid//AB//advmod//85 ges//VB|INF|SFO//conj//75 in//PL//compound:prt//85 till//PP//case//89 26.2//RG|NOM//nummod//89 Arbetsgivaren//NN|UTR|SIN|DEF|NOM//obl//85 ska//VB|PRS|AKT//aux//91 ha//VB|INF|AKT//conj//5 ansvar//NN|NEU|SIN|IND|NOM//obj//91 för//PP//mark//96 att//SN//mark//96 individen//NN|UTR|SIN|DEF|NOM//nsubj//96 får//VB|PRS|AKT//advcl//91 de//DT|UTR/NEU|PLU|DEF//det//98 åtgärder//NN|UTR|PLU|IND|NOM//obj//96 på//PP//case//100 arbetsplatsen//NN|UTR|SIN|DEF|NOM//nmod//98 som//HP|-|-|-//obj//103 denne//PN|MAS|SIN|DEF|SUB/OBJ//nsubj//103 behöver//VB|PRS|AKT//acl:relcl//98 för//PP//compound:prt//96 att//IE//punct//5

