Tillsyn för säkra varor och öppna marknader;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Marknadskontrollutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
2 Förslag till förordning om marknadskontroll på varuområdet;1//RG|NOM//nummod//5 §//NN|AN//nsubj:pass//8 Med//PP//case//7 marknadskontroll//NN|UTR|SIN|IND|NOM//nmod//5 avses//VB|PRS|SFO//parataxis//1 i//PP//case//11 denna//DT|UTR|SIN|DEF//det//11 förordning//NN|UTR|SIN|IND|NOM//obl//8 den//DT|UTR|SIN|DEF//det//13 kontroll//NN|UTR|SIN|IND|NOM//obj//8 som//HP|-|-|-//nsubj//15 äger//VB|PRS|AKT//acl:relcl//13 rum//NN|NEU|SIN|IND|NOM//obj//15 när//HA//mark//20 en//DT|UTR|SIN|IND//nsubj:pass//20 vara//NN|UTR|SIN|IND|NOM//aux:pass//20 släpps//VB|PRS|SFO//advcl//15 ut//PL//advmod//20 på//PP//case//23 marknaden//NN|UTR|SIN|DEF|NOM//obl//20 eller//KN//cc//26 först//AB//advmod//26 tas//VB|PRS|SFO//conj//15 i//PP//case//28 bruk//NN|NEU|SIN|IND|NOM//obl//26 och//KN//cc//31 som//HP|-|-|-//nsubj//31 innebär//VB|PRS|AKT//conj//15 att//SN//mark//36 en//DT|UTR|SIN|IND//det//34 myndighet//NN|UTR|SIN|IND|NOM//nsubj//36 kan//VB|PRS|AKT//aux//36 vidta//VB|INF|AKT//ccomp//31 åtgärder//NN|UTR|PLU|IND|NOM//obj//36 för//PP//mark//40 att//IE//mark//40 säkerställa//VB|INF|AKT//advcl//36 att//SN//mark//44 en//DT|UTR|SIN|IND//nsubj//44 vara//NN|UTR|SIN|IND|NOM//cop//44 uppfyller//VB|PRS|AKT//ccomp//40 ställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//46 krav//NN|NEU|PLU|IND|NOM//obj//44 .//MAD//punct//8
2 Förslag till förordning om marknadskontroll på varuområdet;2//RG|NOM//nummod//49 §//NN|AN//nmod//50 Marknadskontroll//NN|UTR|SIN|IND|NOM//nsubj:pass//52 skall//VB|PRS|AKT//aux//52 genomföras//VB|INF|SFO//parataxis//8 i//PP//case//55 en//DT|UTR|SIN|IND//det//55 omfattning//NN|UTR|SIN|IND|NOM//obl//52 som//HP|-|-|-//nsubj//57 innebär//VB|PRS|AKT//acl:relcl//55 att//SN//mark//61 en//DT|UTR|SIN|IND//det//60 myndighet//NN|UTR|SIN|IND|NOM//nsubj//61 vidtar//VB|PRS|AKT//ccomp//57 de//DT|UTR/NEU|PLU|DEF//det//63 åtgärder//NN|UTR|PLU|IND|NOM//obj//61 som//HP|-|-|-//nsubj:pass//65 behövs//VB|PRS|SFO//acl:relcl//63 för//PP//mark//73 att//SN//mark//73 varor//NN|UTR|PLU|IND|NOM//nsubj//73 som//HP|-|-|-//nsubj//70 finns//VB|PRS|SFO//acl:relcl//68 på//PP//case//72 marknaden//NN|UTR|SIN|DEF|NOM//obl//70 uppfyller//VB|PRS|AKT//advcl//65 ställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//75 krav//NN|NEU|PLU|IND|NOM//obj//73 ,//MID//punct//61 bl.a.//AB|AN//advmod//78 krav//NN|NEU|PLU|IND|NOM//obj//61 på//PP//case//80 produktsäkerhet//NN|UTR|SIN|IND|NOM//nmod//78 .//MAD//punct//8
2 Förslag till förordning om marknadskontroll på varuområdet;Behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 av//PP//case//2 marknadskontroll//NN|UTR|SIN|IND|NOM//nmod//0 skall//VB|PRS|AKT//aux//4 bedömas//VB|INF|SFO//ROOT//4 för//PP//case//7 varje//DT|UTR/NEU|SIN|IND//det//7 produktkategori//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
2 Förslag till förordning om marknadskontroll på varuområdet;Därvid//AB//advmod//20 skall//VB|PRS|AKT//aux//20 ,//MID//punct//20 om//SN//mark//17 inte//AB//advmod//17 annat//PN|NEU|SIN|IND|SUB/OBJ//nsubj//17 är//VB|PRS|AKT//cop//17 särskilt//AB//advmod//17 föreskrivet//PC|PRF|NEU|SIN|IND|NOM//advcl//20 ,//MID//punct//20 hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//20 tas//VB|PRS|SFO//parataxis//4 till//PP//case//23 varornas//NN|UTR|PLU|DEF|GEN//nmod:poss//23 egenskaper//NN|UTR|PLU|IND|NOM//obl//20 ,//MID//punct//25 rapporterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//26 skador//NN|UTR|PLU|IND|NOM//obj//20 och//KN//cc//28 risker//NN|UTR|PLU|IND|NOM//conj//26 ,//MID//punct//30 effekter//NN|UTR|PLU|IND|NOM//conj//26 av//PP//case//33 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 insatser//NN|UTR|PLU|IND|NOM//nmod//30 ,//MID//punct//30 varornas//NN|UTR|PLU|DEF|GEN//nmod:poss//36 förekomst//NN|UTR|SIN|IND|NOM//conj//26 och//KN//cc//39 de//DT|UTR/NEU|PLU|DEF//det//39 sammanhang//NN|NEU|PLU|IND|NOM//conj//26 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//42 kan//VB|PRS|AKT//aux//42 förväntas//VB|INF|SFO//acl:relcl//39 bli//VB|INF|AKT//aux:pass//44 nyttjade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//42 i//PP//obl//44 .//MAD//punct//20
2 Förslag till förordning om marknadskontroll på varuområdet;Vidare//AB|KOM//advmod//50 skall//VB|PRS|AKT//aux//50 hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//50 tas//VB|INF|SFO//conj//20 till//PP//case//53 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 kontrollinsatser//NN|UTR|PLU|IND|NOM//obl//50 av//PP//case//55 myndigheter//NN|UTR|PLU|IND|NOM//nmod//53 och//KN//cc//58 till//PP//case//58 marknadskontrollinsatser//NN|UTR|PLU|IND|NOM//conj//55 inom//PP//case//60 EES-området//NN|NEU|SIN|DEF|NOM//nmod//58 .//MAD//punct//20
2 Förslag till förordning om marknadskontroll på varuområdet;3//RG|NOM//nummod//63 §//NN|AN//nmod//64 Myndigheter//NN|UTR|PLU|IND|NOM//nsubj//69 som//HP|-|-|-//nsubj//66 bedriver//VB|PRS|AKT//acl:relcl//64 marknadskontroll//NN|UTR|SIN|IND|NOM//obj//66 skall//VB|PRS|AKT//aux//69 samordna//VB|INF|AKT//advcl//20 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//71 åtgärder//NN|UTR|PLU|IND|NOM//obj//69 så//AB//advmod//76 långt//AB|POS//fixed//72 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//76 är//VB|PRS|AKT//cop//76 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//69 och//KN//cc//78 ändamålsenligt//JJ|POS|NEU|SIN|IND|NOM//conj//76 .//MAD//punct//69
2 Förslag till förordning om marknadskontroll på varuområdet;4//RG|NOM//nummod//81 §//NN|AN//parataxis//69 Vid//PP//case//83 Styrelsen//NN|UTR|SIN|DEF|NOM//nmod//81 för//PP//case//85 ackreditering//NN|UTR|SIN|IND|NOM//nmod//83 och//KN//cc//88 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//88 kontroll//NN|UTR|SIN|IND|NOM//conj//85 (//PAD//punct//81 SWEDAC//PM|NOM//appos//81 )//PAD//punct//81 finns//VB|PRS|SFO//conj//69 ett//DT|NEU|SIN|IND//det//94 marknadskontrollråd//NN|NEU|SIN|IND|NOM//nsubj//92 .//MAD//punct//20
2 Förslag till förordning om marknadskontroll på varuområdet;Rådet//NN|NEU|SIN|DEF|NOM//obj//100 skall//VB|PRS|AKT//aux//100 1//RG|NOM//nummod//100 .//MAD//punct//100
2 Förslag till förordning om marknadskontroll på varuområdet;fungera//VB|INF|AKT//parataxis//20 som//KN//mark//103 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//103 samverkansorgan//NN|NEU|SIN|IND|NOM//xcomp//100 i//PP//case//105 frågor//NN|UTR|PLU|IND|NOM//nmod//103 om//PP//case//107 marknadskontroll//NN|UTR|SIN|IND|NOM//nmod//105 2//RG|NOM//nummod//107 .//MAD//punct//20
2 Förslag till förordning om marknadskontroll på varuområdet;stödja//VB|INF|AKT//parataxis//20 marknadskontrollmyndigheter//NN|UTR|PLU|IND|NOM//obj//110 för//PP//mark//114 att//IE//mark//114 främja//VB|INF|AKT//advcl//110 effektivitet//NN|UTR|SIN|IND|NOM//obj//114 och//KN//cc//117 balans//NN|UTR|SIN|IND|NOM//conj//115 i//PP//case//119 kontrollinsatserna//NN|UTR|PLU|DEF|NOM//nmod//117 på//PP//case//122 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//122 områden//NN|NEU|PLU|IND|NOM//obl//114 3//RG|NOM//nummod//122 .//MAD//punct//20
