4.1.1 Konsumentvaror;Vara//PM|NOM//nsubj:pass//28 ”//PM|NOM//punct//26 används//VB|PRS|SFO//parataxis//23 t.ex.//AB|AN//advmod//28 i//PP//case//31 lagen//NN|UTR|SIN|DEF|NOM//obl//28 (//PAD//punct//33 1992:1327//RG|NOM//appos//31 )//PAD//punct//33 om//PP//case//37 leksakers//NN|UTR|PLU|IND|GEN//nmod:poss//37 säkerhet//NN|UTR|SIN|IND|NOM//conj//31 och//KN//cc//40 i//PP//case//40 läkemedelslagen//NN|UTR|SIN|DEF|NOM//conj//37 (//PAD//punct//42 1992:859//RG|NOM//nmod//40 )//PAD//punct//42 ,//MID//punct//49 medan//SN//mark//49 ”//PAD//punct//47 produkt//NN|UTR|SIN|IND|NOM//nmod//48 ”//PM|NOM//nsubj//49 förekommer//VB|PRS|AKT//conj//23 bl.a.//AB|AN//advmod//49 i//PP//case//52 lagen//NN|UTR|SIN|DEF|NOM//obl//49 (//PAD//punct//54 1993:584//RG|NOM//appos//52 )//PAD//punct//54 om//PP//case//58 medicintekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 produkter//NN|UTR|PLU|IND|NOM//conj//52 och//KN//cc//61 i//PP//case//61 lagen//NN|UTR|SIN|DEF|NOM//conj//58 (//PAD//punct//63 1992:1534//RG|NOM//nmod//61 )//PAD//punct//63 om//PP//case//66 CE-märkning//NN|UTR|SIN|IND|NOM//nmod//61 .//MAD//punct//23
4.1.1 Konsumentvaror;"Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//71 kan//VB|PRS|AKT//aux//71 också//AB//advmod//71 noteras//VB|INF|SFO//parataxis//23 att//SN//mark//82 ”//PAD//punct//74 produkt//NN|UTR|SIN|IND|NOM//nsubj:pass//82 ”//PAD//punct//74 i//PP//case//77 marknadsföringslagen//NN|UTR|SIN|DEF|NOM//nmod//74 (//PAD//punct//77 1995:450//RG|NOM//nmod//77 )//PAD//punct//74 har//VB|PRS|AKT//aux//82 getts//VB|SUP|SFO//advcl//71 en//DT|UTR|SIN|IND//det//86 helt//AB|POS//advmod//85 annan//JJ|POS|UTR|SIN|IND|NOM//amod//86 innebörd//NN|UTR|SIN|IND|NOM//obj//82 ;//MID//punct//82"
4.1.1 Konsumentvaror;där//AB//advmod//89 definieras//VB|PRS|SFO//conj//71 produkter//NN|UTR|PLU|IND|NOM//nsubj:pass//89 som//KN//mark//93 ”//PAD//punct//93 varor//NN|UTR|PLU|IND|NOM//obl//89 ,//MID//punct//95 tjänster//NN|UTR|PLU|IND|NOM//conj//93 ,//MID//punct//98 fast//JJ|POS|UTR|SIN|IND|NOM//cc//98 egendom//NN|UTR|SIN|IND|NOM//conj//93 ,//MID//punct//100 arbetstillfällen//NN|NEU|PLU|IND|NOM//conj//98 och//KN//cc//103 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//103 nyttigheter//NN|UTR|PLU|IND|NOM//conj//98 ”//RG|NOM//punct//93 .//MAD//punct//23
4.1.1 Konsumentvaror;Begreppet//NN|NEU|SIN|DEF|NOM//nsubj//10 vara//VB|INF|AKT//cop//10 är//VB|PRS|AKT//cop//10 ett//DT|NEU|SIN|IND//det//10 i//PP//case//6 svensk//JJ|POS|UTR|SIN|IND|NOM//advmod//6 marknads-//NN|UTR|-|-|SMS//amod//9 och//KN//cc//8 civilrätt//NN|UTR|SIN|IND|NOM//conj//6 vedertaget//JJ|POS|NEU|SIN|IND|NOM//amod//10 begrepp//NN|NEU|SIN|IND|NOM//ROOT//10 ,//MID//punct//10 som//HP|-|-|-//nsubj:pass//14 redan//AB//advmod//14 används//VB|PRS|SFO//acl:relcl//10 i//PP//case//16 produktsäkerhetslagen//NN|UTR|SIN|DEF|NOM//obl//14 ,//MID//punct//16 konsumentköplagen//NN|UTR|SIN|DEF|NOM//appos//16 (//PAD//punct//20 1990:932//RG|NOM//conj//16 )//PAD//punct//20 och//KN//cc//24 åtskillig//JJ|POS|UTR|SIN|IND|NOM//amod//24 speciallagstiftning//NN|UTR|SIN|IND|NOM//conj//16 som//HP|-|-|-//nsubj//26 rör//VB|PRS|AKT//acl:relcl//24 produktsäkerhet//NN|UTR|SIN|IND|NOM//obj//26 .//MAD//punct//10
4.1.1 Konsumentvaror;Begreppet//NN|NEU|SIN|DEF|NOM//nsubj:pass//35 bör//VB|PRS|AKT//aux//35 därför//AB//advmod//35 även//AB//advmod//35 i//PP//case//34 fortsättningen//NN|UTR|SIN|DEF|NOM//obl//35 användas//VB|INF|SFO//parataxis//10 i//PP//case//37 lagen//NN|UTR|SIN|DEF|NOM//obl//35 .//MAD//punct//35
4.1.1 Konsumentvaror;Begreppets//NN|NEU|SIN|DEF|GEN//nmod:poss//40 innebörd//NN|UTR|SIN|IND|NOM//nsubj//44 är//VB|PRS|AKT//cop//44 så//AB//advmod//43 väl//AB|POS//advmod//44 etablerad//PC|PRF|UTR|SIN|IND|NOM//conj//35 att//SN//mark//49 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//49 inte//AB//advmod//49 behöver//VB|PRS|AKT//aux//49 definieras//VB|INF|SFO//ccomp//44 särskilt//AB//advmod//49 .//MAD//punct//10
4.1.1 Konsumentvaror;Begreppen//NN|NEU|PLU|DEF|NOM//nsubj//1 näringsidkare//NN|UTR|PLU|IND|NOM//ROOT//1 och//KN//cc//3 näringsverksamhet//NN|UTR|SIN|IND|NOM//conj//1
4.1.1 Konsumentvaror;Det//DT|NEU|SIN|DEF//det//2 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 direktivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 tillämpas//VB|PRS|SFO//ROOT//3 på//PP//case//5 varor//NN|UTR|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj:pass//7 tillhandahålls//VB|PRS|SFO//acl:relcl//5 konsumenter//NN|UTR|PLU|IND|NOM//obj//7 i//PP//case//11 kommersiell//JJ|POS|UTR|SIN|IND|NOM//amod//11 verksamhet//NN|UTR|SIN|IND|NOM//obl//7 (//PAD//punct//11 artikel//NN|UTR|SIN|IND|NOM//nmod//14 2//RG|NOM//nummod//15 a//NN|NEU|SIN|IND|NOM//appos//11 )//PAD//punct//3 .//MAD//punct//3
4.1.1 Konsumentvaror;Produktsäkerhetslagen//NN|UTR|SIN|DEF|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 bl.a.//AB|AN//advmod//21 tillämplig//JJ|POS|UTR|SIN|IND|NOM//parataxis//3 på//PP//case//24 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//24 varor//NN|UTR|PLU|IND|NOM//obl//21 som//HP|-|-|-//nsubj:pass//26 tillhandahålls//VB|PRS|SFO//acl:relcl//24 i//PP//case//28 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//26 ,//MID//punct//32 eller//KN//cc//32 annorlunda//AB//advmod//32 uttryckt//PC|PRF|NEU|SIN|IND|NOM//conj//21 ,//MID//punct//32 i//PP//case//35 verksamhet//NN|UTR|SIN|IND|NOM//obl//21 som//HP|-|-|-//nsubj:pass//37 bedrivs//VB|PRS|SFO//acl:relcl//35 av//PP//case//40 en//DT|UTR|SIN|IND//det//40 näringsidkare//NN|UTR|SIN|IND|NOM//obl:agent//37 (//PAD//punct//40 1//RG|NOM//nummod//43 §//NN|AN//nmod//45 andra//RO|NOM//amod//45 stycket//NN|NEU|SIN|DEF|NOM//appos//40 )//PAD//punct//21 .//MAD//punct//3
4.1.1 Konsumentvaror;I//PP//case//3 samband//NN|NEU|SIN|IND|NOM//fixed//0 med//PP//fixed//0 genomförandet//NN|NEU|SIN|DEF|NOM//obl//8 av//PP//case//7 1992//RG|NOM//nummod//6 års//NN|NEU|SIN|IND|GEN//nmod:poss//7 direktiv//NN|NEU|SIN|IND|NOM//nmod//3 utgick//VB|PRT|AKT//ROOT//8 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//8 från//PP//mark//15 att//SN//mark//15 någon//DT|UTR|SIN|IND//det//13 skillnad//NN|UTR|SIN|IND|NOM//nsubj//15 inte//AB//advmod//15 förelåg//VB|PRT|AKT//advcl//8 mellan//PP//case//17 direktivet//NN|NEU|SIN|DEF|NOM//obl//15 och//KN//cc//20 produktsäkerhetslagen//NN|UTR|SIN|DEF|NOM//nmod//20 härvidlag//AB//conj//17 .//MAD//punct//8
