Fler nyanlända elever ska uppnå behörighet till gymnasiet;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 elever//NN|UTR|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 kommer//VB|PRS|AKT//acl:relcl//4 till//PP//case//8 Sverige//PM|NOM//obl//6 under//PP//case//12 grundskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//12 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 årskurser//NN|UTR|PLU|IND|NOM//obl//6

1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;1//RG|NOM//nummod//1 §//NN|AN//ROOT//1
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 finns//VB|PRS|SFO//ROOT//3 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//3 om//PP//mark//7 –//RG|NOM//punct//7 tillämpningsområde//NN|NEU|SIN|IND|NOM//acl//4 (//PAD//punct//7 2//RG|NOM//nummod//10 §//NN|AN//appos//7 )//PAD//punct//7 ,//MID//punct//7 –//RG|NOM//punct//7 barnens//NN|NEU|PLU|DEF|GEN//nmod:poss//17 och//KN//cc//16 elevernas//NN|UTR|PLU|DEF|GEN//nmod:poss//17 lärande//NN|NEU|SIN|IND|NOM//conj//7 och//KN//cc//20 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 utveckling//NN|UTR|SIN|IND|NOM//conj//17 (//PAD//punct//17 3//RG|NOM//nummod//23 §//NN|AN//appos//17 )//PAD//punct//7 ,//MID//punct//7 –//RG|NOM//punct//27 information//NN|UTR|SIN|IND|NOM//conj//7 om//PP//case//32 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//32 och//KN//cc//31 elevens//NN|UTR|SIN|DEF|GEN//conj//29 utveckling//NN|UTR|SIN|IND|NOM//nmod//27 (//PAD//punct//27 4//RG|NOM//nummod//37 och//KN//cc//34 5//RG|NOM//nummod//34 §//NN|AN//nmod//38 §//NN|AN//nmod//27 )//PAD//punct//27 ,//MID//punct//7 –//PAD//punct//42 stöd//NN|NEU|SIN|IND|NOM//conj//7 i//PP//case//47 form//NN|UTR|SIN|IND|NOM//fixed//43 av//PP//fixed//43 extra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 anpassningar//NN|UTR|PLU|IND|NOM//nmod//42 (//PAD//punct//42 5//RG|NOM//nmod//42 a//NN|NEU|SIN|IND|NOM//case//51 §//NN|AN//nmod//42 )//PAD//punct//42 ,//MID//punct//7 –//RG|NOM//punct//56 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//56 stöd//NN|NEU|SIN|IND|NOM//conj//7  //_SP////56 (//PAD//punct//56 6–12//NN|NEU|SIN|IND|NOM//nummod//61 §//NN|AN//nmod//61 §//NN|AN//obl//7 )//PAD//punct//7 ,//MID//punct//7 –//RG|NOM//punct//66 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 bestämmelser//NN|UTR|PLU|IND|NOM//conj//7 om//PP//case//68 betyg//NN|NEU|PLU|IND|NOM//nmod//66 (//PAD//punct//66 13–21//RG|NOM//nummod//71 §//NN|AN//nmod//72 §//NN|AN//nmod//66 )//PAD//punct//66 .//MAD//punct//7
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;elevens//NN|UTR|SIN|DEF|GEN//nmod:poss//76 mål//NN|NEU|SIN|IND|NOM//conj//7 .//MAD//punct//7
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Planen//NN|UTR|SIN|DEF|NOM//conj//7 ska//VB|PRS|AKT//aux//81 också//AB//advmod//81 innehålla//VB|INF|AKT//conj//3 uppgifter//NN|UTR|PLU|IND|NOM//obj//81 om//PP//case//86 utbildningens//NN|UTR|SIN|DEF|GEN//nmod:poss//86 huvudsakliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//86 innehåll//NN|NEU|SIN|IND|NOM//nmod//82 och//KN//cc//88 planerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//86 stödåtgärder//NN|UTR|PLU|IND|NOM//obj//88 .//MAD//punct//3
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Studieplanen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 revideras//VB|INF|SFO//ROOT//2 efter//PP//case//5 de//DT|UTR/NEU|PLU|DEF//det//5 bedömningar//NN|UTR|PLU|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//7 görs//VB|PRS|SFO//acl:relcl//5 av//PP//case//10 den//DT|UTR|SIN|DEF//det//10 nyanlända//PC|PRF|UTR/NEU|SIN|DEF|NOM//obl:agent//7 elevens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 ämneskunskaper//NN|UTR|PLU|IND|NOM//obj//7 .//MAD//punct//2
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Anpassad//PC|PRF|UTR|SIN|IND|NOM//amod//1 timplan//NN|UTR|SIN|IND|NOM//ROOT//1 12//RG|NOM//nummod//3 h//NN|AN//nummod//4 §//NN|AN//nmod//1
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Om//SN//mark//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 finns//VB|PRS|SFO//advcl//5 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 skäl//NN|NEU|PLU|IND|NOM//nsubj//2 får//VB|PRS|AKT//advcl//29 en//DT|UTR|SIN|IND//det//8 nyanländ//PC|PRF|UTR|SIN|IND|NOM//amod//8 elev//NN|UTR|SIN|IND|NOM//obj//5 som//HP|-|-|-//nsubj:pass//11 har//VB|PRS|AKT//aux//11 tagits//VB|SUP|SFO//acl:relcl//8 emot//PL//compound:prt//11 i//PP//case//16 det//DT|NEU|SIN|DEF//det//16 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 skolväsendet//NN|NEU|SIN|DEF|NOM//obl//11 i//PP//case//19 årskurs//NN|UTR|SIN|IND|NOM//nmod//19 7–9//RG|NOM//nmod//16 i//PP//case//21 grundskolan//NN|UTR|SIN|DEF|NOM//nmod//19 eller//KN//cc//25 i//PP//case//25 årskurs//NN|UTR|SIN|IND|NOM//nmod//25 8–10//NN|UTR|SIN|IND|NOM//conj//16 i//PP//case//27 specialskolan//NN|UTR|SIN|DEF|NOM//nmod//25 ,//MID//punct//5 ges//VB|PRS|SFO//ROOT//29 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 undervisning//NN|UTR|SIN|IND|NOM//nsubj:pass//29 i//PP//case//34 utvalda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//34 ämnen//NN|NEU|PLU|IND|NOM//obl//29 än//KN//mark//37 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 elever//NN|UTR|PLU|IND|NOM//acl//34 i//PP//case//40 samma//DT|UTR/NEU|SIN/PLU|IND//det//40 årskurs//NN|UTR|SIN|IND|NOM//obl//29 hos//PP//case//42 huvudmannen//NN|UTR|SIN|DEF|NOM//nmod//40 genom//PP//case//45 en//DT|UTR|SIN|IND//det//45 omfördelning//NN|UTR|SIN|IND|NOM//obl//29 av//PP//case//47 undervisningstiden//NN|UTR|SIN|DEF|NOM//nmod//45 (//PAD//punct//45 anpassad//PC|PRF|UTR|SIN|IND|NOM//amod//50 timplan//NN|UTR|SIN|IND|NOM//appos//45 )//PAD//punct//45 .//MID//punct//29
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Ett//DT|NEU|SIN|IND//det//55 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//55 beslut//NN|NEU|SIN|IND|NOM//nsubj//58 får//VB|PRS|AKT//aux//58 inte//AB//advmod//58 innebära//VB|INF|AKT//parataxis//29 att//SN//mark//61 eleven//NN|UTR|SIN|DEF|NOM//nsubj:pass//61 ges//VB|PRS|SFO//ccomp//58 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 undervisning//NN|UTR|SIN|IND|NOM//obj//61 totalt//AB|POS//advmod//61 än//KN//case//67 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 elever//NN|UTR|PLU|IND|NOM//obl//61 i//PP//case//70 samma//DT|UTR/NEU|SIN/PLU|IND//det//70 årskurs//NN|UTR|SIN|IND|NOM//obl//61 hos//PP//case//72 huvudmannen//NN|UTR|SIN|DEF|NOM//nmod//70 .//MID//punct//29
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Ett//DT|NEU|SIN|IND//det//76 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//76 beslut//NN|NEU|SIN|IND|NOM//nsubj//79 får//VB|PRS|AKT//aux//79 dock//AB//advmod//79 innebära//VB|INF|AKT//parataxis//29 avvikelser//NN|UTR|PLU|IND|NOM//obj//79 från//PP//case//83 den//DT|UTR|SIN|DEF//det//83 timplan//NN|UTR|SIN|IND|NOM//nmod//80 samt//KN//cc//86 de//DT|UTR/NEU|PLU|DEF//det//86 ämnen//NN|NEU|PLU|IND|NOM//conj//80 och//KN//cc//88 mål//NN|NEU|PLU|IND|NOM//conj//86 som//HP|-|-|-//nsubj//91 annars//AB//advmod//91 gäller//VB|PRS|AKT//acl:relcl//88 för//PP//case//93 utbildningen//NN|UTR|SIN|DEF|NOM//obl//91 .//MAD//punct//29
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Den//DT|UTR|SIN|DEF//det//2 anpassade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 timplanen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 ska//VB|PRS|AKT//aux//4 utformas//VB|INF|SFO//ROOT//4 så//AB//mark//9 att//SN//mark//9 eleven//NN|UTR|SIN|DEF|NOM//nsubj//9 dels//KN//advmod//9 får//VB|PRS|AKT//advcl//4 förutsättningar//NN|UTR|PLU|IND|NOM//obj//9 att//IE//mark//12 nå//VB|INF|AKT//acl//10 behörighet//NN|UTR|SIN|IND|NOM//obj//12 till//PP//case//17 gymnasieskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//17 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 program//NN|NEU|SIN|IND|NOM//obl//12 ,//MID//punct//20 dels//KN//advmod//20 förutsättningar//NN|UTR|PLU|IND|NOM//appos//4 att//IE//mark//22 genomföra//VB|INF|AKT//acl//20 ett//DT|NEU|SIN|IND//det//25 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//25 program//NN|NEU|SIN|IND|NOM//obj//22 .//MAD//punct//20
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Eleven//NN|UTR|SIN|DEF|NOM//nsubj:pass//30 ska//VB|PRS|AKT//aux//30 alltid//AB//advmod//30 ges//VB|INF|SFO//conj//4 undervisning//NN|UTR|SIN|IND|NOM//obj//30 i//PP//case//37 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 eller//KN//cc//35 svenska//NN|UTR|SIN|IND|NOM//conj//33 som//KN//case//37 andraspråk//NN|NEU|SIN|IND|NOM//obl//30 ,//MID//punct//39 matematik//NN|UTR|SIN|IND|NOM//conj//37 ,//MID//punct//41 engelska//NN|UTR|SIN|IND|NOM//conj//37 och//KN//cc//43 idrott//NN|UTR|SIN|IND|NOM//conj//37 och//KN//cc//45 hälsa//NN|UTR|SIN|IND|NOM//conj//37 .//MAD//punct//4
1.1 Förslag till lag om ändring i skollagen (2010:800) / 3 kap.;Rektorn//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutar//VB|PRS|AKT//ROOT//1 om//PP//case//4 anpassad//PC|PRF|UTR|SIN|IND|NOM//amod//4 timplan//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//8 ett//DT|NEU|SIN|IND//det//8 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//8 beslut//NN|NEU|SIN|IND|NOM//conj//4 får//VB|PRS|AKT//aux//11 enbart//AB//advmod//11 fattas//VB|INF|SFO//conj//1 efter//PP//mark//18 att//SN//mark//18 en//DT|UTR|SIN|IND//det//15 elevs//NN|UTR|SIN|IND|GEN//nmod:poss//16 kunskaper//NN|UTR|PLU|IND|NOM//nsubj//18 har//VB|PRS|AKT//aux//18 bedömts//VB|SUP|SFO//advcl//11 enligt//PP//case//22 3//RG|NOM//nummod//21 kap.//NN|AN//nmod//22 12//RG|NOM//obl//18 c//NN|AN//case//24 §//NN|AN//obl//18 och//KN//cc//27 efter//PP//case//27 samtycke//NN|NEU|SIN|IND|NOM//conj//24 av//PP//case//29 eleven//NN|UTR|SIN|DEF|NOM//nmod//27 och//KN//cc//32 elevens//NN|UTR|SIN|DEF|GEN//nmod:poss//32 vårdnadshavare//NN|UTR|PLU|IND|NOM//conj//29 .//MAD//punct//1
