Kemikommittén föreslår följande viktiga hörnstenar i kemikaliepolitiken: Försiktighetsprincipen;Försik//NN|UTR|SIN|IND|NOM//nmod:poss//1 tighetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 ska//VB|PRS|AKT//aux//3 användas//VB|INF|SFO//ROOT//3
Försiktighetsprincipen;En//DT|UTR|SIN|IND//det//35 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 analys//NN|UTR|SIN|IND|NOM//parataxis//28 och//KN//cc//37 tolkning//NN|UTR|SIN|IND|NOM//conj//35 av//PP//case//39 försiktighetsprincipen//NN|UTR|SIN|DEF|NOM//nmod//37 och//KN//cc//42 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//42 tillämpningar//NN|UTR|PLU|IND|NOM//conj//39 ,//MID//punct//35 bl.a.//AB|AN//advmod//46 i//PP//case//46 Riodeklarationen//NN|UTR|SIN|DEF|NOM//nmod//35 ,//MID//punct//48 ges//VB|PRS|SFO//conj//28 i//PP//case//50 bilaga//NN|UTR|SIN|IND|NOM//obl//48 7//RG|NOM//nummod//48 .//MAD//punct//5
Försiktighetsprincipen;Riskpanoramat//NN|NEU|SIN|DEF|NOM//nsubj//1 visar//VB|PRS|AKT//ROOT//1 att//SN//mark//9 man//PN|UTR|SIN|IND|SUB//nsubj//9 i//PP//case//7 allt//AB//advmod//6 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 grad//NN|UTR|SIN|IND|NOM//obl//9 måste//VB|PRS|AKT//aux//9 agera//VB|INF|AKT//ccomp//1 redan//AB//advmod//13 vid//PP//case//12 vetenskapligt//AB|POS//obl//13 grundad//PC|PRF|UTR|SIN|IND|NOM//amod//14 misstanke//NN|UTR|SIN|IND|NOM//obj//9 om//PP//mark//20 att//SN//mark//20 en//DT|UTR|SIN|IND//det//18 skada//NN|UTR|SIN|IND|NOM//nsubj//20 kan//VB|PRS|AKT//aux//20 inträffa//VB|INF|AKT//acl//14 .//MAD//punct//1
Försiktighetsprincipen;Den//DT|UTR|SIN|DEF//det//24 diffusa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 kemikaliespridningen//NN|UTR|SIN|DEF|NOM//nsubj//25 medför//VB|PRS|AKT//parataxis//1 att//SN//mark//30 människor//NN|UTR|PLU|IND|NOM//nsubj:pass//30 och//KN//cc//29 miljö//NN|UTR|SIN|IND|NOM//conj//27 exponeras//VB|PRS|SFO//ccomp//25 för//PP//case//33 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 ämnen//NN|NEU|PLU|IND|NOM//obl//30 i//PP//case//36 låga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 doser//NN|UTR|PLU|IND|NOM//obl//30 .//MAD//punct//25
Försiktighetsprincipen;Många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//44 av//PP//case//41 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//41 forskningsmetoder//NN|UTR|PLU|IND|NOM//nmod//38 är//VB|PRS|AKT//aux:pass//44 inte//AB//advmod//44 anpassade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//25 till//PP//case//47 denna//DT|UTR|SIN|DEF//det//47 situation//NN|UTR|SIN|IND|NOM//obl//44 .//MAD//punct//44
Försiktighetsprincipen;Morgondagens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 kemikaliepolitik//NN|UTR|SIN|IND|NOM//nsubj//56 måste//VB|PRS|AKT//aux//56 i//PP//advmod//56 än//AB//case//55 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 grad//NN|UTR|SIN|IND|NOM//obl//56 bygga//VB|INF|AKT//parataxis//44 på//PP//case//58 principen//NN|UTR|SIN|DEF|NOM//obl//56 om//PP//mark//61 att//SN//mark//61 förekomstbegränsande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//63 sätts//VB|PRS|SFO//advcl//56 in//PL//advmod//63 mot//PP//case//66 kemikalier//NN|UTR|PLU|IND|NOM//obl//63 eller//KN//cc//68 varor//NN|UTR|PLU|IND|NOM//conj//66 när//HA//case//71 sannolika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 skäl//NN|NEU|PLU|IND|NOM//obl//63 för//PP//case//73 påverkan//NN|UTR|SIN|IND|NOM//nmod//71 på//PP//case//75 hälsa//NN|UTR|SIN|IND|NOM//nmod//73 eller//KN//cc//77 miljö//NN|UTR|SIN|IND|NOM//conj//75 föreligger//VB|PRS|AKT//conj//63 även//AB//mark//84 om//SN//fixed//79 fullständig//JJ|POS|UTR|SIN|IND|NOM//amod//83 vetenskaplig//JJ|POS|UTR|SIN|IND|NOM//amod//83 bevisning//NN|UTR|SIN|IND|NOM//nsubj:pass//84 saknas//VB|PRS|SFO//advcl//78 .//MAD//punct//1
Försiktighetsprincipen;Nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 kemikalieproblem//NN|NEU|PLU|IND|NOM//nsubj:pass//2 relateras//VB|PRS|SFO//ROOT//2 i//PP//case//6 allt//AB//advmod//5 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 grad//NN|UTR|SIN|IND|NOM//obl//2 till//PP//case//9 diffus//JJ|POS|UTR|SIN|IND|NOM//amod//9 kemikaliespridning//NN|UTR|SIN|IND|NOM//obl//2 från//PP//case//13 det//DT|NEU|SIN|DEF//det//13 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 flödet//NN|NEU|SIN|DEF|NOM//nmod//9 av//PP//case//15 varor//NN|UTR|PLU|IND|NOM//nmod//13 och//KN//cc//17 produkter//NN|UTR|PLU|IND|NOM//conj//15 genom//PP//case//19 samhället//NN|NEU|SIN|DEF|NOM//obl//2 .//MAD//punct//2
Försiktighetsprincipen;Ett//DT|NEU|SIN|IND//det//23 aktuellt//JJ|POS|NEU|SIN|IND|NOM//amod//23 fall//NN|NEU|SIN|IND|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 läckaget//NN|NEU|SIN|DEF|NOM//parataxis//2 av//PP//case//27 PCB//PM|NOM//nmod//25 från//PP//case//29 fogmassa//NN|UTR|SIN|IND|NOM//nmod//25 i//PP//case//31 flerfamiljshus//NN|NEU|PLU|IND|NOM//nmod//29 som//HP|-|-|-//nsubj:pass//33 byggts//VB|SUP|SFO//acl:relcl//31 under//PP//case//35 60-//RG|SMS//obl//33 och//KN//cc//37 70-talet//NN|NEU|SIN|DEF|NOM//conj//35 .//MAD//punct//25

Bly i färg, ett exempel på tillämpning av försiktighetsprincipen;En//DT|UTR|SIN|IND//det//1 åtgärd//NN|UTR|SIN|IND|NOM//nsubj//6 byggd//PC|PRF|UTR|SIN|IND|NOM//acl//1 på//PP//case//4 försiktighet//NN|UTR|SIN|IND|NOM//obl//2 är//VB|PRS|AKT//cop//6 minskningen//NN|UTR|SIN|DEF|NOM//nsubj//83 av//PP//case//10 den//DT|UTR|SIN|DEF//det//10 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 användningen//NN|UTR|SIN|DEF|NOM//nmod//6 av//PP//case//12 bly//NN|NEU|SIN|IND|NOM//nmod//10 i//PP//case//14 färg//NN|UTR|SIN|IND|NOM//nmod//12 som//HP|-|-|-//nsubj//16 skett//VB|SUP|AKT//acl:relcl//14 under//PP//case//18 90-talet//NN|NEU|SIN|DEF|NOM//obl//16 och//KN//cc//21 som//HP|-|-|-//nsubj//21 innebär//VB|PRS|AKT//conj//6 att//SN//mark//27 bly//NN|NEU|SIN|IND|NOM//nsubj//27 nu//AB//advmod//27 är//VB|PRS|AKT//cop//27 så//AB//advmod//27 gott//JJ|POS|NEU|SIN|IND|NOM//ccomp//21 som//KN//mark//29 försvunnet//PC|PRF|NEU|SIN|IND|NOM//nmod//27 i//PP//case//31 färger//NN|UTR|PLU|IND|NOM//nmod//29 i//PP//case//33 konsumentledet//NN|NEU|SIN|DEF|NOM//nmod//29 .//MAD//punct//6
Bly i färg, ett exempel på tillämpning av försiktighetsprincipen;Begränsningarna//NN|UTR|PLU|DEF|NOM//nsubj//36 grundar//VB|PRS|AKT//parataxis//6 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//36 på//PP//case//40 en//DT|UTR|SIN|IND//det//40 misstanke//NN|UTR|SIN|IND|NOM//obl//36 om//PP//mark//48 att//SN//mark//48 halten//NN|UTR|SIN|DEF|NOM//nsubj//48 bly//NN|NEU|SIN|IND|NOM//nmod//43 i//PP//case//46 blodet//NN|NEU|SIN|DEF|NOM//nmod//44 kan//VB|PRS|AKT//aux//48 påverka//VB|INF|AKT//acl//40 människors//NN|UTR|PLU|IND|GEN//nmod:poss//50 nervsystem//NN|NEU|PLU|IND|NOM//obj//48 .//MAD//punct//36
