
Bilaga 1 / Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 21//RG|NOM//nummod//5 februari//NN|UTR|SIN|IND|NOM//obl//0 2008//RG|NOM//nummod//5 .//MAD//punct//0
Bilaga 2 / Sammanställning av länsstyrelsernas enkätsvar;Således//AB//advmod//20 kan//VB|PRS|AKT//aux//20 objekt//NN|NEU|PLU|IND|NOM//nsubj//14 som//HP|-|-|-//nsubj//14 är//VB|PRS|AKT//cop//14 såväl//KN//advmod//14 butik//NN|UTR|SIN|IND|NOM//nsubj:pass//20 som//KN//mark//16 post//NN|UTR|SIN|IND|NOM//nmod//14 i//PP//case//18 butik//NN|UTR|SIN|IND|NOM//nmod//16 har//VB|PRS|AKT//aux//20 redovisats//VB|SUP|SFO//parataxis//2 dubbelt//AB|POS//advmod//20 .//MAD//punct//20 *//MID//punct//25
Bilaga 2 / Sammanställning av länsstyrelsernas enkätsvar;Postkontor//NN|NEU|PLU|IND|NOM//nsubj//25 innefattar//VB|PRS|AKT//parataxis//2 även//AB//advmod//25 post//NN|UTR|SIN|IND|NOM//obj//25 i//PP//case//29 butik//NN|UTR|SIN|IND|NOM//nmod//27 .//MAD//punct//43
Bilaga 2 / Sammanställning av länsstyrelsernas enkätsvar;Således//AB//advmod//43 kan//VB|PRS|AKT//aux//43 objekt//NN|NEU|PLU|IND|NOM//nsubj//37 som//HP|-|-|-//nsubj//37 är//VB|PRS|AKT//cop//37 såväl//KN//advmod//37 butik//NN|UTR|SIN|IND|NOM//nsubj:pass//43 som//KN//mark//39 post//NN|UTR|SIN|IND|NOM//nmod//37 i//PP//case//41 butik//NN|UTR|SIN|IND|NOM//nmod//39 ha//VB|INF|AKT//aux//43 redovisats//VB|SUP|SFO//advcl//25 dubbelt//AB|POS//advmod//43 .//MAD//punct//25 *//MID//punct//48
Bilaga 2 / Sammanställning av länsstyrelsernas enkätsvar;Uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//48 saknas//VB|PRS|SFO//conj//25 .//MAD//punct//48 *//MID//punct//52
Bilaga 2 / Sammanställning av länsstyrelsernas enkätsvar;Uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//52 saknas//VB|PRS|SFO//conj//48 .//MAD//punct//52 *//MID//punct//56
Bilaga 2 / Sammanställning av länsstyrelsernas enkätsvar;Uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//56 saknas//VB|PRS|SFO//conj//2 .//MAD//punct//56


Bilaga 3 / Praxisgenomgång;I//PP//case//2 denna//DT|UTR|SIN|DEF//det//2 praxisgenomgång//NN|UTR|SIN|IND|NOM//obl//3 redovisas//VB|PRS|SFO//ROOT//3 avgöranden//NN|NEU|PLU|IND|NOM//nsubj:pass//3 från//PP//case//6 Regeringsrätten//NN|UTR|SIN|DEF|NOM//nmod//4 och//KN//cc//8 kammarrätterna//NN|UTR|PLU|DEF|NOM//conj//6 i//PP//case//10 mål//NN|NEU|SIN|IND|NOM//nmod//8 beträffande//PP//case//12 lagen//NN|UTR|SIN|DEF|NOM//nmod//8 (//PAD//punct//14 1998:150//RG|NOM//nmod//12 )//PAD//punct//14 om//PP//case//18 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//18 kameraövervakning//NN|UTR|SIN|IND|NOM//conj//12 .//MAD//punct//3
Bilaga 3 / Praxisgenomgång;Redovisningen//NN|UTR|SIN|DEF|NOM//nsubj//21 innefattar//VB|PRS|AKT//parataxis//3 alla//DT|UTR/NEU|PLU|IND/DEF//det//23 mål//NN|NEU|PLU|IND|NOM//obj//21 som//HP|-|-|-//nsubj:pass//25 avgjorts//VB|SUP|SFO//acl:relcl//23 i//PP//case//28 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//28 domstolar//NN|UTR|PLU|IND|NOM//obl//25 efter//PP//case//32 den//DT|UTR|SIN|DEF//det//32 1//RO|NOM//nummod//32 november//NN|UTR|SIN|IND|NOM//nmod//28 2002//RG|NOM//nummod//32 fram//PL//advmod//25 till//PP//case//39 den//DT|UTR|SIN|DEF//det//37 1//RO|NOM//nummod//38 augusti//NN|UTR|SIN|IND|NOM//nmod//39 2009//RG|NOM//obl//34 .//MAD//punct//3
Bilaga 3 / Praxisgenomgång;Den//DT|UTR|SIN|DEF//det//43 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//43 Kameraövervakningsutredningen//NN|UTR|SIN|DEF|NOM//appos//3 redovisade//VB|PRT|AKT//acl//43 i//PP//case//48 sitt//PS|NEU|SIN|DEF//nmod:poss//47 betänkande//NN|NEU|SIN|IND|NOM//nmod//48 SOU//PM|NOM//obl//44 2002:110//RG|NOM//nummod//51 Allmän//JJ|POS|UTR|SIN|IND|NOM//amod//51 kameraövervakning//NN|UTR|SIN|IND|NOM//nsubj:pass//3  //_SP////51 en//DT|UTR|SIN|IND//det//54 praxisgenomgång//NN|UTR|SIN|IND|NOM//nsubj:pass//3 av//PP//case//56 mål//NN|NEU|SIN|IND|NOM//nmod//54 beträffande//PP//case//58 lagen//NN|UTR|SIN|DEF|NOM//nmod//54 om//PP//case//61 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//61 kameraövervakning//NN|UTR|SIN|IND|NOM//nmod//58 som//HP|-|-|-//nsubj:pass//63 avgjorts//VB|SUP|SFO//acl:relcl//61 i//PP//case//65 Regeringsrätten//NN|UTR|SIN|DEF|NOM//obl//63 och//KN//cc//67 kammarrätterna//NN|UTR|PLU|DEF|NOM//conj//65 före//PP//case//71 den//DT|UTR|SIN|DEF//det//71 1//RO|NOM//nummod//71 november//NN|UTR|SIN|IND|NOM//nmod//67 2002//RG|NOM//nummod//71 .//MAD//punct//3
Bilaga 3 / Praxisgenomgång;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//3 som//HP|-|-|-//nsubj//77 vill//VB|PRS|AKT//aux//77 ta//VB|INF|AKT//acl:relcl//74 del//NN|UTR|SIN|IND|NOM//obj//77 av//PP//case//81 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//81 praxis//NN|UTR|SIN|IND|NOM//nmod//78 rörande//PP//case//83 tillämpningen//NN|UTR|SIN|DEF|NOM//obl//77 av//PP//case//85 lagen//NN|UTR|SIN|DEF|NOM//nmod//83 (//PAD//punct//85 1997:20//RG|NOM//conj//85 )//PAD//punct//85 om//PP//case//90 TV-övervakning//NN|UTR|SIN|IND|NOM//nmod//85 och//KN//cc//92 lagen//NN|UTR|SIN|DEF|NOM//conj//90 (//PAD//punct//94 1990:484//RG|NOM//appos//77 )//PAD//punct//94 om//PP//case//97 övervakningskameror//NN|UTR|PLU|IND|NOM//nsubj:pass//99 m.m.//AB|AN//conj//97 hänvisas//VB|PRS|SFO//advcl//77 till//PP//case//101 SOU//PM|NOM//obl//99 1996:88//RG|NOM//case//103 Kameraövervakning//NN|UTR|SIN|IND|NOM//obl//99 .//MAD//punct//3

Bilaga 3 / Gator, torg och köpcentrum m.m. Polismyndigheten i Stockholms län har medgetts tillstånd till kameraövervakning av ett antal gator kring Medborgarplatsen i centrala Stockholm.;Länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//3 Stockholms//PM|GEN//nmod:poss//3 län//NN|NEU|SIN|IND|NOM//nmod//0 beviljade//VB|PRT|AKT//ROOT//4 i//PP//case//6 beslut//NN|NEU|SIN|IND|NOM//obl//4 den//DT|UTR|SIN|DEF//det//9 12//RG|NOM//nummod//9 december//NN|UTR|SIN|IND|NOM//nmod//11 2006//RG|NOM//nummod//9 Polismyndigheten//NN|UTR|SIN|DEF|NOM//obl//4 i//PP//case//14 Stockholms//PM|GEN//nmod:poss//14 län//NN|NEU|SIN|IND|NOM//nmod//11 tillstånd//NN|NEU|SIN|IND|NOM//conj//4 att//IE//mark//17 använda//VB|INF|AKT//acl//15 nio//RG|NOM//nummod//19 övervakningskameror//NN|UTR|PLU|IND|NOM//obj//17 med//PP//case//21 bildinspelning//NN|UTR|SIN|IND|NOM//nmod//19 vid//PP//case//23 Götgatan//PM|NOM//nmod//21 ,//MID//punct//25 Folkungagatan//PM|NOM//conj//23 och//KN//cc//27 Tjärhovsgatan//PM|NOM//conj//23 i//PP//case//29 Stockholm//PM|NOM//nmod//21 .//MAD//punct//4
Bilaga 3 / Gator, torg och köpcentrum m.m. Polismyndigheten i Stockholms län har medgetts tillstånd till kameraövervakning av ett antal gator kring Medborgarplatsen i centrala Stockholm.;Som//KN//case//32 villkor//NN|NEU|SIN|IND|NOM//obl//35 för//PP//case//34 tillståndet//NN|NEU|SIN|DEF|NOM//nmod//32 beslutades//VB|PRT|SFO//conj//4 att//SN//mark//39 övervakningen//NN|UTR|SIN|DEF|NOM//nsubj//39 fick//VB|PRT|AKT//aux//39 ske//VB|INF|AKT//ccomp//35 mellan//PP//case//42 klockan//NN|UTR|SIN|DEF|NOM//nmod//42 21.00//RG|NOM//obl//39 till//PP//case//44 05.00//RG|NOM//obl//39 ,//MID//punct//39 att//SN//mark//51 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//48 kameror//NN|UTR|PLU|IND|NOM//nsubj//51 skulle//VB|PRT|AKT//aux//51 vara//VB|INF|AKT//cop//51 avskärmade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//39 så//SN//mark//57 att//SN//fixed//52 privatbostäder//NN|UTR|PLU|IND|NOM//nsubj//57 inte//AB//advmod//57 kunde//VB|PRT|AKT//aux//57 komma//VB|INF|AKT//advcl//51 i//PP//case//59 bild//NN|UTR|SIN|IND|NOM//obl//57 ,//MID//punct//39 att//SN//mark//67 respektive//AB//amod//63 kamera//NN|UTR|SIN|IND|NOM//nsubj//67 endast//AB//advmod//67 fick//VB|PRT|AKT//aux//66 vara//VB|INF|AKT//cop//67 ansluten//PC|PRF|UTR|SIN|IND|NOM//ccomp//39 till//PP//case//69 monitor//NN|UTR|SIN|IND|NOM//obl//67 och//KN//cc//71 inspelningsutrustning//NN|UTR|SIN|IND|NOM//conj//69 i//PP//case//74 polisens//NN|UTR|SIN|DEF|GEN//nmod:poss//74 länskommunikationscentral//NN|UTR|SIN|IND|NOM//nmod//71 samt//KN//cc//81 att//SN//mark//81 överföring//NN|UTR|SIN|IND|NOM//nsubj//81 av//PP//case//79 bildmaterial//NN|NEU|SIN|IND|NOM//nmod//77 skulle//VB|PRT|AKT//aux//81 ske//VB|INF|AKT//conj//35 via//PP//case//84 fast//JJ|POS|UTR|SIN|IND|NOM//amod//84 anslutning//NN|UTR|SIN|IND|NOM//obl//81 .//MAD//punct//4
Bilaga 3 / Gator, torg och köpcentrum m.m. Polismyndigheten i Stockholms län har medgetts tillstånd till kameraövervakning av ett antal gator kring Medborgarplatsen i centrala Stockholm.;Tillståndet//NN|NEU|SIN|DEF|NOM//conj//4 gäller//VB|PRS|AKT//conj//4 under//PP//case//90 en//DT|UTR|SIN|IND//det//90 prövotid//NN|UTR|SIN|IND|NOM//obl//87 av//PP//case//93 tre//RG|NOM//nummod//93 år//NN|NEU|PLU|IND|NOM//nmod//90 till//AB//case//100 och//KN//fixed//94 med//AB//fixed//94 den//DT|UTR|SIN|DEF//det//99 18//RG|NOM//nummod//99 december//NN|UTR|SIN|IND|NOM//nmod//100 2009//RG|NOM//nummod//90 .//MAD//punct//4
Bilaga 3 / Gator, torg och köpcentrum m.m. Polismyndigheten i Stockholms län har medgetts tillstånd till kameraövervakning av ett antal gator kring Medborgarplatsen i centrala Stockholm.;Ändamålet//NN|NEU|SIN|DEF|NOM//nsubj//105 med//PP//case//104 övervakningen//NN|UTR|SIN|DEF|NOM//nmod//102 angavs//VB|PRT|SFO//conj//4 vara//VB|INF|AKT//cop//108 att//IE//mark//108 förebygga//VB|INF|AKT//xcomp//105 och//KN//cc//110 förhindra//VB|INF|AKT//conj//108 våldsbrott//NN|NEU|PLU|IND|NOM//obj//110 samt//KN//cc//114 att//IE//mark//114 utöka//VB|INF|AKT//conj//108 möjligheten//NN|UTR|SIN|DEF|NOM//obj//114 att//IE//mark//117 utreda//VB|INF|AKT//acl//115 brott//NN|NEU|PLU|IND|NOM//obj//117 och//KN//cc//121 därmed//AB//advmod//121 öka//VB|INF|AKT//conj//117 tryggheten//NN|UTR|SIN|DEF|NOM//obj//121 för//PP//case//125 de//DT|UTR/NEU|PLU|DEF//det//125 invånare//NN|UTR|PLU|IND|NOM//nmod//122 som//HP|-|-|-//nsubj//127 vistades//VB|PRT|SFO//acl:relcl//125 ute//AB//case//129 kvälls-//NN|NEU|-|-|SMS//obl//127 och//KN//cc//131 nattetid//NN|UTR|SIN|IND|NOM//conj//129 runt//PP//case//133 Medborgarplatsen//NN|UTR|SIN|DEF|NOM//nmod//131 .//MAD//punct//105
Bilaga 3 / Gator, torg och köpcentrum m.m. Polismyndigheten i Stockholms län har medgetts tillstånd till kameraövervakning av ett antal gator kring Medborgarplatsen i centrala Stockholm.;Samtidigt//AB//advmod//136 avslog//VB|PRT|AKT//parataxis//105 länsstyrelsen//NN|UTR|SIN|DEF|NOM//amod//138 ansökan//NN|UTR|SIN|IND|NOM//obj//136 vad//HP|NEU|SIN|IND//nsubj//140 gällde//VB|PRT|AKT//acl:relcl//138 användning//NN|UTR|SIN|IND|NOM//obj//140 av//PP//case//144 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//144 kameraövervakning//NN|UTR|SIN|IND|NOM//nmod//141 mellan//PP//case//147 klockan//NN|UTR|SIN|DEF|NOM//nmod//147 05.00//RG|NOM//nmod//141 till//PP//case//149 07.00//RG|NOM//obl//140 och//KN//cc//153 mellan//PP//case//153 klockan//NN|UTR|SIN|DEF|NOM//nmod//153 19.00//RG|NOM//conj//138 till//PP//case//155 21.00//RG|NOM//obl//136 samt//KN//cc//161 i//PP//case//160 den//DT|UTR|SIN|DEF//det//159 del//NN|UTR|SIN|IND|NOM//nmod//160 ansökan//NN|UTR|SIN|IND|NOM//obl//161 avsåg//VB|PRT|AKT//conj//136 övervakning//NN|UTR|SIN|IND|NOM//obj//161 av//PP//case//164 gatu-//NN|UTR|SIN|IND|NOM//nmod//162 eller//KN//cc//166 parkmark//NN|UTR|SIN|IND|NOM//conj//164 som//HP|-|-|-//nsubj//173 ,//MID//punct//170 enligt//PP//case//170 länsstyrelsen//NN|UTR|SIN|DEF|NOM//obl//173 ,//MID//punct//170 inte//AB//advmod//173 utgjorde//VB|PRT|AKT//acl:relcl//162 särskilt//AB//advmod//175 brottsutsatt//PC|PRF|UTR|SIN|IND|NOM//amod//176 plats//NN|UTR|SIN|IND|NOM//obj//173 (//PAD//punct//176 Medborgarplatsen//NN|UTR|SIN|DEF|NOM//appos//176 ,//MID//punct//178 Fatburstrappan//NN|UTR|SIN|DEF|NOM//conj//178 och//KN//cc//183 Björns//PM|GEN//nmod:poss//183 trädgård//NN|UTR|SIN|IND|NOM//conj//178 )//PAD//punct//176 .//MAD//punct//4
