%LODJD .RQVXOWUDSSRUW;LNUDIWWUlGDQGHW//KN//ROOT//0 DY//PM|NOM//nsubj//0 PLOM|EDONHQ//NN|AN//flat:name//1 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//5 628//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//5 WLOO//PM|NOM//nmod//8 628//RG|NOM//appos//5

,QQHKnOO;6DPPDQIDWWQLQJ//RG|NOM//nummod//6 )//PAD//punct//0 |UXWVlWWQLQJDUQD//NN|UTR|SIN|IND|NOM//discourse//6 .RQFHSWHW//MAD//punct//2 .XUVHU//MAD//punct//2 2PIDWWQLQJ//PAD//nsubj//6 8SSOlJJQLQJ//RG|NOM//ROOT//6 .XUVPDWHULDO//MAD//punct//6 5HJLRQDOD//AB|AN//nummod//10 NXUVDQRUGQDUH//PM|NOM//nsubj//10 /lUDUH//RG|NOM//appos//6 ,//MID//punct//14 QIRUPDWLRQ)|UVODJ//PM|NOM//nsubj//14 WLOO//PM|NOM//flat//12 I|UElWWULQJDU//PL//conj//10 .RQVXOWUDSSRUW//MID//punct//14 WLOO//PM|NOM//nmod//17 628//RG|NOM//nmod//14
.XUVPDWHULDO;JUXSSHUQD//PM|NOM//nsubj//16 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//5 628//RG|NOM//nummod//4 $//NN|NEU|PLU|IND|NOM//nmod//2 UEHWVJnQJ//PP//appos//0 .RQVXOWUDSSRUW//MID//punct//5 WLOO//PM|NOM//nmod//8 628//RG|NOM//appos//5 (//PAD//punct//5 OHYHUQDV//PM|NOM//parataxis//5 EHG|PQLQJ//PM|NOM//obj//10 .RQVXOWUDSSRUW//RG|NOM//punct//5 WLOO//PM|NOM//nmod//14 628//RG|NOM//appos//5 )//PAD//punct//5 |UVlOMQLQJ//RG|NOM//ROOT//16 (//PAD//punct//16 QKHWOLJKHW//PM|NOM//appos//16
.XUVPDWHULDO;PHU//PM|NOM//nsubj//12 JHQRPDUEHWDGH//NN|UTR|SIN|IND|NOM//nmod//2 H//PM|NOM//nmod//0 [//PAD//flat//2 HPSHO//JJ|POS|UTR|SIN|IND|NOM//nmod//6 7LGVEULVW//MID//nummod//6 RFK//PM|NOM//nmod//7 VW\UQLQJ//NN|NEU|SIN|IND|NOM//conj//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//10 628//RG|NOM//nmod//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//ROOT//12 628//RG|NOM//nummod//12 6OXWVDWVHU//NN|AN//obl//12 œ//NN|AN//nummod//12

5HJLRQDOD NXUVDQRUGQDUH;.RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//2 628//RG|NOM//nummod//3 6DPRUGQLQJ//NN|UTR|PLU|IND|NOM//nummod//4 œ//NN|AN//ROOT//4 3HGDJRJLVN//RG|NOM//nummod//4 XSSOlJJQLQJ//PAD//punct//4 œ//NN|AN//nmod//8 /lUDUODJHQV//RG|NOM//nmod//9 VDPPDQVlWWQLQJ//PAD//nummod//10 œ//NN|NEU|SIN|IND|NOM//nummod//11 /lUDUQDV//MID//parataxis//4 nWDJDQGH//AB|AN//amod//15 œ//NN|AN//nummod//14 %//NN|AN//nmod//15 LOGDGH//PM|GEN//nmod//4 OlUDUODJ//NN|NEU|SIN|IND|NOM//flat//15 œ//NN|AN//nummod//18 %//NN|AN//obj//15 HUlNQDG//MID//case//20 NXUVDYJLIW//NN|UTR|SIN|IND|NOM//nmod//18 œ//NN|AN//conj//15 5HNU\WHUD//NN|UTR|SIN|IND|NOM//punct//23 HOHYHU//PM|NOM//conj//15 .RQVXOWUDSSRUW//RG|NOM//punct//15 WLOO//PM|NOM//nmod//26 628//RG|NOM//appos//15 5HNU\WHULQJ//NN|UTR|PLU|IND|NOM//conj//15 DY//PM|NOM//nmod//29 HOHYHU//PM|NOM//obj//15
5HJLRQDOD NXUVDQRUGQDUH;OHGDQGH//NN|UTR|SIN|DEF|NOM//nsubj//1 I|U//PM|NOM//ROOT//1 HOHYHUQD//PM|NOM//nsubj//1 QlU//PM|NOM//conj//1 GHW//PM|NOM//obj//1 JlOOHU//RG|NOM//conj//1 YDO//PM|NOM//nmod//7 DY//PM|NOM//compound//8 NXUV//PM|NOM//obj//1 (//PAD//punct//10 IWHUVRP//VB|IMP|AKT//appos//8 DOOD//PM|NOM//nsubj//10 UHJLRQDOD//NN|UTR|PLU|IND|NOM//obj//10
5HJLRQDOD NXUVDQRUGQDUH;NXUVDQRUGQDUQDV//NN|UTR|SIN|IND|NOM//amod//1 PDUNQDGVI|ULQJ//KN//ROOT//1 5HNU\WHULQJ//PM|NOM//nummod//3 DY//PM|NOM//appos//1 OlUDUH//RG|NOM//advmod//1 .RQVXOWUDSSRUW//MID//punct//1 WLOO//PM|NOM//appos//1 628//RG|NOM//nummod//8 3UDNWLVND//NN|AN//parataxis//1 DUUDQJHPDQJ//PM|NOM//nmod//8 .XUVHUQDV//RG|NOM//punct//1 HNRQRPL//JJ|POS|UTR|SIN|IND|NOM//parataxis//1 gYULJW//NN|UTR|SIN|IND|NOM//advmod//1 .RQVXOWUDSSRUW//MID//punct//12 WLOO//PM|NOM//nmod//15 628//RG|NOM//nummod//16 6OXWVDWVHU//NN|AN//obl//1

/lUDUH;.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2
/lUDUH;EHK|YDV//PM|GEN//case//1 FD//PM|NOM//ROOT//1 OlUDUGDJDU//MAD//flat//1
/lUDUH;NXUVGDJDU//PM|NOM//advmod//6 /lUDUNXUVHU//RG|NOM//obj//0 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//4 628//RG|NOM//appos//0 .RPPLWWpQ//MID//punct//0 KDGH//PM|NOM//ROOT//6 XUVSUXQJOLJHQ//PM|NOM//advmod//6 SODQHUDW//PM|NOM//conj//6 I|U//PM|NOM//amod//11 OlUDUNXUVHU//RG|NOM//advmod//11 I|U//PM|NOM//advmod//6 .RQVXOWUDSSRUW//RG|NOM//punct//6 WLOO//PM|NOM//nmod//14 628//RG|NOM//appos//6 (//PAD//punct//14 UIDUHQKHWVXWE\WH//PM|NOM//parataxis//6 RFK//PM|NOM//nsubj//16 QlWYHUN//NN|AN//conj//17 œ//NN|AN//conj//6 .RQVXOWUDSSRUW//MID//punct//6 WLOO//PM|NOM//nmod//22 628//RG|NOM//appos//6
/lUDUH;OlQVVW\UHOVHU//RG|NOM//nmod//3 6OXWVDWVHU//NN|AN//nummod//0 œ//NN|AN//conj//0 œ//NN|AN//ROOT//3 .RQVXOWUDSSRUW//MID//punct//3 WLOO//PM|NOM//nmod//6 628//RG|NOM//appos//3

,QIRUPDWLRQ;+//MID//case//1 HPVLGD//NN|UTR|SIN|IND|NOM//ROOT//1 .RQVXOWUDSSRUW//MID//punct//1 WLOO//PM|NOM//nmod//4 628//RG|NOM//appos//1
,QIRUPDWLRQ;P\QGLJKHWHU//PM|NOM//amod//1 DWW//PM|NOM//nmod//3 WLOOKDQGDKnOOD//AB|AN//compound//3 0LOM|EDONVWUlGHW//RG|NOM//ROOT//3
,QIRUPDWLRQ;PLOM|EDONHQV//KN//ROOT//0 PnO//PM|NOM//nsubj:pass//0
,QIRUPDWLRQ;RUGQLQJDUQD//NN|UTR|SIN|IND|NOM//ROOT//0 )//PAD//punct//0 |UHWDJVEURVFK\U//JJ|POS|UTR|SIN|IND|NOM//nmod//3 0LOM|PnOHQ//NN|-|-|-|-//appos//0 .RQVXOWUDSSRUW//RG|NOM//punct//3 WLOO//PM|NOM//nmod//6 628//RG|NOM//nummod//3 .RPPXQEURVFK\U//MID//punct//0 gYULJW//NN|UTR|SIN|IND|NOM//conj//0 .RQVXOWUDSSRUW//RG|NOM//punct//8 WLOO//PM|NOM//conj//0 628//RG|NOM//nummod//10 6OXWVDWVHU//NN|AN//nmod//10 œ//NN|AN//conj//0

)|UVODJ WLOO I|UElWWULQJDU;Sn//PM|NOM//ROOT//0 DQQDW//PM|NOM//nummod//2 VlWW//PM|NOM//nmod//3 œ//NN|AN//nmod//0 7LG//RG|NOM//punct//0 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//7 628//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//10 628//RG|NOM//appos//0 (//PAD//punct//10 NRQRPL//NN|UTR|SIN|IND|NOM//appos//10

,QUHJLD;.RQVXOWUDSSRUW//MID//punct//3 WLOO//PM|NOM//nmod//2 628//RG|NOM//nummod//3 0nOJUXSSHU//RG|NOM//ROOT//3 PDUNQDGVI|ULQJ//NN|AN//punct//6 RFK//PM|NOM//nmod//6 LQIRUPDWLRQ//PM|NOM//nmod//3 œ//NN|AN//case//8 3ROLWLNHU//AB|AN//obl//3 .RQVXOWUDSSRUW//RG|NOM//punct//8 WLOO//PM|NOM//nmod//11 628//RG|NOM//nmod//8 .RQVXOWUDSSRUW//MID//punct//8 WLOO//PM|NOM//nmod//14 628//RG|NOM//nummod//15 8SSOlJJQLQJ//RG|NOM//appos//3 œ//NN|AN//nmod//3 .XUVPDWHULDO//MID//punct//3 .RQVXOWUDSSRUW//MID//punct//20 WLOO//PM|NOM//nmod//20 628//RG|NOM//appos//3
,QUHJLD;WHU//PM|NOM//nsubj:pass//15 œ//NN|AN//nmod//0 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//4 628//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//7 628//RG|NOM//nmod//4 6OXWVDWVHU//NN|AN//flat:name//7 œ//NN|AN//conj//4 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//12 628//RG|NOM//appos//0 )//PAD//punct//0 RUWVDWW//PM|NOM//nsubj:pass//15 PLOM|EDONVXWELOGQLQJ//MAD//ROOT//15
,QUHJLD;I|U//PM|NOM//ROOT//0 0LOM|EDONVXWELOGQLQJHQ//RG|NOM//nummod//0 œ//NN|AN//obl//0 .RPPXQDOD//MAD//punct//0 I|UYDOWQLQJVFKHIHU//PM|NOM//nmod:poss//5 œ//NN|AN//appos//0 .RPPXQDOD//MAD//punct//5 YHUNVDPKHWVXW|YDUH//NN|AN//det//9 5HJLRQDOD//AB|AN//fixed//7 VHPLQDULHU//NN|UTR|SIN|IND|NOM//appos//5
,QUHJLD;DQRUGQDV//JJ|POS|UTR|SIN|IND|NOM//ROOT//0 UHJLRQDOW//PM|NOM//obj//0 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//appos//0 628//RG|NOM//nummod//3 6SHFLDOLQULNWDGH//AB|SMS//case//6 NXUVHU//PM|GEN//nmod//3 6DPPDQKnOOHQ//NN|NEU|SIN|IND|GEN//cc//8 I|UIDWWQLQJVLQIRUPDWLRQ//PM|NOM//conj//3 .RQVXOWUDSSRUW//MID//punct//3 WLOO//PM|NOM//nmod//11 628//RG|NOM//appos//3 )//PAD//punct//3 UnJHOnGD//PM|NOM//conj//3 .RQVXOWUDSSRUW//MID//punct//3 WLOO//PM|NOM//conj//3 628//RG|NOM//nummod//15 1lULQJVOLYHW//RG|NOM//nummod//15
,QUHJLD;IRUPDWLRQ//NN|NEU|SIN|IND|NOM//ROOT//0 œ//NN|AN//punct//0 1\I|UWDJDUH//RG|NOM//conj//0 .DQ//MID//punct//2 QnV//PM|NOM//nmod//5 YLD//PM|NOM//nmod//6 359//RG|NOM//nmod//2 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//11 628//RG|NOM//nummod//10 $//NN|AN//nmod//11 OOPlQKHWHQ//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//11 WLOO//PM|NOM//nmod//14 628//RG|NOM//appos//11 6OXWVDWVHU//NN|AN//flat:name//14 œ//NN|AN//nummod//14 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//appos//0 628//RG|NOM//nummod//20 %//NN|AN//nmod//21 LODJD//PM|NOM//appos//0

%DNJUXQG;7DEHOO//MID//nsubj//27  //_SP////0 $//PM|NOM//nmod//3 QWDO//PM|NOM//compound//4 GHOWDJDUH//PM|NOM//conj//0 .RQVXOWUDSSRUW//RG|NOM//punct//4 WLOO//PM|NOM//nmod//7 628//RG|NOM//appos//4 .RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//10 628//RG|NOM//appos//4 .RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//13 628//RG|NOM//appos//4 .RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//16 628//RG|NOM//nummod//17 3n//RG|NOM//nummod//18 HWW//NN|AN//nmod//19 DY//PM|NOM//appos//4 VHPLQDULHUQD//PM|NOM//advmod//24 IUDPI|UGHV//PP//det//24 I|OMDQGH//PM|NOM//amod//23 I|UVODJ//PM|NOM//nmod//24 WLOO//PM|NOM//conj//0 XSSOlJJQLQJ//PAD//case//26 DY//PM|NOM//nmod//24 JUXQGXWELOGQLQJ//PM|NOM//ROOT//27 œ//PM|NOM//punct//27 VMlOYD//PM|NOM//nmod//30 NXUVHQ//PM|NOM//conj//27
%DNJUXQG; //_SP////1 .RQVXOWUDSSRUW//MID//ROOT//1 WLOO//PM|NOM//nmod//3 628//RG|NOM//nummod//1

)UDPWLGHQ HIWHU 0LOM|EDONVXWELOGQLQJ;5HJLRQDOD//AB|AN//advmod//1 EHKRY//NN|UTR|SIN|DEF|NOM//ROOT//1 .RQVXOWUDSSRUW//MID//punct//1 WLOO//PM|NOM//nmod//4 628//RG|NOM//appos//1 1DWLRQHOOD//MID//case//6 LQVDWVHU//PM|NOM//obl//4 .RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//9 628//RG|NOM//nmod//4

(UIDUHQKHWHU DY 0LOM|EDONHQ;0LOM|VDQNWLRQVDYJLIWHU//RG|NOM//ROOT//0
(UIDUHQKHWHU DY 0LOM|EDONHQ;"VWLIWQLQJ//NN|UTR|SIN|DEF|NOM//nsubj//41 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//3 628//RG|NOM//nummod//12 '//PAD//punct//5 HOWDJDUQD//PM|NOM//nmod//3 XQGUDU//PM|NOM//cc//3 RP//NN|AN//nmod//8 GHW//PM|NOM//nmod//3 NRPPHU//PM|NOM//nmod//3 XSSI|OMQLQJDU//KN//punct//3 DY//PM|NOM//nmod//12 KXU//PM|NOM//appos//0 PLOM|VDQN//PM|NOM//amod//14 WLRQVDYJLIWHU//PM|NOM//nmod//12 G|PV//PM|NOM//nmod//12 XW//PM|NOM//conj//12 $//NN|UTR|SIN|IND|NOM//nmod//18 QPlOQLQJVlUHQGHQ//PM|NOM//nmod//12 œ//NN|AN//punct//0 œ//NN|AN//obl//0 œ//NN|AN//punct//0 %//NN|AN//nmod//23 HJUHSSHW//PM|NOM//appos//0 DQPlODQ//PM|NOM//flat//23 I|UHNRPPHU//PM|NOM//nmod//26 L//PM|NOM//appos//0 ODJHQ//PM|NOM//nmod//28 L//PM|NOM//dep//0 ROLND//PM|GEN//flat//28 EHW\GHOVHU//PM|GEN//appos//0 '//PAD//punct//32 HWWD//PM|NOM//appos//0 VNXOOH//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//32 EHK|YD//PM|GEN//conj//32 I|UlQGUDV//PM|NOM//conj//0 I|U//PM|NOM//amod//37 DWW//PM|NOM//appos//0 XQGYLND//PP//case//40 PLVVI|UVWnQG//PM|NOM//nmod//40 7LOOWUlGH//RG|NOM//nmod//37 I|U//PM|NOM//ROOT//41 WLOOV\Q//MID//punct//41 .RQVXOWUDSSRUW//MID//punct//44 WLOO//PM|NOM//nmod//47 628//RG|NOM//nummod//47 7LOOV\QVDYJLIW//RG|NOM//amod//47 7LOOV\QVYlJOHGQLQJ//UO//dislocated//41 cWDOVDQPlODQ//AB|AN//nmod//49 $//UO//nmod//50 QQDW//PM|NOM//dep//52 .RQVXOWUDSSRUW//RG|NOM//punct//50 WLOO//PM|NOM//nmod//59 628//RG|NOM//nummod//54 œ//NN|AN//obl//52 +//MID//case//56 XU//PM|NOM//nmod//54 KDQWHUDV//NN|UTR|SIN|IND|NOM//case//58 PLOM|ULVNRPUnGHQ//KN//nmod//59 QlU//PM|NOM//nsubj//61 YHUNVDPKHWVXW|YDUH//PM|NOM//flat:name//59 LQWH//PM|NOM//parataxis//41 OlQJUH//RG|NOM//nmod//63 H//NN|AN//obl//41 [//PAD//flat:name//63 LVWHUDU//PM|NOM//case//67 KHUUHO|VD//NN|UTR|SIN|IND|NOM//amod//67 KXQGDU//NN|UTR|SIN|IND|NOM//obl//41 ""//PAD//punct//41"

3U|YQLQJVlUHQGHQ;.RPPXQDOD//RG|NOM//punct//2 SU|YQLQJVlUHQGHQ//NN|AN//nmod//2 0.%//RG|NOM//ROOT//2
3U|YQLQJVlUHQGHQ;SU|YQLQJHQ//NN|NEU|SIN|IND|NOM//ROOT//0 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//3 628//RG|NOM//nummod//4 8W|NDW//RG|NOM//appos//0 VDPUnG//PN|UTR|PLU|DEF|OBJ//amod//6 0LOM|SU|YQLQJVGHOHJDWLRQHQ//RG|NOM//obl//8 3U|YQLQJVDYJLIWHU//RG|NOM//nummod//8 7LOOnWOLJKHWVSU|YQLQJ//RG|NOM//obl//0 .RQVXOWUDSSRUW//MAD//punct//0 WLOO//PM|NOM//nmod//11 628//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//11 WLOO//PM|NOM//nmod//16 628//RG|NOM//nummod//15 %//NN|AN//nmod//16 LODJD//PM|NOM//appos//11


6DPPDQIDWWQLQJ (2);.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2

