Ökad trygghet för hotade och förföljda personer;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Trygghetsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);Kvarskrivning//NN|UTR|SIN|IND|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 även//AB//advmod//3 avse//VB|INF|AKT//ROOT//3 den//DT|UTR|SIN|DEF//nsubj//5 utsatte//PC|PRF|MAS|SIN|DEF|NOM//xcomp//3 personens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 medflyttande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 familj//NN|UTR|SIN|IND|NOM//obj//5 .//MAD//punct//3
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);Skyddad//PC|PRF|UTR|SIN|IND|NOM//amod//1 folkbokföring//NN|UTR|SIN|IND|NOM//nsubj:pass//3 får//VB|PRS|AKT//aux//3 medges//VB|INF|SFO//ROOT//3 endast//AB//advmod//3 om//SN//case//9 den//DT|UTR|SIN|DEF//det//9  //_SP////6 skyddade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//9 folkbokföringen//NN|UTR|SIN|DEF|NOM//obl//3 ,//MID//punct//15 med//PP//case//14 hänsyn//NN|UTR|SIN|IND|NOM//fixed//11 till//PP//fixed//11 den//DT|UTR|SIN|DEF//obl//15 förföljdes//PC|PRF|MAS|SIN|DEF|GEN//advcl//3 person//NN|UTR|SIN|IND|NOM//nsubj:pass//15 och//KN//cc//19 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 förhållanden//NN|NEU|PLU|IND|NOM//conj//16 ,//MID//punct//15 kan//VB|PRS|AKT//aux//22 förväntas//VB|INF|SFO//conj//3 ge//VB|INF|AKT//xcomp//22 en//DT|UTR|SIN|IND//det//26 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//26 skyddseffekt//NN|UTR|SIN|IND|NOM//obj//23 .//MAD//punct//3
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);Skyddad//PC|PRF|UTR|SIN|IND|NOM//amod//1 folkbokföring//NN|UTR|SIN|IND|NOM//nsubj//4 får//VB|PRS|AKT//aux//4 även//AB//advmod//4 avse//VB|INF|AKT//ROOT//4 den//DT|UTR|SIN|DEF//nsubj//6 utsatte//PC|PRF|MAS|SIN|DEF|NOM//xcomp//4 personens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 medflyttande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 familj//NN|UTR|SIN|IND|NOM//obj//6 .//MAD//punct//4
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);16//RG|NOM//parataxis//4 a//NN|NEU|SIN|IND|NOM//case//13 §//NN|AN//obl//4
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);Utan//PP//case//1 hinder//NN|NEU|SIN|IND|NOM//nsubj//7 av//PP//case//4 16//RG|NOM//nummod//4 §//NN|AN//nmod//1 första//RO|NOM//amod//6 stycket//NN|NEU|SIN|DEF|NOM//nmod//4 får//VB|PRS|AKT//ROOT//7 skyddad//PC|PRF|UTR|SIN|IND|NOM//amod//9 folkbokföring//NN|UTR|SIN|IND|NOM//obj//7 1//RG|NOM//nummod//9 .//MID//punct//7
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);medges//VB|PRS|SFO//xcomp//7 utan//PP//mark//16 att//SN//mark//16 personen//NN|UTR|SIN|DEF|NOM//nsubj//16 flyttar//VB|PRS|AKT//advcl//23 om//PP//case//20 den//DT|UTR|SIN|DEF//det//20 skyddade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//20 folkbokföringen//NN|UTR|SIN|DEF|NOM//obl//16 ändå//AB//advmod//23 kan//VB|PRS|AKT//aux//23 förväntas//VB|INF|SFO//advcl//7 ge//VB|INF|AKT//xcomp//23 en//DT|UTR|SIN|IND//det//27 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//27 skyddseffekt//NN|UTR|SIN|IND|NOM//obj//24 ,//MID//punct//23 eller//KN//cc//28 2//RG|NOM//nummod//28 .//MID//punct//7
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);ske//VB|INF|AKT//conj//7 på//PP//case//35 annan//JJ|POS|UTR|SIN|IND|NOM//amod//35 ort//NN|UTR|SIN|IND|NOM//obl//32 än//KN//mark//39 den//DT|UTR|SIN|DEF//det//39 gamla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 folkbokföringsorten//NN|UTR|SIN|DEF|NOM//obl//32 om//SN//mark//42 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//42 bedöms//VB|PRS|SFO//advcl//32 öka//VB|INF|AKT//xcomp//42 skyddseffekten//NN|UTR|SIN|DEF|NOM//obj//43 .//MAD//punct//7
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);Om//SN//mark//4 ett//DT|NEU|SIN|IND//det//2 barn//NN|NEU|SIN|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 medgetts//VB|SUP|SFO//advcl//16 skyddad//PC|PRF|UTR|SIN|IND|NOM//amod//6 folkbokföring//NN|UTR|SIN|IND|NOM//obj//4 efter//PP//case//8 ansökan//NN|UTR|SIN|IND|NOM//obl//4 av//PP//case//10 socialnämnden//NN|UTR|SIN|DEF|NOM//nmod//8 enligt//PP//case//15 30//RG|NOM//nummod//13 §//NN|AN//nmod//15 tredje//RO|NOM//amod//15 stycket//NN|NEU|SIN|DEF|NOM//nmod//8 upphör//VB|PRS|AKT//ROOT//16 den//DT|UTR|SIN|DEF//det//19 skyddade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//19 folkbokföringen//NN|UTR|SIN|DEF|NOM//nsubj//16 att//IE//mark//21 gälla//VB|INF|AKT//xcomp//16 när//HA//case//23 vården//NN|UTR|SIN|DEF|NOM//obl//21 enligt//PP//case//25 lagen//NN|UTR|SIN|DEF|NOM//nmod//23 (//PAD//punct//23 1990:52//RG|NOM//appos//23 )//PAD//punct//23 med//PP//case//31 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//31 bestämmelser//NN|UTR|PLU|IND|NOM//obl//21 om//PP//case//33 vård//NN|UTR|SIN|IND|NOM//nmod//31 av//PP//case//35 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//33 upphör//VB|PRS|AKT//conj//16 .//MAD//punct//16
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);17//RG|NOM//nummod//40 a//NN|NEU|SIN|IND|NOM//case//40 §//NN|AN//obl//16
1.1 Förslag till lag om ändring i folkbokföringslagen (1991:481) / Härigenom föreskrivs i fråga om folkbokföringslagslagen (1991:481);Polismyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//7 och//KN//cc//2 socialnämnden//NN|UTR|SIN|DEF|NOM//conj//0 ska//VB|PRS|AKT//aux//7 på//PP//case//6 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 begäran//NN|UTR|SIN|IND|NOM//obl//7 lämna//VB|INF|AKT//ROOT//7 biträde//NN|NEU|SIN|IND|NOM//obj//7 vid//PP//case//10 utredning//NN|UTR|SIN|IND|NOM//obl//7 av//PP//case//12 frågor//NN|UTR|PLU|IND|NOM//nmod//10 om//PP//case//14 kvarskrivning//NN|UTR|SIN|IND|NOM//nmod//12  //_SP////14 eller//KN//cc//17 sekretessmarkering//NN|UTR|SIN|IND|NOM//conj//14 i//PP//case//19 folkbokföringen//NN|UTR|SIN|DEF|NOM//nmod//17 .//MAD//punct//7
