7 Särskilt beträffande kulturinstitutioner ;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//8 ://MID//punct//1
7.1 Inledning;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//24 har//VB|PRS|AKT//aux//24 även//AB//advmod//24 fått//VB|SUP|AKT//aux//24 ge//VB|INF|AKT//parataxis//3 sin//PS|UTR|SIN|DEF//nmod:poss//26 syn//NN|UTR|SIN|IND|NOM//obj//24 på//PP//case//29 vilka//HD|UTR/NEU|PLU|IND//det//29 åtgärder//NN|UTR|PLU|IND|NOM//obl//24 som//HP|-|-|-//nsubj//31 behöver//VB|PRS|AKT//acl:relcl//29 vidtas//VB|INF|SFO//xcomp//31 för//PP//mark//35 att//IE//mark//35 komma//VB|INF|AKT//advcl//32 till//PP//compound:prt//35 rätta//NN|UTR|-|-|-//fixed//36 med//PP//case//39 underhållssituationen//NN|UTR|SIN|DEF|NOM//obl//35 samt//KN//cc//43 även//AB//advmod//43 fått//VB|SUP|AKT//aux//43 svara//VB|INF|AKT//conj//35 på//PP//case//46 vilka//HD|UTR/NEU|PLU|IND//det//46 kostnader//NN|UTR|PLU|IND|NOM//obl//43 som//HP|-|-|-//obj//50 underhållsåtgärderna//NN|UTR|PLU|DEF|NOM//nsubj//50 kan//VB|PRS|AKT//aux//50 föra//VB|INF|AKT//acl:relcl//46 med//PL//case//52 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//50 .//MAD//punct//24
7.1 Inledning;Vidare//AB|KOM//advmod//57 har//VB|PRS|AKT//aux//57 institutionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//57 tillfrågats//VB|SUP|SFO//conj//24 om//PP//mark//61 underhållsplanerna//NN|UTR|PLU|DEF|NOM//nsubj//61 är//VB|PRS|AKT//cop//61 upprättade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//57 av//PP//case//64 respektive//AB//amod//64 institution//NN|UTR|SIN|IND|NOM//obl//61 eller//KN//cc//68 endast//AB//advmod//68 av//PP//case//68 SFV//PM|NOM//conj//64 .//MAD//punct//24
7.1 Inledning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//72 har//VB|PRS|AKT//aux//72 ställts//VB|SUP|SFO//conj//24 en//DT|UTR|SIN|IND//det//74 fråga//NN|UTR|SIN|IND|NOM//obj//72 vad//HP|NEU|SIN|IND//nsubj//76 gäller//VB|PRS|AKT//acl:relcl//74 ansvaret//NN|NEU|SIN|DEF|NOM//obj//76 för//PP//case//80 extraordinära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 åtgärder//NN|UTR|PLU|IND|NOM//nmod//77 och//KN//cc//85 var//HA//cop//85 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//85 skall//VB|PRS|AKT//aux//85 ligga//VB|INF|AKT//conj//72 .//MAD//punct//3
7.1 Inledning;Institutionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 tillfrågats//VB|SUP|SFO//ROOT//2 angående//PP//case//4 vad//HP|NEU|SIN|IND//dislocated//24 som//HP|-|-|-//nsubj//6 skedde//VB|PRT|AKT//acl:relcl//4 efter//PP//case//8 lokalförsörjningsreformen//NN|UTR|SIN|DEF|NOM//obl//6 och//KN//cc//14 om//PP//mark//14 några//DT|UTR/NEU|PLU|IND//det//13 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//13 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//14 vidtogs//VB|PRT|SFO//conj//4 i//PP//case//17 samband//NN|NEU|SIN|IND|NOM//fixed//15 därmed//AB//advmod//14 eller//KN//cc//19 därefter//AB//conj//17 .//MID//punct//4
7.1 Inledning;Slutligen//AB//advmod//24 har//VB|PRS|AKT//aux//24 institutionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//24 tillfrågats//VB|SUP|SFO//advcl//2 beträffande//PP//mark//28 hur//HA//advmod//28 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//28 bedömer//VB|PRS|AKT//advcl//24 att//SN//mark//31 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj//31 är//VB|PRS|AKT//ccomp//28 för//PP//mark//36 att//IE//mark//36 inom//PP//advmod//36 kort//AB//fixed//34 träffa//VB|INF|AKT//advcl//28 ett//DT|NEU|SIN|IND//det//38 avtal//NN|NEU|SIN|IND|NOM//obj//36 om//PP//case//40 hyressättningen//NN|UTR|SIN|DEF|NOM//nmod//38 .//MAD//punct//2
7.1 Inledning;SFV//PM|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 fått//VB|SUP|AKT//aux//3 ta//VB|INF|AKT//ROOT//3 del//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//7 kulturinstitutionernas//NN|UTR|PLU|DEF|GEN//nmod:poss//7 enkätsvar//NN|UTR|PLU|IND|NOM//nmod//4 och//KN//cc//11 har//VB|PRS|AKT//aux//11 därefter//AB//advmod//11 lämnat//VB|SUP|AKT//conj//3 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//13 synpunkter//NN|UTR|PLU|IND|NOM//obj//11 till//PP//case//15 kommittén//NN|UTR|SIN|DEF|NOM//obl//11 .//MAD//punct//3
7.1 Inledning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 har//VB|PRS|AKT//aux//4 till//PP//case//3 kommittén//NN|UTR|SIN|DEF|NOM//obl//4 framkommit//VB|SUP|AKT//ROOT//4 att//SN//mark//8 även//AB//advmod//7 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 kulturinstitutioner//NN|UTR|PLU|IND|NOM//ccomp//4 än//KN//case//10 de//PN|UTR/NEU|PLU|DEF|SUB//obl//8 som//HP|-|-|-//nsubj//13 har//VB|PRS|AKT//aux//13 svarat//VB|SUP|AKT//acl:relcl//10 på//PP//case//17 ovan//AB//advmod//16 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//17 enkät//NN|UTR|SIN|IND|NOM//obl//13 anser//VB|PRS|AKT//conj//4 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//18 ha//VB|INF|AKT//xcomp//18 problem//NN|NEU|PLU|IND|NOM//obj//20 med//PP//case//23 underhållssituationen//NN|UTR|SIN|DEF|NOM//obl//20 för//PP//case//26 de//DT|UTR/NEU|PLU|DEF//det//26 byggnader//NN|UTR|PLU|IND|NOM//obl//20 som//HP|-|-|-//obl//29 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 bedrivs//VB|PRS|SFO//acl:relcl//26 i//PP//case//27 .//MAD//punct//4


7.2.1 Synpunkter från Kungliga Dramatiska Teatern AB;Förhandlingar//NN|UTR|PLU|IND|NOM//nsubj:pass//3 om//PP//case//2 hyressättningen//NN|UTR|SIN|DEF|NOM//nmod//0 påbörjades//VB|PRT|SFO//ROOT//3 direkt//AB|POS//advmod//3 efter//PP//mark//13 att//SN//mark//13 beslutet//NN|NEU|SIN|DEF|NOM//nsubj:pass//13 om//PP//case//9 tillämpning//NN|UTR|SIN|IND|NOM//nmod//7 av//PP//case//11 kostnadshyra//NN|UTR|SIN|IND|NOM//nmod//9 hade//VB|PRT|AKT//aux//13 fattats//VB|SUP|SFO//advcl//3 .//MAD//punct//3
