Ett modernare utsökningsförfarande;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utsökningsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;I//PP//case//25 detta//DT|NEU|SIN|DEF//det//25 belopp//NN|NEU|SIN|IND|NOM//obl//26 ingår//VB|PRS|AKT//parataxis//4 de//DT|UTR/NEU|PLU|DEF//det//28 belopp//NN|NEU|PLU|IND|NOM//nsubj//26 som//HP|-|-|-//nsubj:pass//30 avses//VB|PRS|SFO//acl:relcl//28 i//PP//case//34 13//RG|NOM//nummod//33 kap.//NN|AN//nmod//34 20//RG|NOM//nummod//36 a//NN|NEU|SIN|IND|NOM//case//36 §//NN|AN//nmod//38 andra//RO|NOM//amod//38 stycket//NN|NEU|SIN|DEF|NOM//nmod//39 UB//PM|NOM//obl//30 men//KN//cc//42 också//AB//advmod//42 belopp//NN|NEU|SIN|IND|NOM//conj//26 över//PP//case//45 25//RG|NOM//nummod//45 kronor//NN|UTR|PLU|IND|NOM//nmod//42 som//HP|-|-|-//obj//48 Kronofogdemyndigheten//PM|NOM//nsubj//48 återbetalat//VB|SUP|AKT//acl:relcl//45 till//PP//case//50 gäldenärer//NN|UTR|PLU|IND|NOM//obl//48 ,//MID//punct//55 men//KN//cc//55 som//HP|-|-|-//nsubj//55 inte//AB//advmod//55 lösts//VB|SUP|SFO//conj//26 ut//PL//compound:prt//55 och//KN//cc//59 som//HP|-|-|-//nsubj//59 kommer//VB|PRS|AKT//conj//55 i//PP//case//63 retur//NN|UTR|SIN|IND|NOM//fixed//60 till//PP//fixed//60 myndigheten//NN|UTR|SIN|DEF|NOM//obl//59 .//MAD//punct//55
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Belopp//NN|NEU|SIN|IND|NOM//nsubj//72 som//HP|-|-|-//obj//70 en//DT|UTR|SIN|IND//det//68 gäldenär//NN|UTR|SIN|IND|NOM//nsubj//70 inte//AB//advmod//70 löser//VB|PRS|AKT//acl:relcl//65 ut//PL//compound:prt//70 står//VB|PRS|AKT//parataxis//55 kvar//PL//compound:prt//72 på//PP//case//76 Kronofogdemyndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//76 konto//NN|NEU|SIN|IND|NOM//obl//72 i//PP//case//79 tio//RG|NOM//nummod//79 år//NN|NEU|PLU|IND|NOM//obl//72 .//MAD//punct//72
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Om//SN//mark//84 gäldenären//NN|UTR|SIN|DEF|NOM//nsubj//84 inte//AB//advmod//84 gör//VB|PRS|AKT//advcl//91 anspråk//NN|NEU|SIN|IND|NOM//obj//84 på//PP//case//87 beloppet//NN|NEU|SIN|DEF|NOM//obl//84 under//PP//case//90 denna//DT|UTR|SIN|DEF//det//90 tid//NN|UTR|SIN|IND|NOM//obl//91 tillfaller//VB|PRS|AKT//parataxis//72 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//91 staten//NN|UTR|SIN|DEF|NOM//xcomp//91 .//MAD//punct//4
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//4 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//4 ordning//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//6 vad//HP|NEU|SIN|IND//obl//1 som//HP|-|-|-//nsubj//9 ska//VB|PRS|AKT//aux//9 gälla//VB|INF|AKT//acl:relcl//6 för//PP//case//11 utbetalning//NN|UTR|SIN|IND|NOM//obl//9 av//PP//case//14 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 belopp//NN|NEU|PLU|IND|NOM//nmod//11 .//MAD//punct//1
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//17 innebär//VB|PRS|AKT//parataxis//1 att//SN//mark//33 om//SN//case//22 det//DT|NEU|SIN|DEF//det//22 sammanlagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//22 belopp//NN|NEU|SIN|IND|NOM//obl//33 som//HP|-|-|-//case//24 tillkommer//VB|PRS|AKT//nmod//22 en//DT|UTR|SIN|IND//det//26 borgenär//NN|UTR|SIN|IND|NOM//nsubj//27 understiger//VB|PRS|AKT//acl:relcl//22 100//RG|NOM//nummod//29 kronor//NN|UTR|PLU|IND|NOM//obj//27 ska//VB|PRS|AKT//aux//33 beloppet//NN|NEU|SIN|DEF|NOM//nsubj:pass//33 bara//AB//advmod//33 betalas//VB|INF|SFO//ccomp//17 ut//PL//compound:prt//33 om//SN//mark//37 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//37 finns//VB|PRS|SFO//advcl//33 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 skäl//NN|NEU|PLU|IND|NOM//nsubj//37 .//MAD//punct//17
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Pengar//NN|UTR|PLU|IND|NOM//nsubj:pass//55 som//HP|-|-|-//nsubj:pass//45 inte//AB//advmod//45 kan//VB|PRS|AKT//aux//45 betalas//VB|INF|SFO//acl:relcl//41 ut//PL//compound:prt//45 till//PP//case//50 den//DT|UTR|SIN|DEF//det//50 betalningsberättigade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//50 borgenären//NN|UTR|SIN|DEF|NOM//obl//45 ska//VB|PRS|AKT//aux//55 i//PP//advmod//55 första//RO|NOM//fixed//52 hand//NN|UTR|SIN|IND|NOM//fixed//52 fördelas//VB|INF|SFO//parataxis//17 mellan//PP//case//58 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 mål//NN|NEU|PLU|IND|NOM//obl//55 där//HA//advmod//63 fordringen//NN|UTR|SIN|DEF|NOM//nsubj//63 inte//AB//advmod//63 har//VB|PRS|AKT//aux//63 fått//VB|SUP|AKT//acl:relcl//58 full//JJ|POS|UTR|SIN|IND|NOM//amod//65 täckning//NN|UTR|SIN|IND|NOM//obj//63 .//MAD//punct//17
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Kan//VB|PRS|AKT//aux//70 betalning//NN|UTR|SIN|IND|NOM//nsubj//70 inte//AB//advmod//70 ske//VB|INF|AKT//advcl//77 till//PP//case//74 någon//DT|UTR|SIN|IND//det//74 annan//JJ|POS|UTR|SIN|IND|NOM//amod//74 borgenär//NN|UTR|SIN|IND|NOM//obl//70 ska//VB|PRS|AKT//aux//77 pengarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//77 återbetalas//VB|INF|SFO//parataxis//17 till//PP//case//79 svaranden//NN|UTR|SIN|DEF|NOM//obl//77 .//MAD//punct//17
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Om//SN//mark//87 utbetalning//NN|UTR|SIN|IND|NOM//nsubj//87 eller//KN//cc//84 återbetalning//NN|UTR|SIN|IND|NOM//conj//82 inte//AB//advmod//87 är//VB|PRS|AKT//cop//87 möjlig//JJ|POS|UTR|SIN|IND|NOM//advcl//91 inom//PP//case//90 tio//RG|NOM//nummod//90 år//NN|NEU|PLU|IND|NOM//obl//87 tillfaller//VB|PRS|AKT//parataxis//17 pengarna//NN|UTR|PLU|DEF|NOM//obj//91 ,//MID//punct//95 jämte//PP//case//95 inlåningsräntan//NN|UTR|SIN|DEF|NOM//obl//91 ,//MID//punct//97 staten//NN|UTR|SIN|DEF|NOM//conj//95 .//MAD//punct//17
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//1 innebär//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//4 rättvisare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 fördelning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//7 utmätta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 pengar//NN|UTR|PLU|IND|NOM//nmod//4 vilket//HP|NEU|SIN|IND//nsubj//9 gynnar//VB|PRS|AKT//acl:relcl//7 såväl//KN//advmod//11 gäldenärssom//KN//nmod:poss//12 borgenärskollektivet//NN|NEU|SIN|DEF|NOM//obj//9 .//MAD//punct//1
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;I//PP//case//16 någon//DT|UTR|SIN|IND//det//16 mån//NN|UTR|SIN|IND|NOM//obl//19 kommer//VB|PRS|AKT//aux//19 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//19 leda//VB|INF|AKT//parataxis//1 till//PP//case//22 minskade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//22 intäkter//NN|UTR|PLU|IND|NOM//obl//19 till//PP//case//24 staten//NN|UTR|SIN|DEF|NOM//obl//19 .//MAD//punct//1
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;För//PP//case//27 statskassan//NN|UTR|SIN|DEF|NOM//obl//30 är//VB|PRS|AKT//cop//30 dessa//DT|UTR/NEU|PLU|DEF//det//30 belopp//NN|NEU|PLU|IND|NOM//parataxis//1 emellertid//AB//advmod//30 försumbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//30 .//MAD//punct//30
16.13.8 Förslaget om en ändrad ordning för utbetalning av små belopp;Pengarna//NN|UTR|PLU|DEF|NOM//nsubj//39 är//VB|PRS|AKT//cop//39 inte//AB//advmod//39 heller//AB//advmod//39 en//DT|UTR|SIN|IND//det//39 intäkt//NN|UTR|SIN|IND|NOM//parataxis//30 som//HP|-|-|-//obj//45 staten//NN|UTR|SIN|DEF|NOM//nsubj//45 kan//VB|PRS|AKT//aux//45 eller//KN//cc//45 bör//VB|PRS|AKT//aux//45 räkna//VB|INF|AKT//acl:relcl//39 med//PP//case//45 .//MAD//punct//39


16.14.1 Förslagen om utökade processuella rättssäkerhetsgarantier;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//5 Kronofogdemyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//5 ska//VB|PRS|AKT//aux//5 säkerställa//VB|INF|AKT//ccomp//1 att//SN//mark//10 underrättelser//NN|UTR|PLU|IND|NOM//nsubj//10 i//PP//case//9 avhysningsmål//NN|UTR|SIN|IND|NOM//nmod//7 når//VB|PRS|AKT//ccomp//5 socialtjänsten//NN|UTR|SIN|DEF|NOM//obj//10 .//MAD//punct//1
16.14.1 Förslagen om utökade processuella rättssäkerhetsgarantier;Vi//PN|UTR|PLU|DEF|SUB//nsubj//14 föreslår//VB|PRS|AKT//parataxis//1 också//AB//advmod//14 en//DT|UTR|SIN|IND//det//18 ny//JJ|POS|UTR|SIN|IND|NOM//amod//18 bestämmelse//NN|UTR|SIN|IND|NOM//obj//14 som//HP|-|-|-//nsubj//20 innebär//VB|PRS|AKT//acl:relcl//18 att//SN//mark//24 Kronofogdemyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//24 ska//VB|PRS|AKT//aux//24 underrätta//VB|INF|AKT//ccomp//20 socialtjänsten//NN|UTR|SIN|DEF|NOM//obj//24 när//HA//mark//29 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 kan//VB|PRS|AKT//aux//29 bli//VB|INF|AKT//advcl//24 aktuellt//JJ|POS|NEU|SIN|IND|NOM//xcomp//29 med//PP//case//33 tvångsvis//AB//amod//33 försäljning//NN|UTR|SIN|IND|NOM//obl//29 av//PP//case//36 en//DT|UTR|SIN|IND//det//36 bostad//NN|UTR|SIN|IND|NOM//nmod//33 .//MAD//punct//14
16.14.1 Förslagen om utökade processuella rättssäkerhetsgarantier;Det//DT|NEU|SIN|DEF//det//2 främsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//2 syftet//NN|NEU|SIN|DEF|NOM//nsubj:pass//55 med//PP//case//5 dessa//DT|UTR/NEU|PLU|DEF//det//5 förslag//NN|NEU|PLU|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//2 att//IE//mark//8 se//VB|INF|AKT//csubj//2 till//PL//compound:prt//8 att//SN//mark//12 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//12 får//VB|PRS|AKT//ccomp//8 det//DT|NEU|SIN|DEF//det//14 stöd//NN|NEU|SIN|IND|NOM//obj//12 och//KN//cc//16 hjälp//NN|UTR|SIN|IND|NOM//conj//14 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//18 behöver//VB|PRS|AKT//acl:relcl//16 från//PP//case//20 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//18 i//PP//case//22 samband//NN|NEU|SIN|IND|NOM//obl//18 med//PP//case//25 en//DT|UTR|SIN|IND//det//25 avhysningsförrättning//NN|UTR|SIN|IND|NOM//obl//18 eller//KN//cc//27 handräckning//NN|UTR|SIN|IND|NOM//conj//25 enligt//PP//case//33 8//RG|NOM//nummod//30 kap.//NN|AN//nmod//31 18//RG|NOM//nummod//32 §//NN|AN//nmod//33 UB//PM|NOM//nmod//27 .//MID//punct//2
16.14.1 Förslagen om utökade processuella rättssäkerhetsgarantier;Om//PP//mark//46 socialtjänsten//NN|UTR|SIN|DEF|NOM//nsubj:pass//46 i//PP//case//40 ett//DT|NEU|SIN|IND//det//40 tidigt//JJ|POS|NEU|SIN|IND|NOM//amod//40 skede//NN|NEU|SIN|IND|NOM//nmod//36 av//PP//case//43 ett//DT|NEU|SIN|IND//det//43 avhysnings-//NN|UTR|-|-|SMS//nmod//40 eller//KN//cc//45 utmätningsärende//NN|NEU|SIN|IND|NOM//conj//43 informeras//VB|INF|SFO//advcl//55 om//SN//mark//49 ärendet//NN|NEU|SIN|DEF|NOM//nsubj//49 kommer//VB|PRS|AKT//aux//55 möjligheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//55 att//IE//mark//52 uppnå//VB|INF|AKT//acl//50 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 överenskommelser//NN|UTR|PLU|IND|NOM//obj//52 förbättras//VB|INF|SFO//ROOT//55 vilket//HP|NEU|SIN|IND//nsubj//57 leder//VB|PRS|AKT//advcl//55 till//PP//mark//68 att//SN//mark//68 avhysning//NN|UTR|SIN|IND|NOM//nsubj:pass//68 eller//KN//cc//63 tvångsvis//AB//amod//63 försäljning//NN|UTR|SIN|IND|NOM//conj//60 och//KN//cc//66 efterföljande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 handräckning//NN|UTR|SIN|IND|NOM//conj//60 kan//VB|PRS|AKT//aux//68 undvikas//VB|INF|SFO//advcl//57 .//MAD//punct//55
16.14.1 Förslagen om utökade processuella rättssäkerhetsgarantier;För//PP//case//1 Kronofogdemyndigheten//PM|NOM//obl//2 innebär//VB|PRS|AKT//ROOT//2 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//2 något//DT|NEU|SIN|IND//det//7 extra//AB//amod//7 administrativt//JJ|POS|NEU|SIN|IND|NOM//amod//7 arbete//NN|NEU|SIN|IND|NOM//obj//2 .//MAD//punct//2
16.14.1 Förslagen om utökade processuella rättssäkerhetsgarantier;Förändringarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//10 förväntas//VB|PRS|SFO//parataxis//2 dock//AB//advmod//13 inte//AB//advmod//13 medföra//VB|INF|AKT//xcomp//10 några//DT|UTR/NEU|PLU|IND//det//16 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 kostnader//NN|UTR|PLU|IND|NOM//obj//13 utan//KN//cc//18 bedöms//VB|PRS|SFO//conj//10 kunna//VB|INF|AKT//aux//20 finansieras//VB|INF|SFO//xcomp//18 inom//PP//case//25 ramen//NN|UTR|SIN|DEF|NOM//fixed//21 för//PP//case//25 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 anslag//NN|NEU|PLU|IND|NOM//obl//20 .//MAD//punct//2

16.14.2 Förslagen om en effektivare hantering av avhysningsgods;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 bestämmelser//NN|UTR|PLU|IND|NOM//obj//1 som//HP|-|-|-//nsubj//6 kommer//VB|PRS|AKT//aux//6 att//IE//mark//6 minska//VB|INF|AKT//acl:relcl//2 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 kostnader//NN|UTR|PLU|IND|NOM//obj//6 för//PP//case//10 magasinering//NN|UTR|SIN|IND|NOM//obl//6 av//PP//case//12 avhysningsgods//NN|NEU|SIN|IND|NOM//nmod//10 .//MAD//punct//1
16.14.2 Förslagen om en effektivare hantering av avhysningsgods;År//NN|NEU|SIN|IND|NOM//nmod//15 2014//RG|NOM//obl//16 kostade//VB|PRT|AKT//parataxis//1 magasinering//NN|UTR|SIN|IND|NOM//obj//16 av//PP//case//19 avhysningsgods//AB//nmod//17 sammanlagt//AB//advmod//21 9//RG|NOM//nummod//22 730//RG|NOM//nmod//23 883//RG|NOM//nummod//24 kronor//NN|UTR|PLU|IND|NOM//nmod//17 .//MAD//punct//16
