Myndigheter och organisationer under Miljödepartementet –  en kartläggning ;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Miljömyndighetsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
1 Vårt upplägg;I//PP//case//2 vår//PS|UTR|SIN|DEF//nmod:poss//2 beskrivning//NN|UTR|SIN|IND|NOM//obl//13 av//PP//case//5 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 styrning//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//7 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//5 och//KN//cc//10 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//10 uppgifter//NN|UTR|PLU|IND|NOM//conj//7 har//VB|PRS|AKT//aux//13 vi//PN|UTR|PLU|DEF|SUB//nsubj//13 valt//VB|SUP|AKT//ROOT//13 att//IE//mark//15 ge//VB|INF|AKT//xcomp//13 en//DT|UTR|SIN|IND//obj//15 i//PP//case//21 det//DT|NEU|SIN|DEF//det//21 närmaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//21 total//JJ|POS|UTR|SIN|IND|NOM//amod//21 bild//NN|UTR|SIN|IND|NOM//obl//15 av//PP//case//24 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//24 instruktioner//NN|UTR|PLU|IND|NOM//nmod//21 ,//MID//punct//26 regleringsbrev//NN|NEU|PLU|IND|NOM//conj//24 och//KN//cc//29 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//29 uppdrag//NN|NEU|PLU|IND|NOM//conj//24 som//HP|-|-|-//obl//33 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//33 därutöver//AB//advmod//33 gett//VB|SUP|AKT//acl:relcl//29 myndigheterna//NN|UTR|PLU|DEF|NOM//obj//33 under//PP//case//36 budgetåret//NN|NEU|SIN|DEF|NOM//obl//33 .//MAD//punct//13
1 Vårt upplägg;I//PP//case//40 stor//JJ|POS|UTR|SIN|IND|NOM//amod//40 utsträckning//NN|UTR|SIN|IND|NOM//obl//41 presenterar//VB|PRS|AKT//parataxis//13 vi//PN|UTR|PLU|DEF|SUB//nsubj//41 text//NN|UTR|SIN|IND|NOM//obj//41 direkt//AB|POS//advmod//46 ur//PP//case//46 dokument//NN|NEU|PLU|IND|NOM//obl//41 eftersom//SN//mark//50 vi//PN|UTR|PLU|DEF|SUB//nsubj//50 vill//VB|PRS|AKT//aux//50 göra//VB|INF|AKT//advcl//41 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//50 tydligt//AB|POS//advmod//50 i//PP//case//55 vilken//HD|UTR|SIN|IND//det//55 omfattning//NN|UTR|SIN|IND|NOM//obl//50 och//KN//cc//61 på//PP//case//58 vilken//HD|UTR|SIN|IND//det//59 detaljnivå//NN|UTR|SIN|IND|NOM//obl//61 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//61 styr//VB|PRS|AKT//conj//50 myndigheterna//NN|UTR|PLU|DEF|NOM//obj//61 och//KN//cc//64 miljöarbetet//NN|NEU|SIN|DEF|NOM//conj//62 .//MAD//punct//13
1 Vårt upplägg;Den//DT|UTR|SIN|DEF//det//68 detaljerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//68 kartläggningen//NN|UTR|SIN|DEF|NOM//nsubj//69 ger//VB|PRS|AKT//parataxis//13 också//AB//advmod//69 en//DT|UTR|SIN|IND//det//73 god//JJ|POS|UTR|SIN|IND|NOM//amod//73 bild//NN|UTR|SIN|IND|NOM//obj//69 av//PP//case//75 floran//NN|UTR|SIN|DEF|NOM//nmod//73 av//PP//case//77 uppgifter//NN|UTR|PLU|IND|NOM//nmod//75 som//HP|-|-|-//nsubj//79 ingår//VB|PRS|AKT//acl:relcl//77 i//PP//case//82 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//82 uppdrag//NN|NEU|PLU|IND|NOM//obl//79 .//MAD//punct//69
1 Vårt upplägg;Vi//PN|UTR|PLU|DEF|SUB//nsubj//86 har//VB|PRS|AKT//aux//86 valt//VB|SUP|AKT//conj//69 att//IE//mark//89 inte//AB//advmod//89 göra//VB|INF|AKT//advcl//86 någon//DT|UTR|SIN|IND//det//91 sammanfattning//NN|UTR|SIN|IND|NOM//obj//89 av//PP//case//94 detta//DT|NEU|SIN|DEF//det//94 delbetänkande//NN|NEU|SIN|IND|NOM//nmod//91 .//MAD//punct//13
1 Vårt upplägg;I//PP//case//3 delbetänkandets//NN|NEU|SIN|DEF|GEN//nmod:poss//3 avslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 avsnitt//NN|NEU|SIN|IND|NOM//obl//4 redovisar//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 de//DT|UTR/NEU|PLU|DEF//det//7 bedömningar//NN|UTR|PLU|IND|NOM//obj//4 organisationerna//NN|UTR|PLU|DEF|NOM//nsubj//10 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//10 gör//VB|PRS|AKT//ccomp//4 av//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 utmaningarna//NN|UTR|PLU|DEF|NOM//obl//10 .//MAD//punct//4
1 Vårt upplägg;Här//AB//advmod//1 ges//VB|PRS|SFO//ROOT//1 ett//DT|NEU|SIN|IND//det//4 ”//NN|NEU|SIN|IND|NOM//punct//4 inifrånperspektiv//NN|NEU|SIN|IND|NOM//amod//5 ”//PM|NOM//nsubj:pass//1 på//PP//case//7 verksamheterna//NN|UTR|PLU|DEF|NOM//obl//1 .//MAD//punct//1
1 Vårt upplägg;Vi//PN|UTR|PLU|DEF|SUB//nsubj//11 har//VB|PRS|AKT//aux//11 valt//VB|SUP|AKT//parataxis//1 att//IE//mark//13 redovisa//VB|INF|AKT//xcomp//11 en//DT|UTR|SIN|IND//det//15 helhetsbild//NN|UTR|SIN|IND|NOM//obj//13 även//AB//case//18 om//SN//fixed//16 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//13 av//PP//case//21 de//DT|UTR/NEU|PLU|DEF//det//21 frågor//NN|UTR|PLU|IND|NOM//nmod//18 organisationerna//NN|UTR|PLU|DEF|NOM//nsubj//23 tar//VB|PRS|AKT//acl:relcl//21 upp//PL//compound:prt//23 ligger//VB|PRS|AKT//nsubj:pass//1 utanför//PP//case//28 vårt//PS|NEU|SIN|DEF//nmod:poss//28 utredningsuppdrag//NN|NEU|SIN|IND|NOM//obl//25 .//MAD//punct//1
1 Vårt upplägg;Vi//PN|UTR|PLU|DEF|SUB//nsubj//33 har//VB|PRS|AKT//aux//33 velat//VB|SUP|AKT//aux//33 ge//VB|INF|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//35 bild//NN|UTR|SIN|IND|NOM//obj//33 av//PP//case//39 verksamhetsföreträdarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//39 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 förväntningar//NN|UTR|PLU|IND|NOM//nmod//35 om//PP//case//41 miljöpolitikens//NN|UTR|SIN|DEF|GEN//nmod//39 och//KN//cc//46 de//DT|UTR/NEU|PLU|DEF//det//45 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 organisationernas//NN|UTR|PLU|DEF|GEN//nmod:poss//46 utveckling//NN|UTR|SIN|IND|NOM//conj//41 .//MAD//punct//33
1 Vårt upplägg;I//PP//case//1 redovisningen//NN|UTR|SIN|DEF|NOM//obl//2 framkommer//VB|PRS|AKT//ROOT//2 tydligt//AB|POS//advmod//2 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 också//AB//advmod//7 finns//VB|PRS|SFO//ccomp//2 ett//DT|NEU|SIN|IND//det//10 ”//PAD//punct//10 utifrånperspektiv//NN|NEU|SIN|IND|NOM//nsubj//7 ”//PAD//punct//10 på//PP//case//13 verksamheterna//NN|UTR|PLU|DEF|NOM//obl//7 .//MAD//punct//2
1 Vårt upplägg;En//DT|UTR|SIN|IND//det//16 fråga//NN|UTR|SIN|IND|NOM//appos//2 som//HP|-|-|-//nsubj//18 blir//VB|PRS|AKT//acl:relcl//16 uppenbar//JJ|POS|UTR|SIN|IND|NOM//xcomp//18 är//VB|PRS|AKT//cop//16 hur//HA//advmod//25 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//25 ska//VB|PRS|AKT//aux//25 kunna//VB|INF|AKT//aux//25 hantera//VB|INF|AKT//acl:relcl//16 miljöengagemang//NN|NEU|SIN|IND|NOM//obj//25 ,//MID//punct//28 krav//NN|NEU|PLU|IND|NOM//conj//26 och//KN//cc//30 önskemål//NN|NEU|PLU|IND|NOM//conj//26 från//PP//case//32 medborgare//NN|UTR|PLU|IND|NOM//nmod//30 ,//MID//punct//34 näringsliv//NN|NEU|SIN|IND|NOM//conj//32 ,//MID//punct//36 kommuner//NN|UTR|PLU|IND|NOM//conj//32 och//KN//cc//38 organisationer//NN|UTR|PLU|IND|NOM//conj//32 .//MAD//punct//2
