Till statsrådet Maj-Inger Klingvall ;Statsrådet//NN|NEU|SIN|DEF|NOM//nsubj//2 Klingvall//PM|NOM//flat//0 förordnade//VB|PRT|AKT//ROOT//2 fr//AB|AN//nmod//4 o//NN|AN//dep//2 m//PM|NOM//flat:name//4 den//DT|UTR|SIN|DEF//det//8 17//RG|NOM//nummod//8 mars//NN|UTR|SIN|IND|NOM//obl//10 1997//RG|NOM//nummod//8 riksdagsledamot//NN|UTR|SIN|IND|NOM//nmod//11 Maud//PM|NOM//parataxis//2 Björnemalm//PM|NOM//flat:name//11 (//PAD//punct//11 s//PM|NOM//nmod//11 )//PAD//punct//11 som//KN//mark//17 ordförande//NN|UTR|SIN|IND|NOM//advcl//2 i//PP//case//19 Organisationskommittén//NN|UTR|SIN|DEF|NOM//obl//17 .//MAD//punct//2
2 Bakgrund med mera;I//PP//case//1 prop//NN|UTR|SIN|IND|NOM//ROOT//1 .//MAD//punct//1
2 Bakgrund med mera;1991/92//RG|NOM//conj//1 ://MID//punct//3
2 Bakgrund med mera;106//RG|NOM//obl//6 föreslogs//VB|PRT|SFO//parataxis//3 en//DT|UTR|SIN|IND//det//8 lagändring//NN|UTR|SIN|IND|NOM//nsubj:pass//6 av//PP//case//13 AFL//PM|NOM//nmod//11 18//RG|NOM//nummod//12 kap//NN|AN//nmod//13 1§//RG|NOM//nmod//8 i//PP//case//15 syfte//NN|NEU|SIN|IND|NOM//nmod//13 att//IE//mark//17 möjliggöra//VB|INF|AKT//acl//8 en//DT|UTR|SIN|IND//det//19 sammanläggning//NN|UTR|SIN|IND|NOM//obj//17 av//PP//case//21 försäkringskassor//NN|UTR|PLU|IND|NOM//nmod//19 .//MAD//punct//6
2 Bakgrund med mera;Upprinnelsen//NN|UTR|SIN|DEF|NOM//nsubj//28 till//PP//case//25 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//23 var//VB|PRT|AKT//cop//28 de//DT|UTR/NEU|PLU|DEF//det//28 initiativ//NN|NEU|PLU|IND|NOM//parataxis//1 som//HP|-|-|-//nsubj:pass//30 tagits//VB|SUP|SFO//acl:relcl//28 av//PP//compound:prt//30 och//KN//cc//36 mellan//PP//case//36 de//DT|UTR/NEU|PLU|DEF//det//36 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//det//36 kassorna//NN|UTR|PLU|DEF|NOM//obl//30 i//PP//case//38 Malmö//PM|NOM//nmod//36 och//KN//cc//40 Malmöhus//PM|GEN//conj//38 län//NN|NEU|PLU|IND|NOM//conj//38 .//MAD//punct//28
2 Bakgrund med mera;I//PP//case//44 skrivelser//NN|UTR|PLU|IND|NOM//obl//47 till//PP//case//46 regeringen//NN|UTR|SIN|DEF|NOM//nmod//44 föreslogs//VB|PRT|SFO//conj//28 att//SN//mark//53 Malmöhus//PM|GEN//nmod:poss//51 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//51 försäkringskassa//NN|UTR|SIN|IND|NOM//nsubj:pass//53 skulle//VB|PRT|AKT//aux//53 sammanläggas//VB|INF|SFO//advcl//47 med//PP//case//55 Malmö//PM|NOM//obl//53 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 försäkringskassa//NN|UTR|SIN|IND|NOM//obl//53 respektive//AB//cc//59 meddelades//VB|PRT|SFO//conj//53 tillstyrkan//NN|UTR|SIN|DEF|NOM//nsubj:pass//59 att//SN//mark//63 så//AB//advmod//63 sker//VB|PRS|AKT//acl//60 .//MAD//punct//28
2 Bakgrund med mera;I//PP//case//1 anledning//NN|UTR|SIN|IND|NOM//obl//3 därav//AB//advmod//1 fattade//VB|PRT|AKT//ROOT//3 Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 beslut//NN|NEU|SIN|IND|NOM//obj//3 att//IE//mark//7 ge//VB|INF|AKT//csubj//3 RFV//PM|NOM//obj//7 i//PP//case//10 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//12 vidta//VB|INF|AKT//acl//10 erforderliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 åtgärder//NN|UTR|PLU|IND|NOM//obj//12 inför//PP//case//16 sammanläggningen//NN|UTR|SIN|DEF|NOM//obl//12 den//DT|UTR|SIN|DEF//det//19 1//RO|NOM//nummod//19 juli//NN|UTR|SIN|IND|NOM//obl//12 1992//RG|NOM//nummod//19 .//MAD//punct//3
2 Bakgrund med mera;Hos//PP//case//23 RFV//PM|NOM//obl//24 tillsattes//VB|PRT|SFO//conj//3 en//DT|UTR|SIN|IND//det//26 samrådsgrupp//NN|UTR|SIN|IND|NOM//nsubj:pass//24 med//PP//case//28 företrädare//NN|UTR|PLU|IND|NOM//nmod//26 för//PP//case//30 verket//NN|NEU|SIN|DEF|NOM//nmod//28 ,//MID//punct//32 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//33 kassor//NN|UTR|PLU|IND|NOM//appos//26 ,//MID//punct//35 FKF//PM|NOM//conj//33 och//KN//cc//37 personalorganisationerna//NN|UTR|PLU|DEF|NOM//conj//33 .//MAD//punct//24
2 Bakgrund med mera;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//14 med//PP//mark//3 att//IE//mark//3 sammanföra//VB|INF|AKT//acl//0 försäkringskassorna//NN|UTR|PLU|DEF|NOM//obj//3 i//PP//case//6 Malmö//PM|NOM//obl//3 och//KN//cc//8 Malmöhus//PM|NOM//conj//6 var//VB|PRT|AKT//cop//14 i//PP//advmod//14 första//RO|NOM//fixed//10 hand//NN|UTR|SIN|IND|NOM//fixed//10 att//IE//mark//14 frigöra//VB|INF|AKT//ROOT//14 resurser//NN|UTR|PLU|IND|NOM//obj//14 för//PP//case//19 en//DT|UTR|SIN|IND//det//19 kraftfull//JJ|POS|UTR|SIN|IND|NOM//amod//19 satsning//NN|UTR|SIN|IND|NOM//obl//14 på//PP//case//21 rehabilitering//NN|UTR|SIN|IND|NOM//nmod//19 och//KN//cc//24 en//DT|UTR|SIN|IND//det//24 minskning//NN|UTR|SIN|IND|NOM//conj//21 av//PP//case//26 ohälsotalet//NN|NEU|SIN|DEF|NOM//nmod//24 .//MAD//punct//14

2.2 Utredning angående en gemensam allmän försäkringskassa i Skåne;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 7//RO|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 1995//RG|NOM//nummod//4 om//PP//case//7 direktiv//NN|NEU|PLU|IND|NOM//nmod//4 till//PP//case//11 en//DT|UTR|SIN|IND//det//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//nmod//4 att//IE//mark//27 i//PP//case//14 samråd//NN|NEU|SIN|IND|NOM//obl//27 med//PP//case//16 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//nmod//14 och//KN//cc//20 de//DT|UTR/NEU|PLU|DEF//det//20 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 försäkringskassorna//NN|UTR|PLU|DEF|NOM//conj//16 i//PP//case//23 Kristianstads//PM|GEN//nmod:poss//23 län//NN|NEU|SIN|IND|NOM//nmod//20 och//KN//cc//25 Malmöhus//PM|GEN//conj//16 län//NN|NEU|PLU|IND|NOM//conj//16 utreda//VB|INF|AKT//acl//11 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//27 för//PP//mark//31 att//IE//mark//31 bilda//VB|INF|AKT//advcl//27 en//DT|UTR|SIN|IND//det//35 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//35 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//35 försäkringskassa//NN|UTR|SIN|IND|NOM//obj//31 i//PP//case//37 Skåne//PM|NOM//obl//31 .//MAD//punct//1
