Polis i framtiden;–//RG|NOM//punct//2  //_SP////0 polisutbildningen//NN|UTR|SIN|DEF|NOM//ROOT//2 som//KN//case//4 högskoleutbildning//NN|UTR|SIN|IND|NOM//nmod//2
Till statsrådet Anders Ygeman;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 maj//NN|UTR|SIN|IND|NOM//obl//0 2016//RG|NOM//nummod//2
Till statsrådet Anders Ygeman;Petra//PM|NOM//ROOT//0 Lundh//PM|NOM//flat:name//0
Till statsrådet Anders Ygeman;Monika//PM|NOM//ROOT//0 Olsson//PM|NOM//flat//0


1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;10//RG|NOM//nummod//1 §//NN|AN//ROOT//1
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;Av//PP//case//2 10//RG|NOM//nummod//2 kap.//NN|AN//nmod//5 2//RG|NOM//nummod//4 §//NN|AN//nmod//5 offentlighets-//NN|UTR|-|-|SMS//nsubj//11 och//KN//cc//7 sekretesslagen//NN|UTR|SIN|DEF|NOM//conj//5 (//PAD//punct//9 2009:400//RG|NOM//conj//5 )//PAD//punct//9 framgår//VB|PRS|AKT//ROOT//11 att//SN//mark//19 socialnämnden//NN|UTR|SIN|DEF|NOM//nsubj//19 utan//PP//case//15 hinder//NN|NEU|SIN|IND|NOM//nmod//13 av//PP//case//17 sekretess//NN|UTR|SIN|IND|NOM//nmod//15 kan//VB|PRS|AKT//aux//19 polisanmäla//VB|INF|AKT//ccomp//11 brott//NN|NEU|PLU|IND|NOM//obj//19 som//HP|-|-|-//nsubj//22 hindrar//VB|PRS|AKT//acl:relcl//20 nämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 verksamhet//NN|UTR|SIN|IND|NOM//obj//22 .//MAD//punct//11
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;Av//PP//case//31 10//RG|NOM//nummod//28 kap.//NN|AN//nmod//30 21–23//RG|NOM//nummod//30 §//NN|AN//nmod//31 §//NN|AN//nmod//33 samma//DT|UTR/NEU|SIN/PLU|IND//det//33 lag//NN|UTR|SIN|IND|NOM//nsubj//34 följer//VB|PRS|AKT//parataxis//11 att//SN//mark//43 sekretess//NN|UTR|SIN|IND|NOM//nsubj//43 även//AB//advmod//43 i//PP//case//41 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 fall//NN|NEU|PLU|IND|NOM//obl//43 inte//AB//advmod//43 hindrar//VB|PRS|AKT//ccomp//34 att//SN//mark//51 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//51 som//HP|-|-|-//nsubj//47 angår//VB|PRS|AKT//acl:relcl//45 misstanke//NN|UTR|SIN|IND|NOM//obj//47 om//PP//case//50 brott//NN|NEU|SIN|IND|NOM//nmod//48 lämnas//VB|PRS|SFO//ccomp//43 till//PP//case//54 en//DT|UTR|SIN|IND//det//54 åklagarmyndighet//NN|UTR|SIN|IND|NOM//obl//51 ,//MID//punct//56 Polismyndigheten//NN|UTR|SIN|DEF|NOM//conj//54 ,//MID//punct//58 Säkerhetspolisen//NN|UTR|SIN|DEF|NOM//conj//54 eller//KN//cc//61 annan//JJ|POS|UTR|SIN|IND|NOM//amod//61 myndighet//NN|UTR|SIN|IND|NOM//conj//54 som//HP|-|-|-//nsubj//63 har//VB|PRS|AKT//acl:relcl//61 till//PP//case//65 uppgift//NN|UTR|SIN|IND|NOM//obl//63 att//IE//mark//67 ingripa//VB|INF|AKT//acl//65 mot//PP//case//69 brottet//NN|NEU|SIN|DEF|NOM//obl//67 .//MAD//punct//11
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;Detsamma//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 enligt//PP//case//6 10//RG|NOM//nummod//4 kap.//NN|AN//nmod//5 19//RG|NOM//nummod//6 §//NN|AN//obl//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//8 lag//NN|UTR|SIN|IND|NOM//nmod//9 uppgifter//NN|UTR|PLU|IND|NOM//obj//1 som//HP|-|-|-//nsubj:pass//11 behövs//VB|PRS|SFO//acl:relcl//9 för//PP//mark//14 att//IE//mark//14 förhindra//VB|INF|AKT//advcl//11 ett//DT|NEU|SIN|IND//det//16 förestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//14 eller//KN//cc//18 avbryta//VB|INF|AKT//conj//14 ett//DT|NEU|SIN|IND//det//21 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 brott//NN|NEU|SIN|IND|NOM//obj//18 som//HP|-|-|-//nsubj:pass//23 avses//VB|PRS|SFO//acl:relcl//21 i//PP//case//26 den//DT|UTR|SIN|DEF//det//26 paragrafen//NN|UTR|SIN|DEF|NOM//obl//23 .//MAD//punct//1
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;Av//PP//case//31 10//RG|NOM//nummod//30 kap.//NN|AN//nmod//31 18//RG|NOM//nummod//33 a//NN|NEU|SIN|IND|NOM//case//33 §//NN|AN//nmod//35 samma//DT|UTR/NEU|SIN/PLU|IND//det//35 lag//NN|UTR|SIN|IND|NOM//nsubj//36 framgår//VB|PRS|AKT//parataxis//1 att//SN//mark//41 sekretess//NN|UTR|SIN|IND|NOM//nsubj//41 inte//AB//advmod//41 heller//AB//advmod//41 hindrar//VB|PRS|AKT//ccomp//36 att//SN//mark//55 en//DT|UTR|SIN|IND//det//44 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//55 som//HP|-|-|-//nsubj//46 rör//VB|PRS|AKT//acl:relcl//44 en//DT|UTR|SIN|IND//det//48 enskild//JJ|POS|UTR|SIN|IND|NOM//obj//46 som//HP|-|-|-//nsubj//52 inte//AB//advmod//52 har//VB|PRS|AKT//aux//52 fyllt//VB|SUP|AKT//acl:relcl//48 tjugoett//JJ|POS|NEU|SIN|IND|NOM//nummod//54 år//NN|NEU|SIN|IND|NOM//obj//52 lämnas//VB|INF|SFO//ccomp//41 till//PP//case//57 Polismyndigheten//NN|UTR|SIN|DEF|NOM//obl//55 eller//KN//cc//59 Säkerhetspolisen//NN|UTR|SIN|DEF|NOM//conj//57 i//PP//case//62 brottsförebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 syfte//NN|NEU|SIN|IND|NOM//obl//55 under//PP//case//66 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//66 förutsättningar//NN|UTR|PLU|IND|NOM//obl//55 .//MAD//punct//1
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;Från//PP//case//1 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//7 ska//VB|PRS|AKT//aux//7 utan//PP//case//4 hinder//NN|NEU|SIN|IND|NOM//obl//7 av//PP//case//6 sekretess//NN|UTR|SIN|IND|NOM//nmod//4 lämnas//VB|PRS|SFO//ROOT//7 1//RG|NOM//nummod//7 .//MAD//punct//7
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//7 om//PP//mark//14 huruvida//SN//mark//14 någon//PN|UTR|SIN|IND|SUB/OBJ//nsubj//14 vistas//VB|PRS|SFO//acl//10 i//PP//case//17 ett//DT|NEU|SIN|IND//det//17 hem//NN|NEU|SIN|IND|NOM//obl//14 för//PP//case//19 vård//NN|UTR|SIN|IND|NOM//obl//14 eller//KN//cc//21 boende//NN|NEU|SIN|IND|NOM//conj//19 ,//MID//punct//23 stödboende//NN|NEU|SIN|IND|NOM//conj//19 eller//KN//cc//25 familjehem//NN|NEU|SIN|IND|NOM//conj//23 ,//MID//punct//10 om//SN//case//28 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj//32 för//PP//case//31 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//31 fall//NN|NEU|SIN|IND|NOM//nmod//28 begärs//VB|PRS|SFO//acl:relcl//10 av//PP//case//35 en//DT|UTR|SIN|IND//det//35 domstol//NN|UTR|SIN|IND|NOM//obl:agent//32 ,//MID//punct//38 en//DT|UTR|SIN|IND//det//38 åklagarmyndighet//NN|UTR|SIN|IND|NOM//conj//35 ,//MID//punct//40 Polismyndigheten//NN|UTR|SIN|DEF|NOM//conj//35 ,//MID//punct//42 Säkerhetspolisen//NN|UTR|SIN|DEF|NOM//conj//35 ,//MID//punct//44 Kronofogdemyndigheten//PM|NOM//conj//35 eller//KN//cc//46 Skatteverket//PM|NOM//conj//35 ,//MID//punct//35 1//RG|NOM//conj//32 .//MAD//punct//7
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;Denna//DT|UTR|SIN|DEF//det//51 lag//NN|UTR|SIN|IND|NOM//nsubj//52 träder//VB|PRS|AKT//parataxis//7 i//PP//compound:prt//52 kraft//NN|UTR|SIN|IND|NOM//fixed//53 den//DT|UTR|SIN|DEF//det//57 1//RO|NOM//nummod//57 juli//NN|UTR|SIN|IND|NOM//obl//52 2018//RG|NOM//nummod//57 .//MAD//punct//7
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;2//RG|NOM//nummod//7 .//MAD//punct//7
1.1 Förslag till lag om ändring i socialtjänstlagen (2001:453) / 12 kap.;Äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//64 gäller//VB|PRS|AKT//parataxis//7 fortfarande//AB//advmod//64 för//PP//case//67 uppgifter//NN|UTR|PLU|IND|NOM//obl//64 i//PP//case//69 ärenden//NN|NEU|PLU|IND|NOM//nmod//67 om//PP//case//71 avskiljande//NN|NEU|SIN|IND|NOM//nmod//69 från//PP//case//73 grundutbildning//NN|UTR|SIN|IND|NOM//nmod//71 till//PP//case//75 polisman//NN|UTR|SIN|IND|NOM//nmod//73 .//MAD//punct//7

1.2 Förslag till lag om ändring i offentlighets- och sekretesslagen (2009:400);Enligt//PP//case//2 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 beslut//NN|NEU|SIN|IND|NOM//obl//3 föreskrivs//VB|PRS|SFO//ROOT//3 att//SN//mark//16 23//RG|NOM//nummod//6 kap.//NN|AN//nmod//9 6//RG|NOM//nummod//8 §//NN|AN//nmod//9 offentlighets-//NN|UTR|-|-|SMS//nsubj//16 och//KN//cc//11 sekretesslagen//NN|UTR|SIN|DEF|NOM//conj//9 (//PAD//punct//13 2009:400//RG|NOM//conj//9 )//PAD//punct//13 ska//VB|PRS|AKT//aux//16 ha//VB|INF|AKT//dep//3 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 lydelse//NN|UTR|SIN|IND|NOM//obj//16 .//MAD//punct//3
1.2 Förslag till lag om ändring i offentlighets- och sekretesslagen (2009:400);Sekretessen//NN|UTR|SIN|DEF|NOM//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 inte//AB//advmod//1 beslut//NN|NEU|SIN|IND|NOM//obj//1 i//PP//case//5 ärende//NN|NEU|SIN|IND|NOM//obl//1 .//MAD//punct//1
1.2 Förslag till lag om ändring i offentlighets- och sekretesslagen (2009:400);För//PP//case//1 uppgift//NN|UTR|SIN|IND|NOM//obl//6 i//PP//case//5 en//DT|UTR|SIN|IND//det//5 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//5 handling//NN|UTR|SIN|IND|NOM//nmod//1 gäller//VB|PRS|AKT//ROOT//6 sekretessen//NN|UTR|SIN|DEF|NOM//obj//6 i//PP//case//11 högst//AB|SUV//advmod//10 femtio//RG|NOM//nummod//11 år//NN|NEU|PLU|IND|NOM//nmod//7 .//MAD//punct//6
1.2 Förslag till lag om ändring i offentlighets- och sekretesslagen (2009:400);1//RG|NOM//dep//6 .//MAD//punct//6
1.2 Förslag till lag om ändring i offentlighets- och sekretesslagen (2009:400);Denna//DT|UTR|SIN|DEF//det//16 lag//NN|UTR|SIN|IND|NOM//nsubj//17 träder//VB|PRS|AKT//parataxis//6 i//PP//compound:prt//17 kraft//NN|UTR|SIN|IND|NOM//fixed//18 den//DT|UTR|SIN|DEF//det//22 1//RO|NOM//nummod//22 juli//NN|UTR|SIN|IND|NOM//obl//17 2018//RG|NOM//nummod//22 .//MAD//punct//17
1.2 Förslag till lag om ändring i offentlighets- och sekretesslagen (2009:400);2//RG|NOM//punct//6 .//MAD//punct//6
1.2 Förslag till lag om ändring i offentlighets- och sekretesslagen (2009:400);Äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//29 gäller//VB|PRS|AKT//parataxis//6 fortfarande//AB//advmod//29 för//PP//case//32 uppgifter//NN|UTR|PLU|IND|NOM//obl//29 i//PP//case//34 ärenden//NN|NEU|PLU|IND|NOM//nmod//32 om//PP//case//36 avskiljande//NN|NEU|SIN|IND|NOM//nmod//34 från//PP//case//38 grundutbildning//NN|UTR|SIN|IND|NOM//nmod//36 till//PP//case//40 polisman//NN|UTR|SIN|IND|NOM//nmod//38 .//MAD//punct//29

