En svensk veteranpolitik, del 2;Ansvaret//NN|NEU|SIN|DEF|NOM//ROOT//0 för//PP//case//2 personalen//NN|UTR|SIN|DEF|NOM//nmod//0 före//PP//advmod//0 ,//MID//punct//0 under//PP//advmod//4 och//KN//cc//10 efter//PP//case//10 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 insatser//NN|UTR|PLU|IND|NOM//conj//0
Till statsrådet och chefen för Försvarsdepartementet;Thomas//PM|NOM//nmod//3 Wallander//PM|NOM//flat:name//0 7.2//RG|NOM//nmod//3 Redovisning//NN|UTR|SIN|IND|NOM//ROOT//3 från//PP//case//6 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 länder//NN|NEU|PLU|IND|NOM//nmod//3 jämte//PP//case//9 kortfattade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//9 analyser//NN|UTR|PLU|IND|NOM//nmod//10 8.3//RG|NOM//conj//3 Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 överväganden//NN|NEU|PLU|IND|NOM//nmod//3 och//KN//cc//14 förslag//NN|NEU|SIN|IND|NOM//conj//12 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//18 8.5//RG|NOM//nummod//17 Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 överväganden//NN|NEU|PLU|IND|NOM//nmod//14 och//KN//cc//20 förslag//NN|NEU|SIN|IND|NOM//conj//18 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//23 21.1//RG|NOM//nummod//23 Förslag//NN|NEU|PLU|IND|NOM//nmod//20 till//PP//case//25 lag//NN|UTR|SIN|IND|NOM//nmod//23 (//PAD//punct//3 0000:00//RG|NOM//appos//3 )//PAD//punct//3 med//PP//case//30 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//3 för//PP//case//33 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//33 personal//NN|UTR|SIN|IND|NOM//nmod//30 i//PP//case//38 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//38 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 21.5//RG|NOM//nummod//38 Förslag//NN|NEU|PLU|IND|NOM//nmod//3 till//PP//case//40 lag//NN|UTR|SIN|IND|NOM//nmod//38 om//PP//case//42 ändring//NN|UTR|SIN|IND|NOM//nmod//40 i//PP//case//44 lagen//NN|UTR|SIN|DEF|NOM//nmod//42 (//PAD//punct//3 1994:2076//RG|NOM//appos//3 )//PAD//punct//3 om//PP//case//49 skydd//NN|NEU|SIN|IND|NOM//nmod//3 för//PP//case//51 anställning//NN|UTR|SIN|IND|NOM//nmod//49 vid//PP//case//54 viss//JJ|POS|UTR|SIN|IND|NOM//amod//54 tjänstgöring//NN|UTR|SIN|IND|NOM//nmod//51 inom//PP//case//3


1 Förslag till lag (0000:00) med bestämmelser för Försvarsmaktens personal vid internationella militära insatser;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj:pass//1
1 Förslag till lag (0000:00) med bestämmelser för Försvarsmaktens personal vid internationella militära insatser;Lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 tillämpningsområde//NN|NEU|SIN|IND|NOM//nsubj:pass//7 1//RG|NOM//nummod//3 §//NN|AN//nmod//1 Denna//DT|UTR|SIN|DEF//det//5 lag//NN|UTR|SIN|IND|NOM//nsubj:pass//7 ska//VB|PRS|AKT//aux//7 tillämpas//VB|INF|SFO//ROOT//7 på//PP//case//9 anställda//NN|UTR|PLU|IND|NOM//obl//7 i//PP//case//11 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//9 vid//PP//case//13 tjänstgöring//NN|UTR|SIN|IND|NOM//obl//7 i//PP//case//18 en//DT|UTR|SIN|IND//det//18 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//18 militär//JJ|POS|UTR|SIN|IND|NOM//amod//18 insats//NN|UTR|SIN|IND|NOM//nmod//13 .//MAD//punct//7
1 Förslag till lag (0000:00) med bestämmelser för Försvarsmaktens personal vid internationella militära insatser;Lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//24 ska//VB|PRS|AKT//aux//24 dock//AB//advmod//24 inte//AB//advmod//24 tillämpas//VB|INF|SFO//parataxis//7 på//PP//case//26 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//24 som//HP|-|-|-//nsubj//30 är//VB|PRS|AKT//cop//30 lokalt//AB|POS//advmod//30 anställd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//26 av//PP//case//32 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl:agent//30 i//PP//case//34 insatsområdet//NN|NEU|SIN|DEF|NOM//obl//30 .//MAD//punct//7
1 Förslag till lag (0000:00) med bestämmelser för Försvarsmaktens personal vid internationella militära insatser;Med//PP//case//3 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//3 militär//JJ|POS|UTR|SIN|IND|NOM//amod//3 insats//NN|UTR|SIN|IND|NOM//obl//7 enligt//PP//case//6 denna//DT|UTR|SIN|DEF//det//6 lag//NN|UTR|SIN|IND|NOM//nmod//3 avses//VB|PRS|SFO//ROOT//7 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//7 som//KN//obj//11 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//11 bedriver//VB|PRS|AKT//acl:relcl//8 i//PP//case//14 ett//DT|NEU|SIN|IND//det//14 insatsområde//NN|NEU|SIN|IND|NOM//obl//11 utomlands//AB//advmod//11 i//PP//case//17 syfte//NN|NEU|SIN|IND|NOM//obl//11 att//SN//mark//21 1//RG|NOM//nummod//21 .//MAD//punct//19
1 Förslag till lag (0000:00) med bestämmelser för Försvarsmaktens personal vid internationella militära insatser;avvärja//VB|INF|AKT//ccomp//11 risk//NN|UTR|SIN|IND|NOM//obj//21 för//PP//case//26 en//DT|UTR|SIN|IND//det//26 väpnad//PC|PRF|UTR|SIN|IND|NOM//amod//26 konflikt//NN|UTR|SIN|IND|NOM//obl//21 ,//MID//punct//26 2//RG|NOM//nummod//21 .//MAD//punct//7
1 Förslag till lag (0000:00) med bestämmelser för Försvarsmaktens personal vid internationella militära insatser;hejda//VB|INF|AKT//parataxis//7 en//DT|UTR|SIN|IND//det//34 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 väpnad//PC|PRF|UTR|SIN|IND|NOM//amod//34 konflikt//NN|UTR|SIN|IND|NOM//obj//30 ,//MID//punct//34 3//RG|NOM//nummod//30 .//MID//punct//7
1 Förslag till lag (0000:00) med bestämmelser för Försvarsmaktens personal vid internationella militära insatser;övervaka//VB|INF|AKT//parataxis//7 överenskommelser//NN|UTR|PLU|IND|NOM//obj//38 om//PP//case//41 fred//NN|UTR|SIN|IND|NOM//nmod//39 och//KN//cc//43 vapenstillestånd//NN|NEU|SIN|IND|NOM//conj//41 ,//MID//punct//38 eller//KN//cc//46 4//RG|NOM//conj//38 .//MAD//punct//7
