Personalförsörjningen i ett reformerat försvar;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//2

1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj:pass//1

1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;1//RG|NOM//nummod//1 §//NN|AN//nsubj//6  //_SP////1 I//PP//case//5 denna//DT|UTR|SIN|DEF//det//5 lag//NN|UTR|SIN|IND|NOM//nmod//1 finns//VB|PRS|SFO//ROOT//6 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//6 om//PP//case//10 arbetstagare//NN|UTR|PLU|IND|NOM//nmod//8 som//HP|-|-|-//nsubj//13 är//VB|PRS|AKT//cop//13 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//10 som//KN//case//15 gruppbefäl//NN|NEU|PLU|IND|NOM//obl//13 ,//MID//punct//17 soldater//NN|UTR|PLU|IND|NOM//conj//15 och//KN//cc//19 sjömän//NN|UTR|PLU|IND|NOM//conj//15 i//PP//case//21 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//19 .//MAD//punct//6
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//24 i//PP//case//3 6//RG|NOM//nummod//3 kap.//NN|AN//nmod//0 om//PP//case//5 rätt//NN|UTR|SIN|IND|NOM//nmod//3 till//PP//case//7 ledighet//NN|UTR|SIN|IND|NOM//nmod//5 och//KN//cc//9 skydd//NN|NEU|SIN|IND|NOM//conj//7 för//PP//case//11 anställning//NN|UTR|SIN|IND|NOM//nmod//9 och//KN//cc//15 i//PP//case//15 7//RG|NOM//nummod//15 kap.//NN|AN//conj//11 om//PP//case//17 rätt//NN|UTR|SIN|IND|NOM//nmod//15 till//PP//case//19 studieuppehåll//NN|NEU|SIN|IND|NOM//nmod//17 och//KN//cc//21 anstånd//NN|NEU|SIN|IND|NOM//conj//19 med//PP//case//23 studier//NN|UTR|PLU|IND|NOM//nmod//17 gäller//VB|PRS|AKT//ROOT//24 även//AB//advmod//24 reservofficerare//NN|UTR|PLU|IND|NOM//obj//24 .//MAD//punct//24
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//19 i//PP//case//3 8//RG|NOM//nummod//3 kap.//NN|AN//nmod//0 om//PP//case//7 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 insatser//NN|UTR|PLU|IND|NOM//nmod//3 och//KN//cc//11 i//PP//case//11 9//RG|NOM//nummod//11 kap.//NN|AN//conj//7 om//PP//case//13 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//11 vid//PP//case//15 tjänstgöring//NN|UTR|SIN|IND|NOM//nmod//13 i//PP//case//18 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//18 insatser//NN|UTR|PLU|IND|NOM//nmod//11 gäller//VB|PRS|AKT//ROOT//19 alla//DT|UTR/NEU|PLU|IND/DEF//det//21 anställda//NN|UTR|PLU|IND|NOM//obj//19 i//PP//case//23 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//21 vid//PP//case//25 tjänstgöring//NN|UTR|SIN|IND|NOM//nmod//21 i//PP//case//30 en//DT|UTR|SIN|IND//det//30 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//30 militär//JJ|POS|UTR|SIN|IND|NOM//amod//30 insats//NN|UTR|SIN|IND|NOM//nmod//25 .//MAD//punct//19
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;Dessa//DT|UTR/NEU|PLU|DEF//det//33 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//34 gäller//VB|PRS|AKT//parataxis//19 inte//AB//advmod//34 för//PP//case//37 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//34 som//HP|-|-|-//nsubj//41 är//VB|PRS|AKT//cop//41 lokalt//AB|POS//advmod//41 anställd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//37 av//PP//case//43 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//41 i//PP//case//45 insatsområdet//NN|NEU|SIN|DEF|NOM//obl//41 .//MAD//punct//34
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;2//RG|NOM//nummod//48 §//NN|AN//appos//34  //_SP////48 Ett//DT|NEU|SIN|IND//det//51 avtal//NN|NEU|SIN|IND|NOM//conj//48 som//HP|-|-|-//nsubj//53 innebär//VB|PRS|AKT//acl:relcl//51 att//SN//mark//60 arbetstagares//NN|UTR|PLU|IND|GEN//nmod:poss//56 rättigheter//NN|UTR|PLU|IND|NOM//nsubj:pass//60 enligt//PP//case//59 denna//DT|UTR|SIN|DEF//det//59 lag//NN|UTR|SIN|IND|NOM//obl//60 upphävs//VB|PRS|SFO//csubj//64 eller//KN//cc//62 inskränks//VB|PRS|SFO//conj//60 är//VB|PRS|AKT//cop//64 ogiltigt//JJ|POS|NEU|SIN|IND|NOM//conj//34 i//PP//case//67 den//DT|UTR|SIN|DEF//det//67 delen//NN|UTR|SIN|DEF|NOM//obl//64 .//MAD//punct//64
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;Avvikelser//NN|UTR|PLU|IND|NOM//nsubj:pass//74 från//PP//case//71 lagen//NN|UTR|SIN|DEF|NOM//nmod//69 kan//VB|PRS|AKT//aux//74 dock//AB//advmod//74 göras//VB|INF|SFO//conj//19 på//PP//case//76 sätt//NN|NEU|SIN|IND|NOM//obl//74 som//HP|-|-|-//nsubj//78 framgår//VB|PRS|AKT//acl:relcl//76 av//PP//case//81 3//RG|NOM//nummod//81 §//NN|AN//obl//78 .//MAD//punct//74
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;3//RG|NOM//nummod//84 §//NN|AN//appos//74  //_SP////84 Genom//PP//case//88 ett//DT|NEU|SIN|IND//det//88 kollektivavtal//NN|NEU|SIN|IND|NOM//obl//74 som//HP|-|-|-//nsubj:pass//91 har//VB|PRS|AKT//aux//91 slutits//VB|SUP|SFO//acl:relcl//88 eller//KN//cc//93 godkänts//VB|SUP|SFO//conj//91 av//PP//case//97 en//DT|UTR|SIN|IND//det//97 central//JJ|POS|UTR|SIN|IND|NOM//amod//97 arbetstagarorganisation//NN|UTR|SIN|IND|NOM//obl:agent//93 får//VB|PRS|AKT//aux//99 göras//VB|INF|SFO//conj//74 avvikelser//NN|UTR|PLU|IND|NOM//nsubj:pass//99 från//PP//case//103 denna//DT|UTR|SIN|DEF//det//103 lag//NN|UTR|SIN|IND|NOM//nmod//100 i//PP//case//107 fråga//NN|UTR|SIN|IND|NOM//fixed//104 om//PP//fixed//104 1//RG|NOM//nmod//103 .//MAD//punct//74
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;anställningens//NN|UTR|SIN|DEF|GEN//nmod:poss//110 längd//NN|UTR|SIN|IND|NOM//conj//74 (//PAD//punct//110 4//RG|NOM//nummod//113 kap.//NN|AN//appos//110 2//RG|NOM//nummod//115 §//NN|AN//nmod//110 )//PAD//punct//110 ,//MID//punct//110 utom//KN//advmod//123 beträffande//PP//case//123 den//DT|UTR|SIN|DEF//det//123 maximala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//123 sammanlagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//123 anställningstiden//NN|UTR|SIN|DEF|NOM//conj//110 ,//MID//punct//123 2//RG|NOM//nummod//123 .//MAD//punct//110
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;försökstidens//NN|UTR|SIN|DEF|GEN//nmod:poss//128 längd//NN|UTR|SIN|IND|NOM//conj//110 vid//PP//case//130 försöksanställning//NN|UTR|SIN|IND|NOM//nmod//128 (//PAD//punct//128 4//RG|NOM//nummod//133 kap.//NN|AN//appos//128 3//RG|NOM//nummod//135 §//NN|AN//obl//133 )//PAD//punct//110 ,//MID//punct//110 3//RG|NOM//nummod//110 .//MAD//punct//110
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;uppsägningstider//NN|UTR|PLU|IND|NOM//conj//110 (//PAD//punct//140 4//RG|NOM//nummod//143 kap.//NN|AN//obl//145 5//RG|NOM//nummod//145 §//NN|AN//obl//146 andra//RO|NOM//appos//140 och//KN//cc//149 tredje//RO|NOM//amod//149 stycket//NN|NEU|SIN|DEF|NOM//conj//146 )//PAD//punct//140 ,//MID//punct//110 4//RG|NOM//nummod//110 .//MID//punct//110
1 Förslag till lag (XXXX:XX) om vissa arbetstagare i Försvarsmakten / 1 kap. Lagens tillämpningsområde m.m.;kvalifikationstid//NN|UTR|SIN|IND|NOM//conj//110 för//PP//case//156 ledighet//NN|UTR|SIN|IND|NOM//nmod//154 (//PAD//punct//110 6//RG|NOM//nummod//159 kap.//NN|AN//nmod//160 6//RG|NOM//nummod//163 och//KN//cc//160 7//RG|NOM//nummod//160 §//NN|AN//nmod//164 §//NN|AN//nmod//110 )//PAD//punct//110 ,//MID//punct//110 5//RG|NOM//nummod//110 .//MAD//punct//110
