Vägskatt;Volym//NN|UTR|SIN|IND|NOM//ROOT//0 2//RG|NOM//nummod//0
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 finns//VB|PRS|SFO//parataxis//3 två//RG|NOM//nummod//32 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 sätt//NN|NEU|PLU|IND|NOM//nsubj//29 att//IE//mark//34 lämna//VB|INF|AKT//acl//32 uppgifter//NN|UTR|PLU|IND|NOM//obj//34 .//MAD//punct//29
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;Det//DT|NEU|SIN|DEF//det//39 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 sättet//NN|NEU|SIN|DEF|NOM//nsubj//40 innebär//VB|PRS|AKT//parataxis//29 att//SN//mark//43 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//43 lämnas//VB|PRS|SFO//ccomp//40 samlat//VB|SUP|AKT//xcomp//43 en//DT|UTR|SIN|IND//det//46 gång//NN|UTR|SIN|IND|NOM//obj//44 per//PP//case//48 månad//NN|UTR|SIN|IND|NOM//nmod//46 i//PP//case//50 efterhand//AB//advmod//44 (//PAD//punct//52 månadsdeklaration//NN|UTR|SIN|IND|NOM//xcomp//43 )//PAD//punct//52 .//MAD//punct//58
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;Det//DT|NEU|SIN|DEF//det//57 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 sättet//NN|NEU|SIN|DEF|NOM//nsubj//58 innebär//VB|PRS|AKT//conj//29 att//SN//mark//61 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//61 lämnas//VB|PRS|SFO//ccomp//58 före//PP//case//65 varje//DT|UTR/NEU|SIN|IND//det//65 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//65 färd//NN|UTR|SIN|IND|NOM//obl//61 (//PAD//punct//67 ruttbiljett//NN|UTR|SIN|IND|NOM//appos//65 )//PAD//punct//67 .//MAD//punct//73
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;I//PP//case//72 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//det//72 fallen//NN|NEU|PLU|DEF|NOM//obl//73 lämnas//VB|PRS|SFO//parataxis//58 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//73 elektroniskt//AB|POS//advmod//73 genom//PP//case//80 säkra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 och//KN//cc//79 användarvänliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//77 lösningar//NN|UTR|PLU|IND|NOM//obl//73 .//MAD//punct//73
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;Vid//PP//case//83 månadsdeklaration//NN|UTR|SIN|IND|NOM//obl//84 betalas//VB|PRS|SFO//conj//73 skatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//84 i//PP//case//87 efterskott//NN|NEU|SIN|IND|NOM//obl//84 och//KN//cc//91 vid//PP//case//90 ruttbiljett//NN|UTR|SIN|IND|NOM//obl//91 betalas//VB|PRS|SFO//conj//84 skatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//91 i//PP//case//94 förskott//NN|NEU|SIN|IND|NOM//obl//91 .//MAD//punct//73
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//98 är//VB|PRS|AKT//cop//98 möjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//73 att//IE//mark//100 byta//VB|INF|AKT//csubj//98 förfarande//NN|NEU|SIN|IND|NOM//obj//100 ,//MID//punct//100 efter//PP//case//105 en//DT|UTR|SIN|IND//det//105 anmälan//NN|UTR|SIN|IND|NOM//obl//100 till//PP//case//107 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//nmod//105 .//MAD//punct//98
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv;Nedan//AB//advmod//110 beskrivs//VB|PRS|SFO//parataxis//98 respektive//AB//amod//112 förfarande//NN|NEU|SIN|IND|NOM//nsubj:pass//110 mer//AB|KOM//advmod//110 i//PP//case//115 detalj//NN|UTR|SIN|IND|NOM//obl//110 .//MAD//punct//29

11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv / Månadsdeklaration – betalning i efterskott;Om//SN//mark//2 månadsdeklarationer//NN|UTR|PLU|IND|NOM//nsubj:pass//2 väljs//VB|PRS|SFO//advcl//6 ska//VB|PRS|AKT//aux//6 den//DT|UTR|SIN|DEF//det//5 skattskyldige//JJ|POS|MAS|SIN|DEF|NOM//nsubj//6 ta//VB|INF|AKT//ROOT//6 hänsyn//NN|UTR|SIN|IND|NOM//obj//6 till//PP//case//10 //NN|AN//nmod//10 abonnemang//NN|NEU|SIN|IND|NOM//obl//6 på//PP//case//13 en//DT|UTR|SIN|IND//det//13 tjänst//NN|UTR|SIN|IND|NOM//nmod//10 om//PP//case//17 en//DT|UTR|SIN|IND//det//17 elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//17 logg//NN|UTR|SIN|IND|NOM//nmod//13 //VB|PRS|SFO//punct//6 föranmälan//NN|UTR|SIN|IND|NOM//nmod//20 //UO//nmod//21 månadsdeklaration//NN|UTR|SIN|IND|NOM//obl//6 //VB|PRS|SFO//nmod//23 betalning//NN|UTR|SIN|IND|NOM//obl//6 //PP//nmod//23 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//26 omprövning//NN|UTR|SIN|IND|NOM//nmod//23 eller//KN//cc//28 överklagande//NN|NEU|SIN|IND|NOM//conj//26 .//MAD//punct//6
11.2.2 Systemet ur de skattskyldigas perspektiv En kort översikt av systemet ur de skattskyldigas perspektiv / Månadsdeklaration – betalning i efterskott;Nedan//AB//advmod//1 beskrivs//VB|PRS|SFO//ROOT//1 de//DT|UTR/NEU|PLU|DEF//det//4 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 delarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//1 och//KN//cc//7 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//7 resonemang//NN|NEU|PLU|IND|NOM//conj//4 kring//PP//case//10 varje//DT|UTR/NEU|SIN|IND//det//10 del//NN|UTR|SIN|IND|NOM//nmod//7 .//MAD//punct//1
